毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间,净利润_2007-12-31,净利润_2008-12-31,净利润_2009-09-30,净利润_2009-12-31,净利润_2010-06-30,净利润_2010-09-30,净利润_2010-12-31,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-09-30,净利润_2013-12-31,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2007-12-31,净利润同比增长_2008-12-31,净利润同比增长_2009-09-30,净利润同比增长_2009-12-31,净利润同比增长_2010-06-30,净利润同比增长_2010-09-30,净利润同比增长_2010-12-31,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-09-30,净利润同比增长_2013-12-31,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2007-12-31,营收_2008-12-31,营收_2009-09-30,营收_2009-12-31,营收_2010-06-30,营收_2010-09-30,营收_2010-12-31,营收_2011-12-31,营收_2012-12-31,营收_2013-09-30,营收_2013-12-31,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2007-12-31,营收增长同比_2008-12-31,营收增长同比_2009-09-30,营收增长同比_2009-12-31,营收增长同比_2010-06-30,营收增长同比_2010-09-30,营收增长同比_2010-12-31,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-09-30,营收增长同比_2013-12-31,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
39.49%,4.26亿,4.113,3542万,20.64亿,0.361元,73.62,http://quote.eastmoney.com/sh600189.html,165.44%,0.049,53.29%,7.17亿,sh600189,吉林森工,1.24%,34.77亿,1.18,5.13%,10.46亿,1998-10-07,,,,,,,,,,,,,,,,,,,-2114万,1144万,-7259万,6134万,-4287万,6611万,1858万,822万,862万,,,,,,,,,,,,,,,,,,,,--,-120.25,-178.88,--,--,814.69,--,-86.60,--,,,,,,,,,,,,,,,,,,,,9988万,5.15亿,1.05亿,2.49亿,2.53亿,4.19亿,1.99亿,4.56亿,3.91亿,,,,,,,,,,,,,,,,,,,,-74.04,-46.18,-64.31,-13.04,-26.60,64.21,89.00,82.96,54.68,
11.32%,17.79亿,3.0469999999999997,1.15亿,63.35亿,0.515元,46.55,http://quote.eastmoney.com/sh600190.html,34.39%,0.057,63.83%,20.02亿,sh600190,锦州港,1.90%,71.28亿,1.17,2.71%,43.63亿,1999-06-09,,,,,,,,,,,,,,,,,,,1492万,1550万,4140万,4299万,107万,5764万,4408万,4710万,2366万,,,,,,,,,,,,,,,,,,,,35.91,108.31,208.87,267.94,-92.84,271.95,6.47,9.56,2114.48,,,,,,,,,,,,,,,,,,,,11.4亿,4.13亿,8.65亿,12.2亿,10.5亿,13.9亿,14.0亿,13.4亿,16.2亿,,,,,,,,,,,,,,,,,,,,107.25,492.93,43.92,207.59,-7.92,237.63,62.19,9.95,53.80,
-37.75%,4.85亿,4.354,-6082万,26.67亿,0.532元,-,http://quote.eastmoney.com/sh600191.html,-277.96%,-0.125,13.28%,4.85亿,sh600191,华资实业,-3.11%,26.67亿,1.26,-1176.41%,517.1万,1998-12-10,,,,,,,,,,,,,,,,,,,357万,-602万,872万,532万,2013万,-2223万,-2035万,-2661万,-1387万,,,,,,,,,,,,,,,,,,,,--,--,333.28,-48.70,463.55,--,-333.36,-599.81,-168.87,,,,,,,,,,,,,,,,,,,,122万,203万,5991万,1.03亿,156万,323万,99.8万,122万,295万,,,,,,,,,,,,,,,,,,,,-17.97,-1.10,2332.15,231.84,27.26,58.99,-98.33,-98.81,89.49,
22.29%,4.42亿,4.4430000000000005,1292万,29.73亿,1.210元,172.54,http://quote.eastmoney.com/sh600192.html,-8.12%,0.028999999999999998,54.32%,4.42亿,sh600192,长城电工,0.66%,29.73亿,1.51,1.49%,13.53亿,1998-12-24,,,,,,,,,,,,,,,,,,,333万,-33.1万,308万,1053万,45.9万,252万,236万,924万,133万,,,,,,,,,,,,,,,,,,,,-27.69,-128.12,-30.27,-29.34,-86.23,--,-23.35,-12.27,189.44,,,,,,,,,,,,,,,,,,,,4.58亿,4.52亿,3.84亿,5.43亿,4.85亿,4.92亿,3.58亿,5.21亿,4.74亿,,,,,,,,,,,,,,,,,,,,19.47,19.03,1.83,2.65,5.98,8.85,-6.76,-4.13,-2.25,
14.19%,4.25亿,0.473,1928万,17.36亿,-0.972元,67.51,http://quote.eastmoney.com/sh600193.html,116.19%,0.045,26.77%,4.25亿,sh600193,*ST创兴,10.08%,17.36亿,8.63,16.95%,1.14亿,1999-05-27,,,,,,,,,,,,,,,,,,,217万,-1.31亿,402万,-1.19亿,-385万,4086万,-346万,454万,1820万,,,,,,,,,,,,,,,,,,,,--,-348.07,280.03,--,-277.70,--,-185.91,--,--,,,,,,,,,,,,,,,,,,,,2076万,1714万,2445万,152万,13.1万,-143万,208万,2488万,8682万,,,,,,,,,,,,,,,,,,,,--,-0.20,232.02,-87.39,-99.37,-108.34,-91.49,1531.99,66226.21,
28.47%,6.02亿,6.507999999999999,3.38亿,77.50亿,3.660元,17.20,http://quote.eastmoney.com/sh600195.html,28.58%,0.562,35.25%,6.02亿,sh600195,中牧股份,8.71%,77.50亿,1.98,11.80%,31.93亿,1999-01-07,,,,,,,,,,,,,,,,,,,8158万,1.20亿,7454万,3939万,1.49亿,1.37亿,1.25亿,6751万,1.46亿,,,,,,,,,,,,,,,,,,,,-8.18,161.72,-8.40,-23.80,82.59,14.37,67.57,71.39,-2.25,,,,,,,,,,,,,,,,,,,,9.93亿,12.3亿,7.81亿,7.32亿,11.1亿,14.5亿,9.39亿,9.57亿,13.0亿,,,,,,,,,,,,,,,,,,,,-3.30,9.63,-10.02,-17.34,11.39,18.21,20.22,30.70,17.21,
58.27%,19.11亿,11.13,20.94亿,547.4亿,4.790元,26.30,http://quote.eastmoney.com/sh600196.html,-13.44%,0.8170000000000001,51.80%,25.63亿,sh600196,复星医药,8.00%,734.3亿,2.57,12.89%,181.4亿,1998-08-07,,,,,,,,,,,,,,,,,,,6.77亿,6.29亿,7.38亿,9.51亿,7.30亿,7.05亿,7.06亿,8.55亿,5.34亿,,,,,,,,,,,,,,,,,,,,15.17,10.51,16.32,9.85,7.92,12.13,-4.33,-10.16,-26.91,,,,,,,,,,,,,,,,,,,,37.0亿,39.9亿,38.8亿,44.7亿,46.1亿,55.7亿,57.2亿,61.4亿,62.8亿,,,,,,,,,,,,,,,,,,,,17.41,12.89,20.29,20.52,24.48,39.66,47.38,37.28,36.39,
47.82%,4.41亿,5.667999999999999,2.90亿,75.50亿,3.099元,12.83,http://quote.eastmoney.com/sh600197.html,12.90%,1.001,18.97%,4.41亿,sh600197,伊力特,0.00%,75.50亿,3.02,19.34%,14.98亿,1999-09-16,,,,,,,,,,,,,,,,,,,9360万,4541万,1.11亿,5044万,9487万,9677万,1.21亿,9489万,7416万,,,,,,,,,,,,,,,,,,,,-3.46,-13.68,26.76,0.86,1.36,113.08,8.42,88.12,-21.83,,,,,,,,,,,,,,,,,,,,3.67亿,5.06亿,4.77亿,3.52亿,4.57亿,6.33亿,5.18亿,4.80亿,5.01亿,,,,,,,,,,,,,,,,,,,,4.42,5.67,8.73,-7.72,24.51,25.10,8.63,36.30,9.47,
26.06%,8.75亿,-0.142,2.52亿,82.54亿,-5.366元,24.73,http://quote.eastmoney.com/sh600198.html,149.85%,0.28600000000000003,96.22%,8.82亿,sh600198,*ST大唐,0.00%,83.18亿,-66.58,16.12%,15.71亿,1998-10-21,,,,,,,,,,,,,,,,,,,-2.50亿,-11.5亿,-1.31亿,-1.91亿,-1.84亿,-21.4亿,-1.53亿,-2.13亿,6.18亿,,,,,,,,,,,,,,,,,,,,--,-358.71,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,11.7亿,20.8亿,15.5亿,13.1亿,10.1亿,4.78亿,5.65亿,5.65亿,4.41亿,,,,,,,,,,,,,,,,,,,,-44.28,-45.91,-18.69,-36.92,-13.70,-77.00,-63.56,-56.78,-56.44,
46.69%,5.56亿,4.034,162.5万,32.57亿,1.523元,1503.42,http://quote.eastmoney.com/sh600199.html,-67.38%,0.003,25.12%,5.56亿,sh600199,金种子酒,0.07%,32.57亿,1.45,0.30%,7.98亿,1998-08-12,,,,,,,,,,,,,,,,,,,-80.5万,699万,631万,-122万,-10.9万,321万,739万,-139万,-438万,,,,,,,,,,,,,,,,,,,,-119.91,-49.27,-77.03,--,--,-54.08,17.13,--,--,,,,,,,,,,,,,,,,,,,,2.79亿,3.97亿,3.48亿,2.25亿,2.58亿,4.59亿,3.07亿,2.42亿,2.49亿,,,,,,,,,,,,,,,,,,,,-30.17,-14.55,-27.05,-20.30,-7.54,15.56,-11.64,7.30,-3.44,
34.77%,7.15亿,3.989,1.15亿,63.73亿,0.703元,41.90,http://quote.eastmoney.com/sh600200.html,13.30%,0.16,42.35%,7.22亿,sh600200,江苏吴中,3.96%,64.32亿,2.23,8.49%,13.98亿,1999-04-01,,,,,,,,,,,,,,,,,,,5634万,1168万,2521万,4093万,3547万,3149万,2094万,6362万,3057万,,,,,,,,,,,,,,,,,,,,1778.65,-59.31,--,203.78,-37.03,169.55,-16.94,55.44,-13.83,,,,,,,,,,,,,,,,,,,,12.8亿,13.9亿,9.98亿,8.18亿,5.66亿,5.79亿,5.64亿,4.22亿,4.12亿,,,,,,,,,,,,,,,,,,,,89.27,24.86,77.70,8.54,-55.84,-58.44,-43.46,-48.39,-27.21,
74.48%,11.26亿,4.397,6.81亿,196.5亿,2.275元,22.29,http://quote.eastmoney.com/sh600201.html,-0.23%,0.5870000000000001,15.93%,11.60亿,sh600201,生物股份,14.22%,202.4亿,3.97,47.68%,14.32亿,1999-01-15,,,,,,,,,,,,,,,,,,,2.01亿,1.59亿,2.66亿,1.21亿,2.95亿,1.87亿,2.96亿,6285万,3.22亿,,,,,,,,,,,,,,,,,,,,27.35,110.40,38.91,31.37,46.70,17.61,11.40,-48.18,8.99,,,,,,,,,,,,,,,,,,,,4.13亿,4.84亿,4.61亿,2.93亿,5.71亿,5.76亿,5.57亿,2.04亿,6.71亿,,,,,,,,,,,,,,,,,,,,25.77,34.28,34.54,5.46,38.37,19.03,20.92,-30.32,17.43,
5.40%,3.70亿,4.449,1978万,23.06亿,-0.148元,107.85,http://quote.eastmoney.com/sh600203.html,-63.38%,0.043,71.18%,4.56亿,sh600203,福日电子,0.97%,28.44亿,1.40,0.28%,73.31亿,1999-05-14,,,,,,,,,,,,,,,,,,,3743万,-984万,1439万,584万,3378万,-1.67亿,3222万,-423万,-822万,,,,,,,,,,,,,,,,,,,,--,-108.97,-20.10,-67.86,-9.76,--,123.92,-172.40,-124.33,,,,,,,,,,,,,,,,,,,,16.5亿,21.6亿,22.1亿,19.3亿,19.1亿,21.6亿,16.8亿,27.0亿,29.5亿,,,,,,,,,,,,,,,,,,,,22.06,24.30,54.22,3.87,15.48,0.06,-24.19,40.30,54.70,
6.93%,8.39亿,3.46,6811万,80.02亿,0.722元,88.98,http://quote.eastmoney.com/sh600206.html,40.83%,0.08,11.27%,8.47亿,sh600206,有研新材,2.36%,80.81亿,2.76,2.19%,32.34亿,1999-03-19,,,,,,,,,,,,,,,,,,,1183万,1878万,960万,2338万,1538万,-480万,233万,3449万,3130万,,,,,,,,,,,,,,,,,,,,--,9.03,223.86,63.28,30.06,-125.58,-75.73,47.48,103.44,,,,,,,,,,,,,,,,,,,,10.5亿,11.4亿,9.35亿,8.96亿,10.2亿,12.2亿,10.1亿,12.2亿,10.1亿,,,,,,,,,,,,,,,,,,,,80.66,36.10,34.25,-2.94,-1.96,7.06,7.47,35.88,-1.25,
7.21%,6.90亿,2.1790000000000003,-2618万,36.29亿,-2.616元,-,http://quote.eastmoney.com/sh600207.html,-305.29%,-0.03,13.32%,8.63亿,sh600207,安彩高科,-1.38%,45.39亿,2.41,-1.46%,15.86亿,1999-07-14,,,,,,,,,,,,,,,,,,,38.4万,795万,-1786万,294万,847万,1554万,-1074万,1136万,-2680万,,,,,,,,,,,,,,,,,,,,-99.75,--,-2544.02,512.53,2105.37,95.48,--,286.61,-416.59,,,,,,,,,,,,,,,,,,,,4.26亿,4.92亿,4.55亿,4.77亿,4.60亿,5.92亿,6.32亿,5.23亿,4.30亿,,,,,,,,,,,,,,,,,,,,-0.94,2.41,-12.45,9.89,8.07,20.30,39.02,9.75,-6.58,
28.15%,85.98亿,3.8339999999999996,17.70亿,329.3亿,1.803元,13.95,http://quote.eastmoney.com/sh600208.html,2.31%,0.20600000000000002,75.56%,85.99亿,sh600208,新湖中宝,5.45%,329.4亿,1.00,25.01%,70.82亿,1999-06-23,,,,,,,,,,,,,,,,,,,3.84亿,51.4亿,3.80亿,9429万,12.6亿,15.9亿,7.88亿,6.69亿,3.13亿,,,,,,,,,,,,,,,,,,,,147.55,807.68,236.79,-52.21,226.85,-69.06,107.08,609.94,-75.07,,,,,,,,,,,,,,,,,,,,45.7亿,49.2亿,15.4亿,25.5亿,52.3亿,81.8亿,29.9亿,26.1亿,14.9亿,,,,,,,,,,,,,,,,,,,,184.79,-2.69,-20.65,15.91,14.53,66.29,94.32,2.01,-71.51,
3.35%,4.39亿,1.348,-2691万,19.32亿,0.004元,-,http://quote.eastmoney.com/sh600209.html,-15.83%,-0.061,18.22%,4.39亿,sh600209,*ST罗顿,-4.45%,19.32亿,3.26,-59.89%,5634万,1999-03-25,,,,,,,,,,,,,,,,,,,-899万,232万,-666万,-929万,-729万,-2238万,-728万,-1175万,-788万,,,,,,,,,,,,,,,,,,,,--,-89.49,--,--,--,-1065.30,--,--,--,,,,,,,,,,,,,,,,,,,,2351万,1.04亿,808万,3384万,3349万,7471万,1356万,1173万,3104万,,,,,,,,,,,,,,,,,,,,67.23,34.32,-51.87,276.51,42.45,-28.22,67.89,-65.32,-7.31,
19.08%,15.17亿,2.9189999999999996,3.91亿,68.86亿,1.335元,13.21,http://quote.eastmoney.com/sh600210.html,-41.57%,0.258,57.14%,15.17亿,sh600210,紫江企业,8.92%,68.86亿,1.56,5.74%,71.77亿,1999-08-24,,,,,,,,,,,,,,,,,,,6281万,-2246万,4.52亿,1.19亿,9752万,-1.14亿,6340万,2.34亿,9388万,,,,,,,,,,,,,,,,,,,,--,--,816.24,-11.01,55.26,--,-85.98,95.76,-3.74,,,,,,,,,,,,,,,,,,,,22.2亿,17.9亿,21.4亿,21.4亿,24.1亿,18.2亿,21.9亿,25.3亿,24.5亿,,,,,,,,,,,,,,,,,,,,4.49,-7.14,-2.28,-0.75,8.55,1.56,2.27,18.39,2.01,
79.42%,1.46亿,12.69,2.31亿,47.14亿,3.100元,18.87,http://quote.eastmoney.com/sh600211.html,71.51%,1.287,12.16%,1.80亿,sh600211,西藏药业,10.68%,58.16亿,2.55,31.41%,7.41亿,1999-07-21,,,,,,,,,,,,,,,,,,,5630万,8028万,5413万,404万,7660万,9488万,6866万,6102万,1.01亿,,,,,,,,,,,,,,,,,,,,40.99,194.19,169.96,-90.31,36.05,18.18,26.84,1411.16,32.46,,,,,,,,,,,,,,,,,,,,2.40亿,3.05亿,2.46亿,1.90亿,2.07亿,2.73亿,2.13亿,2.40亿,2.88亿,,,,,,,,,,,,,,,,,,,,-18.39,75.85,153.79,22.09,-13.66,-10.37,-13.40,26.51,39.20,
15.77%,5.12亿,1.423,-2735万,25.53亿,-0.688元,-,http://quote.eastmoney.com/sh600212.html,-208.59%,-0.054000000000000006,4.66%,5.12亿,sh600212,江泉实业,-3.69%,25.53亿,3.51,-16.12%,1.70亿,1999-08-17,,,,,,,,,,,,,,,,,,,1453万,1662万,490万,915万,1114万,-1261万,77.0万,-1088万,-1725万,,,,,,,,,,,,,,,,,,,,--,--,--,-66.58,-23.29,-175.87,-84.26,-218.84,-254.78,,,,,,,,,,,,,,,,,,,,6651万,6721万,7218万,5493万,6068万,6395万,5700万,5287万,5985万,,,,,,,,,,,,,,,,,,,,68.44,27.61,24.85,-21.71,-8.76,-4.86,-21.02,-3.75,-1.37,
18.41%,2.20亿,0.885,1925万,16.65亿,-1.890元,64.89,http://quote.eastmoney.com/sh600213.html,-21.63%,0.08800000000000001,94.07%,2.20亿,sh600213,亚星客车,10.42%,16.65亿,8.55,1.31%,15.97亿,1999-08-31,,,,,,,,,,,,,,,,,,,2916万,1893万,539万,838万,1079万,1826万,315万,1419万,191万,,,,,,,,,,,,,,,,,,,,--,-80.52,--,-69.36,-62.99,-3.53,-41.49,69.29,-82.31,,,,,,,,,,,,,,,,,,,,7.94亿,16.2亿,2.91亿,5.66亿,4.81亿,10.5亿,2.62亿,8.47亿,4.88亿,,,,,,,,,,,,,,,,,,,,142.78,54.52,92.89,-31.60,-39.35,-35.44,-10.09,49.48,1.44,
11.49%,4.65亿,5.385,7542万,41.34亿,1.843元,41.11,http://quote.eastmoney.com/sh600215.html,793.99%,0.162,12.28%,4.65亿,sh600215,长春经开,3.06%,41.34亿,1.65,14.33%,5.26亿,1999-09-09,,,,,,,,,,,,,,,,,,,-1166万,-738万,-281万,1732万,-607万,59.5万,-255万,8961万,-1163万,,,,,,,,,,,,,,,,,,,,--,-111.11,--,-63.37,--,--,--,417.36,--,,,,,,,,,,,,,,,,,,,,5411万,1.73亿,1825万,7917万,1.23亿,1.97亿,1948万,1.03亿,4.04亿,,,,,,,,,,,,,,,,,,,,60.92,-30.19,-44.82,-53.17,127.16,13.90,6.75,30.24,228.52,
43.91%,9.56亿,8.009,5.15亿,105.2亿,4.510元,15.48,http://quote.eastmoney.com/sh600216.html,291.39%,0.5329999999999999,18.48%,9.65亿,sh600216,浙江医药,6.84%,106.2亿,1.37,9.73%,51.05亿,1999-10-21,,,,,,,,,,,,,,,,,,,2.13亿,4504万,2401万,6615万,4129万,1.22亿,4.65亿,338万,4579万,,,,,,,,,,,,,,,,,,,,293.97,--,-62.90,-48.07,-80.61,170.18,1838.06,-94.89,10.88,,,,,,,,,,,,,,,,,,,,13.3亿,13.1亿,11.9亿,13.0亿,14.3亿,17.7亿,19.2亿,14.7亿,17.1亿,,,,,,,,,,,,,,,,,,,,7.69,17.09,-9.16,-2.80,7.70,35.85,61.68,13.42,19.48,
39.43%,13.19亿,1.361,2.07亿,74.12亿,0.672元,28.21,http://quote.eastmoney.com/sh600217.html,39.01%,0.149,62.83%,13.89亿,sh600217,中再资环,11.37%,78.04亿,4.13,11.90%,17.77亿,1999-12-16,,,,,,,,,,,,,,,,,,,3746万,7948万,3832万,6684万,4410万,6833万,5865万,9462万,5421万,,,,,,,,,,,,,,,,,,,,1.42,48.00,16381.65,161.45,17.74,-14.03,53.06,41.57,22.91,,,,,,,,,,,,,,,,,,,,3.33亿,5.46亿,3.40亿,5.67亿,6.47亿,7.85亿,4.57亿,6.61亿,6.59亿,,,,,,,,,,,,,,,,,,,,-15.12,17.98,43.99,60.52,94.36,43.73,34.71,16.57,1.82,
10.89%,3.69亿,5.2410000000000005,3671万,45.14亿,1.075元,92.21,http://quote.eastmoney.com/sh600218.html,-45.26%,0.1,46.98%,3.69亿,sh600218,全柴动力,1.91%,45.14亿,2.34,1.30%,26.26亿,1998-12-03,,,,,,,,,,,,,,,,,,,2832万,585万,3922万,803万,1981万,-558万,2398万,1309万,-35.8万,,,,,,,,,,,,,,,,,,,,17.91,34.42,39.16,-75.31,-30.07,-195.34,-38.87,62.99,-101.81,,,,,,,,,,,,,,,,,,,,6.72亿,7.18亿,9.37亿,7.40亿,6.95亿,8.21亿,9.62亿,9.05亿,7.59亿,,,,,,,,,,,,,,,,,,,,10.92,39.92,10.05,0.19,3.40,14.32,2.75,22.19,9.10,
20.65%,97.87亿,3.195,13.96亿,273.1亿,0.728元,17.91,http://quote.eastmoney.com/sh600219.html,5.67%,0.11699999999999999,25.47%,119.5亿,sh600219,南山铝业,4.20%,333.4亿,0.87,9.90%,149.8亿,1999-12-23,,,,,,,,,,,,,,,,,,,4.32亿,3.17亿,2.87亿,4.55亿,5.80亿,2.90亿,2.97亿,5.24亿,5.75亿,,,,,,,,,,,,,,,,,,,,-11.10,78.56,32.28,31.35,34.11,-8.63,3.81,15.09,-0.81,,,,,,,,,,,,,,,,,,,,37.6亿,32.9亿,34.7亿,40.9亿,44.3亿,50.9亿,45.6亿,51.1亿,53.0亿,,,,,,,,,,,,,,,,,,,,2.14,-2.27,23.20,21.62,17.61,54.64,31.63,25.14,19.80,
22.05%,17.83亿,1.205,9227万,53.32亿,0.130元,43.34,http://quote.eastmoney.com/sh600220.html,17.74%,0.052000000000000005,47.23%,17.83亿,sh600220,江苏阳光,4.36%,53.32亿,2.48,5.79%,17.76亿,1999-09-27,,,,,,,,,,,,,,,,,,,4718万,2183万,113万,3416万,4309万,4262万,-1246万,5385万,5088万,,,,,,,,,,,,,,,,,,,,26.59,-52.31,-96.64,-32.06,-8.68,95.26,-1204.34,57.65,18.09,,,,,,,,,,,,,,,,,,,,5.39亿,5.32亿,3.63亿,6.30亿,6.05亿,5.53亿,4.02亿,6.55亿,7.19亿,,,,,,,,,,,,,,,,,,,,-1.94,-2.76,-16.35,7.35,12.24,3.87,10.72,3.92,18.87,
12.57%,164.4亿,3.112,7.29亿,381.3亿,0.956元,40.11,http://quote.eastmoney.com/sh600221.html,-73.57%,0.043,60.88%,168.1亿,sh600221,海航控股,1.26%,389.9亿,0.75,1.47%,523.6亿,1999-11-25,,,,,,,,,,,,,,,,,,,17.3亿,-2.65亿,8.35亿,3.12亿,16.1亿,5.65亿,13.4亿,-7.89亿,1.80亿,,,,,,,,,,,,,,,,,,,,94.96,-151.67,-42.05,34.40,-6.91,--,60.17,-352.78,-88.79,,,,,,,,,,,,,,,,,,,,118亿,98.7亿,145亿,140亿,167亿,147亿,168亿,161亿,194亿,,,,,,,,,,,,,,,,,,,,18.13,14.71,44.18,56.94,40.96,49.21,15.62,15.33,16.56,
34.18%,5.67亿,2.597,564.7万,27.04亿,0.370元,363.59,http://quote.eastmoney.com/sh600222.html,102.31%,0.01,45.07%,5.74亿,sh600222,太龙药业,0.38%,27.37亿,1.84,0.64%,8.50亿,1999-11-05,,,,,,,,,,,,,,,,,,,32.8万,186万,160万,69.9万,49.2万,234万,208万,68.4万,288万,,,,,,,,,,,,,,,,,,,,41.80,-46.36,23.82,31.73,49.87,25.31,29.87,-2.08,486.48,,,,,,,,,,,,,,,,,,,,2.47亿,2.98亿,2.36亿,2.57亿,3.03亿,3.71亿,3.13亿,2.70亿,2.67亿,,,,,,,,,,,,,,,,,,,,3.02,3.64,6.92,37.38,22.71,24.73,32.53,5.01,-12.04,
14.42%,10.01亿,2.427,9767万,37.64亿,1.030元,28.90,http://quote.eastmoney.com/sh600223.html,11.34%,0.098,94.09%,10.01亿,sh600223,鲁商置业,4.10%,37.64亿,1.55,2.31%,48.39亿,2000-01-13,,,,,,,,,,,,,,,,,,,4531万,1427万,1954万,1913万,4906万,1764万,2162万,2320万,5285万,,,,,,,,,,,,,,,,,,,,16.77,-51.05,7.55,30.76,8.27,23.64,10.67,21.27,7.73,,,,,,,,,,,,,,,,,,,,17.0亿,39.4亿,7.58亿,15.2亿,13.6亿,39.1亿,7.66亿,15.1亿,25.6亿,,,,,,,,,,,,,,,,,,,,307.75,14.37,-26.67,55.07,-19.60,-0.70,1.16,-0.33,87.76,
20.47%,9.33亿,1.456,-2.63亿,35.82亿,-0.987元,-,http://quote.eastmoney.com/sh600225.html,-166.45%,-0.281,88.47%,9.35亿,sh600225,天津松江,-17.63%,35.92亿,2.64,-12.41%,22.12亿,2000-01-27,,,,,,,,,,,,,,,,,,,-4353万,7477万,4.23亿,2422万,-5136万,-1.96亿,-1.60亿,-2731万,-7580万,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,-362.65,-137.83,-212.76,--,,,,,,,,,,,,,,,,,,,,10.8亿,4.54亿,2.89亿,2.70亿,3.81亿,5.37亿,7543万,7.60亿,13.8亿,,,,,,,,,,,,,,,,,,,,350.24,127.15,79.65,-6.78,-64.88,18.24,-73.91,181.84,261.66,
43.55%,19.93亿,1.4080000000000001,2.13亿,75.13亿,0.238元,41.67,http://quote.eastmoney.com/sh600226.html,-3.02%,0.068,16.96%,31.39亿,sh600226,瀚叶股份,4.94%,118.3亿,2.68,29.68%,7.11亿,1999-11-16,,,,,,,,,,,,,,,,,,,1.17亿,-3001万,9791万,9170万,3001万,4160万,5920万,8494万,6884万,,,,,,,,,,,,,,,,,,,,138.26,--,32.05,22.37,-74.25,--,-39.54,-7.36,129.35,,,,,,,,,,,,,,,,,,,,2.15亿,3.28亿,3.20亿,4.07亿,2.61亿,3.30亿,2.24亿,2.74亿,2.13亿,,,,,,,,,,,,,,,,,,,,-14.16,42.41,32.48,83.50,21.77,0.54,-29.89,-32.54,-18.71,
32.99%,12.45亿,2.8689999999999998,1.90亿,47.57亿,0.181元,25.59,http://quote.eastmoney.com/sh600227.html,865.11%,0.11199999999999999,30.82%,16.93亿,sh600227,圣济堂,3.92%,64.68亿,1.33,11.04%,17.16亿,2000-02-21,,,,,,,,,,,,,,,,,,,-6184万,-2.75亿,-5440万,5739万,-2777万,6304万,4416万,8412万,6130万,,,,,,,,,,,,,,,,,,,,--,-188.90,--,--,--,--,--,46.58,--,,,,,,,,,,,,,,,,,,,,8.74亿,3.17亿,2.38亿,3.91亿,4.55亿,6.13亿,5.18亿,6.26亿,5.73亿,,,,,,,,,,,,,,,,,,,,43.04,-40.93,-69.59,-52.43,-47.89,93.12,117.53,60.19,25.73,
15.78%,2.41亿,0.254,817.4万,19.21亿,-2.273元,176.26,http://quote.eastmoney.com/sh600228.html,140.15%,0.034,54.39%,2.41亿,sh600228,ST昌九,14.46%,19.21亿,31.39,3.65%,4.02亿,1999-01-19,,,,,,,,,,,,,,,,,,,-802万,-1335万,-675万,-742万,-619万,4649万,36.6万,335万,446万,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,1.13亿,1.31亿,1.15亿,1.29亿,1.50亿,1.59亿,1.28亿,1.40亿,1.34亿,,,,,,,,,,,,,,,,,,,,-9.99,14.24,22.41,34.50,33.39,21.22,10.72,9.18,-10.91,
