毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间,净利润_2007-12-31,净利润_2008-12-31,净利润_2009-09-30,净利润_2009-12-31,净利润_2010-06-30,净利润_2010-09-30,净利润_2010-12-31,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-09-30,净利润_2013-12-31,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2007-12-31,净利润同比增长_2008-12-31,净利润同比增长_2009-09-30,净利润同比增长_2009-12-31,净利润同比增长_2010-06-30,净利润同比增长_2010-09-30,净利润同比增长_2010-12-31,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-09-30,净利润同比增长_2013-12-31,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2007-12-31,营收_2008-12-31,营收_2009-09-30,营收_2009-12-31,营收_2010-06-30,营收_2010-09-30,营收_2010-12-31,营收_2011-12-31,营收_2012-12-31,营收_2013-09-30,营收_2013-12-31,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2007-12-31,营收增长同比_2008-12-31,营收增长同比_2009-09-30,营收增长同比_2009-12-31,营收增长同比_2010-06-30,营收增长同比_2010-09-30,营收增长同比_2010-12-31,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-09-30,营收增长同比_2013-12-31,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
26.48%,2.02亿,3.674,226.5万,22.27亿,1.538元,737.48,http://quote.eastmoney.com/sz000014.html,-49.07%,0.011000000000000001,56.20%,2.02亿,sz000014,沙河股份,0.31%,22.27亿,3.00,2.22%,1.86亿,1992-06-02,,,,,,,,,,,,,,,,,,,-1754万,2860万,-336万,395万,445万,763万,314万,308万,226万,,,,,,,,,,,,,,,,,,,,--,-46.01,--,--,--,-73.32,--,-21.88,-49.07,,,,,,,,,,,,,,,,,,,,1.72亿,6.21亿,9704万,3.02亿,4.28亿,5.13亿,6774万,1.22亿,1.86亿,,,,,,,,,,,,,,,,,,,,-23.48,50.23,199.95,146.74,149.31,-17.34,-30.20,-59.73,-56.58,
5.71%,15.97亿,3.3289999999999997,4.30亿,74.72亿,1.786元,19.66,http://quote.eastmoney.com/sz000016.html,233.60%,0.179,69.99%,24.08亿,sz000016,深康佳A,5.24%,112.7亿,1.41,1.95%,297.6亿,1992-03-27,,,,,,,,,,,,,,,,,,,-4433万,9567万,2625万,3087万,1.29亿,50.6亿,5576万,3.42亿,4.30亿,,,,,,,,,,,,,,,,,,,,--,--,211.35,140.53,--,5185.74,112.45,1007.16,233.60,,,,,,,,,,,,,,,,,,,,146亿,203亿,46.9亿,114亿,202亿,312亿,77.7亿,176亿,298亿,,,,,,,,,,,,,,,,,,,,5.58,10.35,15.08,32.49,37.94,53.84,65.87,54.53,47.60,
10.16%,3.03亿,0.031,108.5万,16.18亿,-2.167元,2035.77,http://quote.eastmoney.com/sz000017.html,179.55%,0.002,71.35%,5.51亿,sz000017,深中华A,6.60%,29.44亿,173.36,1.22%,1.01亿,1992-03-31,,,,,,,,,,,,,,,,,,,208万,260万,21.2万,-169万,-136万,153万,23.2万,55.4万,108万,,,,,,,,,,,,,,,,,,,,286.65,--,45.07,-477.24,-165.54,-41.25,9.26,--,--,,,,,,,,,,,,,,,,,,,,1.20亿,1.42亿,2330万,4893万,9552万,1.37亿,2473万,6773万,1.01亿,,,,,,,,,,,,,,,,,,,,-13.91,-16.97,5.93,-25.61,-20.37,-3.16,6.14,38.43,6.00,
12.77%,9.96亿,1.228,2548万,29.77亿,0.863元,149.45,http://quote.eastmoney.com/sz000018.html,-93.79%,0.015,79.99%,16.98亿,sz000018,神州长城,1.20%,50.78亿,2.43,1.03%,22.59亿,1992-06-16,,,,,,,,,,,,,,,,,,,3.03亿,4.74亿,9903万,2.69亿,4.10亿,3.80亿,2.19亿,1.44亿,2548万,,,,,,,,,,,,,,,,,,,,25.00,36.64,29.30,32.78,35.39,-19.75,120.67,-46.39,-93.79,,,,,,,,,,,,,,,,,,,,32.3亿,46.6亿,10.6亿,30.3亿,46.9亿,65.0亿,9.23亿,15.9亿,22.6亿,,,,,,,,,,,,,,,,,,,,10.87,16.32,14.62,54.85,44.89,39.27,-12.87,-47.54,-51.78,
27.06%,4.16亿,5.894,-2997万,33.98亿,0.006元,-,http://quote.eastmoney.com/sz000019.html,-13.59%,-0.026000000000000002,7.68%,11.53亿,sz000019,深粮控股,-3.22%,94.16亿,1.39,-14.55%,2.17亿,1992-10-12,,,,,,,,,,,,,,,,,,,-2756万,9662万,-992万,-1776万,-2639万,-5409万,-1082万,-1825万,-2997万,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,-155.99,--,--,--,,,,,,,,,,,,,,,,,,,,2.26亿,2.73亿,5976万,1.38亿,2.31亿,3.16亿,5747万,1.37亿,2.17亿,,,,,,,,,,,,,,,,,,,,-9.28,-19.17,-17.65,-7.37,1.93,15.50,-3.83,-1.04,-6.06,
10.09%,1.81亿,1.1340000000000001,49.75万,22.70亿,-0.657元,5348.81,http://quote.eastmoney.com/sz000020.html,42.80%,0.002,47.35%,2.83亿,sz000020,深华发A,0.16%,35.48亿,11.05,0.10%,4.90亿,1992-04-28,,,,,,,,,,,,,,,,,,,451万,546万,42.1万,215万,34.8万,97.4万,30.7万,279万,49.7万,,,,,,,,,,,,,,,,,,,,-77.45,--,-10.38,-70.49,-92.27,-82.15,-27.02,30.13,42.80,,,,,,,,,,,,,,,,,,,,4.57亿,6.19亿,1.92亿,4.39亿,6.72亿,8.58亿,1.72亿,3.41亿,4.90亿,,,,,,,,,,,,,,,,,,,,17.34,23.97,39.31,41.98,47.15,38.58,-10.54,-22.41,-27.13,
3.98%,14.69亿,4.2010000000000005,4.41亿,124.6亿,1.770元,21.23,http://quote.eastmoney.com/sz000021.html,-6.01%,0.3,55.91%,14.71亿,sz000021,深科技,7.25%,124.8亿,2.02,3.63%,126.1亿,1994-02-02,,,,,,,,,,,,,,,,,,,3.04亿,2.14亿,1.17亿,3.07亿,4.69亿,5.41亿,8543万,1.72亿,4.41亿,,,,,,,,,,,,,,,,,,,,116.29,18.69,-22.71,41.33,54.52,152.45,-26.81,-44.13,-6.01,,,,,,,,,,,,,,,,,,,,106亿,151亿,34.6亿,71.9亿,107亿,142亿,40.0亿,82.6亿,126亿,,,,,,,,,,,,,,,,,,,,-5.73,-1.91,-3.34,4.63,1.47,-5.70,15.83,15.00,17.58,
9.56%,1.39亿,2.997,1063万,22.60亿,0.889元,159.41,http://quote.eastmoney.com/sz000023.html,-68.58%,0.077,77.43%,1.39亿,sz000023,深天地A,2.56%,22.60亿,5.43,0.82%,9.95亿,1993-04-29,,,,,,,,,,,,,,,,,,,827万,995万,1053万,1918万,3385万,3050万,-486万,86.4万,1063万,,,,,,,,,,,,,,,,,,,,-69.65,-62.77,--,147.18,309.41,206.47,-146.18,-95.49,-68.58,,,,,,,,,,,,,,,,,,,,7.24亿,10.1亿,2.30亿,5.46亿,8.62亿,12.3亿,2.61亿,6.29亿,9.95亿,,,,,,,,,,,,,,,,,,,,8.02,-2.68,28.62,21.15,19.12,21.71,13.45,15.23,15.41,
22.55%,2.71亿,3.361,3584万,94.05亿,0.450元,215.99,http://quote.eastmoney.com/sz000025.html,-11.73%,0.121,32.00%,2.97亿,sz000025,特力A,3.65%,103.2亿,10.33,12.23%,2.91亿,1993-06-21,,,,,,,,,,,,,,,,,,,2622万,2719万,449万,2460万,4060万,6686万,1610万,2692万,3584万,,,,,,,,,,,,,,,,,,,,40.23,-36.42,-27.06,38.59,54.89,145.88,258.21,9.45,-11.73,,,,,,,,,,,,,,,,,,,,2.41亿,3.24亿,8115万,1.61亿,2.38亿,3.47亿,9210万,1.98亿,2.91亿,,,,,,,,,,,,,,,,,,,,3.86,6.75,1.79,2.44,-0.99,7.09,13.50,22.97,21.90,
42.21%,3.57亿,5.801,1.63亿,31.64亿,1.911元,18.12,http://quote.eastmoney.com/sz000026.html,19.12%,0.36700000000000005,29.48%,4.43亿,sz000026,飞亚达A,6.55%,39.29亿,1.53,6.34%,25.65亿,1993-06-03,,,,,,,,,,,,,,,,,,,,1.11亿,4532万,8671万,1.37亿,1.40亿,5952万,1.12亿,1.63亿,1.84亿,,,,,,,,,,,,,,,,,,,,-9.07,66.30,43.29,26.06,26.71,31.33,29.59,19.12,31.11,,,,,,,,,,,,,,,,,,,,29.9亿,8.17亿,16.0亿,24.8亿,33.5亿,8.52亿,17.0亿,25.6亿,34.0亿,,,,,,,,,,,,,,,,,,,,-5.32,11.47,8.11,10.81,11.76,4.26,6.02,3.60,1.63
22.13%,39.64亿,6.097,6.04亿,250.6亿,2.135元,25.72,http://quote.eastmoney.com/sz000027.html,-24.86%,0.184,69.86%,39.64亿,sz000027,深圳能源,2.79%,250.6亿,1.04,5.45%,123.8亿,1993-09-03,,,,,,,,,,,,,,,,,,,13.4亿,13.5亿,1.12亿,4.03亿,8.04亿,7.49亿,6077万,5.37亿,6.04亿,,,,,,,,,,,,,,,,,,,,-15.79,-24.76,-45.00,-52.67,-39.93,-44.37,-45.87,33.16,-24.86,,,,,,,,,,,,,,,,,,,,86.3亿,113亿,25.6亿,61.7亿,104亿,155亿,36.5亿,79.8亿,124亿,,,,,,,,,,,,,,,,,,,,-0.59,1.69,26.93,22.75,21.11,37.35,42.22,29.26,18.49,
11.49%,3.08亿,25.73,9.27亿,157.6亿,14.882元,17.74,http://quote.eastmoney.com/sz000028.html,15.42%,2.165,52.02%,4.28亿,sz000028,国药一致,9.21%,219.2亿,1.99,3.18%,317.7亿,1993-08-09,,,,,,,,,,,,,,,,,,,9.09亿,11.9亿,2.73亿,5.56亿,8.03亿,10.6亿,2.93亿,6.42亿,9.27亿,,,,,,,,,,,,,,,,,,,,25.91,27.92,7.46,-15.62,-11.67,-10.85,7.40,15.39,15.42,,,,,,,,,,,,,,,,,,,,311亿,412亿,102亿,205亿,313亿,413亿,103亿,208亿,318亿,,,,,,,,,,,,,,,,,,,,8.85,9.07,-0.87,-0.18,0.54,0.04,0.33,1.24,1.56,
55.83%,8.92亿,3.1630000000000003,3.74亿,99.60亿,1.104元,22.66,http://quote.eastmoney.com/sz000029.html,150.03%,0.37,30.97%,10.12亿,sz000029,深深房A,12.41%,113.0亿,3.53,23.37%,16.00亿,1993-09-15,,,,,,,,,,,,,,,,,,,2.37亿,3.12亿,3462万,1.37亿,1.50亿,1.85亿,-598万,3.29亿,3.74亿,,,,,,,,,,,,,,,,,,,,1.23,3.47,11.19,1.83,-36.85,-40.63,-117.28,139.80,150.03,,,,,,,,,,,,,,,,,,,,17.4亿,23.5亿,2.72亿,7.31亿,9.65亿,13.5亿,1.50亿,13.2亿,16.0亿,,,,,,,,,,,,,,,,,,,,8.47,8.72,-18.20,-33.39,-44.71,-42.78,-45.03,80.16,65.89,
15.23%,17.51亿,3.404,6.61亿,87.00亿,1.817元,10.21,http://quote.eastmoney.com/sz000030.html,2.57%,0.365,38.42%,18.11亿,sz000030,富奥股份,11.23%,89.98亿,1.46,11.57%,56.88亿,1993-09-29,,,,,,,,,,,,,,,,,,,5.19亿,6.77亿,2.21亿,4.53亿,6.45亿,8.32亿,2.29亿,4.81亿,6.61亿,,,,,,,,,,,,,,,,,,,,43.07,34.48,41.06,22.82,24.16,22.88,3.69,6.17,2.57,,,,,,,,,,,,,,,,,,,,41.5亿,58.6亿,17.2亿,34.2亿,50.9亿,71.9亿,17.4亿,38.2亿,56.9亿,,,,,,,,,,,,,,,,,,,,31.75,35.22,33.14,23.76,22.83,22.82,1.00,11.61,11.65,
42.05%,9.56亿,5.558,9.08亿,56.90亿,1.122元,19.29,http://quote.eastmoney.com/sz000031.html,72.67%,0.231,85.74%,39.26亿,sz000031,中粮地产,12.96%,233.6亿,1.07,17.14%,78.71亿,1993-10-08,,,,,,,,,,,,,,,,,,,6797万,7.20亿,1.43亿,1.55亿,5.26亿,9.45亿,2.58亿,6.24亿,9.08亿,,,,,,,,,,,,,,,,,,,,-85.06,-0.23,-21.71,0.32,673.73,31.27,80.46,301.84,72.67,,,,,,,,,,,,,,,,,,,,104亿,180亿,17.2亿,45.9亿,85.0亿,140亿,21.8亿,49.9亿,78.7亿,,,,,,,,,,,,,,,,,,,,51.05,33.52,-47.36,-25.98,-18.13,-22.10,27.06,8.86,-7.39,
20.51%,4.11亿,3.2230000000000003,8350万,40.26亿,1.506元,36.34,http://quote.eastmoney.com/sz000032.html,43.61%,0.20199999999999999,30.72%,4.13亿,sz000032,深桑达A,5.33%,40.45亿,3.04,7.59%,11.67亿,1993-10-28,,,,,,,,,,,,,,,,,,,5708万,6071万,1242万,3701万,5814万,2637万,2550万,6044万,8350万,,,,,,,,,,,,,,,,,,,,-3.20,11.21,-40.77,-33.80,-21.12,-56.56,105.38,63.32,43.61,,,,,,,,,,,,,,,,,,,,15.0亿,19.9亿,3.19亿,8.16亿,12.3亿,17.2亿,3.76亿,8.14亿,11.7亿,,,,,,,,,,,,,,,,,,,,2.26,0.88,-40.95,-24.63,-24.19,-13.40,17.80,-0.29,-5.26,
4.45%,4.05亿,5.621,3.44亿,61.44亿,0.867元,21.61,http://quote.eastmoney.com/sz000034.html,10.13%,0.527,85.13%,6.54亿,sz000034,神州数码,9.81%,99.22亿,2.70,0.65%,533.5亿,1994-05-09,,,,,,,,,,,,,,,,,,,3.34亿,4.04亿,8526万,2.04亿,3.13亿,7.23亿,1.11亿,2.67亿,3.44亿,,,,,,,,,,,,,,,,,,,,1158.98,1790.14,--,-19.07,-6.32,79.03,30.66,31.24,10.13,,,,,,,,,,,,,,,,,,,,238亿,405亿,122亿,261亿,402亿,622亿,158亿,330亿,534亿,,,,,,,,,,,,,,,,,,,,7079.85,8748.37,13430.10,122.88,68.75,53.50,29.12,26.62,32.73,
36.12%,12.81亿,3.9330000000000003,1.67亿,69.05亿,0.436元,59.16,http://quote.eastmoney.com/sz000035.html,18.76%,0.068,61.66%,24.39亿,sz000035,中国天楹,5.31%,131.4亿,1.37,12.54%,13.67亿,1994-04-08,,,,,,,,,,,,,,,,,,,1.35亿,2.12亿,2279万,7211万,1.40亿,2.22亿,2310万,8726万,1.67亿,,,,,,,,,,,,,,,,,,,,11.75,-7.22,-36.97,0.19,3.83,4.98,1.36,21.00,18.76,,,,,,,,,,,,,,,,,,,,5.65亿,9.80亿,2.39亿,5.42亿,9.93亿,16.1亿,2.92亿,8.63亿,13.7亿,,,,,,,,,,,,,,,,,,,,22.84,18.79,46.61,53.83,75.71,64.39,22.23,59.21,37.64,
73.70%,11.36亿,4.022,7.38亿,72.95亿,2.504元,7.45,http://quote.eastmoney.com/sz000036.html,-31.71%,0.647,53.45%,11.41亿,sz000036,华联控股,15.45%,73.28亿,1.60,29.14%,27.11亿,1994-06-17,,,,,,,,,,,,,,,,,,,4.76亿,13.5亿,7.58亿,10.5亿,10.8亿,13.4亿,1.05亿,3.80亿,7.38亿,,,,,,,,,,,,,,,,,,,,--,1845.78,715.08,143.40,127.12,-0.40,-86.11,-63.84,-31.71,,,,,,,,,,,,,,,,,,,,1.45亿,21.7亿,17.8亿,28.5亿,30.3亿,39.7亿,4.54亿,14.1亿,27.1亿,,,,,,,,,,,,,,,,,,,,-4.24,430.95,3656.11,2771.49,1983.65,82.88,-74.54,-50.60,-10.56,
