code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,净利润_2009-12-31,净利润_2010-12-31,净利润_2011-06-30,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-12-31,净利润_2014-09-30,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2009-12-31,净利润同比增长_2010-12-31,净利润同比增长_2011-06-30,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-12-31,净利润同比增长_2014-09-30,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2009-12-31,营收_2010-12-31,营收_2011-06-30,营收_2011-12-31,营收_2012-12-31,营收_2013-12-31,营收_2014-09-30,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2009-12-31,营收增长同比_2010-12-31,营收增长同比_2011-06-30,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-12-31,营收增长同比_2014-09-30,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
002401,中远海科,软件服务,上海,34.02,3.0,3.03,184833.11,166790.06,7534.06,4391.71,0.14,0.23199999999999998,2.84,3.71,20100506,45937.96,1.51,11.83,5.5,19.96,9.76,26696.0,,,,,,,,,,,,,,,1693万,1136万,1766万,2055万,2850万,924万,2422万,2334万,2283万,,,,,,,,,,,,,,,,-2.52,60.84,0.92,3.04,15.34,112.40,37.09,13.60,-19.92,,,,,,,,,,,,,,,,1.61亿,3.81亿,2.08亿,2.05亿,2.31亿,2.72亿,2.34亿,2.56亿,2.30亿,,,,,,,,,,,,,,,,-10.80,-11.44,1.64,-4.90,6.91,11.41,12.77,24.77,-0.50,
002535,林州重机,工程机械,河南,32.27,5.9,8.02,788337.19,454993.09,187842.2,178543.8,2.23,0.092,3.74,1.06,20110111,31618.6,0.39,60.2,136.73,21.18,4.43,53200.0,,,,,,,,,,,,,,,348万,-1657万,-26.6万,2163万,973万,398万,2545万,4046万,769万,,,,,,,,,,,,,,,,140.97,--,147.45,123.26,212.67,--,--,87.07,-20.97,,,,,,,,,,,,,,,,3.41亿,5.27亿,2.33亿,4.21亿,3.82亿,6.16亿,4.32亿,5.27亿,7.00亿,,,,,,,,,,,,,,,,62.62,43.95,-31.19,72.31,17.30,13.35,85.59,25.13,83.43,
300495,美尚生态,环境保护,江苏,28.61,3.25,6.01,767762.31,503947.94,7132.87,153137.23,2.55,0.34700000000000003,5.17,2.55,20151222,96120.56,1.6,20.35,37.16,30.38,14.05,19139.0,,,,,,,,,,,,,,,2566万,1.13亿,-741万,1.18亿,4107万,1.32亿,1182万,1.34亿,6285万,,,,,,,,,,,,,,,,119.26,231.62,-146.87,115.91,60.05,17.30,--,13.04,53.02,,,,,,,,,,,,,,,,1.46亿,5.93亿,1.65亿,6.52亿,4.15亿,10.7亿,2.50亿,8.04亿,4.28亿,,,,,,,,,,,,,,,,29.49,254.83,29.04,246.78,184.47,80.72,51.47,23.41,3.16,
300283,温州宏丰,电气设备,浙江,92.46,2.13,4.14,137254.72,62619.13,31807.91,1705.43,0.04,0.043,1.4,3.8,20120110,12648.17,0.31,17.49,377.78,11.81,2.11,11924.0,,,,,,,,,,,,,,,1439万,-552万,430万,404万,-459万,254万,1242万,477万,75.7万,,,,,,,,,,,,,,,,202.89,--,31.51,-66.64,-131.87,--,188.80,17.94,--,,,,,,,,,,,,,,,,2.23亿,2.42亿,1.89亿,2.70亿,2.66亿,2.80亿,2.53亿,3.04亿,2.96亿,,,,,,,,,,,,,,,,38.15,61.56,44.77,47.20,19.26,15.65,33.71,12.35,11.19,
002572,索菲亚,家居用品,广东,18.72,6.38,9.23,723373.81,314459.94,227712.7,147521.2,1.6,0.7490000000000001,5.13,3.65,20110412,210371.8,2.28,20.11,20.16,37.88,13.55,21311.0,,,,,,,,,,,,,,,2.08亿,2.56亿,7723万,2.17亿,2.81亿,3.31亿,1.03亿,2.66亿,3.23亿,,,,,,,,,,,,,,,,48.07,39.58,46.75,47.31,35.18,29.40,33.48,22.50,14.70,,,,,,,,,,,,,,,,13.0亿,15.6亿,9.54亿,15.3亿,17.6亿,19.1亿,12.4亿,17.4亿,21.2亿,,,,,,,,,,,,,,,,42.66,38.59,48.30,49.44,35.46,22.57,30.32,13.78,20.10,
300757,罗博特科,专用机械,江苏,64.24,0.2,0.8,82453.65,70639.31,5758.0,3408.73,0.43,0.799,4.74,14.44,20190108,17733.09,2.22,0.0,0.0,27.64,12.36,39989.0,,,,,,,,--,,,,--,,,,--,,,1065万,3835万,,--,2278万,,,,,,,,,--,,,,--,,,,--,,,--,--,,--,113.81,,,,,,,,,--,,,,--,,,,--,,,5347万,1.60亿,,--,1.35亿,,,,,,,,,--,,,,--,,,,--,,,--,--,,--,152.54,
300082,奥克股份,化工原料,辽宁,13.57,6.75,6.81,634609.69,318804.31,204711.73,173453.31,2.55,0.371,4.46,1.5,20100520,53451.01,0.79,44.16,59.77,10.0,4.49,24958.0,,,,,,,,,,,,,,,6264万,-1829万,2548万,5497万,7750万,5150万,3050万,9482万,1.27亿,,,,,,,,,,,,,,,,--,--,--,21.95,23.72,--,19.69,72.49,63.92,,,,,,,,,,,,,,,,12.1亿,13.5亿,10.3亿,13.5亿,15.2亿,18.0亿,12.3亿,21.1亿,22.8亿,,,,,,,,,,,,,,,,52.33,61.59,31.81,34.93,25.46,32.88,19.04,56.32,50.41,
002760,凤形股份,机械基件,安徽,59.42,0.72,0.88,88070.11,40267.9,36851.55,23660.35,2.69,0.20600000000000002,5.69,2.86,20150611,14521.67,1.65,25.34,224.24,21.38,5.21,11030.0,,,,,,,,,,,,,,,16.5万,-93.1万,-391万,-577万,-428万,-7053万,148万,883万,779万,,,,,,,,,,,,,,,,-79.89,-110.19,-141.75,-453.83,-3052.33,--,--,--,--,,,,,,,,,,,,,,,,7436万,1.07亿,9495万,8629万,9568万,9066万,1.04亿,1.34亿,1.09亿,,,,,,,,,,,,,,,,-8.76,5.41,92.78,12.73,28.67,-15.11,9.79,55.01,14.00,
300749,顶固集创,家居用品,广东,61.1,0.29,1.14,102598.43,68718.96,21437.24,34212.18,3.0,0.452,6.27,5.87,20180925,23226.81,2.04,0.0,0.0,37.93,9.43,14034.0,,,,,,,,,,--,,--,,--,,--,,--,3697万,3198万,,--,2720万,,,,,,,,,,,--,,--,,--,,--,,--,--,--,,--,-26.41,,,,,,,,,,,--,,--,,--,,--,,--,2.21亿,2.89亿,,--,2.29亿,,,,,,,,,,,--,,--,,--,,--,,--,--,--,,--,3.92,
002741,光华科技,化工原料,广东,32.17,3.21,3.74,229941.41,131500.97,37548.59,31307.36,0.84,0.349,3.21,4.66,20150216,47673.03,1.27,30.46,83.67,24.94,10.95,25965.0,,,,,,,,,,,,,,,1608万,1479万,879万,3871万,2371万,2141万,2687万,6154万,4237万,,,,,,,,,,,,,,,,36.90,-1.42,42.07,48.12,47.46,44.80,205.84,58.96,78.74,,,,,,,,,,,,,,,,2.69亿,2.93亿,2.60亿,3.04亿,3.52亿,3.83亿,3.57亿,4.21亿,4.16亿,,,,,,,,,,,,,,,,21.67,18.42,30.17,32.26,30.54,31.01,37.53,38.39,18.36,
