毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间
4.18%,12.88亿,5.599,-2.67亿,82.30亿,-1.178元,-,http://quote.eastmoney.com/sh600707.html,-420.04%,-0.074,47.24%,35.88亿,600707,彩虹股份,-1.32%,229.3亿,1.14,-33.75%,8.10亿,1996-05-20
37.61%,22.25亿,4.963,10.12亿,111.0亿,3.166元,8.24,http://quote.eastmoney.com/sh600708.html,68.72%,0.454,82.94%,22.29亿,600708,光明地产,9.42%,111.2亿,1.01,12.42%,94.01亿,1996-06-06
5.99%,6.40亿,3.283,3.48亿,34.13亿,1.157元,15.01,http://quote.eastmoney.com/sh600710.html,27.32%,0.266,82.83%,13.07亿,600710,苏美达,8.35%,69.65亿,1.62,1.57%,591.4亿,1996-07-01
4.71%,14.97亿,4.123,4.71亿,93.57亿,0.734元,18.24,http://quote.eastmoney.com/sh600711.html,24.43%,0.257,48.91%,18.31亿,600711,盛屯矿业,8.06%,114.4亿,1.52,2.26%,208.7亿,1996-05-31
16.95%,5.38亿,1.881,-3758万,25.34亿,0.103元,-,http://quote.eastmoney.com/sh600712.html,-201.17%,-0.069,50.81%,5.45亿,600712,南宁百货,-3.60%,25.65亿,2.50,-2.41%,15.57亿,1996-06-26
6.39%,8.97亿,3.678,1.97亿,45.32亿,0.659元,19.98,http://quote.eastmoney.com/sh600713.html,13.74%,0.190,78.05%,10.42亿,600713,南京医药,5.41%,52.60亿,1.37,1.11%,226.0亿,1996-07-01
33.78%,2.88亿,2.142,1558万,21.01亿,0.002元,101.11,http://quote.eastmoney.com/sh600714.html,72.96%,0.054,7.58%,2.88亿,600714,金瑞矿业,2.56%,21.01亿,3.40,16.96%,9189万,1996-06-06
22.95%,12.84亿,3.814,2518万,69.35亿,0.160元,298.39,http://quote.eastmoney.com/sh600715.html,-93.34%,0.014,31.32%,18.55亿,600715,文投控股,0.35%,100.2亿,1.42,1.64%,14.79亿,1996-07-01
12.87%,9.10亿,4.528,-3265万,41.14亿,0.715元,-,http://quote.eastmoney.com/sh600716.html,65.40%,-0.035,52.00%,9.36亿,600716,凤凰股份,-0.89%,42.31亿,1.00,-3.46%,9.43亿,1996-07-02
20.28%,16.75亿,9.538,6.48亿,144.2亿,5.456元,16.70,http://quote.eastmoney.com/sh600717.html,-19.09%,0.387,38.42%,16.75亿,600717,天津港,4.08%,144.2亿,0.90,10.47%,94.26亿,1996-06-14
35.07%,12.42亿,7.294,1.25亿,198.4亿,4.566元,119.49,http://quote.eastmoney.com/sh600718.html,-24.66%,0.100,29.47%,12.42亿,600718,东软集团,1.38%,198.4亿,2.19,-0.56%,42.55亿,1996-06-18
5.45%,4.05亿,1.710,-3393万,22.37亿,0.044元,-,http://quote.eastmoney.com/sh600719.html,-35.12%,-0.084,58.09%,4.05亿,600719,大连热电,-4.78%,22.37亿,3.23,-6.88%,4.94亿,1996-07-16
33.64%,7.76亿,7.311,5.51亿,60.46亿,3.893元,8.23,http://quote.eastmoney.com/sh600720.html,-4.95%,0.710,36.47%,7.76亿,600720,祁连山,9.92%,60.47亿,1.07,13.20%,43.17亿,1996-07-16
35.36%,3.05亿,4.475,7008万,22.06亿,-2.339元,30.98,http://quote.eastmoney.com/sh600721.html,0.51%,0.175,15.21%,4.00亿,600721,百花村,3.99%,28.95亿,1.62,19.42%,3.61亿,1996-06-26
23.87%,6.58亿,5.911,2.72亿,46.00亿,3.119元,12.69,http://quote.eastmoney.com/sh600723.html,11.54%,0.413,39.05%,6.58亿,600723,首商股份,7.09%,46.02亿,1.18,4.79%,73.52亿,1996-07-16
29.30%,14.45亿,1.398,3.06亿,57.08亿,0.071元,13.99,http://quote.eastmoney.com/sh600724.html,137.79%,0.212,79.95%,14.45亿,600724,宁波富达,16.40%,57.09亿,2.83,12.53%,34.16亿,1996-07-16
4.86%,12.32亿,0.236,1565万,34.26亿,-2.311元,164.16,http://quote.eastmoney.com/sh600725.html,192.79%,0.013,17.79%,12.32亿,600725,ST云维,5.53%,34.26亿,11.77,2.10%,7.47亿,1996-07-02
2.61%,15.35亿,0.909,-5.23亿,41.13亿,-1.053元,-,http://quote.eastmoney.com/sh600726.html,-31.79%,-0.266,91.23%,19.67亿,600726,华电能源,-25.57%,52.71亿,2.95,-8.60%,68.17亿,1996-07-01
30.18%,3.51亿,3.552,8597万,23.97亿,-0.441元,20.91,http://quote.eastmoney.com/sh600727.html,87.73%,0.245,18.75%,3.51亿,600727,鲁北化工,7.14%,23.97亿,1.92,17.79%,4.83亿,1996-07-02
14.49%,16.04亿,2.035,1.13亿,185.8亿,0.125元,124.84,http://quote.eastmoney.com/sh600728.html,110.43%,0.070,48.90%,16.19亿,600728,佳都科技,0.00%,187.5亿,5.69,3.95%,27.90亿,1996-07-16
18.29%,4.06亿,13.57,7.69亿,131.9亿,10.844元,12.87,http://quote.eastmoney.com/sh600729.html,53.25%,1.891,59.68%,4.07亿,600729,重庆百货,14.59%,132.0亿,2.39,3.15%,256.9亿,1996-07-02
84.17%,5.87亿,3.391,339.9万,37.14亿,1.435元,819.49,http://quote.eastmoney.com/sh600730.html,-96.35%,0.006,43.70%,5.87亿,600730,中国高科,0.17%,37.14亿,1.87,11.91%,7411万,1996-07-26
22.75%,3.27亿,2.887,1132万,17.67亿,-0.086元,127.31,http://quote.eastmoney.com/sh600731.html,-34.10%,0.032,47.93%,3.55亿,600731,湖南海利,1.16%,19.22亿,1.87,2.32%,10.52亿,1996-08-02
0.81%,4.46亿,0.992,-766.9万,25.31亿,-0.101元,-,http://quote.eastmoney.com/sh600732.html,-111.56%,-0.017,13.54%,4.46亿,600732,ST新梅,-1.72%,25.31亿,5.72,-27.22%,2782万,1996-08-16
11.23%,3.97亿,4.943,1.33亿,35.48亿,-0.045元,176.78,http://quote.eastmoney.com/sh600733.html,56.13%,0.038,50.93%,34.94亿,600733,北汽蓝谷,0.81%,312.3亿,1.81,1.29%,97.87亿,1996-08-16
10.35%,3.55亿,4.814,1.24亿,33.62亿,0.428元,35.62,http://quote.eastmoney.com/sh600734.html,48.55%,0.200,55.76%,6.24亿,600734,实达集团,4.24%,59.11亿,1.97,3.10%,40.21亿,1996-08-08
23.84%,3.76亿,2.333,5834万,25.38亿,0.830元,32.63,http://quote.eastmoney.com/sh600735.html,14.60%,0.155,20.33%,3.76亿,600735,新华锦,6.85%,25.38亿,2.89,8.55%,10.09亿,1996-07-26
32.56%,11.51亿,5.110,4.27亿,89.34亿,2.235元,15.70,http://quote.eastmoney.com/sh600736.html,36.60%,0.371,65.55%,11.51亿,600736,苏州高新,5.51%,89.34亿,1.52,18.24%,37.53亿,1996-08-15
13.38%,20.52亿,3.754,7.98亿,183.4亿,0.521元,17.23,http://quote.eastmoney.com/sh600737.html,58.21%,0.389,49.87%,20.52亿,600737,中粮糖业,10.75%,183.4亿,2.38,6.13%,136.1亿,1996-07-31
12.43%,15.30亿,13.35,6.99亿,231.0亿,7.475元,24.80,http://quote.eastmoney.com/sh600739.html,-43.33%,0.457,40.32%,15.30亿,600739,辽宁成大,3.45%,231.0亿,1.13,5.74%,141.7亿,1996-08-19
10.54%,6.57亿,6.714,12.87亿,62.07亿,0.114元,8.35,http://quote.eastmoney.com/sh600740.html,2376.51%,0.849,48.82%,15.16亿,600740,山西焦化,46.37%,143.3亿,1.41,24.76%,52.03亿,1996-08-08
13.83%,31.53亿,13.94,63.64亿,643.2亿,7.724元,7.58,http://quote.eastmoney.com/sh600741.html,32.13%,2.019,60.19%,31.53亿,600741,华域汽车,14.87%,643.2亿,1.46,6.97%,1188亿,1996-08-26
7.84%,5.08亿,9.339,3.88亿,60.56亿,6.111元,11.71,http://quote.eastmoney.com/sh600742.html,-3.57%,0.764,40.62%,5.08亿,600742,一汽富维,8.28%,60.56亿,1.28,4.99%,98.97亿,1996-08-26
31.13%,23.46亿,3.145,2.92亿,70.38亿,1.471元,18.09,http://quote.eastmoney.com/sh600743.html,-38.38%,0.124,81.38%,23.46亿,600743,华远地产,3.95%,70.38亿,0.95,10.59%,30.63亿,1996-09-09
6.82%,8.28亿,1.676,-161.9万,31.62亿,-2.147元,-,http://quote.eastmoney.com/sh600744.html,99.72%,-0.001,84.91%,17.81亿,600744,华银电力,-0.05%,68.04亿,2.28,-0.04%,68.19亿,1996-09-05
5.46%,3.05亿,1.520,-126.6万,21.91亿,0.165元,-,http://quote.eastmoney.com/sh600746.html,-101.86%,-0.004,13.91%,3.06亿,600746,江苏索普,-0.26%,22.03亿,4.73,-0.33%,3.80亿,1996-09-18
1.90%,10.64亿,1.359,-229.5万,16.82亿,-0.410元,-,http://quote.eastmoney.com/sh600747.html,-104.82%,-0.002,19.79%,14.64亿,600747,ST大控,-0.12%,23.14亿,1.16,-0.14%,13.49亿,1996-09-16
29.08%,18.45亿,5.479,2.86亿,150.7亿,2.420元,39.46,http://quote.eastmoney.com/sh600748.html,-18.73%,0.155,69.42%,18.45亿,600748,上实发展,2.86%,150.7亿,1.49,10.10%,47.29亿,1996-09-25
53.53%,2.27亿,4.663,2089万,22.70亿,-0.676元,81.50,http://quote.eastmoney.com/sh600749.html,233.51%,0.092,30.05%,2.27亿,600749,*ST藏旅,2.46%,22.70亿,2.14,14.70%,1.48亿,1996-10-15
67.98%,4.20亿,7.720,3.54亿,75.68亿,5.028元,12.28,http://quote.eastmoney.com/sh600750.html,10.18%,1.100,12.08%,4.20亿,600750,江中药业,11.61%,75.68亿,2.33,27.38%,12.92亿,1996-09-23
6.58%,25.73亿,4.630,4362万,107.3亿,0.062元,207.89,http://quote.eastmoney.com/sh600751.html,-64.01%,0.015,85.19%,28.99亿,600751,海航科技,0.33%,120.9亿,0.90,0.04%,2326亿,1996-09-09
1.29%,1.28亿,1.426,584.9万,22.28亿,-0.797元,79.85,http://quote.eastmoney.com/sh600753.html,-18.09%,0.164,34.08%,1.28亿,600753,东方银星,2.47%,22.28亿,12.21,0.37%,15.84亿,1996-09-27
89.70%,6.49亿,13.21,8.72亿,157.9亿,2.611元,20.06,http://quote.eastmoney.com/sh600754.html,22.51%,0.910,65.55%,9.58亿,600754,锦江股份,6.97%,233.3亿,1.84,9.02%,109.6亿,1996-10-11
3.73%,18.16亿,6.784,17.73亿,156.0亿,3.826元,6.60,http://quote.eastmoney.com/sh600755.html,10.39%,0.976,69.48%,18.16亿,600755,厦门国贸,10.46%,156.0亿,1.27,1.41%,1451亿,1996-10-03
52.03%,3.24亿,6.840,1.00亿,92.69亿,2.330元,69.36,http://quote.eastmoney.com/sh600756.html,238.27%,0.309,23.07%,3.24亿,600756,浪潮软件,4.58%,92.69亿,4.18,15.79%,6.34亿,1996-09-23
17.24%,12.13亿,5.427,6.34亿,87.86亿,2.721元,10.39,http://quote.eastmoney.com/sh600757.html,21.41%,0.523,38.90%,12.14亿,600757,长江传媒,10.00%,87.87亿,1.33,8.34%,76.84亿,1996-10-03
15.86%,7.86亿,4.045,370.3万,32.76亿,0.335元,1116.58,http://quote.eastmoney.com/sh600758.html,-99.22%,0.003,64.94%,13.22亿,600758,红阳能源,0.07%,55.13亿,1.03,0.07%,53.37亿,1996-10-29
64.19%,22.58亿,2.330,1.18亿,73.17亿,0.247元,46.48,http://quote.eastmoney.com/sh600759.html,392.30%,0.052,64.62%,22.64亿,600759,洲际油气,2.28%,73.34亿,1.39,9.90%,26.37亿,1996-10-08
7.76%,3.99亿,5.354,3.13亿,129.7亿,-0.036元,109.30,http://quote.eastmoney.com/sh600760.html,172.80%,0.223,70.51%,14.00亿,600760,中航沈飞,4.29%,455.7亿,6.08,2.72%,115.9亿,1996-10-11
19.22%,7.40亿,6.225,4.45亿,77.20亿,3.706元,13.02,http://quote.eastmoney.com/sh600761.html,29.04%,0.601,34.13%,7.40亿,600761,安徽合力,9.60%,77.20亿,1.68,7.09%,73.79亿,1996-10-09
44.76%,3.21亿,3.925,2.75亿,188.0亿,2.882元,51.19,http://quote.eastmoney.com/sh600763.html,51.33%,0.859,32.60%,3.21亿,600763,通策医疗,24.37%,188.0亿,14.94,25.85%,11.63亿,1996-10-30
45.60%,3.29亿,2.649,2516万,98.50亿,0.488元,352.66,http://quote.eastmoney.com/sh600764.html,-56.85%,0.064,27.63%,3.95亿,600764,中国海防,2.28%,118.3亿,11.31,14.58%,1.73亿,1996-11-04
89.51%,2.24亿,0.247,64.07万,23.15亿,-1.776元,2713.97,http://quote.eastmoney.com/sh600766.html,-76.12%,0.003,66.16%,2.24亿,600766,园城黄金,1.15%,23.19亿,41.89,9.07%,706.5万,1996-10-28
28.25%,3.41亿,0.726,-1836万,18.20亿,-0.397元,-,http://quote.eastmoney.com/sh600767.html,-536.39%,-0.054,34.43%,3.41亿,600767,ST运盛,-7.13%,18.21亿,7.35,-24.67%,9362万,1996-11-15
3.22%,1.34亿,0.956,-719.5万,15.01亿,-0.176元,-,http://quote.eastmoney.com/sh600768.html,-108.15%,-0.054,76.59%,1.34亿,600768,宁波富邦,-5.47%,15.01亿,11.74,-1.30%,5.55亿,1996-11-11
9.60%,3.75亿,0.135,351.8万,18.19亿,-1.953元,387.70,http://quote.eastmoney.com/sh600769.html,-22.48%,0.009,61.99%,3.75亿,600769,祥龙电业,7.22%,18.19亿,36.04,12.31%,2859万,1996-11-01
23.15%,13.00亿,2.737,8513万,94.77亿,0.005元,83.49,http://quote.eastmoney.com/sh600770.html,138.49%,0.066,21.29%,13.00亿,600770,综艺股份,2.41%,94.77亿,2.66,20.52%,3.70亿,1996-11-20
82.20%,3.02亿,6.024,2.26亿,90.09亿,-0.031元,34.90,http://quote.eastmoney.com/sh600771.html,118.14%,0.640,18.77%,3.53亿,600771,广誉远,11.15%,105.2亿,4.95,23.17%,10.22亿,1996-11-05
39.52%,7.46亿,3.995,7046万,55.73亿,0.984元,65.18,http://quote.eastmoney.com/sh600773.html,31.08%,0.086,70.95%,8.20亿,600773,西藏城投,2.17%,61.23亿,1.87,8.31%,8.08亿,1996-11-08
33.05%,2.27亿,2.597,1103万,32.20亿,0.678元,219.20,http://quote.eastmoney.com/sh600774.html,43.04%,0.049,59.26%,2.27亿,600774,汉商集团,1.88%,32.23亿,5.47,1.35%,7.75亿,1996-11-08
14.95%,6.72亿,3.700,8123万,79.01亿,0.819元,99.23,http://quote.eastmoney.com/sh600775.html,58.68%,0.089,42.07%,9.14亿,600775,南京熊猫,2.39%,107.5亿,3.18,3.95%,30.90亿,1996-11-18
16.51%,9.56亿,2.407,7670万,313.6亿,0.601元,402.83,http://quote.eastmoney.com/sh600776.html,11.14%,0.061,15.46%,12.56亿,600776,东方通信,2.53%,412.0亿,13.63,4.94%,15.62亿,1996-11-26
56.80%,32.68亿,2.188,6.51亿,92.49亿,0.124元,22.18,http://quote.eastmoney.com/sh600777.html,454.96%,0.096,39.80%,68.00亿,600777,新潮能源,4.69%,192.5亿,1.29,18.28%,35.60亿,1996-11-21
24.32%,3.11亿,2.547,8060万,16.89亿,-0.091元,15.74,http://quote.eastmoney.com/sh600778.html,130.67%,0.259,83.86%,3.11亿,600778,*ST友好,10.70%,16.91亿,2.13,2.12%,41.82亿,1996-12-03
81.57%,4.89亿,3.562,4.63亿,200.6亿,0.955元,32.52,http://quote.eastmoney.com/sh600779.html,90.15%,0.947,41.28%,4.89亿,600779,水井坊,27.05%,200.6亿,11.53,21.64%,21.39亿,1996-12-06
14.35%,11.47亿,4.403,1.64亿,45.40亿,2.077元,20.80,http://quote.eastmoney.com/sh600780.html,871.69%,0.143,57.91%,11.47亿,600780,通宝能源,3.32%,45.40亿,0.90,3.77%,42.64亿,1996-12-05
45.72%,3.74亿,8.360,7.31亿,53.00亿,4.199元,9.11,http://quote.eastmoney.com/sh600781.html,154.02%,1.166,50.25%,6.27亿,600781,辅仁药业,14.87%,88.81亿,1.69,15.39%,47.68亿,1996-12-18
14.97%,31.89亿,5.338,39.48亿,190.7亿,2.401元,3.62,http://quote.eastmoney.com/sh600782.html,187.10%,1.238,53.06%,31.89亿,600782,新钢股份,26.00%,190.7亿,1.12,9.69%,407.9亿,1996-12-25
26.24%,7.44亿,5.008,2.17亿,172.3亿,2.281元,59.59,http://quote.eastmoney.com/sh600783.html,-11.84%,0.291,37.06%,7.44亿,600783,鲁信创投,5.99%,172.3亿,4.62,144.68%,1.52亿,1996-12-25
11.25%,5.68亿,2.648,6503万,35.57亿,0.435元,41.02,http://quote.eastmoney.com/sh600784.html,980.25%,0.115,59.93%,5.68亿,600784,鲁银投资,4.43%,35.57亿,2.36,4.59%,14.07亿,1996-12-25
3.36%,22.00亿,4.834,7364万,136.2亿,1.419元,138.67,http://quote.eastmoney.com/sh600787.html,-93.96%,0.034,47.83%,22.00亿,600787,中储股份,0.70%,136.2亿,1.28,0.25%,274.1亿,1997-01-21
31.05%,5.82亿,4.332,1.44亿,54.55亿,0.375元,33.07,http://quote.eastmoney.com/sh600789.html,230.56%,0.213,51.96%,6.77亿,600789,鲁抗医药,5.52%,63.51亿,2.17,6.61%,23.74亿,1997-02-26
62.39%,14.66亿,3.489,3.06亿,60.54亿,1.060元,14.82,http://quote.eastmoney.com/sh600790.html,-4.18%,0.209,46.85%,14.66亿,600790,轻纺城,6.11%,60.54亿,1.18,43.55%,7.31亿,1997-02-28
18.71%,4.52亿,3.721,1.11亿,22.43亿,2.189元,15.22,http://quote.eastmoney.com/sh600791.html,78.77%,0.245,59.36%,4.53亿,600791,京能置业,6.71%,22.46亿,1.33,21.82%,5.32亿,1997-01-30
10.22%,9.90亿,3.033,8468万,37.42亿,-0.403元,33.14,http://quote.eastmoney.com/sh600792.html,185.76%,0.086,42.54%,9.90亿,600792,云煤能源,2.84%,37.42亿,1.25,2.24%,38.28亿,1997-01-23
16.47%,1.05亿,3.380,2.10亿,17.34亿,1.344元,6.19,http://quote.eastmoney.com/sh600793.html,108.82%,1.996,90.07%,1.05亿,600793,宜宾纸业,83.80%,17.34亿,4.87,20.21%,10.40亿,1997-02-20
12.57%,11.92亿,1.489,2915万,39.68亿,0.200元,103.86,http://quote.eastmoney.com/sh600794.html,136.85%,0.024,35.68%,12.12亿,600794,保税科技,1.62%,40.36亿,2.24,3.39%,10.80亿,1997-03-06
20.59%,196.5亿,2.538,26.32亿,546.3亿,0.998元,15.56,http://quote.eastmoney.com/sh600795.html,8.28%,0.134,73.65%,196.5亿,600795,国电电力,5.07%,546.3亿,1.10,7.39%,480.6亿,1997-03-18
16.76%,3.01亿,2.004,-1872万,18.05亿,0.604元,-,http://quote.eastmoney.com/sh600796.html,-145.75%,-0.062,35.18%,3.01亿,600796,钱江生化,-3.06%,18.05亿,2.99,-4.38%,3.33亿,1997-04-08
29.66%,10.15亿,4.228,1.58亿,111.9亿,1.100元,55.05,http://quote.eastmoney.com/sh600797.html,-23.65%,0.150,28.98%,10.55亿,600797,浙大网新,3.50%,116.3亿,2.61,7.33%,23.83亿,1997-04-18
23.96%,10.31亿,3.066,1.17亿,41.54亿,0.385元,31.11,http://quote.eastmoney.com/sh600798.html,15.58%,0.097,44.28%,12.07亿,600798,宁波海运,4.15%,48.62亿,1.31,10.62%,14.71亿,1997-04-23
38.30%,9.73亿,11.13,34.11亿,186.8亿,6.773元,4.16,http://quote.eastmoney.com/sh600801.html,224.98%,3.460,49.16%,14.98亿,600801,华新水泥,25.41%,287.5亿,1.72,19.82%,190.4亿,1994-01-03
33.56%,3.82亿,2.347,3.22亿,32.15亿,-0.237元,7.49,http://quote.eastmoney.com/sh600802.html,501.20%,0.843,64.11%,3.82亿,600802,福建水泥,42.45%,32.15亿,3.59,19.29%,19.96亿,1994-01-03
51.87%,14.32亿,4.900,3.42亿,173.3亿,2.116元,38.05,http://quote.eastmoney.com/sh600804.html,-43.62%,0.239,69.02%,14.32亿,600804,鹏博士,4.82%,173.3亿,2.47,6.51%,52.32亿,1994-01-03
15.99%,8.50亿,7.309,1.49亿,50.93亿,4.994元,25.71,http://quote.eastmoney.com/sh600805.html,153.63%,0.175,32.90%,8.51亿,600805,悦达投资,2.41%,50.97亿,0.82,8.46%,14.78亿,1994-01-03
4.28%,7.87亿,0.808,-10.00亿,36.99亿,-1.291元,-,http://quote.eastmoney.com/sh600807.html,-1161.96%,-1.130,91.49%,8.85亿,600807,*ST天业,-79.85%,41.58亿,5.82,-105.51%,9.50亿,1994-01-03
15.30%,59.68亿,3.613,55.83亿,236.3亿,0.935元,4.10,http://quote.eastmoney.com/sh600808.html,103.79%,0.725,57.02%,77.01亿,600808,马钢股份,21.03%,304.9亿,1.10,10.12%,631.2亿,1994-01-06
69.44%,8.66亿,6.916,12.64亿,467.6亿,5.021元,27.75,http://quote.eastmoney.com/sh600809.html,56.89%,1.460,40.21%,8.66亿,600809,山西汾酒,22.11%,467.6亿,7.81,19.59%,69.15亿,1994-01-06
14.26%,4.42亿,6.996,5.65亿,58.47亿,1.410元,7.77,http://quote.eastmoney.com/sh600810.html,708.49%,1.277,64.48%,4.42亿,600810,神马股份,20.08%,58.47亿,1.89,9.78%,86.41亿,1994-01-06
4.87%,32.73亿,5.542,7.74亿,138.8亿,1.557元,15.27,http://quote.eastmoney.com/sh600811.html,57.86%,0.208,58.30%,37.15亿,600811,东方集团,3.80%,157.5亿,0.77,9.41%,77.15亿,1994-01-06
38.51%,16.31亿,3.293,7693万,77.30亿,0.020元,75.36,http://quote.eastmoney.com/sh600812.html,254.32%,0.047,69.73%,16.31亿,600812,华北制药,1.44%,77.30亿,1.44,1.03%,70.80亿,1994-01-14
12.72%,9.59亿,0.458,-1.06亿,33.56亿,-2.970元,-,http://quote.eastmoney.com/sh600815.html,-197.42%,-0.111,89.29%,9.59亿,600815,厦工股份,-21.53%,33.56亿,7.64,-2.67%,22.67亿,1994-01-28
0.00%,46.73亿,2.536,2409万,360.7亿,0.656元,1314.65,http://quote.eastmoney.com/sh600816.html,-99.15%,0.004,39.49%,54.69亿,600816,安信信托,0.16%,422.2亿,3.04,1.88%,12.80亿,1994-01-28
44.66%,1.56亿,0.596,-74.84万,12.55亿,-1.775元,-,http://quote.eastmoney.com/sh600817.html,31.87%,-0.005,23.97%,1.61亿,600817,ST宏盛,-0.78%,12.97亿,13.53,0.70%,1550万,1994-01-28
13.09%,2.38亿,1.996,1390万,31.46亿,0.562元,229.32,http://quote.eastmoney.com/sh600818.html,-57.59%,0.043,38.40%,3.21亿,600818,中路股份,2.12%,42.50亿,6.62,1.66%,4.05亿,1994-01-28
17.70%,7.47亿,3.292,8992万,39.69亿,0.576元,41.41,http://quote.eastmoney.com/sh600819.html,215.83%,0.096,47.75%,9.35亿,600819,耀皮玻璃,2.95%,49.64亿,1.61,4.11%,28.07亿,1994-01-28
12.83%,31.44亿,6.334,12.80亿,235.5亿,2.718元,13.80,http://quote.eastmoney.com/sh600820.html,10.37%,0.407,71.24%,31.44亿,600820,隧道股份,6.56%,235.5亿,1.18,5.51%,234.6亿,1994-01-28
21.16%,4.16亿,0.974,-1.08亿,21.02亿,-0.689元,-,http://quote.eastmoney.com/sh600821.html,16.27%,-0.260,70.04%,4.16亿,600821,津劝业,-23.52%,21.02亿,5.18,-88.85%,1.22亿,1994-01-28
5.34%,3.96亿,1.208,4078万,44.09亿,-3.522元,101.53,http://quote.eastmoney.com/sh600822.html,76.35%,0.082,66.03%,4.96亿,600822,上海物贸,7.04%,55.20亿,9.22,0.94%,50.29亿,1994-02-04
36.96%,37.51亿,6.169,14.76亿,170.7亿,3.771元,8.67,http://quote.eastmoney.com/sh600823.html,5.76%,0.394,56.03%,37.51亿,600823,世茂股份,6.57%,170.7亿,0.74,17.48%,143.8亿,1994-02-04
42.23%,10.54亿,2.107,1.21亿,43.74亿,0.761元,27.01,http://quote.eastmoney.com/sh600824.html,-15.95%,0.115,21.87%,10.54亿,600824,益民集团,5.56%,43.74亿,1.97,10.75%,11.64亿,1994-02-04
36.34%,10.45亿,2.516,2674万,78.26亿,0.808元,219.47,http://quote.eastmoney.com/sh600825.html,-21.48%,0.026,34.26%,10.45亿,600825,新华传媒,1.02%,78.26亿,2.98,3.00%,8.44亿,1994-02-04
21.44%,15.43亿,9.082,7.00亿,161.8亿,4.482元,20.04,http://quote.eastmoney.com/sh600827.html,3.04%,0.393,55.57%,17.84亿,600827,百联股份,4.25%,187.2亿,1.16,2.29%,357.7亿,1994-02-04
29.75%,6.49亿,2.941,7.41亿,35.57亿,0.683元,9.61,http://quote.eastmoney.com/sh600828.html,28.22%,0.428,65.58%,17.32亿,600828,茂业商业,13.40%,94.91亿,1.86,9.34%,85.72亿,1994-02-24
16.85%,4.54亿,4.566,2965万,29.03亿,2.284元,70.80,http://quote.eastmoney.com/sh600830.html,-43.84%,0.068,25.07%,4.54亿,600830,香溢融通,1.40%,29.03亿,1.40,4.67%,6.14亿,1994-02-24
30.12%,6.25亿,4.787,1.19亿,55.66亿,1.759元,37.53,http://quote.eastmoney.com/sh600831.html,-3.86%,0.178,59.79%,6.67亿,600831,广电网络,3.91%,59.35亿,1.86,4.98%,21.89亿,1994-02-24
19.72%,2.23亿,2.934,2921万,23.33亿,0.862元,59.92,http://quote.eastmoney.com/sh600833.html,-20.91%,0.131,39.79%,2.23亿,600833,第一医药,4.29%,23.33亿,3.57,3.40%,8.59亿,1994-02-24
5.88%,4.77亿,3.084,2520万,37.24亿,1.480元,110.84,http://quote.eastmoney.com/sh600834.html,-60.83%,0.053,46.53%,4.77亿,600834,申通地铁,1.71%,37.24亿,2.53,4.52%,5.58亿,1994-02-24
19.74%,8.07亿,10.42,10.32亿,146.1亿,6.129元,13.46,http://quote.eastmoney.com/sh600835.html,-1.21%,1.010,61.06%,10.23亿,600835,上海机电,9.78%,185.3亿,1.74,10.91%,159.1亿,1994-02-24
18.70%,6.63亿,1.338,467.2万,38.77亿,0.169元,622.40,http://quote.eastmoney.com/sh600836.html,149.40%,0.007,71.31%,6.63亿,600836,界龙实业,0.52%,38.77亿,4.37,0.02%,10.27亿,1994-02-24
0.00%,80.92亿,10.25,35.88亿,1163亿,2.734元,23.78,http://quote.eastmoney.com/sh600837.html,-41.62%,0.453,76.60%,115.0亿,600837,海通证券,3.04%,1653亿,1.40,25.30%,161.8亿,1994-02-24
60.77%,4.01亿,2.997,7162万,29.95亿,0.990元,31.36,http://quote.eastmoney.com/sh600838.html,-1.27%,0.179,8.01%,4.01亿,600838,上海九百,5.77%,29.95亿,2.49,141.47%,5062万,1994-02-24
12.23%,46.14亿,2.806,2.05亿,186.0亿,1.012元,68.03,http://quote.eastmoney.com/sh600839.html,43.92%,0.044,70.34%,46.16亿,600839,四川长虹,1.60%,186.0亿,1.44,0.82%,578.4亿,1994-03-11
14.43%,5.22亿,4.274,1.15亿,44.52亿,1.348元,48.24,http://quote.eastmoney.com/sh600841.html,19.60%,0.133,48.45%,8.67亿,600841,上柴股份,3.13%,73.93亿,2.00,3.46%,32.64亿,1994-03-11
28.54%,3.05亿,4.052,1.35亿,26.35亿,1.508元,26.36,http://quote.eastmoney.com/sh600843.html,-28.75%,0.246,38.92%,5.49亿,600843,上工申贝,6.10%,47.45亿,2.13,6.33%,22.93亿,1994-03-11
20.22%,8.23亿,2.091,291.0万,33.32亿,-0.698元,1061.12,http://quote.eastmoney.com/sh600844.html,-96.05%,0.003,21.20%,10.17亿,600844,丹化科技,0.14%,41.17亿,1.94,0.76%,10.11亿,1994-03-11
29.38%,6.41亿,7.359,5.18亿,221.2亿,2.789元,43.81,http://quote.eastmoney.com/sh600845.html,60.18%,0.591,31.45%,8.77亿,600845,宝信软件,9.54%,302.8亿,4.69,14.37%,38.36亿,1994-03-11
18.18%,6.25亿,3.414,1.47亿,55.54亿,1.861元,28.35,http://quote.eastmoney.com/sh600846.html,45.68%,0.235,76.46%,6.25亿,600846,同济科技,6.95%,55.54亿,2.60,9.66%,19.92亿,1994-03-11
