毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间
16.43%,11.42亿,20.32,15.27亿,598.0亿,7.315元,38.40,http://quote.eastmoney.com/sz002594.html,-45.30%,1.023,68.85%,27.28亿,002594,比亚迪,2.65%,1429亿,2.58,2.41%,889.8亿,2011-06-30
34.18%,5.28亿,5.453,5.77亿,104.0亿,3.138元,15.58,http://quote.eastmoney.com/sz002595.html,7.10%,0.948,18.09%,8.00亿,002595,豪迈科技,14.23%,157.6亿,3.61,21.73%,26.55亿,2011-06-28
23.93%,8.62亿,3.083,1.11亿,90.04亿,0.627元,73.96,http://quote.eastmoney.com/sz002596.html,5.36%,0.106,49.83%,11.54亿,002596,海南瑞泽,3.55%,120.5亿,3.39,5.11%,21.93亿,2011-07-07
33.29%,5.54亿,7.039,7.54亿,96.13亿,4.160元,7.90,http://quote.eastmoney.com/sz002597.html,7.77%,1.646,34.33%,5.59亿,002597,金禾实业,20.94%,96.95亿,2.46,22.54%,33.45亿,2011-07-07
33.24%,2.70亿,2.695,6260万,21.02亿,0.737元,21.51,http://quote.eastmoney.com/sz002598.html,21.89%,0.271,38.44%,3.12亿,002598,山东章鼓,7.95%,24.27亿,2.89,9.03%,6.86亿,2011-07-07
18.11%,2.02亿,4.837,7229万,25.02亿,1.062元,23.96,http://quote.eastmoney.com/sz002599.html,41.19%,0.387,38.00%,3.25亿,002599,盛通股份,4.61%,40.15亿,2.56,5.35%,13.68亿,2011-07-15
18.19%,14.88亿,1.443,-3.52亿,98.35亿,0.253元,-,http://quote.eastmoney.com/sz002600.html,-133.91%,-0.106,54.47%,68.25亿,002600,领益智造,-3.59%,451.1亿,4.58,-2.33%,160.9亿,2011-07-15
43.26%,7.06亿,6.115,19.70亿,113.0亿,0.454元,10.67,http://quote.eastmoney.com/sz002601.html,2.59%,1.126,36.99%,20.32亿,002601,龙蟒佰利,14.39%,325.5亿,2.62,25.03%,80.25亿,2011-07-15
38.13%,16.40亿,5.978,8.80亿,320.3亿,1.196元,34.01,http://quote.eastmoney.com/sz002602.html,23.10%,0.431,11.12%,23.35亿,002602,世纪华通,6.87%,456.0亿,3.27,14.14%,62.28亿,2011-07-28
66.35%,9.89亿,6.267,5.62亿,123.1亿,2.563元,18.83,http://quote.eastmoney.com/sz002603.html,25.01%,0.496,10.39%,12.06亿,002603,以岭药业,7.38%,150.1亿,1.99,14.60%,38.26亿,2011-07-28
