毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间,净利润_2007-12-31,净利润_2008-12-31,净利润_2009-09-30,净利润_2009-12-31,净利润_2010-06-30,净利润_2010-09-30,净利润_2010-12-31,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-09-30,净利润_2013-12-31,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2007-12-31,净利润同比增长_2008-12-31,净利润同比增长_2009-09-30,净利润同比增长_2009-12-31,净利润同比增长_2010-06-30,净利润同比增长_2010-09-30,净利润同比增长_2010-12-31,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-09-30,净利润同比增长_2013-12-31,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2007-12-31,营收_2008-12-31,营收_2009-09-30,营收_2009-12-31,营收_2010-06-30,营收_2010-09-30,营收_2010-12-31,营收_2011-12-31,营收_2012-12-31,营收_2013-09-30,营收_2013-12-31,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2007-12-31,营收增长同比_2008-12-31,营收增长同比_2009-09-30,营收增长同比_2009-12-31,营收增长同比_2010-06-30,营收增长同比_2010-09-30,营收增长同比_2010-12-31,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-09-30,营收增长同比_2013-12-31,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
26.48%,2.02亿,3.674,226.5万,22.27亿,1.538元,737.48,http://quote.eastmoney.com/sz000014.html,-49.07%,0.011000000000000001,56.20%,2.02亿,sz000014,沙河股份,0.31%,22.27亿,3.00,2.22%,1.86亿,1992-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.71%,15.97亿,3.3289999999999997,4.30亿,74.72亿,1.786元,19.66,http://quote.eastmoney.com/sz000016.html,233.60%,0.179,69.99%,24.08亿,sz000016,深康佳A,5.24%,112.7亿,1.41,1.95%,297.6亿,1992-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.16%,3.03亿,0.031,108.5万,16.18亿,-2.167元,2035.77,http://quote.eastmoney.com/sz000017.html,179.55%,0.002,71.35%,5.51亿,sz000017,深中华A,6.60%,29.44亿,173.36,1.22%,1.01亿,1992-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.77%,9.96亿,1.228,2548万,29.77亿,0.863元,149.45,http://quote.eastmoney.com/sz000018.html,-93.79%,0.015,79.99%,16.98亿,sz000018,神州长城,1.20%,50.78亿,2.43,1.03%,22.59亿,1992-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06%,4.16亿,5.894,-2997万,33.98亿,0.006元,-,http://quote.eastmoney.com/sz000019.html,-13.59%,-0.026000000000000002,7.68%,11.53亿,sz000019,深粮控股,-3.22%,94.16亿,1.39,-14.55%,2.17亿,1992-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.09%,1.81亿,1.1340000000000001,49.75万,22.70亿,-0.657元,5348.81,http://quote.eastmoney.com/sz000020.html,42.80%,0.002,47.35%,2.83亿,sz000020,深华发A,0.16%,35.48亿,11.05,0.10%,4.90亿,1992-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.98%,14.69亿,4.2010000000000005,4.41亿,124.6亿,1.770元,21.23,http://quote.eastmoney.com/sz000021.html,-6.01%,0.3,55.91%,14.71亿,sz000021,深科技,7.25%,124.8亿,2.02,3.63%,126.1亿,1994-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.56%,1.39亿,2.997,1063万,22.60亿,0.889元,159.41,http://quote.eastmoney.com/sz000023.html,-68.58%,0.077,77.43%,1.39亿,sz000023,深天地A,2.56%,22.60亿,5.43,0.82%,9.95亿,1993-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.55%,2.71亿,3.361,3584万,94.05亿,0.450元,215.99,http://quote.eastmoney.com/sz000025.html,-11.73%,0.121,32.00%,2.97亿,sz000025,特力A,3.65%,103.2亿,10.33,12.23%,2.91亿,1993-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.21%,3.57亿,5.801,1.63亿,31.64亿,1.911元,18.12,http://quote.eastmoney.com/sz000026.html,19.12%,0.36700000000000005,29.48%,4.43亿,sz000026,飞亚达A,6.55%,39.29亿,1.53,6.34%,25.65亿,1993-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.13%,39.64亿,6.097,6.04亿,250.6亿,2.135元,25.72,http://quote.eastmoney.com/sz000027.html,-24.86%,0.184,69.86%,39.64亿,sz000027,深圳能源,2.79%,250.6亿,1.04,5.45%,123.8亿,1993-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.49%,3.08亿,25.73,9.27亿,157.6亿,14.882元,17.74,http://quote.eastmoney.com/sz000028.html,15.42%,2.165,52.02%,4.28亿,sz000028,国药一致,9.21%,219.2亿,1.99,3.18%,317.7亿,1993-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.83%,8.92亿,3.1630000000000003,3.74亿,99.60亿,1.104元,22.66,http://quote.eastmoney.com/sz000029.html,150.03%,0.37,30.97%,10.12亿,sz000029,深深房A,12.41%,113.0亿,3.53,23.37%,16.00亿,1993-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.23%,17.51亿,3.404,6.61亿,87.00亿,1.817元,10.21,http://quote.eastmoney.com/sz000030.html,2.57%,0.365,38.42%,18.11亿,sz000030,富奥股份,11.23%,89.98亿,1.46,11.57%,56.88亿,1993-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.05%,9.56亿,5.558,9.08亿,56.90亿,1.122元,19.29,http://quote.eastmoney.com/sz000031.html,72.67%,0.231,85.74%,39.26亿,sz000031,中粮地产,12.96%,233.6亿,1.07,17.14%,78.71亿,1993-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.51%,4.11亿,3.2230000000000003,8350万,40.26亿,1.506元,36.34,http://quote.eastmoney.com/sz000032.html,43.61%,0.20199999999999999,30.72%,4.13亿,sz000032,深桑达A,5.33%,40.45亿,3.04,7.59%,11.67亿,1993-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.45%,4.05亿,5.621,3.44亿,61.44亿,0.867元,21.61,http://quote.eastmoney.com/sz000034.html,10.13%,0.527,85.13%,6.54亿,sz000034,神州数码,9.81%,99.22亿,2.70,0.65%,533.5亿,1994-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.12%,12.81亿,3.9330000000000003,1.67亿,69.05亿,0.436元,59.16,http://quote.eastmoney.com/sz000035.html,18.76%,0.068,61.66%,24.39亿,sz000035,中国天楹,5.31%,131.4亿,1.37,12.54%,13.67亿,1994-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.70%,11.36亿,4.022,7.38亿,72.95亿,2.504元,7.45,http://quote.eastmoney.com/sz000036.html,-31.71%,0.647,53.45%,11.41亿,sz000036,华联控股,15.45%,73.28亿,1.60,29.14%,27.11亿,1994-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.18%,3.39亿,3.281,3718万,33.65亿,1.157元,233.15,http://quote.eastmoney.com/sz000037.html,1825.67%,0.032,35.91%,6.03亿,sz000037,深南电A,1.88%,59.85亿,3.03,2.06%,16.20亿,1994-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.41%,1.80亿,10.33,2.20亿,26.18亿,1.012元,25.94,http://quote.eastmoney.com/sz000038.html,-17.42%,0.42100000000000004,7.92%,5.23亿,sz000038,深大通,4.07%,76.12亿,1.41,10.46%,20.98亿,1994-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.91%,12.68亿,10.83,23.17亿,169.2亿,7.050元,12.90,http://quote.eastmoney.com/sz000039.html,76.96%,0.7759999999999999,70.30%,29.85亿,sz000039,中集集团,7.17%,398.5亿,1.23,4.26%,669.1亿,1994-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.77%,10.60亿,9.943999999999999,14.05亿,97.23亿,1.634元,7.28,http://quote.eastmoney.com/sz000040.html,334.40%,0.945,55.96%,14.87亿,sz000040,东旭蓝天,11.55%,136.3亿,0.92,26.67%,52.94亿,1994-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.89%,6.62亿,10.64,7.58亿,84.81亿,5.086元,8.43,http://quote.eastmoney.com/sz000042.html,209.73%,1.14,83.21%,6.65亿,sz000042,中洲控股,11.24%,85.16亿,1.20,10.62%,70.80亿,1994-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.26%,6.67亿,7.415,8.31亿,59.88亿,5.126元,5.41,http://quote.eastmoney.com/sz000043.html,1257.88%,1.246,71.05%,6.67亿,sz000043,中航善达,18.15%,59.89亿,1.21,20.25%,40.09亿,1994-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.17%,4.57亿,4.72,1227万,35.14亿,-0.039元,240.35,http://quote.eastmoney.com/sz000045.html,-63.59%,0.024,21.76%,5.11亿,sz000045,深纺织A,0.51%,39.32亿,1.63,0.06%,10.72亿,1994-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.19%,51.75亿,4.074,18.17亿,364.9亿,1.634元,15.12,http://quote.eastmoney.com/sz000046.html,48.70%,0.35,85.87%,51.96亿,sz000046,泛海控股,8.71%,366.3亿,1.73,76.03%,24.92亿,1994-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.18%,3.85亿,2.8139999999999996,8930万,77.08亿,1.542元,65.64,http://quote.eastmoney.com/sz000048.html,290.91%,0.22899999999999998,74.05%,3.91亿,sz000048,*ST康达,8.47%,78.15亿,7.11,6.21%,16.40亿,1994-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.16%,2.05亿,7.925,2.75亿,70.48亿,6.582元,19.26,http://quote.eastmoney.com/sz000049.html,47.38%,1.338,77.80%,2.05亿,sz000049,德赛电池,18.14%,70.48亿,4.33,3.02%,116.9亿,1995-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.46%,18.20亿,12.84,12.75亿,324.8亿,1.953元,21.50,http://quote.eastmoney.com/sz000050.html,-11.14%,0.623,56.53%,20.48亿,sz000050,深天马A,4.98%,365.6亿,1.39,5.87%,217.4亿,1995-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.81%,9.04亿,4.593999999999999,1.52亿,51.24亿,1.975元,32.91,http://quote.eastmoney.com/sz000056.html,-6.08%,0.129,55.42%,11.75亿,sz000056,皇庭国际,2.81%,66.64亿,1.23,26.91%,6.85亿,1996-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.16%,5.38亿,1.601,1.38亿,41.64亿,0.362元,51.95,http://quote.eastmoney.com/sz000058.html,99.54%,0.11199999999999999,58.08%,12.36亿,sz000058,深赛格,7.09%,95.64亿,4.83,13.79%,14.45亿,1996-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.40%,15.99亿,8.238999999999999,10.59亿,112.0亿,3.035元,7.93,http://quote.eastmoney.com/sz000059.html,-13.88%,0.662,54.05%,15.99亿,sz000059,华锦股份,9.46%,112.0亿,0.85,4.35%,253.7亿,1997-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.47%,35.68亿,2.8739999999999997,7.70亿,183.4亿,1.272元,17.88,http://quote.eastmoney.com/sz000060.html,-10.80%,0.21600000000000003,45.71%,35.70亿,sz000060,中金岭南,7.60%,183.5亿,1.79,4.64%,169.7亿,1997-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.42%,16.95亿,2.8139999999999996,4723万,101.0亿,0.104元,160.59,http://quote.eastmoney.com/sz000061.html,1655.20%,0.027999999999999997,66.21%,16.97亿,sz000061,农产品,0.99%,101.1亿,2.12,5.76%,16.99亿,1997-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.30%,7.06亿,6.285,5.19亿,152.2亿,3.479元,22.47,http://quote.eastmoney.com/sz000062.html,61.77%,0.72,52.40%,7.21亿,sz000062,深圳华强,11.86%,155.5亿,3.43,6.99%,82.19亿,1997-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.30%,34.34亿,5.419,-72.60亿,1044亿,1.643元,-,http://quote.eastmoney.com/sz000063.html,-285.93%,-1.732,72.33%,41.93亿,sz000063,中兴通讯,-27.22%,1275亿,5.61,-12.44%,587.7亿,1997-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
