序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价
22,HK1251,华油能源,0.58,7.41,0.04,0.51,941.00万,120.94,0.540,0.560,0.600,0.550
23,HK0393,旭日企业,0.87,7.41,0.06,0.25,382.50万,15.08,0.810,0.810,0.930,0.810
24,HK1039,鑫网易商,0.77,6.94,0.05,0.05,95.50万,--,0.720,0.700,0.780,0.700
25,HK0619,南华金融,0.03,6.90,0.00,0.07,1095.00万,8.86,0.029,0.028,0.031,0.028
26,HK0015,盈信控股,0.78,6.85,0.05,0.04,72.40万,3.26,0.730,0.720,0.800,0.690
27,HK1639,安捷利实业,1.28,6.67,0.08,0.05,70.00万,19.34,1.200,1.210,1.280,1.200
28,HK2623,爱德新能源,0.10,6.52,0.01,0.19,915.20万,--,0.092,0.092,0.101,0.090
29,HK0550,KK文化,1.49,6.43,0.09,0.23,86.80万,--,1.400,1.490,1.490,1.490
30,HK1546,德莱建业,0.67,6.35,0.04,0.10,79.20万,8.76,0.630,0.630,0.670,0.630
31,HK0613,YugangInt'l,0.23,6.33,0.01,0.12,1105.80万,17.15,0.221,0.222,0.239,0.220
32,HK0205,财讯传媒,0.02,6.25,0.00,0.02,144.00万,--,0.016,0.017,0.017,0.016
33,HK0713,世界(集团),0.52,6.12,0.03,0.01,4.20万,--,0.490,0.490,0.520,0.490
34,HK0075,渝太地产,2.60,6.12,0.15,0.00,4000,38.23,2.450,2.600,2.600,2.600
35,HK1722,建鹏控股,0.43,6.10,0.03,0.01,14.00万,--,0.410,0.410,0.435,0.410
36,HK0852,海峡石油化工,0.53,6.00,0.03,0.00,6.00万,53.00,0.500,0.540,0.540,0.520
37,HK0295,江山控股,0.16,6.00,0.01,0.01,85.00万,16.58,0.150,0.162,0.169,0.159
38,HK2863,高丰集团控股,0.71,5.97,0.04,0.00,3000,11.83,0.670,0.720,0.720,0.720
39,HK3330,灵宝黄金,1.96,5.95,0.11,0.07,20.00万,15.72,1.850,1.940,1.960,1.940
40,HK2699,新明中国,1.07,5.94,0.06,0.04,76.40万,6.87,1.010,1.020,1.070,0.990
41,HK2877,神威药业,11.12,5.70,0.60,0.33,275.46万,16.86,10.520,10.500,11.380,10.480
42,HK0668,东银国际控股,0.57,5.56,0.03,0.01,9.80万,29.69,0.540,0.580,0.590,0.550
43,HK0048,中国汽车内饰,0.08,5.41,0.00,0.04,86.00万,--,0.074,0.077,0.078,0.070
44,HK0538,味千(中国),3.38,5.30,0.17,0.01,13.50万,--,3.210,3.210,3.420,3.210
45,HK1555,MI能源,0.26,5.26,0.01,0.12,340.20万,--,0.247,0.249,0.290,0.249
46,HK1301,德基科技控股,1.00,5.26,0.05,0.07,42.40万,24.46,0.950,0.960,1.000,0.950
47,HK6098,碧桂园服务,11.88,5.13,0.58,1.24,3098.09万,61.66,11.300,11.300,12.160,10.920
48,HK1396,毅德国际,0.41,5.13,0.02,0.01,33.40万,5.61,0.390,0.410,0.410,0.395
49,HK0180,开达集团,1.26,5.00,0.06,0.00,4.20万,3.72,1.200,1.280,1.290,1.170
50,HK1710,致丰工业电子,0.42,4.94,0.02,0.04,45.20万,4.72,0.405,0.410,0.425,0.410
51,HK1089,乐游科技控股,3.41,4.92,0.16,0.20,601.50万,145.47,3.250,3.180,3.450,3.180
52,HK1143,华夏健康产业,0.11,4.81,0.01,0.12,725.60万,--,0.104,0.106,0.115,0.106
53,HK0726,中民筑友智造科技,0.22,4.76,0.01,0.02,196.00万,17.32,0.210,0.210,0.220,0.210
54,HK2048,易居企业控股,12.54,4.67,0.56,0.26,381.44万,18.53,11.980,12.000,12.580,11.660
55,HK2023,中国绿岛科技,1.38,4.55,0.06,0.00,2.00万,23.02,1.320,1.380,1.380,1.380
56,HK1731,其利工业集团,0.94,4.44,0.04,0.66,741.20万,4.46,0.900,0.930,0.950,0.910
57,HK1689,华禧控股,2.12,4.43,0.09,0.10,64.60万,44.63,2.030,2.060,2.200,2.040
58,HK0426,万华媒体,1.18,4.42,0.05,0.04,14.40万,--,1.130,1.100,1.180,1.040
59,HK3789,御佳控股,0.35,4.41,0.01,0.06,77.20万,7.60,0.340,0.350,0.355,0.350
60,HK2303,恒兴黄金,7.12,4.40,0.30,0.03,25.00万,22.84,6.820,7.000,7.240,6.820
61,HK1188,正道集团,0.07,4.35,0.00,0.08,1635.00万,--,0.069,0.069,0.074,0.069
62,HK0893,中国铁钛,0.17,4.29,0.01,0.03,71.60万,--,0.163,0.163,0.170,0.160
63,HK1001,沪港联合,0.73,4.29,0.03,0.02,14.80万,--,0.700,0.710,0.730,0.710
64,HK2337,众诚能源,3.93,4.24,0.16,0.19,44.00万,82.99,3.770,3.840,3.930,3.840
65,HK3669,永达汽车,6.70,4.04,0.26,0.22,403.90万,6.14,6.440,6.440,6.840,6.320
66,HK3773,年年卡,0.78,4.00,0.03,0.21,85.60万,--,0.750,0.760,0.830,0.760
67,HK2328,中国财险,9.38,3.99,0.36,1.23,8454.85万,5.86,9.020,8.980,9.490,8.980
68,HK1626,旅业国际,1.05,3.96,0.04,0.00,--,87.58,1.010,0,0,0
69,HK0419,华谊腾讯娱乐,0.40,3.95,0.01,0.07,1012.00万,--,0.380,0.375,0.400,0.375
70,HK0395,中国智能集团,0.11,3.92,0.00,0.03,146.40万,26.79,0.102,0.103,0.106,0.100
71,HK0627,福晟国际,1.07,3.88,0.04,0.00,37.52万,--,1.030,1.030,1.130,1.030
72,HK1182,胜龙国际,0.27,3.85,0.01,0.01,9.75万,--,0.260,0.265,0.270,0.265
73,HK0403,星光集团,0.41,3.80,0.01,0.02,12.40万,--,0.395,0.380,0.410,0.380
74,HK1075,首都信息,0.41,3.75,0.01,0.00,2.40万,12.36,0.400,0.370,0.420,0.370
75,HK1321,中国新城市,1.11,3.74,0.04,0.01,15.60万,3.43,1.070,1.030,1.110,1.030
76,HK0647,JoyceBoutique,0.25,3.73,0.01,0.02,32.00万,--,0.241,0.244,0.250,0.240
77,HK2678,天虹纺织,12.82,3.72,0.46,0.13,119.65万,8.49,12.360,12.360,13.100,12.360
78,HK2277,华融投资股份,0.42,3.70,0.01,0.01,10.00万,2.69,0.405,0.410,0.410,0.400
79,HK0378,五龙动力,0.14,3.68,0.01,0.34,2274.00万,--,0.136,0.136,0.147,0.134
80,HK0442,海福德集团,2.55,3.66,0.09,0.02,3.00万,--,2.460,2.550,2.560,2.550
81,HK0366,陆氏集团(越南),2.55,3.66,0.09,0.01,4.40万,13.64,2.460,2.460,2.460,2.460
82,HK0040,金山工业,0.85,3.66,0.03,0.01,7.00万,32.69,0.820,0.840,0.850,0.840
83,HK1978,叙福楼集团,0.86,3.62,0.03,0.43,344.02万,--,0.830,0.840,0.900,0.840
84,HK1498,培力控股,2.59,3.60,0.09,0.03,7.00万,327.85,2.500,2.580,2.600,2.580
85,HK0859,中昌国际控股,0.87,3.57,0.03,1.42,1602.40万,45.79,0.840,0.850,0.980,0.830
86,HK0602,佳华百货控股,0.29,3.57,0.01,0.00,7500,7.56,0.280,0.285,0.290,0.285
87,HK0120,CosmopolInt'l,1.17,3.54,0.04,0.02,80.00万,557.14,1.130,1.130,1.180,1.110
88,HK3333,中国恒大,20.80,3.48,0.70,0.22,2876.14万,9.46,20.100,20.300,20.900,20.000
89,HK1610,中粮肉食,1.19,3.48,0.04,0.06,236.30万,8.58,1.150,1.170,1.190,1.160
90,HK3636,保利文化,11.36,3.46,0.38,0.02,1.94万,234.73,10.980,12.200,12.200,11.000
91,HK0196,宏华集团,0.60,3.45,0.02,0.02,89.30万,--,0.580,0.580,0.600,0.570
92,HK1305,伟志控股,0.90,3.45,0.03,0.07,15.10万,9.00,0.870,0.920,0.920,0.870
93,HK1246,保集健康,0.09,3.45,0.00,0.00,30.00万,--,0.087,0.083,0.090,0.083
94,HK0784,凌锐控股,0.46,3.37,0.01,0.58,468.00万,20.91,0.445,0.445,0.460,0.445
95,HK1165,顺风清洁能源,0.31,3.33,0.01,0.17,735.20万,--,0.300,0.310,0.350,0.300
96,HK1268,美东汽车,2.79,3.33,0.09,0.12,141.60万,9.21,2.700,2.750,2.800,2.630
97,HK3326,保发集团,0.62,3.33,0.02,0.01,18.00万,17.13,0.600,0.600,0.630,0.600
98,HK0603,中油燃气,0.63,3.28,0.02,0.08,454.20万,12.94,0.610,0.600,0.630,0.600
99,HK1468,英裘控股,0.26,3.24,0.01,0.15,704.00万,--,0.247,0.248,0.255,0.247
100,HK1856,依波路,1.28,3.23,0.04,0.04,14.60万,--,1.240,1.240,1.240,1.210
101,HK1763,中国同辐,16.12,3.20,0.50,0.86,68.88万,11.49,15.620,15.720,16.460,15.720
102,HK0299,新体育,0.65,3.17,0.02,0.00,7.00万,12.26,0.630,0.630,0.650,0.620
103,HK0661,中国大冶有色金属,0.07,3.17,0.00,0.00,46.75万,--,0.063,0.064,0.070,0.063
104,HK1194,麦盛资本,0.33,3.17,0.01,0.49,410.79万,--,0.315,0.315,0.330,0.295
105,HK0141,大中华集团,1.65,3.12,0.05,0.13,44.20万,10.94,1.600,1.500,1.650,1.450
106,HK1293,广汇宝信,2.37,3.04,0.07,0.05,130.60万,6.59,2.300,2.300,2.520,2.300
107,HK0234,新世纪集团,0.14,3.03,0.00,0.02,95.16万,5.29,0.132,0.135,0.136,0.132
108,HK0375,YGMTrading,6.80,3.03,0.20,0.01,8000,7.47,6.600,6.800,6.800,6.800
109,HK3737,中智药业,1.37,3.01,0.04,0.03,22.70万,13.03,1.330,1.330,1.370,1.320
110,HK1986,彩客化学,5.49,3.00,0.16,0.10,108.60万,35.23,5.330,5.350,5.490,5.270
111,HK1259,中国儿童护理,0.14,2.98,0.00,0.02,25.20万,--,0.134,0.138,0.138,0.134
112,HK1536,煜荣集团,0.69,2.98,0.02,0.35,131.80万,--,0.670,0.660,0.710,0.650
113,HK0948,融达控股,2.42,2.98,0.07,0.06,15.55万,--,2.350,2.360,2.480,2.360
114,HK1189,珀丽酒店,0.35,2.94,0.01,0.01,4.50万,--,0.340,0.330,0.350,0.330
115,HK0630,隽泰控股,0.07,2.94,0.00,0.02,33.00万,--,0.068,0.069,0.070,0.068
116,HK0095,绿景中国地产,2.81,2.93,0.08,0.05,250.00万,10.62,2.730,2.710,2.850,2.680
117,HK0348,中国智能健康,0.07,2.90,0.00,0.03,220.20万,--,0.069,0.074,0.076,0.070
118,HK2324,首都创投,0.07,2.90,0.00,0.02,54.00万,--,0.069,0.074,0.074,0.071
119,HK1899,兴达国际,2.50,2.88,0.07,0.11,166.28万,10.73,2.430,2.440,2.540,2.430
120,HK0251,爪哇控股,11.44,2.88,0.32,0.00,2.00万,29.11,11.120,11.500,11.500,11.120
121,HK0690,联康生物科技集团,0.11,2.86,0.00,0.02,98.00万,--,0.105,0.108,0.108,0.103
122,HK1676,中国升海食品,0.36,2.86,0.01,0.06,55.20万,3.70,0.350,0.380,0.380,0.355
123,HK0209,瀛晟科学,0.07,2.86,0.00,0.02,57.60万,--,0.070,0.070,0.072,0.070
124,HK1499,前进控股集团,0.73,2.82,0.02,0.38,2011.00万,152.08,0.710,0.720,0.730,0.710
125,HK1159,星光文化,2.22,2.78,0.06,0.00,2500,--,2.160,2.210,2.220,2.210
126,HK0362,中国天化工,0.37,2.78,0.01,0.18,203.50万,--,0.360,0.360,0.375,0.360
127,HK0577,南岸集团,0.74,2.78,0.02,0.11,115.00万,--,0.720,0.720,0.740,0.720
128,HK1166,星凯控股,1.11,2.78,0.03,0.53,1243.00万,396.43,1.080,1.090,1.120,1.050
129,HK1760,英恒科技,3.35,2.76,0.09,0.16,156.20万,22.83,3.260,3.260,3.400,3.260
130,HK1685,博耳电力,0.75,2.74,0.02,0.06,48.30万,--,0.730,0.730,0.780,0.730
131,HK2017,沧海控股,0.76,2.70,0.02,0.00,2.00万,4.56,0.740,0.780,0.780,0.780
132,HK0535,金地商置,0.76,2.70,0.02,0.15,2390.20万,6.10,0.740,0.750,0.770,0.730
133,HK0080,中国新经济投资,0.12,2.68,0.00,0.05,54.00万,--,0.112,0.113,0.118,0.113
134,HK0117,天利控股集团,1.54,2.67,0.04,0.16,117.00万,6.91,1.500,1.560,1.570,1.480
135,HK1397,碧瑶绿色集团,0.77,2.67,0.02,0.03,12.00万,15.40,0.750,0.740,0.780,0.740
136,HK0467,联合能源集团,1.16,2.65,0.03,0.02,441.75万,23.11,1.130,1.120,1.180,1.110
137,HK1718,宏基集团控股,1.17,2.63,0.03,0.01,11.50万,--,1.140,1.180,1.180,1.120
138,HK2014,浩泽净水,1.98,2.59,0.05,0.07,158.40万,14.45,1.930,1.930,2.000,1.890
139,HK0975,MongolMining,0.12,2.59,0.00,0.01,102.10万,0.49,0.116,0.119,0.122,0.117
140,HK1730,Lhn,1.19,2.59,0.03,0.53,213.60万,16.05,1.160,1.160,1.200,1.110
141,HK0925,北京建设,0.40,2.56,0.01,0.18,1233.80万,9.07,0.390,0.385,0.400,0.375
142,HK0439,光启科学,0.80,2.56,0.02,0.34,2108.50万,74.07,0.780,0.790,0.860,0.780
143,HK2288,宏基资本,0.80,2.56,0.02,0.00,1.40万,12.31,0.780,0.780,0.800,0.770
144,HK3663,协众国际控股,1.61,2.55,0.04,0.02,12.80万,--,1.570,1.620,1.640,1.570
145,HK0169,万达酒店发展,0.81,2.53,0.02,0.03,146.40万,--,0.790,0.790,0.820,0.760
146,HK1047,毅兴行,0.82,2.50,0.02,0.00,2000,6.71,0.800,0.820,0.820,0.820
147,HK0856,伟仕佳杰,4.11,2.49,0.10,0.09,127.40万,8.16,4.010,4.080,4.210,4.060
148,HK1576,齐鲁高速,2.07,2.48,0.05,0.04,47.10万,4.93,2.020,2.020,2.120,2.000
149,HK1560,星星地产,0.84,2.44,0.02,0.01,4.20万,4.44,0.820,0.810,0.840,0.810
150,HK0202,润中国际控股,0.17,2.44,0.00,0.04,214.50万,--,0.164,0.164,0.170,0.160
151,HK0711,亚洲联合基建控股,0.84,2.44,0.02,0.02,42.29万,9.51,0.820,0.820,0.840,0.820
152,HK0865,建德国际控股,0.17,2.42,0.00,0.00,25.60万,38.10,0.165,0.170,0.170,0.162
153,HK0263,高富集团控股,0.17,2.41,0.00,0.01,10.01万,--,0.166,0.170,0.170,0.170
154,HK2286,辰兴发展,1.72,2.38,0.04,0.03,12.70万,4.22,1.680,1.740,1.760,1.680
155,HK0899,亚洲资源,0.13,2.36,0.00,0.04,275.00万,--,0.127,0.126,0.135,0.124
156,HK0216,建业实业,3.05,2.35,0.07,0.02,12.40万,0.82,2.980,2.970,3.090,2.970
157,HK0383,中国医疗网络,0.22,2.33,0.01,0.03,374.00万,--,0.215,0.225,0.250,0.207
158,HK0259,亿都(国际控股),1.76,2.33,0.04,0.00,2000,14.55,1.720,1.760,1.760,1.760
159,HK6100,有才天下猎聘,28.85,2.31,0.65,0.09,45.13万,1325.30,28.200,28.850,29.800,28.550
160,HK1362,新龙移动,1.34,2.29,0.03,0.00,1.20万,285.11,1.310,1.300,1.340,1.300
161,HK0861,神州控股,4.04,2.28,0.09,0.09,152.32万,--,3.950,3.940,4.070,3.930
162,HK0114,HeraldHold,0.90,2.27,0.02,0.00,--,--,0.880,0,0,0
163,HK0479,华建控股,0.09,2.27,0.00,0.01,60.00万,--,0.088,0.086,0.090,0.086
164,HK1678,中创环球,0.18,2.27,0.00,0.39,840.60万,--,0.176,0.177,0.180,0.169
165,HK0522,ASMPacific,94.60,2.27,2.10,0.55,223.11万,13.67,92.500,92.150,94.600,91.500
166,HK1589,中国物流资产,2.73,2.25,0.06,0.02,52.80万,7.53,2.670,2.750,2.800,2.710
167,HK0676,创信国际,0.92,2.22,0.02,0.00,--,147.17,0.900,0,0,0
168,HK0287,永发置业,13.80,2.22,0.30,0.01,4000,1.53,13.500,13.600,13.800,13.600
169,HK0372,保德国际发展,0.47,2.17,0.01,0.27,540.60万,--,0.460,0.450,0.510,0.445
170,HK3838,中国淀粉,0.23,2.17,0.01,0.01,90.13万,3.03,0.230,0.228,0.235,0.228
171,HK0646,中国环保科技,0.09,2.17,0.00,0.00,8.00万,--,0.092,0.092,0.094,0.092
172,HK3989,首创环境,0.23,2.17,0.01,0.03,368.20万,18.85,0.230,0.226,0.242,0.225
173,HK1105,星岛,0.95,2.15,0.02,0.01,9.80万,19.92,0.930,0.940,0.950,0.940
174,HK3331,维达国际,14.28,2.15,0.30,0.02,25.40万,20.46,13.980,13.900,14.280,13.900
175,HK0567,大昌微线集团,0.24,2.13,0.01,0.01,8.60万,--,0.235,0.230,0.243,0.230
176,HK0797,第七大道,1.47,2.08,0.03,0.81,2160.60万,12.71,1.440,1.410,1.470,1.380
177,HK1013,伟俊集团控股,0.05,2.04,0.00,0.00,6000,--,0.049,0.050,0.050,0.049
178,HK0866,中国秦发,0.50,2.04,0.01,0.05,116.60万,0.33,0.490,0.490,0.510,0.485
179,HK0444,SincerewatchHK,0.10,2.04,0.00,0.01,75.00万,--,0.098,0.093,0.100,0.093
180,HK0195,绿科科技国际,0.10,2.02,0.00,0.08,531.00万,25.25,0.099,0.090,0.105,0.086
181,HK2100,百奥家庭互动,0.51,2.00,0.01,0.02,67.00万,--,0.500,0.500,0.510,0.495
182,HK0201,华大酒店,0.20,2.00,0.00,0.01,135.80万,12.00,0.200,0.200,0.204,0.200
183,HK0185,正恒国际控股,0.26,2.00,0.01,0.00,5.00万,10.32,0.250,0.248,0.255,0.248
184,HK1716,毛记葵涌,1.54,1.99,0.03,0.07,19.60万,45.29,1.510,1.510,1.540,1.490
185,HK1733,易大宗,0.52,1.96,0.01,0.06,197.52万,1.77,0.510,0.520,0.530,0.510
186,HK1290,中国汇融,1.04,1.96,0.02,0.11,118.80万,17.35,1.020,1.030,1.090,1.010
187,HK2282,美高梅中国,16.66,1.96,0.32,0.48,1820.70万,27.27,16.340,16.360,16.780,16.340
188,HK2166,芯智控股,1.58,1.94,0.03,0.28,140.37万,10.16,1.550,1.550,1.580,1.520
189,HK6198,青岛港,5.81,1.93,0.11,0.04,38.80万,7.80,5.700,5.670,5.840,5.660
190,HK3337,安东油田服务,1.06,1.92,0.02,0.67,2004.40万,42.92,1.040,1.060,1.070,1.040
191,HK3332,中生联合,0.53,1.92,0.01,0.03,8.00万,100.47,0.520,0.530,0.530,0.530
192,HK0951,超威动力,3.78,1.89,0.07,0.10,106.63万,7.69,3.710,3.760,3.820,3.740
193,HK0064,结好控股,0.27,1.89,0.01,0.03,291.60万,8.08,0.265,0.270,0.270,0.270
194,HK0326,中国星集团,0.27,1.89,0.01,0.11,305.92万,3.33,0.265,0.265,0.270,0.260
195,HK0036,远东控股国际,0.54,1.89,0.01,0.00,3.00万,8.46,0.530,0.520,0.540,0.520
196,HK0009,九号运通,0.28,1.85,0.01,0.00,15.60万,--,0.270,0.270,0.275,0.270
197,HK0320,金宝通,1.10,1.85,0.02,0.00,6000,7.29,1.080,1.080,1.100,1.080
198,HK6868,天福,4.97,1.84,0.09,0.01,10.00万,20.73,4.880,4.950,4.980,4.880
199,HK2088,西王置业,0.28,1.82,0.01,0.02,25.80万,--,0.275,0.275,0.280,0.270
200,HK2383,TOM集团,2.27,1.79,0.04,0.01,26.40万,--,2.230,2.220,2.270,2.220
201,HK0487,实德环球,0.28,1.79,0.01,0.01,52.80万,--,0.280,0.280,0.285,0.275
202,HK1617,南方通信,4.59,1.77,0.08,0.00,3.20万,31.90,4.510,4.710,4.710,4.450
203,HK6865,福莱特玻璃,1.15,1.77,0.02,0.02,8.20万,4.02,1.130,1.130,1.150,1.130
204,HK1130,中国环境资源,0.23,1.76,0.00,0.05,104.40万,--,0.227,0.250,0.250,0.230
205,HK1052,越秀交通基建,5.81,1.75,0.10,0.18,298.08万,8.55,5.710,5.760,5.870,5.730
206,HK0135,昆仑能源,6.99,1.75,0.12,0.18,1416.92万,9.89,6.870,6.870,7.040,6.810
207,HK6183,中国绿宝,1.17,1.74,0.02,0.12,132.70万,5.68,1.150,1.150,1.180,1.140
208,HK1750,全达电器集团控股,0.29,1.72,0.01,0.24,426.00万,33.91,0.290,0.290,0.305,0.290
209,HK2345,上海集优,1.18,1.72,0.02,0.03,25.40万,5.48,1.160,1.160,1.180,1.150
210,HK6885,金马能源,4.79,1.70,0.08,0.19,26.20万,3.22,4.710,4.740,4.840,4.730
211,HK0704,和嘉资源,0.30,1.70,0.01,0.62,1614.00万,6.61,0.295,0.290,0.300,0.290
212,HK1235,专业旅运,0.60,1.70,0.01,0.03,15.50万,200.00,0.590,0.600,0.600,0.600
213,HK0932,顺腾国际控股,0.30,1.70,0.01,0.66,1401.60万,--,0.295,0.300,0.310,0.295
214,HK0118,大同机械,0.60,1.70,0.01,0.10,88.40万,15.79,0.590,0.610,0.610,0.580
215,HK0030,万隆控股集团,0.18,1.69,0.00,0.07,402.40万,--,0.178,0.174,0.181,0.173
216,HK6288,FastRetail-DRS,33.40,1.67,0.55,0.00,2100,0.24,32.850,33.400,33.400,33.300
217,HK1348,滉达富控股,0.61,1.67,0.01,0.03,41.80万,--,0.600,0.600,0.610,0.600
218,HK0024,宝威控股,0.30,1.67,0.01,0.11,553.80万,--,0.300,0.300,0.310,0.290
219,HK0025,ChevalierInt'l,12.38,1.64,0.20,0.00,1.20万,4.11,12.180,12.180,12.380,12.180
220,HK1637,顺兴集团控股,0.62,1.64,0.01,0.04,16.20万,6.97,0.610,0.630,0.630,0.620
221,HK0756,森美控股,0.62,1.64,0.01,0.19,258.80万,7.39,0.610,0.600,0.640,0.600
222,HK0612,中国投资基金公司,13.70,1.63,0.22,0.12,143.12万,--,13.480,13.600,13.800,13.500
223,HK1215,开源控股,0.06,1.61,0.00,0.00,4.00万,157.50,0.062,0.063,0.063,0.063
224,HK0139,中国软实力,0.06,1.61,0.00,0.09,1316.00万,0.80,0.062,0.063,0.064,0.062
225,HK0539,冠华国际控股,0.13,1.60,0.00,0.43,2159.80万,1.67,0.125,0.125,0.128,0.124
226,HK1260,皓天财经集团,1.27,1.60,0.02,0.01,9.97万,11.24,1.250,1.270,1.290,1.270
227,HK1031,金利丰金融,1.91,1.60,0.03,0.02,211.80万,24.58,1.880,1.880,1.930,1.820
228,HK0464,建福集团,2.55,1.59,0.04,5.28,2353.60万,--,2.510,2.500,2.750,2.500
229,HK0115,钧濠集团,0.13,1.59,0.00,0.31,765.00万,1.34,0.126,0.127,0.135,0.125
230,HK0978,招商局置地,1.29,1.57,0.02,0.02,101.00万,3.22,1.270,1.280,1.290,1.260
231,HK1549,永丰集团控股,0.19,1.57,0.00,0.05,67.20万,--,0.191,0.194,0.194,0.194
232,HK0008,电讯盈科,4.53,1.57,0.07,0.04,346.55万,15.54,4.460,4.500,4.540,4.480
233,HK1938,珠江钢管,0.65,1.56,0.01,0.07,70.40万,--,0.640,0.650,0.650,0.640
234,HK3822,三和建筑集团,0.20,1.55,0.00,0.00,3.20万,59.39,0.193,0.195,0.197,0.195
235,HK2340,升捷控股,0.66,1.54,0.01,0.00,1.20万,--,0.650,0.630,0.660,0.630
236,HK0033,亚投金融集团,0.07,1.54,0.00,0.01,59.60万,--,0.065,0.063,0.067,0.063
237,HK0610,WaiKeeHold,3.96,1.54,0.06,0.01,4.00万,3.44,3.900,3.990,3.990,3.940
238,HK0143,国安国际,0.20,1.53,0.00,0.01,90.40万,--,0.196,0.196,0.199,0.196
239,HK1557,剑虹集团控股,1.99,1.53,0.03,0.15,61.60万,--,1.960,1.980,2.020,1.960
240,HK1431,原生态牧业,0.20,1.52,0.00,0.01,54.60万,--,0.197,0.198,0.201,0.191
241,HK1885,中国优材,2.00,1.52,0.03,0.12,123.20万,29.79,1.970,2.000,2.000,1.930
242,HK0097,恒基发展,0.67,1.51,0.01,0.02,57.60万,18.61,0.660,0.660,0.670,0.660
243,HK3638,华邦金融,0.67,1.51,0.01,0.28,1153.20万,279.17,0.660,0.690,0.750,0.670
244,HK2302,中核国际,3.36,1.51,0.05,0.03,16.50万,3360.00,3.310,3.240,3.360,3.120
245,HK0084,宝光实业,0.34,1.49,0.01,0.01,6.00万,--,0.335,0.340,0.340,0.340
246,HK0767,亚太丝路投资,0.14,1.48,0.00,0.01,24.00万,6.43,0.135,0.125,0.135,0.125
247,HK3336,巨腾国际,1.38,1.47,0.02,0.01,13.40万,19.71,1.360,1.370,1.380,1.350
248,HK2292,晋安实业,1.39,1.46,0.02,0.01,7.20万,4.15,1.370,1.370,1.390,1.370
249,HK1138,中远海能,3.48,1.46,0.05,0.64,830.40万,--,3.430,3.470,3.510,3.380
250,HK0159,布莱克万矿业,0.21,1.46,0.00,0.00,8.80万,--,0.206,0.186,0.210,0.186
251,HK0340,潼关黄金,0.70,1.45,0.01,0.02,55.04万,--,0.690,0.670,0.750,0.670
252,HK0401,万嘉集团,0.14,1.43,0.00,0.05,30.00万,--,0.140,0.141,0.142,0.141
253,HK1539,汇能集团,1.42,1.43,0.02,0.01,4.00万,5.66,1.400,1.400,1.460,1.400
254,HK3882,天彩控股,0.71,1.43,0.01,0.02,15.20万,--,0.700,0.700,0.730,0.670
255,HK0019,太古股份公司A,85.25,1.43,1.20,0.17,150.91万,4.92,84.050,84.500,85.250,84.200
256,HK1868,同方友友,0.72,1.41,0.01,0.02,47.90万,10.50,0.710,0.700,0.720,0.630
257,HK6830,华众车载,1.45,1.40,0.02,0.29,513.80万,15.49,1.430,1.420,1.450,1.350
