code,name,pe
hk00217,中国诚通发展集团,26.364
hk00858,精优药业,11.214
hk00572,未来世界金融,-9.917
hk01101,华荣能源,-0.031
hk03893,易纬集团,0.0
hk00581,中国东方集团,-18.59
hk01833,银泰商业,68.377
hk02380,中国电力,2.693
hk00196,宏华集团,-6.526
hk02166,芯智控股,0.0
hk00609,天德化工,3.498
hk01229,南南资源,-3.077
hk01549,永丰集团控股,-35.833
hk03337,安东油田服务,-10.286
hk03344,互益集团,-0.216
hk01103,大生农业金融,1.396
hk00891,利邦,-2.688
hk01245,NIRAKU,62.727
hk02080,奥克斯国际,-16.627
hk03331,维达国际,24.047
hk00690,联康生物科技集团,-9.667
hk00399,领航医药生物科技,-2.781
hk01878,南戈壁－Ｓ,-0.154
hk01055,中国南方航空股份,11.74
hk00290,中国富强金融,-10.167
hk01145,勇利航业,-0.184
hk01338,霸王集团,-5.489
hk01265,天津津燃公用,41.25
hk03360,远东宏信,9.178
hk03968,招商银行,10.546
hk01322,创达科技控股,0.664
hk00980,联华超市,-4.358
hk00323,马鞍山钢铁股份,-4.859
hk00327,百富环球,7.328
hk00343,文化传信,-8.229
hk01579,颐海国际,0.0
hk01418,盛诺集团,5.347
hk00438,彩虹新能源,2.384
hk00895,东江环保,23.426
hk01547,IＢI GROUP HLDGS,0.0
hk00162,世纪金花,22.917
hk00670,中国东方航空股份,11.777
hk00268,金蝶国际,82.613
hk01367,恒宝企业控股,-509.091
hk01194,麦盛资本,-9.655
hk01168,百仕达控股,-12.174
hk02198,中国三江化工,-13.011
hk00991,大唐发电,-9.913
hk01205,中信资源,18.696
hk03395,PERSTA,0.0
hk00359,海升果汁,-290.0
hk00619,南华金融,-14.5
hk00716,胜狮货柜,-131.111
hk00309,新华通讯频媒,-6.818
hk01262,蜡笔小新食品,-1.676
hk01190,航标控股,1.023
hk00906,中粮包装,10.855
hk01297,中国擎天软件,18.117
hk00878,金朝阳集团,-67.459
hk00345,VITASOY INT'L,55.599
hk00833,华讯,17.593
hk01091,中信大锰,-18.269
hk03369,秦港股份,23.704
hk00653,卓悦控股,2.52
hk00164,中国宝力科技,-6.4
hk01285,嘉士利集团,6.424
hk03788,中国罕王,-3.896
hk01206,同方泰德,5.945
hk01786,铁建装备,4.752
hk01963,重庆银行,3.544
hk00340,中国矿业,-110.0
hk01115,西藏水资源,23.178
hk03623,集成金融,15.455
hk00494,利丰,6.982
hk01185,中国航天万源,14.059
hk00753,中国国航,10.0
hk01431,原生态牧业,10.3
hk00251,爪哇控股,4.921
hk02308,研祥智能,4.685
hk00683,嘉里建设,8.037
hk02877,神威药业,14.695
hk02031,澳至尊,0.0
hk01327,时间由你,-0.248
hk02336,海亮国际,-36.0
hk00756,天溢森美,13.091
hk00894,万裕科技,-35.161
hk01588,畅捷通,-17.938
hk01269,首控集团,-340.0
hk00867,康哲药业,31.909
hk00384,中国燃气,76.201
hk00701,北海集团,8.222
hk01002,威铖国际,-7.048
hk02307,锦兴国际控股,11.045
hk01398,工商银行,6.037
hk02007,碧桂园,24.921
hk01033,中石化油服,-1120.0
hk00518,同得仕（集团）,-4.839
hk00680,南海控股,9.4
hk01986,彩客化学,20.251
hk00538,味千（中国）,16.298
hk00621,坛金矿业,1.267
hk01312,同方康泰,-54.286
hk00836,华润电力,7.243
hk01252,中国天瑞水泥,44.038
hk01523,珩湾科技,24.468
hk00231,平安证券集团控股,-4.813
hk00003,香港中华煤气,28.111
hk00650,ＩＤＧ能源,-105.455
hk02339,京西国际,4.567
hk01558,东阳光药,43.122
hk06830,华众车载,26.923
hk01868,同方友友,111.429
hk00068,利兴发展,-1.684
hk01632,膳源控股,0.0
hk00998,中信银行,4.552
hk03808,中国重汽,143.596
hk01231,新矿资源,-57.143
hk01192,泰山石化,-1.538
hk00902,华能国际电力股份,5.342
hk00956,新天绿色能源,44.63
hk01104,亚太资源,-605.0
hk01199,中远海运港口,7.241
hk01988,民生银行,3.651
hk00595,AV CONCEPT HOLD,135.0
hk00393,旭日企业,9.643
hk00086,新鸿基公司,2.589
hk01308,海丰国际,19.296
hk01622,力高地产,36.131
hk00012,恒基地产,7.07
hk01112,合生元,118.598
hk01658,邮储银行,0.0
hk01509,和美医疗,11.111
hk00234,新世纪集团,-21.333
hk00939,建设银行,6.299
hk00392,北京控股,8.756
hk01991,大洋集团,-4.725
hk00887,英皇钟表珠宝,-47.778
hk00966,中国太平,14.582
hk01171,兖州煤业股份,229.75
hk00579,京能清洁能源,5.271
hk01798,大唐新能源,44.0
hk00801,金卫医疗,-3.024
hk01125,丽丰控股,212.963
hk01680,澳门励骏,-31.667
hk00708,恒大健康,777.5
hk00488,丽新发展,296.444
hk01466,钱唐控股,-151.951
hk01591,汛和集团,0.0
hk01247,米格国际控股,4.091
hk00926,碧生源,-8.824
hk03816,ＫＦＭ金德,-5.921
hk01288,农业银行,5.452
hk01071,华电国际电力股份,3.82
hk00651,中海重工,-0.902
hk00725,恒都集团,18.904
hk01369,五洲国际,-0.387
hk00133,招商局中国基金,4.751
hk01528,红星美凯龙,6.388
hk00857,中国石油股份,24.31
hk01202,成都普天电缆股份,-7.851
hk01201,天臣控股,12.5
hk00717,英皇证券,5.337
hk02186,绿叶制药,31.734
hk01302,先健科技,2390.0
hk03600,现代牙科,19.394
hk02868,首创置业,4.486
hk03339,中国龙工,102.121
hk00697,首长国际企业,-0.516
hk00167,IDT INT'L,-5.8
hk06868,天福,34.155
hk00124,粤海置地,19.02
hk00083,信和置业,10.931
hk02688,新奥能源,39.176
hk01469,结好金融,0.0
hk01133,哈尔滨电气,14.529
hk00552,中国通信服务,12.289
hk01238,宝龙地产,6.374
hk03689,康华医疗,0.0
hk02006,锦江酒店,16.237
hk01385,上海复旦,26.515
hk01170,信星集团,11.724
hk02005,石四药集团,59.493
hk02699,新明中国,3.843
hk00245,中国民生金融,-37.143
hk01129,中国水业集团,-23.788
hk00475,中发展控股,-8.898
