序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价
1746,HK3700,映客,4.14,-2.82,-0.12,0.73,1464.80万,--,4.260,4.310,4.330,3.930
1747,HK0799,IGG,10.20,-2.86,-0.30,0.45,588.13万,11.14,10.500,10.580,10.600,9.950
1748,HK0515,达进东方照明,0.07,-2.86,-0.00,0.05,105.40万,--,0.070,0.068,0.069,0.066
1749,HK0416,锦州银行,5.08,-2.87,-0.15,0.00,1.80万,3.21,5.230,5.230,5.230,4.680
1750,HK0352,富阳,1.35,-2.88,-0.04,0.01,2.00万,--,1.390,1.350,1.350,1.350
1751,HK0279,民众金融科技,0.10,-2.88,-0.00,4.01,6.29亿,5.74,0.104,0.105,0.109,0.098
1752,HK0689,长盈集团(控股),0.67,-2.90,-0.02,0.07,346.00万,--,0.690,0.690,0.700,0.650
1753,HK1715,米技国际控股,0.34,-2.90,-0.01,4.29,6443.00万,20.55,0.345,0.345,0.360,0.330
1754,HK1045,亚太卫星,3.01,-2.90,-0.09,0.09,84.45万,5.55,3.100,3.080,3.080,2.930
1755,HK2112,优库资源,1.67,-2.91,-0.05,0.06,89.80万,92.92,1.720,1.720,1.720,1.650
1756,HK2382,舜宇光学科技,136.00,-2.93,-4.10,1.06,1161.83万,42.52,140.100,141.000,141.600,132.500
1757,HK0985,中誉集团,0.03,-2.94,-0.00,0.04,1646.72万,--,0.034,0.033,0.033,0.032
1758,HK1763,中国同辐,19.80,-2.94,-0.60,4.80,383.66万,14.12,20.400,20.100,20.300,18.660
1759,HK1358,普华和顺,1.64,-2.96,-0.05,0.01,15.00万,17.67,1.690,1.670,1.670,1.640
1760,HK3318,中国香精香料,2.61,-2.97,-0.08,0.15,118.60万,11.46,2.690,2.700,2.700,2.610
1761,HK6113,UTSMarketing,1.63,-2.98,-0.05,0.01,5.80万,55.92,1.680,1.680,1.680,1.630
1762,HK1443,富临集团控股,0.65,-2.98,-0.02,0.01,11.20万,19.88,0.670,0.660,0.660,0.650
1763,HK0678,云顶香港,1.30,-2.98,-0.04,0.01,97.62万,--,1.340,1.320,1.320,1.260
