,code,li_0_tmp,li_10_radio,li_10_tmp,li_5_radio,li_5_tmp,starttime
88,ABUS,10.8,-0.12037037037037043,9.5,-0.1111111111111112,9.6,1535601600000.0
89,ABUS,6.25,-0.07200000000000002,5.8,0.024000000000000056,6.4,1525320000000.0
90,ABUS,5.65,-0.0353982300884956,5.45,-0.0707964601769912,5.25,1517893200000.0
91,MBII,1.82,0.027472527472527496,1.87,-0.05494505494505499,1.72,1528689600000.0
92,MBII,1.7,0.3647058823529411,2.32,0.11176470588235292,1.89,1520312400000.0
93,DERM,12.65,-0.004743083003952609,12.59,-0.08300395256917001,11.6,1537934400000.0
94,BLPH,2.44,-0.06967213114754095,2.27,-0.07786885245901637,2.25,1526270400000.0
95,BLPH,1.89,0.11111111111111122,2.1,0.021164021164021184,1.93,1520398800000.0
96,BLPH,2.48,-0.1209677419354838,2.18,-0.10483870967741928,2.22,1516165200000.0
97,BLPH,2.6,-0.21923076923076934,2.03,-0.03846153846153849,2.5,1513746000000.0
98,MYOK,60.05,-0.019150707743547022,58.9,-0.01831806827643621,58.95,1531886400000.0
99,MYOK,53.9,0.053803339517625205,56.8,0.03246753246753247,55.65,1530158400000.0
100,MYOK,52.6,-0.019011406844106463,51.6,-0.018060836501901194,51.65,1515474000000.0
101,AIMT,39.43,-0.0760841998478316,36.43,-0.029672837940654367,38.26,1515128400000.0
102,AAXN,67.65,-0.01034737620103478,66.95,-0.06607538802660762,63.18,1529035200000.0
103,PENN,35.18,-0.05940875497441718,33.09,-0.026151222285389474,34.26,1526270400000.0
104,PENN,32.02,0.08650843222985621,34.79,0.10712054965646468,35.45,1525320000000.0
105,FOSL,12.97,0.14186584425597532,14.81,-0.025443330763299927,12.64,1521432000000.0
106,ABMD,384.36,0.055885107711520346,405.84,0.025809137267145277,394.28,1526011200000.0
107,ABMD,230.27,0.007990619707300141,232.11,0.020801667607591053,235.06,1516078800000.0
108,ABMD,209.76,0.11055491990846682,232.95,0.06850686498855837,224.13,1514869200000.0
109,ISRG,554.01,0.00868215375173744,558.82,-0.021931012075594263,541.86,1534910400000.0
110,ALGN,385.43,-0.015022183016371378,379.64,-0.037905715694159806,370.82,1534910400000.0
111,ALGN,343.2,0.07837995337995349,370.1,0.015268065268065295,348.44,1527220800000.0
112,ALGN,265.5,-0.05894538606403015,249.85,-0.06892655367231643,247.2,1523246400000.0
113,AXGN,55.9,-0.3014311270125224,39.05,-0.1896243291592129,45.3,1531713600000.0
114,AXGN,38.5,-0.04805194805194809,36.65,0.032467532467532464,39.75,1520913600000.0
115,AXGN,33.95,0.09278350515463912,37.1,-0.02061855670103101,33.25,1519275600000.0
116,ILMN,285.25,0.008413672217353119,287.65,0.006976336546888726,287.24,1527652800000.0
117,PDCE,52.85,0.015704824976348123,53.68,0.010217596972563844,53.39,1513918800000.0
118,GBT,46.85,0.056563500533617896,49.5,-0.00960512273212386,46.4,1533009600000.0
119,NTES,269.55,-0.14561305880170655,230.3,-0.13340753107030237,233.59,1525665600000.0
