,code,starttime
328,CGNX,2018-05-07
329,CGNX,2018-03-02
330,TECH,2018-01-04
331,ASRT,2018-06-15
332,ASRT,2018-02-13
333,ECYT,2018-05-02
334,IRWD,2018-03-07
335,LITE,2018-08-02
336,LPSN,2018-07-18
337,LPSN,2018-06-01
338,PTCT,2018-09-06
339,DISCA,2018-06-07
340,OTEX,2018-07-05
341,GLMD,2017-12-28
342,CAMP,2018-08-07
343,LBRDK,2018-06-07
344,HLNE,2018-05-02
345,HLNE,2018-01-18
346,BLRX,2018-09-17
347,BLRX,2017-12-28
348,TWOU,2018-01-09
349,COST,2018-06-07
350,IMXI,2018-05-15
351,ACTG,2018-06-06
352,ACTG,2018-04-18
353,CSOD,2018-02-14
354,CIBR,2018-08-21
355,NANO,2018-05-14
356,NANO,2018-05-07
357,BMRN,2018-03-02
358,DOVA,2018-09-11
359,SFLY,2018-03-02
360,SABR,2018-02-15
361,CHTR,2018-09-10
362,NICE,2018-04-09
363,NICE,2018-02-15
364,PACB,2018-08-07
365,PACB,2018-04-03
366,FV,2018-08-22
367,MASI,2018-01-02
368,WVE,2018-05-24
369,PEGA,2018-07-05
370,PEGA,2018-05-24
371,PEGA,2018-03-02
372,REGI,2018-10-11
373,REGI,2018-07-30
374,REGI,2018-02-13
375,RDWR,2018-02-09
376,MKSI,2018-05-01
377,EEFT,2018-08-17
378,DENN,2018-10-05
379,DENN,2018-06-15
380,DENN,2018-04-03
381,DENN,2018-03-02
382,DENN,2018-01-10
383,CYTK,2018-04-09
384,BRKR,2018-08-22
385,QTEC,2018-05-07
386,EGC,2018-04-11
387,MEET,2018-08-23
388,AFMD,2018-08-21
389,AFMD,2018-08-20
390,AFMD,2018-06-05
391,AFMD,2018-05-11
392,AFMD,2018-05-09
393,DISCK,2018-08-07
394,DISCK,2018-06-07
395,DISCK,2018-01-17
396,NKTR,2018-07-30
397,ZUMZ,2018-08-16
398,ACRS,2018-05-10
399,ACRS,2018-04-24
400,ASUR,2018-08-21
401,ASUR,2018-05-24
402,ASUR,2018-03-05
403,SUNW,2018-05-08
404,SUNW,2018-05-04
405,CETV,2018-08-22
406,CETV,2018-08-17
407,CETV,2018-08-15
408,CETV,2018-06-05
409,CETV,2018-05-29
410,CETV,2017-12-28
411,BOLD,2018-04-09
412,DLTR,2018-07-05
413,CRSP,2018-05-10
414,NVTR,2018-08-14
415,AAWW,2018-03-13
416,HDP,2018-09-07
417,HDP,2018-03-01
418,ESIO,2018-07-26
419,CTSO,2018-08-24
420,CTSO,2018-08-17
421,CTSO,2018-04-03
422,HBIO,2018-06-07
423,HBIO,2018-04-06
424,HBIO,2018-01-02
425,CHY,2018-06-01
426,LBRDA,2018-06-07
427,IDRA,2018-08-06
428,UNIT,2018-08-10
429,UNIT,2018-05-02
430,TRVG,2018-09-14
431,IRDM,2018-08-02
432,IRDM,2018-06-29
433,IRDM,2018-05-29
434,IRDM,2018-04-12
435,ICUI,2018-01-10
436,SGMO,2018-08-27
437,SGMO,2018-01-18
438,RDNT,2018-06-01
439,RDNT,2018-04-30
440,RDNT,2018-02-20
441,RDNT,2018-01-18
442,EYES,2018-08-27
443,JKHY,2018-07-03
444,JKHY,2018-01-09
445,ORIG,2018-09-11
446,PLXS,2018-07-30
447,PLXS,2018-05-01
448,PLXS,2018-04-11
449,PLXS,2018-03-02
450,OMCL,2018-06-07
451,ICLN,2018-03-02
452,ADP,2018-08-02
453,FFIV,2018-08-21
454,FFIV,2018-08-07
455,FFIV,2018-05-02
456,FFIV,2018-04-10
457,KLIC,2018-04-10
458,KLIC,2017-12-28
459,SOXX,2018-08-22
460,AVAV,2018-08-09
461,AVAV,2018-07-30
462,AVAV,2018-06-01
463,GERN,2018-03-12
464,TSG,2018-04-10
465,HOLX,2018-08-17
466,HOLX,2018-07-23
467,HOLX,2018-06-07
468,AVGO,2018-08-30
469,AVGO,2018-07-18
470,BLKB,2018-08-21
471,DTEA,2018-05-29
472,LONE,2018-05-07
473,LONE,2018-05-04
474,FRPT,2018-06-21
475,ANGI,2018-06-01
476,ANGI,2018-01-02
477,SMPL,2018-06-25
478,LXRX,2018-05-29
479,MEOH,2018-08-17
480,MEOH,2018-06-28
481,ATAX,2018-07-18
482,ATAX,2018-01-03
483,HUBG,2018-06-07
484,HUBG,2018-05-02
485,CERS,2018-02-16
486,LPTH,2018-07-13
487,LLNW,2018-09-13
488,VRNS,2018-04-09
489,IFV,2018-08-17
490,IFV,2018-03-02
491,ACIW,2018-08-17
492,ACIW,2018-06-07
493,ACIW,2018-03-02
494,ICAD,2018-03-01
495,MMSI,2018-05-03
496,MMSI,2018-02-15
497,MMSI,2018-01-11
498,APPS,2018-02-09
499,CBPO,2018-07-18
500,SLAB,2018-08-17
501,SLAB,2018-05-01
502,SLAB,2018-04-09
503,FISV,2018-06-01
504,ACHN,2018-09-18
505,CPRX,2018-05-04
506,FIVE,2018-08-02
507,FIVE,2018-06-07
508,AMCX,2018-09-18
509,AMCX,2018-06-06
510,AMCX,2018-03-26
511,CRIS,2018-09-12
512,FLEX,2018-05-01
513,FLEX,2018-04-11
514,CTAS,2018-01-18
515,FAST,2018-03-02
516,FAST,2018-01-19
517,RGEN,2018-08-31
518,RGEN,2018-08-21
519,RGEN,2018-06-15
520,RGEN,2018-03-02
521,DIOD,2018-07-17
522,CRAY,2018-04-09
523,RTIX,2018-08-16
524,RTIX,2018-06-28
525,RTIX,2018-05-04
526,TUES,2018-06-19
527,TUES,2018-03-02
528,FORM,2018-05-02
529,CY,2018-08-17
530,CY,2018-07-05
531,CY,2018-05-22
532,CY,2018-03-02
533,FATE,2018-02-15
534,CHDN,2018-03-02
535,MVIS,2018-05-16
536,MVIS,2018-03-09
537,MVIS,2018-02-12
538,CZR,2018-08-17
539,TXN,2018-08-22
540,VREX,2018-03-02
541,CRZO,2018-03-09
542,CRZO,2018-03-07
543,KLAC,2018-05-09
544,KLAC,2018-03-02
545,BRKS,2018-05-29
546,BRKS,2018-03-02
547,ZYNE,2018-07-06
548,ZYNE,2018-05-10
549,ZYNE,2018-04-10
550,PRMW,2018-05-21
551,INO,2018-09-25
552,HLIT,2018-08-22
553,HLIT,2018-08-21
554,HLIT,2018-05-09
555,HLIT,2018-03-01
556,PRAH,2018-07-18
557,PRAH,2018-04-09
558,TZOO,2018-04-27
559,GILD,2018-01-08
560,NATI,2018-08-17
561,NATI,2018-04-10
562,NATI,2018-03-02
563,NATI,2018-01-16
564,STAA,2018-08-22
565,DNKN,2018-06-15
566,DNKN,2018-06-05
567,DNKN,2018-04-18
568,INGN,2018-03-02
569,INGN,2018-02-15
570,INTC,2018-03-02
571,ASML,2018-08-17
572,ASML,2018-03-02
573,VICR,2018-06-01
574,TGTX,2018-02-22
575,LMNX,2018-09-07
576,LMNX,2018-07-12
577,LMNX,2018-06-01
578,SGYP,2018-08-17
579,SGYP,2018-07-02
580,LFUS,2018-06-06
581,SWIR,2018-09-06
582,SWIR,2018-07-11
583,CSTE,2018-05-14
584,IIVI,2018-08-20
585,BKNG,2018-08-17
586,PODD,2018-08-17
587,PODD,2018-03-02
588,PODD,2018-02-14
589,PODD,2018-01-19
590,NMIH,2018-08-17
591,NMIH,2018-06-01
592,NMIH,2018-05-01
593,NMIH,2018-01-11
594,NWS,2018-03-02
595,EBIX,2018-08-20
596,TRHC,2018-08-09
597,TRHC,2018-05-04
598,TRHC,2018-03-05
599,TUSK,2018-05-14
600,TUSK,2018-03-02
601,LILAK,2018-08-24
602,ISCA,2018-05-14
603,ISCA,2018-02-15
604,ARTX,2018-08-15
605,ARTX,2018-05-24
606,LSXMA,2018-01-18
607,PLYA,2018-05-03
608,PLYA,2018-03-02
609,SHPG,2018-08-02
610,INCY,2018-08-09
611,MDSO,2018-06-28
612,MDSO,2018-05-29
613,MDSO,2018-01-19
614,KURA,2018-02-13
615,IMKTA,2018-08-07
616,CVLT,2018-08-22
617,CVLT,2018-03-07
618,MKTX,2018-03-08
619,ARRS,2018-07-05
620,AZPN,2018-08-21
621,CWST,2018-09-05
622,NCSM,2018-03-02
623,NCSM,2018-01-09
624,PVAC,2018-05-31
625,PVAC,2018-04-11
626,EXAS,2018-08-23
627,CJJD,2018-09-17
628,CJJD,2018-05-09
629,DGLD,2018-07-25
630,GALT,2018-05-25
631,TTGT,2018-05-04
632,PXLW,2018-08-23
633,PXLW,2018-03-02
634,QRTEA,2018-09-11
635,QRTEA,2018-06-04
636,QRTEA,2018-02-09
637,GFN,2018-04-25
638,GFN,2018-04-13
639,GFN,2018-04-11
640,GFN,2018-04-06
641,GFN,2018-03-14
642,FANG,2018-09-14
643,FANG,2018-07-16
644,FANG,2018-06-05
645,MU,2018-05-07
646,CHI,2018-03-02
647,EIGI,2018-08-01
648,EIGI,2018-05-02
649,KELYA,2018-02-13
650,CSQ,2018-01-04
651,GMLP,2018-07-23
652,FTCS,2018-06-01
653,PTI,2018-03-06
654,CHKP,2018-08-01
655,CATM,2018-08-14
656,CATM,2018-05-03
657,NEWA,2018-02-02
658,USCR,2018-05-25
659,FIZZ,2018-06-15
660,BGCP,2018-08-27
661,BGCP,2018-08-17
662,BGCP,2018-08-09
663,ZG,2018-03-09
664,ZG,2018-03-02
665,CHUY,2018-08-30
666,CHUY,2018-08-28
667,CHUY,2018-05-24
668,PAYX,2018-05-11
669,TRCH,2018-06-07
670,TRCH,2018-05-16
671,DVAX,2018-03-22
672,DVAX,2018-03-19
673,CDEV,2018-04-13
674,PSDO,2018-08-16
675,Z,2018-03-09
676,DRRX,2018-04-02
677,DRRX,2018-03-02
678,DRRX,2018-02-28
679,LMAT,2018-03-05
680,NEO,2018-05-14
681,COHU,2018-03-02
682,LGCY,2018-05-08
683,SMTC,2018-04-03
684,MIDD,2018-06-05
685,EHTH,2018-06-29
686,SANM,2018-06-04
687,SANM,2018-04-10
688,RDVY,2018-01-09
689,NWSA,2018-09-20
690,NWSA,2018-08-02
691,NWSA,2018-03-02
692,ORBC,2018-07-02
693,ORBC,2018-04-10
694,ORBC,2018-03-02
695,KERX,2018-09-20
696,KERX,2018-08-17
697,CHRS,2018-05-02
698,CHRS,2018-01-02
699,HELE,2018-07-02
700,WLTW,2018-05-03
701,ACLS,2018-09-13
702,ACLS,2018-03-02
703,XENT,2018-08-23
704,XENT,2018-04-12
705,ADVM,2018-08-17
706,ADVM,2018-05-11
707,BDSI,2018-08-24
708,BDSI,2018-02-22
709,TOCA,2018-08-31
710,TOCA,2018-05-09
711,TOCA,2018-03-02
712,MCHP,2018-05-30
713,FLWS,2018-08-02
714,TACO,2018-06-27
715,CBIO,2018-05-11
716,VRNT,2018-08-01
717,CONE,2018-09-06
718,CONE,2018-03-09
719,HQY,2018-05-18
720,HQY,2018-05-01
721,KHC,2018-10-12
722,RYAAY,2018-03-02
723,RYAAY,2018-01-04
724,LKQ,2018-08-24
725,GPRE,2018-07-24
726,SBLK,2018-02-14
727,NDLS,2018-08-07
728,NDLS,2018-06-14
729,ERI,2018-08-13
730,ERI,2018-08-09
731,ERI,2018-05-24
732,FWRD,2018-05-04
733,SNMX,2018-10-03
734,SNMX,2018-09-28
735,SNMX,2018-09-26
736,SKYW,2018-03-08
737,SBAC,2018-06-21
738,IDTI,2018-08-17
739,IDTI,2018-05-07
740,IDTI,2018-03-02
741,EGOV,2018-08-14
742,EGOV,2018-04-09
743,RCII,2018-04-10
744,RCII,2018-01-04
745,EXPD,2018-07-18
746,SATS,2018-08-02
747,MGLN,2018-06-15
748,MGLN,2018-05-24
749,CHRW,2018-04-09
750,SPNE,2018-06-05
751,TTEK,2018-02-16
752,COHR,2018-09-11
753,COHR,2018-08-21
754,EDGW,2018-02-16
755,CMTL,2018-07-02
756,ADI,2018-05-07
757,ADI,2018-01-12
758,FOXF,2018-05-24
759,FOXF,2018-03-09
760,ESRX,2018-08-13
761,ESRX,2018-05-09
762,LSTR,2018-05-24
763,FCFS,2018-03-02
764,ETFC,2018-03-02
765,ETFC,2018-01-05
766,FOXA,2018-06-07
767,CDZI,2018-06-15
768,CDZI,2018-03-02
769,MXIM,2018-08-20
770,MXIM,2018-05-07
771,MXIM,2018-03-02
772,GTLS,2018-02-14
773,CA,2018-06-08
774,HYLS,2018-04-10
775,WDC,2018-01-12
776,HAS,2018-08-17
777,HAS,2018-06-07
778,ITRI,2018-05-03
779,EXPO,2018-05-24
780,EXPO,2018-05-11
781,EXPO,2018-03-02
782,SCSC,2018-08-14
783,SCSC,2018-03-02
784,NDAQ,2018-01-05
785,ANGO,2018-07-12
786,LMNR,2018-08-17
787,BABY,2018-04-10
788,GT,2018-01-04
789,ECHO,2018-05-04
790,PPC,2018-08-31
791,BGNE,2018-05-29
792,LIVN,2018-06-01
793,CG,2018-07-02
794,CG,2018-05-31
795,OSIS,2018-03-02
796,OSIS,2018-02-15
797,SIGI,2018-06-01
798,SIGI,2018-01-09
799,OCLR,2018-05-31
800,ADTN,2018-07-12
801,ADTN,2018-06-27
802,ADTN,2018-03-05
803,PETQ,2018-01-09
804,PDFS,2018-03-05
805,CLUB,2018-06-26
806,CLUB,2018-05-29
807,CLUB,2018-05-01
808,CLUB,2018-04-03
809,RUTH,2018-04-11
810,RUTH,2018-01-11
811,PFIE,2018-08-16
812,TBPH,2018-09-20
813,FOX,2018-06-07
814,ITCI,2018-08-20
815,HMHC,2018-07-03
816,HMHC,2018-06-08
817,HMHC,2018-06-07
818,HMHC,2018-06-06
819,GNMK,2018-01-18
820,NCMI,2018-02-16
821,JASN,2018-03-09
822,CDNA,2018-08-28
823,CDNA,2018-05-29
824,EUFN,2018-01-09
825,WYNN,2018-01-17
826,TTMI,2018-05-25
827,EGRX,2018-03-05
828,ENSG,2018-05-24
829,ENSG,2018-05-02
830,ENSG,2018-03-02
831,ENSG,2017-12-28
832,MZOR,2018-05-02
833,AIMC,2018-03-06
834,LECO,2018-09-11
835,LECO,2018-06-05
836,DCPH,2018-02-09
837,DCPH,2017-12-28
838,PTEN,2018-04-10
839,PTEN,2018-01-03
840,PFLT,2018-01-18
841,DRNA,2018-04-30
842,DRNA,2018-02-14
843,ARQL,2018-08-09
844,TVTY,2018-08-28
845,TVTY,2018-06-15
846,ORBK,2018-07-26
847,ORBK,2018-05-02
848,ESPR,2018-06-28
849,ESPR,2018-04-10
850,OSUR,2018-05-30
851,PCRX,2018-07-03
852,PCRX,2018-06-29
