2018-11-05_code,2018-11-05_days,2018-11-06_code,2018-11-06_days,2018-11-08_code,2018-11-08_days,2018-11-11_code,2018-11-11_days,2018-11-15_code,2018-11-15_days,2018-11-16_code,2018-11-16_days,2018-11-17_code,2018-11-17_days,2018-11-18_code,2018-11-18_days,2018-11-20_code,2018-11-20_days,2018-11-21_code,2018-11-21_days,2018-11-26_code,2018-11-26_days,2018-11-27_code,2018-11-27_days,2018-11-28_code,2018-11-28_days,2018-11-30_code,2018-11-30_days,2018-12-02_code,2018-12-02_days,2018-12-04_code,2018-12-04_days,2018-12-05_code,2018-12-05_days,2018-12-08_code,2018-12-08_days
,,,,AJRD,1,,,,,,,,,,,,,,,,,,,,,,,XLK,0.0,RWGE,4.0,REGN,2.0,VGT,4.0
,,,,RS,1,,,,,,,,,,,,,,,,,,,,,,,ZIOP,2.0,RYT,1.0,REM,1.0,VNDA,1.0
,,,,PML,0,,,,,,,,,,,,,,,,,,,,,,,,,SCHK,1.0,RNG,4.0,VTN,0.0
,,,,TBF,3,,,,,,,,,,,,,,,,,,,,,,,,,SFL,0.0,RNP,4.0,WBA,3.0
,,,,SWN,2,,,,,,,,,,,,,,,,,,,,,,,,,SKYY,1.0,ROM,2.0,WCN,4.0
,,,,BKD,4,,,,,,,,,,,,,,,,,,,,,,,,,SPHQ,1.0,RYT,2.0,XLK,4.0
,,,,PHB,2,,,,,,,,,,,,,,,,,,,,,,,,,SYNH,3.0,SBI,0.0,ZTR,3.0
,,,,URA,0,,,,,,,,,,,,,,,,,,,,,,,,,TCBK,1.0,SCHK,2.0,,
,,,,VST,0,,,,,,,,,,,,,,,,,,,,,,,,,TCPC,3.0,SFL,1.0,,
,,,,MCY,4,,,,,,,,,,,,,,,,,,,,,,,,,TDG,0.0,SKYY,2.0,,
,,,,CBRE,4,,,,,,,,,,,,,,,,,,,,,,,,,TDIV,1.0,SPHQ,2.0,,
,,,,NQP,0,,,,,,,,,,,,,,,,,,,,,,,,,TDOC,0.0,SYNH,4.0,,
,,,,HCP,2,,,,,,,,,,,,,,,,,,,,,,,,,TERP,2.0,TCBK,2.0,,
,,,,NXE,2,,,,,,,,,,,,,,,,,,,,,,,,,THRM,3.0,TCPC,4.0,,
,,,,SHO,4,,,,,,,,,,,,,,,,,,,,,,,,,UNH,0.0,TDG,1.0,,
,,,,ELF,0,,,,,,,,,,,,,,,,,,,,,,,,,USMV,1.0,TDIV,2.0,,
,,,,RBC,0,,,,,,,,,,,,,,,,,,,,,,,,,VAR,1.0,TDOC,1.0,,
,,,,LHO,4,,,,,,,,,,,,,,,,,,,,,,,,,VCRA,0.0,TERP,3.0,,
,,,,MORL,0,,,,,,,,,,,,,,,,,,,,,,,,,VGT,1.0,THRM,4.0,,
,,,,BANC,2,,,,,,,,,,,,,,,,,,,,,,,,,VRNS,3.0,TSRO,0.0,,
,,,,MYE,4,,,,,,,,,,,,,,,,,,,,,,,,,VSM,3.0,UNH,1.0,,
,,,,CYH,1,,,,,,,,,,,,,,,,,,,,,,,,,W,3.0,USMV,2.0,,
,,,,LBRT,0,,,,,,,,,,,,,,,,,,,,,,,,,WBA,0.0,VAR,2.0,,
,,,,PEB,4,,,,,,,,,,,,,,,,,,,,,,,,,WCN,1.0,VCRA,1.0,,
,,,,DVA,2,,,,,,,,,,,,,,,,,,,,,,,,,WK,3.0,VGT,2.0,,
,,,,SF,1,,,,,,,,,,,,,,,,,,,,,,,,,WTW,3.0,VRNS,4.0,,
,,,,KRE,4,,,,,,,,,,,,,,,,,,,,,,,,,XLK,1.0,VSM,4.0,,
,,,,BXS,4,,,,,,,,,,,,,,,,,,,,,,,,,ZIOP,3.0,W,4.0,,
,,,,KBWR,4,,,,,,,,,,,,,,,,,,,,,,,,,ZTR,0.0,WBA,1.0,,
,,,,GWB,4,,,,,,,,,,,,,,,,,,,,,,,,,,,WCN,2.0,,
,,,,BOH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,WK,4.0,,
,,,,CBU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,WTW,4.0,,
,,,,RF,2,,,,,,,,,,,,,,,,,,,,,,,,,,,XLK,2.0,,
,,,,NYCB,4,,,,,,,,,,,,,,,,,,,,,,,,,,,ZIOP,4.0,,
,,,,PB,4,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTR,1.0,,
,,,,ARR,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FNB,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BGG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CSU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SALT,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DHY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FLCA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
