code,name,pe,pb,eps,2014-12-31,2015-12-31,2016-12-31,2017-12-31
SYF,Synchrony Financial,12.35483,1.7254880000000001,2.6564509999999997,0.2013,0.1757,0.1586,0.1359
IDXX,IDEXX实验室,74.02863599999999,-422.733608,3.2391520000000003,1.5424,-2.2859,-2.0556,-4.8847
XLNX,赛灵思,33.246478,7.377403999999999,2.052849,0.0,0.0,0.0,0.0
BAC,美国银行,15.590979,1.259696,1.9248310000000002,0.0227,0.0621,0.067,0.0682
ECL,艺康集团,27.684221,5.455356,5.1914050000000005,0.1655,0.1457,0.1789,0.1979
TPR,Tapestry Inc.,39.860443,4.346616,1.188898,0.0,0.0,0.0,0.0
DFS,发现金融,12.214283,2.407089,5.821054,0.2086,0.2037,0.2113,0.1927
VRTX,福泰制药,206.98646499999998,19.378745000000002,0.882135,-0.6779,-0.5375,-0.0628,0.0449
TSS,Total System Services,26.384586,6.820760000000001,3.395543,0.1911,0.1971,0.1535,0.2512
KORS,迈克高仕,17.410088000000002,5.031758,3.886827,0.0,0.0,0.0,0.0
DLTR,"Dollar Tree, Inc.",12.272997,2.803578,7.066733999999999,0.0,0.0,0.0,0.0
RF,地区金融,15.633059,1.316785,1.128378,0.068,0.063,0.0698,0.078
CELG,新基公司,23.157283,12.031400999999999,3.707257,0.3065,0.2707,0.3029,0.4248
PFE,辉瑞,10.323135,3.1389240000000003,3.6471480000000005,0.128,0.1075,0.1211,0.298
WBA,Walgreens Boots Alliance,15.283616,2.3482830000000003,4.294141000000001,0.0,0.0,0.0,0.0
D,道明尼资源,15.701235,2.659082,4.48245,0.1109,0.0,0.1314,0.0
WDC,西部数据,110.37688100000001,2.091781,0.715639,0.0,0.0,0.0,0.0
NTAP,美国网存,290.6743,10.507356,0.283582,0.0,0.0,0.0,0.0
KEY,KeyCorp,16.059048,1.530065,1.24914,0.086,0.0855,0.0518,0.0864
BBT,BB&T银行,15.918726000000001,1.52668,3.266593,0.0905,0.0777,0.0816,0.0813
CSX,CSX运输,10.07002,3.923201,6.399193,0.0,0.0,0.0,0.3716
PAYX,沛齐,27.091299,12.494512,2.600835,0.0,0.0,0.0,0.0
LEG,礼恩派,21.717556,5.000952,2.097842,0.0874,0.2996,0.3528,0.246
SNPS,新思科技,143.516887,4.215037000000001,0.641806,0.0,0.0,0.0,0.0
GWW,美国固安捷,27.184656,9.648156,11.218093,0.2473,0.3336,0.3321,0.3403
SBUX,星巴克,16.639302,15.020885999999999,3.08186,0.0,0.0,0.0,0.3907
KIM,金科,16.189668,1.301044,1.025963,0.0873,0.1708,0.0703,0.0795
PH,汉尼汾,21.121903,3.5955779999999997,7.5158949999999995,0.0,0.0,0.0,0.0102
KHC,卡夫亨氏,6.9200479999999995,1.160319,9.111208,0.0,0.0,0.0633,0.0
LNC,林肯国民,7.1037740000000005,0.8856360000000001,9.112058,0.0963,0.0847,0.0823,0.12
BK,纽约梅隆银行,13.444341,1.430552,4.020279,0.0685,0.0827,0.0896,0.0985
WU,西联汇款,0.0,-25.010226,-1.063609,0.6554,0.5964,0.2805,1.1344
MDT,美敦力,38.589905,2.352965,2.287904,0.0,0.0,0.0,0.0
TSCO,Tractor Supply Company,23.054904,7.334662,3.423133,0.0,0.0,0.3008,0.0
ALK,阿拉斯加航空集团有限公司,8.055769999999999,2.214916,7.67152,0.2844,0.3517,0.2777,0.2779
ADI,亚德诺,34.351215,3.442905,2.860452,0.0,0.0,0.0,0.0
CAT,卡特彼勒,37.236528,5.46356,3.731551,0.1467,0.1695,-0.0045,0.0551
PG,宝洁,20.714807,3.7726300000000004,3.8634199999999996,0.0,0.0,0.0,0.0468
WMT,沃尔玛,29.251452,3.4444480000000004,3.014893,0.0,0.0,0.0,0.0
FLR,福陆,59.807416,2.2704619999999998,0.8090970000000001,0.201,0.1526,0.1008,0.0756
LOW,劳氏,21.844891,14.241851,4.589174,0.0,0.0,0.0,0.0
AOS,A.O.史密斯,33.47979,5.994583,1.787347,0.1506,0.1963,0.2158,0.1795
ETN,伊顿,11.34318,1.9713080000000003,6.8605100000000006,0.1138,0.1296,0.128,0.1727
GIS,通用磨坊,11.971782000000001,4.2736089999999995,3.694521,0.0,0.0,0.0,0.0
CLX,高乐氏,21.628196,20.891478,6.242776999999999,0.0,0.0,0.0,0.3066
MCD,麦当劳,23.892188,-26.581353000000004,6.686286,0.3702,0.639,-2.1266,-1.5887
FFIV,F5网络,25.7134,8.80636,6.873848,0.0,0.0,0.0,0.0721
VMC,火神材料,26.895694,3.32669,4.59739,0.0491,0.0496,0.0916,0.1209
NDAQ,纳斯达克OMX交易所,21.161899,2.754571,4.46321,0.0713,0.0761,0.0199,0.1247
FIS,繁德信息技术,26.073404999999998,3.417066,4.1551919999999996,0.1056,0.0692,0.0599,0.1235
XYL,赛莱默,34.415893,4.8007349999999995,1.97002,0.1584,0.1631,0.1178,0.131
DOV,美国都福集团,15.036223000000001,2.593143,4.956697,0.2094,0.2387,0.1339,0.1853
MS,摩根士丹利,13.670391,1.25243,3.597556,0.0509,0.0824,0.0793,0.0792
SEE,希悦尔,12.772705,-18.876978,3.345415,0.2218,0.6357,0.7967,5.3618
LLY,礼来,83.512971,6.293257,1.0725280000000001,0.1554,0.165,0.1944,-0.0175
ICE,洲际交易所,17.922583,2.57954,4.2187,0.0809,0.0871,0.0918,0.15
BIIB,生化基因,25.312679,5.329814,14.023801999999998,0.2721,0.3833,0.3047,0.2119
CL,高露洁,27.601201,-229.676096,2.3752590000000002,1.6888,-35.1818,152.1176,8.9465
KMX,车美仕,20.266673,4.052805,3.8324,0.0,0.0,0.0,0.0
APH,安诺电子,39.230103,6.85526,2.2689209999999997,0.2434,0.2355,0.2237,0.1635
SPGI,标普全球,34.085735,7631.981,6.23692,-0.0096,1.0903,1.251,0.7734
BKNG,Booking Holdings,39.756959,9.196792,51.073322,0.2827,0.2901,0.2174,0.2079
TDG,TransDigm,28.184608,-8.238706,12.875113,0.0,0.0,0.0,0.0
CNC,Centene Corp,22.509094,3.661956,5.9491510000000005,0.1396,0.1536,0.0927,0.1175
A,安捷伦科技,85.476341,4.3723790000000005,0.737514,0.0,0.0,0.0,0.0
AMP,阿莫斯莱斯金融,12.974346,3.5400419999999997,11.018667,0.2149,0.2013,0.2088,0.2467
PM,菲利普莫里斯,21.345832,-10.362739,3.856959,-0.6836,-0.6128,-0.6651,-0.6198
UAL,联合大陆航空,10.027379,2.415429,7.242172,0.4725,0.8186,0.2613,0.242
MAT,美国美泰公司,0.0,5.728557,-3.640827,0.1692,0.1401,0.1321,-0.8385
MMM,3M,29.166024,10.928979,6.928267,0.3803,0.4221,0.489,0.4189
CME,芝加哥商品交易所,13.43569,2.5272900000000003,12.579927,0.0539,0.0607,0.0754,0.1813
TRV,旅行者财产险集团,16.827643,1.514729,7.653478,0.1487,0.1457,0.1298,0.0866
CHRW,罗宾逊物流,23.423807,8.224866,3.744054,0.4298,0.4435,0.4078,0.3541
OKE,欧尼克（万欧卡）,45.866982,4.3141419999999995,1.533347,0.1655,0.1006,0.2167,0.1045
AXP,美国运通,28.994613,4.4371410000000004,3.488579,0.2847,0.2497,0.2638,0.1501
WRK,Westrock Company,7.7446850000000005,1.257595,7.397330999999999,0.0,0.0,0.0,0.0995
AAP,Advance Auto Parts Inc,20.556557,2.9281189999999997,6.8241,0.0,0.0,0.1578,0.0
VRSK,Verisk Analytics,32.021173,8.510739,3.5129879999999996,1.8957,0.3703,0.4437,0.2883
GD,通用动力,19.424665,4.851832,9.900814,0.2141,0.2827,0.2497,0.2547
FDX,联邦快递,13.751707000000001,3.16587,16.808823,0.0,0.0,0.0,0.0
NEE,新纪元能源,9.730171,2.4534700000000003,17.493011,0.1224,0.1195,0.1186,0.1804
PNC,PNC金融,12.204927,1.530563,11.592039999999999,0.0913,0.0901,0.0851,0.1132
