,code,name,201712,201709,201706,201703,pb,per,trade,201612
85,SH600739,辽宁成大,13.103281,13.106573,12.771096,12.687975,12.134936,1.332,18.468,17.46
86,SH600741,华域汽车,13.094568,12.54729,12.031831,12.53459,12.083762,1.682,10.596,22.03
87,SH600795,国电电力,2.484515,2.524806,2.491332,2.563318,2.511169,1.155,27.333,2.87
88,SH600804,鹏博士, ,4.842465,4.858006,4.619593,4.489839,2.899,25.527,14.04
89,SH600816,安信信托,3.552621,3.36498,3.095371,2.964063,6.621877,3.51,14.25,11.47
90,SH600820,隧道股份,6.060796,5.890831,5.75885,5.773361,5.662828,1.157,12.086,7.01
91,SH600827,百联股份, ,9.413104,9.379452,9.384427,9.295773,1.108,20.451,10.43
92,SH600837,海通证券,10.238093,10.095595,9.778178,9.784348,9.575117,1.11,15.147,11.36
93,SH600871,*ST油服,-0.148672,0.376697,0.446858,0.507396,0.596978,-13.652,-2.714,2.03
94,SH600886,国投电力,4.50267,4.457894,4.414511,4.362415,4.226395,1.53,14.466,6.89
95,SH600887,伊利股份, ,3.978487,3.743046,4.080349,3.805857,7.06,30.204,28.09
96,SH600893,航发动力,11.463955,11.254228,7.959026,8.213313,8.011357,2.436,59.426,27.93
97,SH600895,张江高科, ,5.413527,5.357911,5.460935,5.328485,2.392,27.553,12.95
98,SH600900,长江电力, ,5.925221,5.489909,5.964011,5.827235,2.705,16.97,16.03
99,SH600909,华安证券,3.386626,3.375023,3.317075,3.31643,3.270653,2.017,37.944,6.83
100,SH600919,江苏银行, ,7.69,7.428522,7.353107,7.16,0.936,7.347,7.2
101,SH600926,杭州银行, ,11.26,10.96,15.18,10.52,0.99,6.6370000000000005,11.15
102,SH600958,东方证券,7.576223,6.706812,6.575995,6.59228,6.513267,1.592,21.158,12.06
103,SH600959,江苏有线, ,3.416628,3.335399,3.390438,3.337531,2.102,31.217,7.18
104,SH600977,中国电影, ,5.411586,5.328138,5.386352,5.237584,2.872,26.339,15.54
105,SH600999,招商证券,9.587434,9.454695,9.185456,9.147579,8.930091,1.759,21.746,16.86
106,SH601006,大秦铁路, ,6.552233,6.303989,6.259529,6.042177,1.203,16.417,7.88
107,SH601009,南京银行, ,7.79,7.56,10.55,7.3,1.026,6.008,7.99
108,SH601012,隆基股份,6.803471,6.094262,5.586735,5.280281,5.054777,4.796,18.028,32.63
109,SH601018,宁波港,2.76,2.74,2.67,2.68,2.63,1.862,25.7,5.14
110,SH601021,春秋航空, ,10.471501,9.679692,9.526525,9.14773,3.072,27.034,32.17
111,SH601088,中国神华,15.16,14.69,14.08,16.37,15.7,1.307,8.754,19.82
112,SH601099,太平洋,1.720887,1.717594,1.684509,1.721565,1.73366,1.633,165.294,2.81
113,SH601111,中国国航,5.929217,5.894612,5.58464,5.603426,5.263875,1.9380000000000002,21.278,11.49
114,SH601117,中国化学, ,5.721598,5.631708,5.629065,5.568818,1.325,21.056,7.58
115,SH601118,海南橡胶, ,2.047576,2.012271,2.047489,2.043841,2.906,381.41,5.95
116,SH601155,新城控股,9.131595,7.150512,6.775179,6.603289,6.575408,3.596,12.118,32.84
117,SH601163,三角轮胎, ,9.86584,9.743411,9.998555,9.801286,1.6800000000000002,13.047,16.57
118,SH601166,兴业银行, ,18.41,17.67,17.59,17.02,0.875,5.816,16.11
119,SH601169,北京银行, ,8.35,8.11,8.49,7.79,0.8190000000000001,5.897,6.84
120,SH601186,中国铁建,10.01593,9.650502,9.345116,9.249313,9.042045,0.989,8.543,9.91
121,SH601198,东兴证券, ,6.886801,6.768607,6.785508,6.642031,2.084,27.23,14.35
122,SH601211,国泰君安,14.13,12.575896,13.42,11.710588,13.11,1.246,15.856,17.6
123,SH601212,白银有色, ,1.44202,1.741829,1.691411,1.772454,4.119,148.5,5.94
124,SH601216,君正集团, ,1.800682,1.736395,1.68404,1.619917,2.616,25.093,4.71
125,SH601225,陕西煤业,4.422437,4.235457,3.946674,3.739969,3.431737,1.7000000000000002,7.231,7.52
126,SH601228,广州港, ,1.933634,1.896748,1.889168,1.82,2.855,46.0,5.52
127,SH601229,上海银行, ,15.91,15.47,19.96,14.83,0.92,5.609,14.64
128,SH601288,农业银行,4.15,4.08,3.93,3.95,3.81,0.908,6.5,3.77
129,SH601318,中国平安,25.89,24.52,23.29,22.51,20.98,2.453,12.727,63.51
130,SH601328,交通银行,8.23,8.06,7.86,7.93,7.67,0.741,6.703,6.1
131,SH601333,广深铁路,4.049484,4.005888,3.952275,4.00034,3.960458,1.069,30.929,4.33
132,SH601336,新华保险,20.42,20.39,19.78,19.74,18.95,2.044,24.127,41.74
133,SH601375,中原证券,2.59188,2.646367,2.58823,2.714126,2.69695,2.346,55.273,6.08
134,SH601377,兴业证券,4.991865,4.964189,4.785868,4.858067,4.732628,1.31,19.039,6.54
135,SH601390,中国中铁,6.279054,6.059504,5.939934,5.788604,5.620386,1.177,11.046,7.39
136,SH601398,工商银行,5.73,5.62,5.42,5.46,5.29,1.026,7.443,5.88
137,SH601555,东吴证券,6.9401,6.949104,6.778688,6.838881,6.742389,1.171,31.269,8.13
138,SH601600,中国铝业,2.513397,2.403347,2.367309,2.441789,2.425489,1.85,51.667,4.65
139,SH601601,中国太保,15.17,14.98,14.51,14.65,14.54,2.108,19.741,31.98
140,SH601607,上海医药,12.655995,12.392075,12.104435,12.152209,11.760358,1.811,17.506,22.92
141,SH601608,中信重工,1.647258,1.646824,1.646931,1.639398,1.636913,2.167,357.0,3.57
142,SH601611,中国核建, ,2.896482,2.808693,2.806792,2.759747,3.149,27.636,9.12
143,SH601618,中国中冶,3.117968,3.028577,2.983886,2.997936,2.927486,1.158,13.885,3.61
144,SH601628,中国人寿,11.35,11.14,10.64,10.66,10.74,2.149,21.584,24.39
145,SH601633,长城汽车,5.383267,5.144769,5.096279,5.40234,5.181703,2.043,20.0,11.0
146,SH601668,中国建筑,6.592777,6.341409,6.086517,6.023837,5.783945,1.23,7.579,8.11
147,SH601669,中国电建, ,4.665279,4.646228,4.175187,4.05153,1.385,13.704,6.46
148,SH601688,华泰证券,12.193041,11.996343,11.726695,12.076456,11.777213,1.463,13.775,17.84
149,SH601718,际华集团, ,4.221316,4.218243,3.69,3.62,1.218,16.063,5.14
150,SH601727,上海电气,3.771572,3.911458,3.463365,3.398824,3.566324,1.525,30.343,5.75
151,SH601766,中国中车,4.24,4.098281,3.988233,4.11549,3.842625,2.248,25.079,9.53
152,SH601788,光大证券,10.535274,10.606408,10.37728,10.404577,10.235932,1.17,18.847,12.33
153,SH601800,中国交建,10.00572,9.525092,9.198807,8.936306,8.670032,1.335,11.041,13.36
154,SH601818,光大银行,5.24,5.22,5.05,4.99,4.72,0.761,6.234,3.99
155,SH601857,中国石油,6.522803,6.519781,6.545571,6.544942,6.498265,1.171,63.667,7.64
156,SH601866,中远海发,1.30754,1.228067,1.214274,1.168834,1.134118,2.302,24.061,3.01
157,SH601872,招商轮船,2.871321,2.931204,3.048615,3.05668,3.013357,1.278,30.583,3.67
158,SH601877,正泰电器, , , , , ,3.156,21.519,28.19
159,SH601878,浙商证券,4.054167,3.942486,3.854716,3.275545,3.19,3.063,36.529,12.42
