code,name,pe,pb,eps
ALK,阿拉斯加航空集团有限公司,8.05577,2.214916,7.67152
ADI,亚德诺,34.351215,3.442905,2.860452
CAT,卡特彼勒,37.236528,5.46356,3.731551
PG,宝洁,20.714807,3.77263,3.86342
WMT,沃尔玛,29.251452,3.444448,3.014893
FLR,福陆,59.807416,2.270462,0.809097
LOW,劳氏,21.844891,14.241851,4.589174
AOS,A.O.史密斯,33.47979,5.994583,1.787347
ETN,伊顿,11.34318,1.971308,6.86051
GIS,通用磨坊,11.971782,4.273609,3.694521
CLX,高乐氏,21.628196,20.891478,6.242777
MCD,麦当劳,23.892188,-26.581353,6.686286
FFIV,F5网络,25.7134,8.80636,6.873848
VMC,火神材料,26.895694,3.32669,4.59739
NDAQ,纳斯达克OMX交易所,21.161899,2.754571,4.46321
FIS,繁德信息技术,26.073405,3.417066,4.155192
XYL,赛莱默,34.415893,4.800735,1.97002
DOV,美国都福集团,15.036223,2.593143,4.956697
MS,摩根士丹利,13.670391,1.25243,3.597556
SEE,希悦尔,12.772705,-18.876978,3.345415
LLY,礼来,83.512971,6.293257,1.072528
ICE,洲际交易所,17.922583,2.57954,4.2187
BIIB,生化基因,25.312679,5.329814,14.023802
CL,高露洁,27.601201,-229.676096,2.375259
KMX,车美仕,20.266673,4.052805,3.8324
APH,安诺电子,39.230103,6.85526,2.268921
SPGI,标普全球,34.085735,7631.981,6.23692
BKNG,Booking Holdings,39.756959,9.196792,51.073322
TDG,TransDigm,28.184608,-8.238706,12.875113
CNC,Centene Corp,22.509094,3.661956,5.949151
A,安捷伦科技,85.476341,4.372379,0.737514
AMP,阿莫斯莱斯金融,12.974346,3.540042,11.018667
PM,菲利普莫里斯,21.345832,-10.362739,3.856959
UAL,联合大陆航空,10.027379,2.415429,7.242172
MAT,美国美泰公司,0.0,5.728557,-3.640827
MMM,3M,29.166024,10.928979,6.928267
CME,芝加哥商品交易所,13.43569,2.52729,12.579927
TRV,旅行者财产险集团,16.827643,1.514729,7.653478
CHRW,罗宾逊物流,23.423807,8.224866,3.744054
OKE,欧尼克（万欧卡）,45.866982,4.314142,1.533347
AXP,美国运通,28.994613,4.437141,3.488579
WRK,Westrock Company,7.744685,1.257595,7.397331
AAP,Advance Auto Parts Inc,20.556557,2.928119,6.8241
VRSK,Verisk Analytics,32.021173,8.510739,3.512988
GD,通用动力,19.424665,4.851832,9.900814
FDX,联邦快递,13.751707,3.16587,16.808823
NEE,新纪元能源,9.730171,2.45347,17.493011
PNC,PNC金融,12.204927,1.530563,11.59204
APD,空气化工,29.950839,3.235866,5.215213
MGM,美高梅,9.133098,2.360611,3.421621
KSS,科尔士百货,13.614146,2.212872,5.210022
ANDV,Andeavor,11.685194,2.126866,11.604428
MPC,马拉松石油,10.566067,2.209548,6.785874
UPS,联合包裹,18.966163,71.211091,5.856219
RMD,ResMed Inc,50.61918,7.553456,2.160841
AFL,美国家庭寿险,7.161621,1.368746,5.995849
NRG,NRG能源,0.0,-75.831176,-5.398618
MO,奥驰亚,10.261765,7.05773,5.588707
FISV,费哲金融服务,22.694187,10.632126,3.399549
EVHC,"Envision Healthcare Holdings, Inc.",38.707507,0.840404,1.15869
HIG,哈特福德金融,0.0,1.451304,-7.956583
JBHT,JB Hunt运输服务,17.701811,6.866423,6.867094
BMY,施贵宝,98.471882,7.235513,0.575088
SBAC,SBA Communications Corporation,198.417658,-7.284789,0.824977
PKG,Packaging Corp of America,15.644571,4.718558,7.329699
AJG,亚瑟加拉格尔有限公司,24.885633,2.813672,2.800411
CCL,嘉年华邮轮,14.902853,1.735641,3.931462
RTN,雷神,26.993625,5.61873,7.418048
STI,太阳信托银行,14.027786,1.446572,4.912393
FE,第一能源公司,0.0,2.39744,-1.797316
URI,联合租赁,9.064601,4.16097,16.791693
BHF,Brighthouse Financial Inc,0.0,0.363333,-0.801516
AMT,美国电塔,53.729144,9.912979,2.64605
AME,阿美特克,23.305613,4.030769,3.140016
AAPL,苹果,18.31067,7.416598,10.455652
AON,怡安保险,24.004684,6.720263,6.066316
DG,美国达乐公司,16.608376,4.26457,5.984932
NOC,诺斯罗普格鲁曼,26.600017,7.293254,12.07518
CCI,冠城,124.2298,3.584119,0.892459
AAL,美国航空,10.263299,-17.190124,3.642104
STT,道富银行,16.12815,1.778232,5.794217
NTRS,北方信托公司,19.408487,2.546081,5.448132
LUV,西南航空,8.812135,3.207935,6.039399
FTI,FMC Technologies Inc,62.870514,1.052515,0.487669
ACN,埃森哲,26.406528,10.99183,6.364714
JNPR,瞻博网络,44.91249,2.254914,0.621876
RCL,皇家加勒比邮轮,14.385622,2.174787,7.60134
EMR,艾默生电气,24.762356,5.155283,2.805872
ADSK,欧特克,0.0,-232.709588,-2.370273
LNT,美国联合能源,20.692942,2.345726,2.072204
DLR,Digital Realty Trust Inc,116.041745,2.651636,0.999037
UHS,Universal Health Services Inc Cl,14.188294,2.080621,8.103159
