code,open,name,pe,pb,eps
DBB,16.33,PowerShares DB Base Metals Fund,11.086282,0.940013,1.49464
PBD,12.3299,PowerShares Global Clean Energy,0.0,0.0,0.0
MANU,24.0,曼联,1001.655647,6.290521,0.02416
HCLP,12.4,Hi-Crush Partners LP,5.678154,1.289719,2.180286
CRC,39.45,California Resources Corporation,0.0,-2.409068,-8.102554
WRD,21.42,Wildhorse Resource Development Corp,0.0,2.122753,-1.633538
MN,2.7235,Manning & Napier,19.803549,0.263698,0.138864
FTK,2.46,Flotek工业,0.0,0.731408,-1.497401
WLL,48.06,Whiting Petroleum Corp,0.0,1.120975,-11.772764
OAK,41.45,橡树资本,19.709422,7.046819,2.12335
RJZ,7.82,Elements ETN-Rogers Metals,0.0,0.0,0.0
TCI,34.1,Transcontinental Realty Investor,52.020145,1.552608,0.670125
MCD,162.71,麦当劳,23.774014,-21.70544,6.885669
PFGC,33.1,Performance Food Group,17.350782,3.072457,1.948039
AXJV,35.975,iShares MSCI Asia ex Japan Minimum Volatility ETF,0.0,0.0,0.0
HFC,66.09,HollyFrontier,8.445666,2.007616,7.947272
TNP,3.38,Tsakos Energy Navigation Ltd,0.0,0.185605,-0.718773
LB,29.89,L Brands Inc,9.569757,-7.441885,3.177719
CNXT,25.375,Market Vectors中国中小企业板创业板ETF,634.292514,0.0,0.04
UVE,46.95,Universal Insurance Holdings Inc,12.445455,3.3609,3.810628
SNR,5.69,New Senior Investment Group Inc,0.0,1.150007,-0.407147
NVRO,59.68,Nevro Corp.,0.0,7.410352,-1.300127
EURN,8.575,Euronav NV,6.705427,0.753879,1.29
CNDT,22.38,Conduent Inc,32.481407,1.366985,0.697322
T,34.05,美国电话电报,6.613397,1.350364,5.14486
COPX,22.58,铜矿ETF-Global X,0.0,0.0,0.0
USL,26.363,United States 12 Month Oil Fund,0.0,0.0,-20.16
IX,84.15,欧力士,7.502765,4.564726,11.216025
WCHN,27.062,WisdomTree ICBCCS S&P China 500 Fund,0.0,0.0,0.0
SHI,59.52,上石化,5.742133,1.423416,10.3115
WTI,7.64,W&T Offshore Inc,12.993031,-2.117135,0.594157
KFYP,30.97,KraneShares CSI New China ETF,0.0,0.0,0.0
TALO,31.49,"Talos Energy, Inc.",0.0,2.503099,-0.902067
LTM,9.85,LATAM Airlines Group SA,28.802363,1.676084,0.343201
LFC,11.45,中国人寿,11.35446,1.276529,1.009295
ARNC,22.68,美国铝业Arconic,0.0,2.155428,-0.871634
XINA,18.89,SPDR Index Shares Funds,0.0,0.0,0.0
FEM,25.38,First Trust Emerging Markets AlphaDEX Fund,7.001846,0.0,3.63
KFS,3.05,汇富金融服务,0.0,1.525533,-0.48
JT,4.9,简普科技,0.0,3.286297,-0.297373
IRS,17.1,IRSA Inversiones y Representacio,1.908183,0.263885,9.00338
VLO,111.0,瓦莱罗能源,10.871752,2.20502,10.330441
MCY,50.41,默邱利通用,33.624638,1.648774,1.515258
HRB,25.91,H&R Block Inc,9.272066,28.006251,2.821917
BH,187.0,Biglari Holdings,99.536472,1.088006,1.911862
DRD,1.89,DRDGOLD Ltd ADS,164.722648,1.255842,0.011231
EWZS,11.7,Ishares Msci Brazil Small Cap In,0.0,0.0,0.0
UWT,40.15,三倍做多原油ETN,0.0,0.0,0.0
NOC,302.81,诺斯罗普格鲁曼,23.848857,6.482653,12.843089
GLL,83.39,二倍做空黄金ETF(ProShares),0.0,0.0,0.0
FNGD,25.93,Bank of Montreal BMO REX MicroSectors FANG+ Index 3X Inverse Leveraged,0.0,0.0,0.0
NYRT,17.45,New York REIT Inc.,0.0,0.318528,-5.003108
GLF,36.4,格尔马克,0.0,0.922532,-13.014388
BSBR,8.75,桑坦德巴西分行,11.052728,0.750262,0.801612
GTN,17.5,格林电视,5.604559,1.49739,3.144529
WPG,7.32,Washington Prime Group Inc.,22.220888,1.643718,0.333245
MTOR,21.05,美驰,5.764411,6.759657,3.688148
CHN,19.73,中国基金,3.806023,0.820963,5.18783
KR,29.44,克罗格,4.351524,3.216885,6.809109
TECK,25.3,泰克资源有限公司,19.003731,0.987706,1.34
APO,35.57,阿波罗全球管理,19.481853,7.236239,1.835041
BHP,49.08,必和必拓,35.206513,1.415411,1.392072
VOC,5.2,Voc Energy Trust,10.769091,1.231622,0.495
DDF,12.66,Delaware Investments Dividend &,12.406466,1.119197,1.03172
GREK,8.415,Global X FTSE Greece 20 ETF,0.0,0.0,0.0
MLR,26.65,Miller Industries Inc,11.00479,1.449057,2.462564
CNHI,12.47,CNH Industrial N.V.,27.838569,3.732972,0.450993
FRO,5.43,Frontline,0.0,0.811862,-1.819707
SAFE,18.8,Safety Income & Growth Inc.,1052.439062,0.930231,0.017773
RJN,3.36,Elements ETN-Rogers Energy,0.0,0.0,0.0
AIR,45.16,AAR公司,102.964913,1.657053,0.438596
CVIA,9.52,Covia Holdings Corp.,0.083615,0.714285,114.812103
RHI,70.67,罗伯特哈夫,25.844165,7.738041,2.760391
SRTY,20.99,罗素2000指数三倍做空ETF-ProShares,0.0,0.0,0.0
EWZ,33.09,巴西ETF-iShares MSCI,4.540734,0.656888,7.367003
SEA,10.395,Guggenheim Shipping ETF,0.0,0.0,0.0
BBL,43.87,必和必拓,31.456707,4.192153,1.392072
THG,117.115,汉诺威保险,21.910824,1.712688,5.402353
AP,6.9,安博科-匹兹堡,0.0,0.566328,-0.600061
EL,143.79,雅诗兰黛,48.039287,11.329132,3.010869
BRT,11.97,BRT房地产信托,5.263599,0.946918,2.279809
UGAZ,67.98,三倍做多天然气ETN(VelocityShares),0.0,0.0,0.0
EBR,3.82,巴西电力,0.0,0.117374,-0.239866
KKR,28.16,KKR & Co L.P.,12.097726,1.885483,2.349202
APC,64.1,阿纳达科石油,84.23503,3.725803,0.76892
LBJ,21.11,Direxion Daily Latin America Bul,0.0,0.0,0.0
PBH,38.17,普雷斯蒂奇,6.004729,1.714918,6.413279
SWN,5.65,美国西南能源,5.39046,1.479779,1.061134
APB,13.59,亚太基金,4.494467,0.883726,3.023718
