code,open,name,pe,pb,eps
PLCY,23.12,US Tax Reform Fund,0.0,0.0,0.0
HEB,0.24,Hemispherx Biopharma Inc,0.0,1.220646,-0.225237
UTG,31.15,Reaves Utility Income Fund,0.0,1.010137,-1.519504
IETC,28.15,iShares Evolved U.S. Technology ETF,0.0,0.0,0.0
MXC,4.91,Mexco Energy Corp,0.0,1.189771,-0.005654
AIIQ,24.7499,AI Powered International Equity ETF,0.0,0.0,0.0
EIV,11.5,Eaton Vance Municipal Bond Fun,50.149023,0.886017,0.230164
COM,25.021,Direxion Auspice Broad Commodity Strategy ETF,0.0,0.0,0.0
THM,0.4378,International Tower Hill Mines,0.0,1.222627,-0.0507
JRS,9.93,Nuveen Real Estate Income Fund,20.132248,0.917495,0.495583
TMP,83.41,Tompkins Financial,20.681534,2.191134,4.085548
DYLS,35.93,WisdomTree Dynamic Long/Short U.S. Equity Fund,0.0,0.0,0.0
DEUS,34.1555,DBX ETF Trust,0.0,0.0,0.0
DIVO,30.1648,Amplify YieldShares CWP Dividend & Option Income ETF,0.0,0.0,0.0
HUSV,24.2805,First Trust Exchange -Traded Fund III,0.0,0.0,0.0
MMV,12.612,Eaton Vance Massachusetts Munici,315.768355,0.855807,0.039871
PFFA,25.48,Virtus InfraCap U.S. Preferred Stock ETF,0.0,0.0,0.0
MVF,8.57,BlackRock MuniVest Fund,23.437265,0.911495,0.366937
IAGG,52.27,iShares International Aggregate Bond Fund,0.0,0.0,0.0
NSU,4.47,Nevsun Resources,112.250003,1.540444,0.04
PFFD,24.258,Global X U.S. Preferred ETF,0.0,0.0,0.0
EVBN,47.25,埃文斯万通金控,19.173172,1.843498,2.464381
FQAL,34.96,Fidelity Covington Trust Quality Factor ETF,0.0,0.0,0.0
FVAL,35.3756,Fidelity Covington Trust Value Factor ETF,0.0,0.0,0.0
ECF,10.3,Ellsworth Fund Ltd,11.849255,0.99878,0.869253
TRTY,25.329,Cambria Trinity ETF,0.0,0.0,0.0
GORO,5.06,Gold Resource,36.535734,2.439403,0.141779
FDLO,33.99,Fidelity Covington Trust Low Volatility Factor ETF,0.0,0.0,0.0
TMQ,1.91,Trilogy Metals Inc.,0.0,5.347785,-0.207743
SHE,77.57,SPDR SSGA Gender Diversity Index ETF,0.0,0.0,0.0
RIF,18.2,RMR Real Estate Income Fund,0.0,0.804021,-0.105755
DHY,2.6193,Credit Suisse High Yield Bond Fund,16.23315,0.970619,0.161355
NUAG,23.42,NuShares ETF Trust Enhanced Yield US Aggregate Bond ETF,0.0,0.0,0.0
AEF,6.89,"Aberdeen Emerging Markets Equity Income Fund, Inc.",2.41023,4.52735,2.854084
FDMO,35.23,Fidelity Covington Trust Momentum Factor ETF,0.0,0.0,0.0
TTAC,38.47,TrimTabs Float Shrink ETF,0.0,0.0,0.0
LFEQ,28.4661,VanEck Vectors NDR CMG Long/Flat Allocation ETF,0.0,0.0,0.0
FSP,8.08,Franklin Street Properties,0.0,1.012698,-0.008757
FAX,4.12,Aberdeen Asia-Pacific Income Fun,40.865718,0.802421,0.100818
SCHK,28.959,Schwab 1000 Index ETF,0.0,0.0,0.0
CCOR,25.68,Cambria Core Equity ETF,0.0,0.0,0.0
NML,8.75,Neuberger Berman MLP Income Fund,0.0,0.0,-0.2
ONEO,77.3072,SPDR Russell 1000 Momentum Focus ETF,0.0,0.0,0.0
XPL,0.383,Solitario Exploration & Royalty,0.0,0.757829,-0.037504
PPTY,28.37,PPTY U.S. Diversified Real Estate ETF,0.0,0.0,0.0
INS,11.24,Intelligent Systems Corp,35.614676,4.610675,0.315881
NBW,12.46,Neuberger Berman California Inte,47.569233,0.846792,0.261934
OUSM,29.01,O'Shares FTSE Russell Small Cap Quality Dividend ETF,0.0,0.0,0.0
NJV,12.76,Nuveen New Jersey Municipal Value Fund,24.400739,0.841988,0.522935
NBH,13.49,Neuberger Berman Intermediate Mu,38.1476,0.906493,0.354675
JUST,42.615,Goldman Sachs JUST U.S. Large Cap Equity ETF,0.0,0.0,0.0
IBDR,23.2746,ISHARES TRUST IBONDS DEC 2026 TERM CORP,0.0,0.0,0.0
HYLB,49.74,DBX ETF Trust,0.0,0.0,0.0
CTO,62.35,Consolidated-Tomoka Land,6.829778,1.670468,9.126153
BCV,22.94,Bancroft Fund Ltd,10.251066,0.934497,2.224159
IEIH,27.18,iShares Evolved U.S. Innovative Healthcare ETF,0.0,0.0,0.0
NULV,30.8828,NuShares ESG Large-Cap Value ETF,0.0,0.0,0.0
JPST,50.25,JPMorgan Ultra-Short Income ETF,0.0,0.0,0.0
ESGV,51.49,Vanguard World Funds,0.0,0.0,0.0
NUSC,32.05,NuShares ESG Small-Cap ETF,0.0,0.0,0.0
USHY,48.8541, iShares Broad USD High Yield Corporate Bond ETF,0.0,0.0,0.0
UCON,25.17,First Trust TCW Unconstrained Plus Bond ETF,0.0,0.0,0.0
ZJPN,79.15,SPDR MSCI Japan StrategicFactors ETF,0.0,0.0,0.0
ZHOK,60.97,SPDR Solactive Hong Kong ETF,0.0,0.0,0.0
ZGBR,52.23,SPDR Solactive United Kingdom ETF,0.0,0.0,0.0
ZDEU,60.0748,SPDR Solactive Germany ETF,0.0,0.0,0.0
ZCAN,59.216,SPDR Solactive Canada ETF,0.0,0.0,0.0
XUSA,30.875,QuantX Dynamic Beta US Equity ETF,0.0,0.0,0.0
XU,15.85,Elkhorn S&P MidCap Utilities Portfolio,0.0,0.0,0.0
XS,14.03,Elkhorn S&P MidCap Consumer Staples Portfolio,0.0,0.0,0.0
XRA,1.55,Exeter Resource Corp,0.0,9.987829,-0.06
XMX,30.69,WisdomTree Global ex-Mexico Equity Fund,0.0,0.0,0.0
XM,16.07,Elkhorn S&P MidCap Materials Portfolio,0.0,0.0,0.0
XF,15.2529,Elkhorn S&P MidCap Financials Portfolio,0.0,0.0,0.0
XD,15.0094,Elkhorn S&P MidCap Consumer Discretionary Portfolio,0.0,0.0,0.0
WFIG,47.7116,WisdomTree Fundamental U.S. Corporate Bond Fund,0.0,0.0,0.0
WFHY,49.9445,WisdomTree Fundamental U.S. High Yield Corporate Bond Fund,0.0,0.0,0.0
VSL,25.825,Volshares Large Cap ETF,0.0,0.0,0.0
VGFO,26.7498,Virtus WMC Global Factor Opportunities ETF,0.0,0.0,0.0
VCF,14.6,Delaware Investments Colorado Mu,22.607233,0.980174,0.645811
VALQ,41.73,American Century STOXX U.S. Quality Value ETF,0.0,0.0,0.0
UUU,1.35,Universal Security Instruments I,0.0,0.26182,-0.932807
USVM,56.0,USAA MSCI USA Small Cap Value Momentum Blend Index ETF,0.0,0.0,0.0
USTB,49.4125,USAA Core Short-Term Bond ETF,0.0,0.0,0.0
ULVM,54.03,USAA MSCI USA Value Momentum Blend Index ETF,0.0,0.0,0.0
ULBR,39.3875,Citigroup Global Markets Holdings Inc.,0.0,0.0,0.0
UJUL,25.6,Innovator S&P 500 Ultra Buffer ETF,0.0,0.0,0.0
UEVM,45.72,USAA MSCI Emerging Markets Value Momentum Blend Index ETF,0.0,0.0,0.0
UAVS,1.67,"AgEagle Aerial Systems, Inc.",0.0,5.058088,-0.229216
TRT,4.387,Trio-Tech International,17.968756,0.696886,0.244146
TLEH,28.6,FlexShares Currency Hedged Morningstar EM Factor Tilt Index Fund,0.0,0.0,0.0
TLDH,28.49,FlexShares Currency Hedged Morningstar DM ex-US Factor Tilt Index Fund,0.0,0.0,0.0
TKAT,0.9,"Takung Art Co., Ltd.",0.0,0.585426,-0.258099
TFIV,24.92,Global X MSCI Colombia ETF,0.0,0.0,0.0
TBLU,29.2136,Tortoise Water Fund,0.0,0.0,0.0
TAXF,50.02,American Century Diversified Municipal Bond ETF,0.0,0.0,0.0
SZNE,26.25,Pacer CFRA-Stovall Equal Weight Seasonal Rotation ETF,0.0,0.0,0.0
STS,21.0,Supreme Industries Inc,23.696682,2.989438,0.8862
SSY,1.26,Sunlink Health Systems Inc,0.0,0.502781,-0.276726
SRVR,27.0,Pacer Benchmark Data & Infrastructure Real Estate SCTR ETF,0.0,0.0,0.0
SPAB,27.635,SPDR Barclays Aggregate Bond ETF,0.0,0.0,0.0
SIM,8.97,Grupo Simec S.A. de C.V. ADS,13.942752,0.803437,0.643345
SGB,23.0037,Southwest Georgia Financial Corp,14.466371,1.396532,1.59015
SFIG,48.9199,WisdomTree Fundamental U.S. Short-Term Corporate Bond Fund,0.0,0.0,0.0
SFHY,50.4976,WisdomTree Fundamental U.S. Short-Term High Yield Corporate Bond Fund,0.0,0.0,0.0
RPUT,26.529,WisdomTree CBOE Russell 2000 PutWrite Strategy Fund,0.0,0.0,0.0
RIDV,25.36,Oppenheimer International Ultra Dividend Revenue ETF,0.0,0.0,0.0
RIC,9.6,Richmont Mines Inc,46.738071,3.521288,0.2054
REDV,23.76,Oppenheimer Emerging Markets Ultra Dividend Revenue ETF,0.0,0.0,0.0
