code,open,name,pe,pb,eps
VRNA,12.11,Verona Pharma plc,0.0,1.638429,-3.343136
DLHC,6.1,DLH Holdings Corp,64.467594,1.960216,0.095707
WWR,0.195,Westwater Resources Inc,0.0,0.347912,-1.392746
JVA,4.59,Coffee Holding Co,26.947922,1.069548,0.176637
PRQR,20.0,ProQR Therapeutics N.V.,0.0,29.266662,-1.726874
AUTO,3.29,Autobytel Inc,0.0,0.798039,-6.778901
CREG,1.2,盈丰科技,0.0,0.049749,-1.380928
MHLD,2.7,Maiden Holdings,0.0,0.366574,-2.208473
KIDS,31.24,Orthopediatrics Corp,0.0,9.762186,-3.37446
JCTCF,8.35,朱伊特卡梅伦贸易,7.522522,0.95556,1.11
OMEX,7.75,奥德赛海洋探索,0.0,-2.692926,-0.711754
FCA,28.04,First Trust China AlphaDEX Fund,8.996827,0.0,3.12
YTRA,5.33,"Yatra Online, Inc. ",0.0,0.084823,-0.490234
CHEK,3.65,Check Cap Ltd,0.0,1.070667,-4.728167
DBVT,25.69,DBV Technologies S.A.,0.0,5.074273,-3.51636
CPSS,3.92,Consumer Portfolio Services,55.419994,0.486514,0.072537
ASPU,6.82,Aspen Group Inc.,0.0,4.103053,-0.594884
SLNO,2.08,Capnia Inc,0.0,2.812455,-1.328554
OSTK,27.05,Overstock.com,0.0,6.555148,-7.693244
TANH,1.62,Tantech Holdings,11.51335,0.475479,0.145049
AIRT,33.6,Air T,16.594141,2.45434,2.024811
VTVT,0.8145,vTv Therapeutics Inc.,0.0,-0.162975,-1.431307
NMRD,3.11,"Nemaura Medical, Inc.",0.0,209.076098,-0.017352
AXTI,7.35,AXT Inc,20.040702,1.557649,0.370496
DSGX,34.45,The Descartes Systems Group Inc,103.749999,5.558871,0.34
BWEN,2.23,"Broadwind Energy, Inc.",0.0,0.625714,-1.327425
PIH,6.25,"1347 Property Insurance Holdings, Inc.",48.222497,0.846567,0.133755
CVLY,30.13,Codorus Valley Bancorp,18.35788,1.626194,1.687014
NSIT,54.52,Insight Enterprises,16.408827,2.17337,3.385312
DGLD,57.85,Velocitysharestm 3X Inverse Gold,0.0,0.0,0.0
OCC,4.25,Optical Cable Corporation,49.248258,1.27271,0.088328
CLDX,0.4328,塞德斯医疗,0.0,0.555653,-1.168029
WHLRD,20.43,"Wheeler Real Estate Investment Trust, Inc. Series D Cumulative Preferred Stock",0.0,0.0,-1.89
IRIX,6.5,艾里德克斯,0.0,3.600922,-1.304904
SNFCA,5.45,Security National Financial Corp,6.098901,0.63818,0.91
TWMC,0.88,Trans World Entertainment Corp,0.0,0.230095,-1.606062
AGTC,4.45,Applied Genetic Technologies Corporation,0.0,0.82254,-1.17647
AMAL,18.11,Amalgamated Bank,0.0,0.0,0.0
OIIM,2.17,凹凸科技,10.796688,0.676454,0.205526
PNRG,71.575,PrimeEnergy Corporation,6.933673,1.563699,10.322811
SGOC,0.91,上为集团,0.0,0.272702,-0.988746
FAT,8.78,Fat Brands Inc,0.0,15.118784,-0.056157
ICON,0.252,艾康尼斯,0.0,-0.141583,-10.1318
FNJN,4.56,"Finjan Holdings, Inc.",2.921643,1.950585,1.584725
ACAD,20.25,阿卡迪亚,0.0,9.222551,-2.028024
WMGIZ,1.4,Wright Medical Group Inc. - Con,0.0,0.0,0.0
AMD,31.18,AMD,97.201415,35.334966,0.327773
ATEC,3.22,ALPHATEC控股公司,8.655975,4.601558,0.378929
CART,8.2713,加州信托银行,41.940896,1.254674,0.201474
MVIS,1.16,维视图像,0.0,9.416323,-0.358947
VCTR,8.82,Victory Capital Holdings Inc.,11.282252,1.44293,0.792395
GOV,11.5,GOV基金,50.481027,0.911968,0.233355
MYFW,17.75,First Western Financial Inc,99.973866,1.365043,0.179847
EDAP,2.83,Edap Tms SA,0.0,2.836541,-0.048945
AEY,1.39,ADDvantage Technologies Group,0.0,0.371785,-0.266172
LGIH,49.45,LGI Homes Inc,7.623188,1.983584,6.537947
CASS,66.42,卡斯信息系统,29.858283,3.679163,2.271229
DMLP,18.9,多尔切斯特,13.130368,6.936914,1.462259
AXAS,2.38,阿布拉克萨斯石油,0.0,3.672617,-0.03244
EMCF,36.39,恩克莱尔金融,16.387619,1.403309,2.243157
CWCO,14.4,Consolidated Water Co Ltd,152.411969,1.456694,0.095793
SBBX,26.55,苏塞克斯银行,28.841155,1.421017,0.932695
IMRN,9.6,Immuron Ltd,0.0,1.201672,-0.68048
DTUS,41.81,iPath US Treasury 2-year Bear ET,0.0,0.0,0.0
IRMD,31.5,iRadimed Corporation,133.192996,9.510148,0.241792
GURE,1.11,海湾资源,0.0,0.144259,-0.663828
EDGE,0.73,Edge Therapeutics,0.0,0.695286,-1.887552
ASNA,4.11,Ascena,0.0,1.060456,-0.45821
TNDM,43.45,Neutral Tandem Inc.,0.0,96.977919,-4.029631
EA,114.12,电子艺界,51.244901,6.710638,2.259737
NHLD,3.48,National Holdings Corporation,0.0,0.913394,-0.471217
ATRI,641.6,Atrion公司公司,35.800101,6.127303,18.296038
ORIG,32.38,Ocean Rig UDW Inc,187.126085,1.350833,0.176512
MFNC,16.4,Mackinac Financial Corporation,26.737689,1.200338,0.623846
DWSN,5.97,道森地探,0.0,1.042698,-0.638558
CRESY,15.11,Cresud S.A.C.I.F. y A.,0.0,0.050256,-0.5
FLWS,11.2,1-800-Flowers.Com Inc,18.19133,2.353689,0.630795
EYEG,0.3515,"Eyegate Pharmaceuticals, Inc.",0.0,1.154237,-0.584044
SGLB,1.02,"Sigma Labs, Inc",0.0,2.058279,-1.051323
NXEOU,13.0,"Nexeo Solutions, Inc.",0.0,0.862271,-1.0454
TRCH,1.04,Torchlight Energy Resources Inc,0.0,3.613632,-0.029567
BGFV,5.1,Big 5体育用品,0.0,0.618819,-0.396205
DVCR,6.85,Diversicare Healthcare Services,0.0,7.239987,-1.103832
FRGI,25.85,Fiesta Restaurant Group,0.0,2.881059,-0.205137
BASI,1.62,Bioanalytical Systems,58.643653,2.018689,0.02868
HLIT,5.4,谐波,0.0,2.065674,-0.529887
EKSO,2.05,Ekso Bionics Holdings Inc,0.0,16.911169,-0.485856
UONE,2.3,第一电台,0.984167,2.731594,2.43353
DAIO,5.29,Data I/O Corporation,11.339503,1.990904,0.471802
LIFE,0.83,Life Technologies Corporation,0.0,0.552736,-1.500937
ACIU,8.53,AC Immune SA,0.0,6.090585,-0.490564
CXSE,73.77,WisdomTree China ex-State-Owned Enterprises Fund,0.0,0.0,0.0
IMOS,14.85,南茂科技,63.032582,0.035,0.2394
SUNW,0.541,"Sunworks, Inc.",0.0,1.195724,-0.382643
TRUE,13.92,"TrueCar, Inc.",0.0,4.467482,-0.337498
INWK,7.96,InnerWorkings,99.795894,1.617438,0.08084
SIMO,55.5,慧荣科技,24.224646,3.5881,2.258031
MMYT,27.9,MakeMyTrip Limited,0.0,1.969196,-1.974083
FNLC,28.82,第一万通金控,14.9443,1.751663,1.97935
SINO,1.13,中环球船务,6.300295,0.563497,0.174595
OPK,4.3,Opko Health,0.0,1.360396,-0.548497
AEMD,1.2,Aethlon Medical Inc,0.0,4.133863,-0.316509
TRUP,33.71,Trupanion,0.0,9.735515,-0.075268
NTES,219.01,网易,26.454144,4.161053,8.206654
CDTX,4.15,"Cidara Therapeutics, Inc.",0.0,1.423705,-3.32824
KE,19.35,"Kimball Electronics, Inc.",31.548362,1.465517,0.626023
PGLC,1.11,Pershing Gold Corporation,0.0,1.135335,-0.509026
SNDE,5.5,Sundance Energy Australia Limited,0.0,0.197791,-3.0376
SBUX,56.61,星巴克,17.820849,19.418223,3.223191
ALSK,1.7,阿拉斯加通信系统,31.47027,0.552228,0.054337
JOUT,94.7,约翰逊户外,20.749799,3.378423,4.646792
AIHS,5.15,爱鸿森,0.0,11.200312,-0.465743
GLNG,27.93,Golar海运,0.0,1.668817,-0.245766
STKL,7.1,SunOpta,0.0,1.737402,-0.62
RDHL,7.97,Redhill Biopharma Ltd,0.0,5.293998,-2.4185
CBRL,145.42,CB乡村店,14.33232,6.100899,10.313752
ATNX,16.44,Athenex Inc.,0.0,8.982856,-1.43573
LTRPA,14.2,"Liberty TripAdvisor Holdings, Inc.",0.0,0.199662,-0.54
NAII,10.0,Natural Alternatives Internation,13.344289,1.124848,0.760625
NXTD,1.5,Nxt-ID Inc.,0.0,1.910503,-0.533817
IDSA,2.32,美国工业服务,54.578816,1.572848,0.043057
DRYS,5.25,DryShips Inc,0.025888,0.736435,204.731049
REGI,26.35,Renewable Energy Group,4.804045,1.292512,5.537
BLPH,1.2,"Bellerophon Therapeutics, Inc.",0.0,-8.771268,-0.819456
RUBY,20.91,Rubius Therapeutics Inc.,0.0,-23.866263,-8.773347
PINC,43.3,Premier Inc.,12.242453,-1.629994,3.566687
FTDRV,39.95,Frontdoor Inc.,0.0,0.0,0.0
AMRB,15.61,里弗银行,27.786381,1.264413,0.561786
GRIF,38.63,Griffin Land & Nurseries,0.0,2.069364,-0.11376
TRIL,6.0,Trillium Therapeutics Inc.,0.0,5.03911,-3.65
CNXN,38.94,"PC Connection, Inc.",16.648417,2.064796,2.367192
ODP,3.3,欧迪办公,18.816766,0.860226,0.177767
PFMT,1.79,Performant Financial Corporation,0.0,1.100553,-0.048846
TUES,3.0,Tuesday Morning Corp,0.0,0.776067,-0.495415
PRPH,3.05,ProPhase Labs,19.622603,1.714889,0.155433
OILU,59.44,AccuShares S&P GSCI Crude Oil Excess Return Up Shares,0.0,0.0,0.0
CLDC,0.8,中国贷款公司,0.0,3.339192,-6.524339
VERU,1.83,Veru Inc.,0.0,2.851327,-0.420743
TXN,110.5,德州仪器,24.808278,10.081701,4.445089
AEIS,52.67,先进能源工业公司,14.41864,3.526735,3.720878
CUR,1.12,Neuralstem Inc,0.0,2.74863,-0.31285
WEBK,34.75,Wellesley Bancorp,19.65878,1.360835,1.767658
ARKR,22.76,Ark Restaurants Corp,15.761959,1.869602,1.443983
CENX,13.09,世纪铝业,16.446739,1.368799,0.810495
MACK,5.68,Merrimack Pharmaceuticals,0.0,1.229809,-3.338142
LMFA,0.507,"LM Funding America, Inc",0.0,2.008302,-2.133415
PRVB,4.19,"Provention Bio, Inc",0.0,-9.267505,-2.135024
DRIO,1.0,LabStyle Innovations Corp,0.0,6.133071,-0.994627
NKSH,45.25,National Bankshares,22.621987,1.729657,2.042261
SHOS,3.25,Sears Hometown and Outlet Stores,0.0,0.484195,-2.769447
PBIP,17.63,宾夕法尼亚保德信,23.599178,1.228879,0.760196
MTFB,8.65,Motif Bio plc,0.0,15.341818,-4.6
SYKE,30.39,赛科斯企业,56.891987,1.623999,0.541201
HTHT,31.51,华住,46.66022,8.753683,0.674236
VRCA,16.51,Verrica Pharmaceuticals Inc.,0.0,4.234206,-3.642549
JTPY,1.65,JetPay Corp,0.0,-4.894179,-0.827934
KANG,17.39,爱康国宾,0.0,3.456958,-0.252353
MRCY,52.39,Mercury Systems Inc,60.634317,3.327885,0.875082
