code,name,pe,pb,eps
BB,黑莓,0.0,2.252912,-2.31
MTSL,MER Telemanagement Solutions Ltd,0.0,2.860192,-0.590998
BCOM,B Communications Ltd,0.0,0.877448,-1.25
MBII,Marrone Bio Innovations Inc,0.0,9.566954,-0.581951
EVOK,Evoke Pharma Inc.,0.0,8.007384,-0.610222
SIC,"Select Interior Concepts, Inc.",0.0,0.0,0.0
WSTL,Westell Technologies,78.729358,0.854536,0.036454
YVR,Leading Brands Inc,0.0,17.386929,-0.795836
TPIC,"TPI Composites, Inc.",29.173406,4.236642,0.987886
CLSD,Clearside Biomedical Inc.,0.0,3.232587,-2.641552
FAMI,"Farmmi, Inc.",12.747187,4.980233,0.327131
VNOM,Viper Energy Partners LP,16.927755,12.751864,2.356485
GRIN,Grindrod Shipping Holdings Ltd.,0.0,0.56643,-602.045349
PTNR,Partner Communications Company L,182.858512,2.017264,0.024992
PPSI,Pioneer Power Solutions Inc.,0.0,2.648843,-1.388934
BL,Blackline Inc.,0.0,8.842451,-0.69632
AKAO,Achaogen Inc,0.0,4.036282,-3.731329
KELYA,凯利服务,8.309904,0.0,3.13
OMER,奥麦罗制药,0.0,-19.079936,-1.822916
RGLD,皇家黄金,0.0,2.44051,-1.732742
PYPL,PayPal,52.912974,7.100932,1.702796
TSEM,Tower Semiconductor Ltd,7.672435,1.882169,2.726644
CZNC,市民北方,21.083484,1.858724,1.357935
ASTC,Astrotech Corporation,0.0,1.822934,-2.899891
VSTM,Verastem,0.0,5.441095,-1.763815
STRT,Strattec Security Corporation,10.396941,0.788942,3.385611
WHLRD,"Wheeler Real Estate Investment Trust, Inc. Series D Cumulative Preferred Stock",0.0,0.0,-1.89
ATAI,ATA公司,0.0,4.577786,-0.343423
SND,Smart Sand Inc.,7.498404,1.106375,0.717486
COWN,Cowen Group,0.0,0.64833,-1.906824
APTI,Apptio Inc,0.0,11.156095,-0.592171
LBTYA,自由全球,12.709524,0.0,2.1
CYHHZ,Community Health Systems Inc. - Series A Contingent Value Right,0.0,0.0,0.0
QLYS,科力斯,114.626058,9.614877,0.785598
TURN,180 Degree Capital Corp.,5.130117,0.817009,0.463927
JTPY,JetPay Corp,0.0,-4.967227,-0.827934
NBRV,Nabriva Therapeutics AG,0.0,2.430784,-0.219641
YNDX,Yandex,15.71863,3.64025,2.022441
KTOV,Kitov Pharamceuticals Holdings Ltd,0.0,1.321539,-4.4
WEYS,Weyco Group,22.203137,1.959134,1.726783
AGEN,艾吉纳斯公司,0.0,-2.080555,-1.488303
URGN,Urogen Pharma Ltd.,0.0,6.183549,-1.72267
ELGX,恩多勒吉克斯,0.0,5.194533,-0.862985
NANO,耐诺,21.319923,3.825673,2.070364
CKPT,"Checkpoint Therapeutics, Inc.",0.0,5.513501,-1.102909
AMSWA,美国软件,33.865386,4.620993,0.52
KINS,金石保险,33.644283,2.331582,0.576621
SFET,Safe-T Group Ltd.,0.0,8.288387,-5.40896
QRHC,Quest Resource Holding Corp,0.0,0.534641,-0.294956
ADUS,爱德斯,47.689708,4.438957,1.373462
ATTU,Attunity Ltd,0.0,7.159367,-0.091913
PSAU,PowerShares Global Gold & Precio,0.0,0.0,0.0
MDB,MongoDB Inc.,0.0,20.612775,-3.14617
ACMR,Acm Research Inc.,25.050891,4.702123,0.538903
COLL,"Collegium Pharmaceutical, Inc.",0.0,6.718193,-1.932955
LIFE,Life Technologies Corporation,0.0,0.41975,-1.500937
