code,name,pe,pb,eps
UTI,Universal Technical Institute In,0.0,1.011004,-1.103333
YEXT,Yext Inc.,0.0,30.552434,-0.639546
COTY,科蒂,0.0,1.016361,-0.225156
CLF,克里夫天然资源公司,6.406844,-9.610769,1.542101
BBL,必和必拓,30.752721,4.098334,1.392072
CPA,科帕控股,8.948688,1.578268,9.215877
TSE,Trinseo,8.988009,4.067106,8.516903
GOAU,GO GOLD Kitco U.S. Global Precious Minerals Equity ETF GO GOLD Kitco U.S. G,0.0,0.0,0.0
JT,简普科技,0.0,3.900633,-0.24141
CVE,Cenovus能源,0.0,0.797563,-0.5
OBE,畔西能源信托,0.0,0.318219,-0.851
ERUS,iShares MSCI Russia Capped ETF,0.0,0.0,0.0
USD,ProShares Ultra Semiconductors,0.0,0.0,0.0
JCP,彭尼百货,0.0,0.473753,-0.137789
NAV,纳威司达,24.12372,-0.922359,1.75429
SEND,"SendGrid, Inc.",0.0,8.267472,-0.375319
KOP,科佩斯控股,31.189488,8.199091,1.122173
CRS,卡朋特科技,14.74621,1.85618,3.957627
WIT,Wipro Ltd ADS,19.84605,0.050546,0.261513
VNTR,Venator Materials PLC,3.218158,0.9548,3.69466
SID,巴西国家黑色冶金,4.144997,0.444466,0.537998
NOK,诺基亚,0.0,1.865416,-0.235107
QTWO,Q2 Holdings Inc,0.0,17.25148,-0.616949
GCE,Claymore CEF Index Linked GS Con,0.0,0.0,0.0
WAIR,Wesco Aircraft Holdings,0.0,1.917429,-0.136418
SFUN,搜房网,0.0,1.80248,-0.024884
TSU,堤姆通信服务,16.692447,1.93272,0.882435
SE,Sea Ltd,0.0,21.603989,-3.167076
AYX,Alteryx Inc.,0.0,18.554193,-0.203324
GDX,黄金矿业ETF(Market Vectors),0.0,0.0,-3.21272
TWI,Titan International Inc,0.0,1.492188,-0.51477
CXO,康休,18.282708,2.778602,7.547569
MPC,马拉松石油,10.296475,2.52729,8.14065
GHM,Graham Corp,0.0,2.63208,-0.866828
RSX,俄罗斯ETF-Market Vectors,0.0,0.0,0.0
KB,韩国国民银行,5.703958,0.600975,8.076848
AHL,阿斯彭保险控股有限公司,0.0,0.990882,-7.691012
ASHR,德银沪深300指数ETF,0.0,0.0,0.0
SVM,希尔威,0.0,1.546857,-0.61
RGR,斯特姆-鲁格,21.707708,4.30447,2.833095
ATHM,汽车之家,25.463291,6.860269,3.118607
WTI,W&T Offshore Inc,10.863688,-1.801782,0.604767
LND,Brasilagro Brazilian Agric Real,6.133636,0.27771,0.570624
XPP,二倍做多富时中国50ETF(ProShares),0.0,0.0,0.0
AP,安博科-匹兹堡,0.0,0.631051,-0.600061
DS,Drive Shack Inc,0.0,2.908265,-0.764936
IGV,iShares North American Tech-Software ETF,5.389462,1.523753,37.083481
HCI,Homeowners Choice Inc,0.0,2.049165,-0.86429
INST,"Instructure, Inc.",0.0,10.465601,-1.667909
EOCC,Empresa Nacional de Electricidad S.A.,9.536906,0.086972,2.13801
VLRS,Controladora Vuela Compania de Aviacion SAB de CV,92.898889,1.589836,0.08041
GKOS,Glaukos Corp,0.0,10.403258,-0.164873
BDD,PowerShares DB Base Metals Doubl,0.0,0.0,0.0
RING,iShares MSCI Global Gold Miners ETF,0.0,0.0,0.0
CLDR,Cloudera Inc.,6.858603,6.951538,2.048522
DE,迪尔股份有限公司,22.345741,4.532838,6.478192
USOU,United States 3x Oil Fund,0.0,0.0,0.0
CAI,CAI International Inc.,5.526335,0.783011,4.619698
SCCO,Southern Copper Corp,34.480777,5.256139,1.286804
PEK,中国ETF-Market Vectors,0.0,0.0,0.0
EUXL,Direxion Daily EURO STOXX 50 (R) Bull 3X Shares Direxion Daily EURO STOXX 5,0.0,0.0,0.0
KBA,KraneShares Bosera MSCI China A ETF,0.0,0.0,0.0
THS,树屋食品,0.0,1.365527,-5.867786
AU,AngloGold Ashanti Ltd ADS,169.605477,1.228361,0.046107
SEAS,SeaWorld Entertainment Inc.,0.0,9.001952,-0.057911
JBT,约翰宾技术,45.156624,8.736464,2.513474
UPL,Ultra Petroleum Corp,0.0,-0.21918,-0.418082
SSTK,Shutterstock Inc,46.745717,5.159153,1.132938
GRA,格雷斯事务所,616.452646,16.541404,0.115094
SLX,Market Vectors Steel Index Fund,0.0,0.0,0.0
MUR,墨菲石油,0.0,1.163492,-0.807767
NE,诺布尔,0.0,0.355843,-3.617433
MANU,曼联,1043.046376,6.55046,0.02416
UYM,基础材料指数ETF-ProShares两倍做多,0.0,0.0,0.0
UBR,ProShares Ultra MSCI Brazil,0.0,0.0,0.0
PLD,普洛斯,18.757716,2.672185,3.52335
KDMN,Kadmon Holdings LLC,0.0,4.447764,-0.61475
HILO,EGShares Emerging Markets High I,0.0,0.0,0.0
BDC,百通公司,107.776193,2.082299,0.681876
ASA,ASA百慕大基金,0.0,0.741461,-1.335158
AEG,荷兰全球保险,4.372934,0.448112,1.365216
FNG,AdvisorShares New Tech and Media ETF,0.0,0.0,0.0
BHP,必和必拓,34.811419,1.399527,1.392072
KEP,韩国电力,98.448449,0.134303,0.139667
TYG,陆龟能源基建基金,102.368394,1.095164,0.283779
