code,exp2015,exp2016,exp2017,exp2018,income2015,income2016,income2017,income2018,net2015,net2016,net2017,net2018,sale2015,sale2016,sale2017,sale2018
ACV,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ACWI,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ACWV,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ACWX,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ADAP,597.60万_--,1447.60万_142.24%,1861.50万_28.59%,2573.20万_38.23%,272.80万_--,291.80万_6.96%,285.70万_-2.09%,819.60万_186.87%,597.60万_--,1447.60万_142.24%,1861.50万_28.59%,2573.20万_38.23%,235.90万_--,526.70万_123.27%,646.30万_22.71%,1120.40万_73.36%
ADBE,2.16亿_--,2.37亿_9.72%,2.85亿_20.25%,3.49亿_22.46%,11.09亿_--,13.83亿_24.71%,16.82亿_21.62%,20.79亿_23.60%,2.16亿_--,2.37亿_9.72%,2.85亿_20.25%,3.49亿_22.46%,5.52亿_--,6.40亿_15.94%,6.90亿_7.81%,7.69亿_11.45%
ADC,0_0,0_0,--_--,--_--,0_0,0_0,--_--,--_--,0_0,0_0,--_--,--_--,0_0,0_0,248.10万_--,286.20万_15.36%
ADI,0_0,1.57亿_--,1.84亿_17.20%,2.89亿_57.07%,0_0,7.69亿_--,9.84亿_27.96%,15.67亿_59.25%,0_0,1.57亿_--,1.84亿_17.20%,2.89亿_57.07%,0_0,1.25亿_--,1.49亿_19.20%,2.84亿_90.60%
ADIL,0_0,0_0,4.45万_--,5.55万_24.72%,0_0,0_0,--_--,--_--,0_0,0_0,4.45万_--,5.55万_24.72%,0_0,0_0,12.51万_--,28.40万_127.02%
ADM,--_--,--_--,--_--,--_--,175.06亿_--,143.84亿_-17.83%,149.88亿_4.20%,155.26亿_3.59%,--_--,--_--,--_--,--_--,4.98亿_--,4.79亿_-3.82%,5.16亿_7.72%,5.13亿_-0.58%
