code,exp2015,exp2016,exp2017,exp2018,income2015,income2016,income2017,income2018,net2015,net2016,net2017,net2018,sale2015,sale2016,sale2017,sale2018
ACWI,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ACWV,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ACWX,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ADAP,163.40万_--,1684.70万_931.03%,2514.80万_49.27%,2276.90万_-9.46%,-148万_--,853.60万_676.76%,427.00万_-49.98%,147.90万_-65.36%,163.40万_--,1684.70万_931.03%,2514.80万_49.27%,2276.90万_-9.46%,-172.6万_--,634.50万_467.61%,882.20万_39.04%,1081.60万_22.60%
ADBE,2.21亿_--,2.58亿_16.74%,3.24亿_25.58%,4.16亿_28.40%,13.06亿_--,16.08亿_23.12%,20.07亿_24.81%,24.65亿_22.82%,2.21亿_--,2.58亿_16.74%,3.24亿_25.58%,4.16亿_28.40%,5.95亿_--,6.62亿_11.26%,7.62亿_15.11%,9.69亿_27.17%
ADC,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,242.30万_--,317.10万_30.87%
ADI,1.71亿_--,1.73亿_1.17%,2.74亿_58.38%,2.96亿_8.03%,9.79亿_--,10.04亿_2.55%,15.41亿_53.49%,15.97亿_3.63%,1.71亿_--,1.73亿_1.17%,2.74亿_58.38%,2.96亿_8.03%,1.39亿_--,1.37亿_-1.44%,4.83亿_252.55%,6.04亿_25.05%
ADIL,0_0,2.79万_--,5.20万_86.38%,4.76万_-8.46%,0_0,0.00元_--,0.00元_NaN%,0.00元_NaN%,0_0,2.79万_--,5.20万_86.38%,4.76万_-8.46%,0_0,5.97万_--,26.98万_351.93%,104.25万_286.40%
ADM,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,164.45亿_--,165.01亿_0.34%,160.70亿_-2.61%,159.47亿_-0.77%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,4.35亿_--,4.56亿_4.83%,4.59亿_0.66%,5.58亿_21.57%
ADMA,199.68万_4.02%,58.34万_-70.78%,120.48万_106.51%,-14.49万_-112.03%,251.22万_68.75%,332.75万_32.45%,1200.29万_260.72%,405.64万_-66.20%,199.68万_4.02%,58.34万_-70.78%,120.48万_106.51%,-14.49万_-112.03%,188.44万_69.46%,328.36万_74.25%,673.17万_105.01%,734.65万_9.13%
ADMP,103.57万_--,137.20万_32.47%,358.29万_161.14%,780.07万_117.72%,0.00元_--,247.00万_INF%,284.18万_15.05%,415.39万_46.17%,103.57万_--,137.20万_32.47%,358.29万_161.14%,780.07万_117.72%,182.68万_--,459.27万_151.41%,643.18万_40.04%,719.96万_11.94%
ADMS,969.70万_--,704.70万_-27.33%,644.50万_-8.54%,1059.70万_64.42%,52.40万_--,3.70万_-92.94%,56.80万_1435.14%,1331.50万_2244.19%,969.70万_--,704.70万_-27.33%,644.50万_-8.54%,1059.70万_64.42%,689.00万_--,828.30万_20.22%,2298.90万_177.54%,2758.20万_19.98%
ADNT,--_--,0.00元_--,0.00元_NaN%,0.00元_NaN%,41.62亿_--,38.97亿_-6.37%,39.79亿_2.10%,41.45亿_4.17%,--_--,0.00元_--,0.00元_NaN%,0.00元_NaN%,2.25亿_--,4.02亿_78.67%,1.27亿_-68.41%,1.33亿_4.72%
ADOM,0_0,-9.1万_--,3.00万_132.97%,4.50万_50.00%,0_0,0.00元_--,42.50万_INF%,118.40万_178.59%,0_0,-9.1万_--,3.00万_132.97%,4.50万_50.00%,0_0,129.10万_--,34.20万_-73.51%,133.10万_289.18%
ADP,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,26.95亿_--,28.98亿_7.53%,30.65亿_5.76%,33.19亿_8.29%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,7.25亿_--,7.70亿_6.21%,8.30亿_7.79%,8.37亿_0.84%
ADRO,2265.70万_--,2086.30万_-7.92%,2291.80万_9.85%,1761.30万_-23.15%,3437.60万_--,387.80万_-88.72%,375.60万_-3.15%,275.80万_-26.57%,2265.70万_--,2086.30万_-7.92%,2291.80万_9.85%,1761.30万_-23.15%,889.40万_--,815.60万_-8.30%,891.50万_9.31%,915.50万_2.69%
ADS,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,18.92亿_--,18.28亿_-3.38%,21.06亿_15.21%,20.56亿_-2.37%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,1.52亿_--,1.59亿_4.61%,1.65亿_3.77%,1.67亿_1.21%
ADSK,1.92亿_--,2.04亿_6.25%,1.87亿_-8.33%,1.82亿_-2.67%,6.65亿_--,6.48亿_-2.56%,4.79亿_-26.08%,5.54亿_15.66%,1.92亿_--,2.04亿_6.25%,1.87亿_-8.33%,1.82亿_-2.67%,3.70亿_--,3.59亿_-2.97%,3.67亿_2.23%,3.87亿_5.45%
ADSW,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,3.50亿_--,3.52亿_0.57%,3.84亿_9.09%,3.95亿_2.86%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,1.06亿_--,9480.00万_-10.57%,1.14亿_20.25%,1.14亿_0.00%
ADT,0_0,0.00元_--,0.00元_NaN%,0.00元_NaN%,0_0,10.51亿_--,11.06亿_5.23%,11.85亿_7.14%,0_0,0.00元_--,0.00元_NaN%,0.00元_NaN%,0_0,7.25亿_--,7.62亿_5.10%,8.08亿_6.04%
ADTN,2930.00万_--,3218.20万_9.84%,3155.00万_-1.96%,3109.20万_-1.45%,1.39亿_--,1.63亿_17.27%,1.27亿_-22.09%,1.40亿_10.24%,2930.00万_--,3218.20万_9.84%,3155.00万_-1.96%,3109.20万_-1.45%,3033.90万_--,3448.10万_13.65%,3141.20万_-8.90%,2807.90万_-10.61%
ADUS,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,0_0,8476.00万_2.57%,1.04亿_22.70%,1.12亿_7.69%,0_0,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,0_0,1473.90万_-15.31%,1868.00万_26.74%,2151.50万_15.18%,0_0
ADVM,719.20万_--,789.80万_9.82%,1201.40万_52.11%,1164.20万_-3.10%,96.00万_--,48.80万_-49.17%,46.10万_-5.53%,7.00万_-84.82%,719.20万_--,789.80万_9.82%,1201.40万_52.11%,1164.20万_-3.10%,537.40万_--,477.70万_-11.11%,404.20万_-15.39%,518.70万_28.33%
ADX,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ADXS,729.94万_--,1680.90万_130.28%,2275.80万_35.39%,1826.70万_-19.73%,0.00元_--,374.49万_INF%,176.30万_-52.92%,112.90万_-35.96%,729.94万_--,1680.90万_130.28%,2275.80万_35.39%,1826.70万_-19.73%,715.45万_--,1131.69万_58.18%,686.80万_-39.31%,497.70万_-27.53%
AEE,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,13.08亿_--,13.56亿_3.67%,13.99亿_3.17%,14.19亿_1.43%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,2.02亿_--,2.17亿_7.43%,2.28亿_5.07%,2.42亿_6.14%
AEG,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AEGN,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,3.37亿_--,3.34亿_-0.89%,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,6036.10万_--,5807.30万_-3.79%
AEIS,943.70万_--,1112.10万_17.84%,1625.70万_46.18%,2072.50万_27.48%,8689.10万_--,1.35亿_55.37%,1.79亿_32.59%,1.54亿_-13.97%,943.70万_--,1112.10万_17.84%,1625.70万_46.18%,2072.50万_27.48%,1719.10万_--,2185.10万_27.11%,2385.60万_9.18%,3105.70万_30.19%
AEL,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AEM,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AEO,0_0,0.00元_--,0.00元_NaN%,0.00元_NaN%,0_0,11.06亿_--,10.97亿_-0.81%,12.29亿_12.03%,0_0,0.00元_--,0.00元_NaN%,0.00元_NaN%,0_0,2.72亿_--,2.81亿_3.31%,3.07亿_9.25%
AEP,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,35.80亿_--,37.43亿_4.55%,37.47亿_0.11%,37.45亿_-0.05%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,4.82亿_--,4.12亿_-14.52%,5.11亿_24.03%,5.91亿_15.66%
AER,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,13.41亿_--,12.56亿_-6.34%,0_0,0_0,0.00元_--,0.00元_NaN%,0_0,0_0,5.22亿_--,4.97亿_-4.79%
AERI,1230.20万_--,1409.30万_14.56%,3810.10万_170.35%,2649.20万_-30.47%,0.00元_--,0.00元_NaN%,0.00元_NaN%,1445.60万_INF%,1230.20万_--,1409.30万_14.56%,3810.10万_170.35%,2649.20万_-30.47%,764.80万_--,489.20万_-36.04%,550.30万_12.49%,1296.70万_135.64%
AES,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,3.24亿_--,2.39亿_-26.23%,26.43亿_1005.86%,26.22亿_-0.79%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,4600.00万_--,5900.00万_28.26%,6000.00万_1.69%,5800.00万_-3.33%
AETI,26.50万_69.87%,9.80万_-63.02%,4.30万_-56.12%,0_0,769.00万_-43.84%,939.70万_22.20%,1287.20万_36.98%,0_0,26.50万_69.87%,9.80万_-63.02%,4.30万_-56.12%,0_0,247.40万_10.55%,175.00万_-29.26%,159.10万_-9.09%,0_0
AEZS,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AFB,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AFG,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AFI,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,2.80亿_--,-2.11亿_-175.36%,-1.67亿_20.85%,-1.45亿_13.17%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,5890.00万_--,1110.00万_-81.15%,1170.00万_5.41%,1410.00万_20.51%
AFIN,--_--,0_0,0.00元_--,0.00元_NaN%,--_--,0_0,0.00元_--,0.00元_NaN%,--_--,0_0,0.00元_--,0.00元_NaN%,320.80万_--,0_0,554.70万_--,657.60万_18.55%
AFL,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AFMD,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AFSS,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AFT,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AG,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AGCO,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,19.59亿_--,20.94亿_6.89%,25.27亿_20.68%,25.92亿_2.57%,0.00元_--,0.00元_NaN%,0.00元_NaN%,0.00元_NaN%,2.33亿_--,2.37亿_1.72%,2.90亿_22.36%,2.88亿_-0.69%
AGE,0_0,0_0,126.70万_--,0_0,0_0,0_0,45.80万_--,0_0,0_0,0_0,126.70万_--,0_0,0_0,0_0,69.50万_--,0_0
AGEN,1794.89万_143.56%,2598.31万_44.76%,3187.22万_22.67%,0_0,763.88万_371.79%,557.60万_-27.00%,835.43万_49.83%,0_0,1794.89万_143.56%,2598.31万_44.76%,3187.22万_22.67%,0_0,845.94万_67.85%,866.97万_2.49%,978.46万_12.86%,0_0
AGFS,0_0,354.70万_--,367.60万_3.64%,358.00万_-2.61%,0_0,5167.30万_--,5413.50万_4.76%,5331.60万_-1.51%,0_0,354.70万_--,367.60万_3.64%,358.00万_-2.61%,0_0,2295.60万_--,2809.40万_22.38%,2724.10万_-3.04%
