code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
FITBI,Fifth Third Bancorp - Depositary,26.81,26.8,11476,0.729107,13.886011,0,1.93
FEP,First Trust Europe AlphaDEX Fund,33.5,33.57,451106,1.595117,0,0,0
FELE,富兰克林电子,44.73,45.15,159695,1.582464,23.636479,2.864444,1.910183
FCX,麦克莫兰铜金,11.97,11.96,15980793,0.912595,5.488968,1.737002,2.178916
FCSC,Fibrocell Science Inc.,2.04,2.07,103672,1.101307,17.074982,11.049864,0.12123
EZU,欧盟国家ETF-iShares MSCI,37.43,37.74,9674871,1.156747,5.21191,0.501892,7.241107
EVN,Eaton Vance Municipal Income Tru,11.11,11.13,81655,1.09921,45.350828,0.852163,0.24542
ETW,Eaton Vance Tax-Managed Global B,10.88,10.9,166302,0.69982,13.159436,0.98807,0.828303
ESND,Essendant Inc,12.66,12.71,205525,1.15739,0,1.104488,-1.551055
EFII,电子影像,27.75,28.06,431609,1.416134,0,1.622679,-0.489341
ECC,Eagle Point Credit Co LLC,16.75,16.74,47666,0.537239,9.983177,0.997004,1.676821
EAI,"Entergy Arkansas, Inc",22.27,22.11,17971,1.153999,5.082531,0.365127,4.350195
EAGL,Double Eagle Acquisition Corp.,10.14,10.14,1526116,1.495192,217.689988,82.387434,0.04658
DYSL,Dynasil Corporation of America,1.04,1.02,12409,0.972081,36.512027,0.879942,0.027936
DX,德尼克斯投资,5.98,6,396653,1.162335,4.014825,0.861723,1.494461
DVYE,iShares Emerging Markets Dividend ETF,38.46,38.78,64704,1.035837,0,0,0
DTF,丹麦信托基金,12.47,12.48,31771,1.773113,116.330012,0.831018,0.107281
DNI,Dividend and Income Fund,11.12,11.18,16909,0.48344,7.40142,0.720017,1.510521
DGLY,Digital Ally,2.76,2.8,25635,0.556944,0,-18.578175,-1.769949
DFS,发现金融,70.38,70.72,2370165,1.277553,10.423323,2.169877,6.784785
DDMXU,DD3 Acquisition Corp.,9.97,9.98,11400,1.803797,0,0,0
DDE,多佛唐斯娱乐,2.29,2.29,46296,0.74569,0,0.667875,-0.035813
CXP,Columbia Property Trust Inc,21.78,21.84,723510,1.037523,807.363871,0.92384,0.027051
CXE,MFS市政基金,4.72,4.7,40802,0.512639,19.156073,0.880147,0.245353
CVON,ConvergeOne Holdings Inc.,12.47,12.49,101036,0.639475,0,-7.44509,-2.065401
CUZ,卡津斯不动产信托基金,8.31,8.35,7278072,1.889468,38.977711,1.270274,0.214225
CTV,Qwest Corp,24.29,24.35,38111,1.590795,22.136363,0.050222,1.1
CTACU,ChaSerg Technology Acquisition Corp.,10.02,10.02,157123,2.756824,0,0,0
CPAH,CounterPath Corporation,2.13,2.12,12706,1.603119,0,1.358832,-0.51
CNAC,Constellation Alpha Capital Corp.,10.1,10.12,19840,0.52146,0,10.327946,-0.065771
