close,high,time,low,open,t,volumne
0.36,0.36,1526529600,0.36,0.36,0,0
0.36,0.36,1526616000,0.36,0.36,0,0
0.25,0.25,1526875200,0.25,0.25,100000,400
0.25,0.25,1526961600,0.25,0.25,0,0
0.25,0.25,1527048000,0.25,0.25,0,0
0.2801,0.2801,1527134400,0.2789,0.28,14361129,51292
0.2801,0.2801,1527220800,0.2801,0.2801,0,0
0.2801,0.2801,1527566400,0.2801,0.2801,0,0
0.2801,0.2801,1527652800,0.2801,0.2801,0,0
0.2801,0.2801,1527739200,0.2801,0.2801,0,0
0.2801,0.2801,1527825600,0.2801,0.2801,0,0
0.2801,0.2801,1528084800,0.2801,0.2801,0,0
0.28,0.28,1528171200,0.28,0.28,56000,200
0.28,0.28,1528257600,0.28,0.28,0,0
0.32,0.32,1528344000,0.32,0.32,213760,668
0.32,0.32,1528430400,0.32,0.32,0,0
0.325,0.325,1528689600,0.325,0.325,32500,100
0.325,0.325,1528776000,0.325,0.325,0,0
0.325,0.325,1528862400,0.325,0.325,53489,184
0.28,0.28,1528948800,0.28,0.28,1456000,5200
0.28,0.28,1529035200,0.28,0.28,81760,292
0.28,0.28,1529294400,0.28,0.28,0,0
0.28,0.28,1529380800,0.28,0.28,9723,30
0.2275,0.28,1529467200,0.2275,0.28,889306,3202
0.2275,0.2275,1529553600,0.2275,0.2275,0,0
0.2275,0.2275,1529640000,0.2275,0.2275,0,0
0.2275,0.2275,1529899200,0.2275,0.2275,0,0
0.27,0.27,1529985600,0.26,0.26,1672000,6200
0.27,0.27,1530072000,0.27,0.27,0,0
0.27,0.27,1530158400,0.27,0.27,0,0
0.27,0.27,1530244800,0.27,0.27,0,0
0.27,0.27,1530504000,0.27,0.27,0,0
0.15,0.15,1530590400,0.15,0.15,75000,500
0.2,0.2,1530763200,0.195,0.195,717190,3600
0.2,0.2,1530849600,0.2,0.2,0,0
0.2,0.2,1531108800,0.2,0.2,0,0
0.18,0.2,1531195200,0.18,0.2,2376430,13100
0.18,0.18,1531281600,0.18,0.18,0,0
0.2,0.2,1531368000,0.2,0.2,100200,501
0.2,0.2,1531454400,0.2,0.2,0,0
0.11009999999999999,0.11009999999999999,1531713600,0.11009999999999999,0.11009999999999999,33030,300
0.2,0.2,1531800000,0.1431,0.1431,230310,1200
0.2,0.2,1531886400,0.2,0.2,0,0
0.2,0.2,1531972800,0.2,0.2,0,0
0.2,0.2,1532059200,0.2,0.2,0,0
0.2,0.2,1532318400,0.2,0.2,0,0
0.191,0.191,1532404800,0.191,0.191,38200,200
0.2,0.2,1532491200,0.2,0.2,1200000,6000
0.2004,0.2004,1532577600,0.2,0.2,2402400,12000
0.2004,0.2004,1532664000,0.2004,0.2004,0,0
0.2004,0.2004,1532923200,0.2004,0.2004,0,0
0.15,0.15009999999999998,1533009600,0.1001,0.1001,846740,6900
0.15009999999999998,0.15009999999999998,1533096000,0.15009999999999998,0.15009999999999998,225150,1500
0.1006,0.15,1533182400,0.1006,0.15,518000,5100
