2018-11-06_code,2018-11-06_days,2018-11-12_code,2018-11-12_days,2018-11-18_code,2018-11-18_days,2018-11-19_code,2018-11-19_days,2018-11-21_code,2018-11-21_days,2018-11-27_code,2018-11-27_days
,,,,NSP,0.0,NSP,0.0,LLEX,3,,
,,,,OBSV,0.0,OBSV,0.0,LOCO,1,,
,,,,OCN,1.0,OCN,1.0,MBII,4,,
,,,,OCUL,0.0,OCUL,0.0,MCK,1,,
,,,,OEC,0.0,OEC,0.0,MDGL,1,,
,,,,ORBC,0.0,ORBC,0.0,METC,4,,
,,,,OTIV,2.0,OTIV,2.0,MGP,3,,
,,,,OXLC,1.0,OXLC,1.0,MIE,2,,
,,,,PCEF,0.0,PCEF,0.0,MRNS,3,,
,,,,PETS,0.0,PETS,0.0,NBIX,3,,
,,,,PGLC,1.0,PGLC,1.0,NCMI,3,,
,,,,PHT,0.0,PHT,0.0,NEOS,3,,
,,,,PKX,2.0,PKX,2.0,NEV,0,,
,,,,PSTG,0.0,PSTG,0.0,NIHD,3,,
,,,,PTI,0.0,PTI,0.0,NM,4,,
,,,,QQQX,0.0,QQQX,0.0,NMRK,4,,
,,,,RETA,0.0,RETA,0.0,NSL,3,,
,,,,RFUN,0.0,RFUN,0.0,NSP,3,,
,,,,RIOT,2.0,RIOT,2.0,NVLN,2,,
,,,,RMED,4.0,RMED,4.0,OBSV,3,,
,,,,RTIX,0.0,RTIX,0.0,OCN,4,,
,,,,RVT,0.0,RVT,0.0,OCUL,3,,
,,,,SB,0.0,SB,0.0,OEC,3,,
,,,,SBH,0.0,SBH,0.0,ORBC,3,,
,,,,SGMS,0.0,SGMS,0.0,OXLC,4,,
,,,,SGRY,0.0,SGRY,0.0,PCEF,3,,
,,,,SHYG,0.0,SHYG,0.0,PDT,0,,
,,,,SJNK,0.0,SJNK,0.0,PETS,3,,
,,,,SNSS,0.0,SNSS,0.0,PGLC,4,,
,,,,SOLO,4.0,SOLO,4.0,PGX,2,,
,,,,STBZ,0.0,STBZ,0.0,PHT,3,,
,,,,STK,0.0,STK,0.0,PSTG,3,,
,,,,STKL,3.0,STKL,3.0,PTI,3,,
,,,,TACT,0.0,TACT,0.0,QHC,1,,
,,,,TECH,0.0,TECH,0.0,QQQX,3,,
,,,,THW,0.0,THW,0.0,RA,1,,
,,,,TLYS,0.0,TLYS,0.0,RETA,3,,
,,,,TPB,0.0,TPB,0.0,RFUN,3,,
,,,,TREX,0.0,TREX,0.0,RTIX,3,,
,,,,TROX,0.0,TROX,0.0,RVT,3,,
,,,,TTI,0.0,TTI,0.0,RWGE,0,,
,,,,TTOO,4.0,TTOO,4.0,SB,3,,
,,,,URBN,0.0,URBN,0.0,SBH,3,,
,,,,VRS,0.0,VRS,0.0,SGMS,3,,
,,,,VRTU,0.0,VRTU,0.0,SGRY,3,,
,,,,WAGE,0.0,WAGE,0.0,SHYG,3,,
,,,,WHD,0.0,WHD,0.0,SJNK,3,,
,,,,WTTR,0.0,WTTR,0.0,SNES,2,,
,,,,YGYI,0.0,YGYI,0.0,SNSS,3,,
,,,,,,,,STBZ,3,,
,,,,,,,,STIM,2,,
,,,,,,,,STK,3,,
,,,,,,,,STZ,2,,
,,,,,,,,TACT,3,,
,,,,,,,,TECH,3,,
,,,,,,,,TGI,2,,
,,,,,,,,THW,3,,
,,,,,,,,TIVO,2,,
,,,,,,,,TKKS,0,,
,,,,,,,,TLYS,3,,
,,,,,,,,TPB,3,,
,,,,,,,,TPVG,1,,
,,,,,,,,TREX,3,,
,,,,,,,,TROX,3,,
,,,,,,,,TTI,1,,
,,,,,,,,TUES,1,,
,,,,,,,,ULH,2,,
,,,,,,,,URBN,3,,
,,,,,,,,VKQ,0,,
,,,,,,,,VRS,3,,
,,,,,,,,VRTU,3,,
,,,,,,,,VTGN,0,,
,,,,,,,,WAGE,3,,
,,,,,,,,WCG,2,,
,,,,,,,,WHD,3,,
,,,,,,,,WRI,2,,
,,,,,,,,WTTR,3,,
,,,,,,,,YGYI,3,,
