code,name,pe,pb,eps,net2018-06,net_radio2018-06,count,month_rs,price,volume_end,volume_start,year,year_rs
PRAA,Portfolio Recovery Associates,11.977663,1.564291,3.160049,21624000,0.5613,191,0.567274902,18.22765288,11829911.36,31143922.11,15,0.37793049
EMES,Emerge Energy Services LP Common,7.981334,2.606395,0.70289,9428000,2.5501,65,0.566039208,28.832,12398504,8234558.469,5,0.392646962
GPIC,Gaming Partners International Co,13.835841,1.13107,0.649039,2505000,50.1224,252,0.563472045,8.278631746,154947.4921,321960.3175,21,0.431942374
NLS,鹦鹉螺体育,18.249412,2.501799,0.841123,928000,-0.6272,233,0.562200632,12.6675103,5128897.855,10513699.19,19,0.427115842
FOE,费罗,27.407841,4.909524,0.797582,29861000,0.4066,252,0.557233209,17.24583333,15666825.65,3819726.587,21,0.41445985
BBGI,比斯利,2.374914,0.672029,2.800101,4918600,0.2594,224,0.556576735,8.571865625,223194.9018,534076.7857,18,0.412597535
HPJ,豪鹏国际,3.832711,0.650444,0.743599,2714300,-0.3917,106,0.555080435,3.05734434,2747664.472,2077526.415,8,0.393241464
CMT,Core Molding Technologies Inc,28.826501,0.739549,0.33268,445000,-0.7942,252,0.554218847,7.344900794,517278.6429,575976.1905,21,0.403558545
EGY,瓦可能源,11.29003,6.849183,0.209034,544000,-0.7617,171,0.553004976,4.912587135,11671040.37,12412088.24,14,0.418487235
HZO,海上麦斯服务,14.951459,1.400341,1.421266,17376000,0.2199,244,0.551925734,14.90684426,4060620.598,2814981.148,20,0.388616115
BKTI,"BK Technologies, Inc...",0,1.609693,-0.231651,947000,-0.2815,252,0.54943785,3.0785,738056.3968,1215550.794,21,0.435811963
RAD,来德爱,1.25192,0.855813,1.174196,214000000,3.8456,252,0.548830747,6.685926587,312670736.3,88715757.94,21,0.395663514
NTRI,NutriSystem Inc,20.856632,8.576985,1.841141,26136000,0.0696,223,0.546841824,20.03506726,9749872.018,11467572.97,18,0.45146539
MTBC,Medical Transcription Billing,0,1.883916,-0.358469,195300,1.1153,51,0.5426786,2.126505882,12516822.46,530542.12,4,0.334259109
SB,Safe Bulkers,0,0.70445,-0.804724,4114000,3.5777,125,0.542652899,5.6742032,8827412.81,4011604.839,10,0.404846519
EVRI,Everi Holdings Inc,0,-5.036363,-0.34809,1475000,1.0774,157,0.54255729,7.39656051,12414277.37,9027680.769,13,0.433382315
CCOI,Cogent Communications Group,225.058,-21.131279,0.238383,6552000,0.5177,200,0.539586224,24.045475,6706861.19,6535490.85,16,0.363483396
ASYS,Amtech Systems,3.532628,0.749253,1.505961,4971000,0.7497,252,0.538962161,7.327460317,2245971.167,1115967.46,21,0.433454988
CPE,卡隆石油,16.757739,1.148162,0.677299,50474000,0.5117,252,0.538844121,10.27535714,36928707.17,1816131.746,21,0.418250592
MOD,摩丁制造,33.154831,1.881747,0.536875,22500000,0.2931,252,0.538580987,19.35333333,5101371.762,2287034.127,21,0.381431081
CECO,职业教育,0,3.562642,-0.22173,8751000,1.0418,249,0.538502615,17.04979799,17790226.94,27885700,20,0.400650174
GSL,环球租船,0,0.245323,-1.494105,4785000,-0.3695,122,0.537753908,3.143538525,2953649.41,2484208.197,10,0.403322114
GPOR,格尔夫波特能源,5.639396,0.634045,2.072917,111000000,0.0508,249,0.537060683,20.49317269,33092877.22,850685.1452,20,0.403950134
MICR,Arrhythmia Research Technology,0,1.949244,-0.274102,33700,1.0659,252,0.536442109,6.258177381,134733.7143,1014734.127,21,0.41433221
SPPI,Spectrum Pharmaceuticals,0,7.481407,-0.529731,13744000,1.6591,252,0.535672178,50.98375,20725179.63,2230349.841,21,0.433383794
LNTH,"Lantheus Holdings, Inc.",4.403268,12.513491,3.304364,9745000,-0.2832,40,0.535164997,11.0225,9681331.75,4577441.15,3,0.316589796
ANIP,"ANI Pharmaceuticals, Inc.",9934.130831,3.658817,0.005769,2777000,0.0358,221,0.533032434,109.7388059,2637042.64,44416.18182,18,0.445161643
BLDR,Builders FirstSource,24.0076,4.002575,0.670621,56622000,0.4936,160,0.531388422,9.62290625,16800023.04,3558317.5,13,0.398726284
NANO,耐诺,21.319923,3.825673,2.070364,17675000,1.1326,252,0.531014317,14.92779563,4296354.214,3042073.016,21,0.407023606
PKOH,Park-Ohio Holdings Corp,12.724802,1.741546,3.292782,15000000,3.6875,252,0.530979385,21.16251984,775759.1429,711710.3175,21,0.406134509
MRCY,Mercury Systems Inc,59.251589,3.239163,0.875082,10101000,0.1473,249,0.529009722,20.75299197,3744215.856,4392841.935,20,0.369406152
CLFD,克利尔菲尔德通讯,49.325817,2.731804,0.271663,1755200,1.185,252,0.528246746,7.174702381,1248163.349,549367.4603,21,0.400529696
SDPI,Superior Drilling Products Inc,52.061348,2.90659,0.035535,1004800,2.275,52,0.525531307,2.190525,1708868.192,829561.2692,4,0.343434073
