code,name,pe,pb,eps,net2018-06,net_radio2018-06,count,grow_3,grow_6,grow_radio_3,grow_radio_6,month_six_rs,price,vol_radio,volume_3,volume_6,year,year_rs
EPAY,Bottomline Technologies,230.68987400000003,8.362776,0.277212,12752000.0,3.2534,236,6.473333333333332,5.036666666666665,0.11826757375884611,0.103278466252247,0.24067295439277467,20.05228813559323,-0.2959051800910505,6397422.666666667,9086024.333333334,19,0.19938786171415965
ARRS,艾利斯,38.10183,1.4568709999999998,0.655874,34799000.0,0.2221,252,0.7666666666666669,0.042500000000000426,0.030586438538527706,0.002386021240555322,0.2870108231038953,16.967083333333342,-0.23595242288566723,22725076.0,29743011.666666668,21,0.22973881907242677
TRMB,天宝导航,69.748056,4.070949,0.58783,64100000.0,0.3552,252,3.9566666666666657,1.4900000000000009,0.1109457021999401,0.04138832531758496,0.23640180966681626,15.511328174603172,-0.2807173262945613,22484502.333333332,31259619.0,21,0.1931350353615644
FB,Facebook,26.589856,6.352048,6.568105999999999,5106000000.0,0.3112,77,-10.056666666666672,0.8424999999999964,-0.05386771384245915,0.008302586003770642,0.25058505243999657,97.0072727272727,-0.06521986251012427,480590558.6666667,514121491.6666667,6,0.18380956214355573
COHU,科休半导体,21.026364,2.473677,1.2398719999999999,11648000.0,0.1168,252,-0.5299999999999999,0.023333333333333428,-0.01865746348162604,0.004490663338533798,0.25239717952220264,16.278869047619043,-0.3940496086865569,3821656.0,6306879.333333333,21,0.21874573573330702
STKS,"The ONE Group Hospitality, Inc.",0.0,9.729457,-0.043344,314000.0,1.1438,41,0.2966666666666666,0.11166666666666665,0.1100777637662883,0.043658945781149504,0.2183792489928915,2.619248780487805,0.2614128164310697,769951.6666666666,610388.3333333334,3,0.14584555902936144
WETF,WisdomTree Investments,34.580873,3.4445449999999997,0.233366,16724000.0,0.3816,87,-0.28666666666666707,-0.15666666666666687,-0.032888130704384684,-0.013331440053277119,0.24035548455468625,11.506781609195402,-0.3534844288646365,18914156.333333332,29255531.0,7,0.198269856705142
FDUS,Fidus Investment Corporation,7.856142999999999,0.935901,1.9297,7644000.0,-0.2323,88,0.14666666666666592,0.26999999999999985,0.011031948938697458,0.0209408572163432,0.08754643062448275,16.090340909090912,-0.4057522466123727,1293335.6666666667,2176425.0,7,0.07272727342110502
CTSH,高知特,30.551997999999998,4.133785,2.48298,456000000.0,-0.0298,244,0.34333333333333843,-0.13833333333333306,0.005066676323837431,-0.0006938802344352828,0.14650892910760913,25.84396270491803,-0.26822655804759393,55222291.0,75463644.66666667,20,0.13083000948572104
CME,芝加哥商品交易所,13.005214,2.493862,13.019394,566000000.0,0.3615,123,2.976666666666669,1.6400000000000006,0.01910214657913201,0.01063996090823758,0.22251171358186259,82.42211382113823,-0.3376452459650545,22462487.333333332,33913076.333333336,10,0.15614563035932238
