code,name,pe,pb,eps,count,max,mean,min,volume_end,volume_start,year
HPT,HPT房产信托,16.086268,1.719447,1.79532,252,47.03,28.89680556,10.15,20418141.56,6409575.397,21
CDNS,铿腾电子,59.709334,11.145795,0.784132,252,47.04,18.0106746,3.66,61146286.63,40088809.52,21
PEJ,PowerShares ETF Leisure & Entert,16.410635,1.279618,2.844241,159,47.05,24.97891509,7.92,805942.175,758005.0633,13
CHS,Chicos Fas Inc,12.43958,1.829264,0.752437,252,47.05,12.93045357,0.3611,62209695.01,56195223.81,21
IPS,SPDR S&P International Consumer,22.787129,0,2.02,122,47.11,36.1025082,18.64,104293.377,103504.918,10
LSXMA,Liberty Media Corporation Series A,33.477941,0,1.36,29,47.14,39.63689655,31.36,10797534.47,10214339,2
JSMD,Janus Small/Mid Cap Growth Alpha ETF,0,0,0,31,47.15,34.42225697,25.5392,104102.5,55539.8,2
NI,印北瓦电,35.783143,1.938163,0.756222,252,47.18,23.21172619,8.75,51832086.3,19521534.92,21
TRI,汤森路透,10.267943,2.426711,4.18,195,47.22,35.65564103,23.48,18179121.42,3244383.505,16
FEUZ,First Trust Eurozone AlphaDEX ETF,0,0,0,47,47.23,35.75696383,28.97,237816.875,342535.1304,3
LSXMK,Liberty Media Corporation Series C,33.617647,0,1.36,29,47.23,39.43310345,30.87,13264600.13,14204006.21,2
GRVY,GRAVITY Co,8.523581,2.811217,4.810185,163,47.25,11.90312761,1.54,746215.2805,278567.4074,13
EVI,EnviroStar Inc,145.912605,9.410737,0.324852,225,47.25,4.596315556,0.4,311121.2832,106055.3571,18
MSB,美莎比信托,10.450868,33.518862,2.693556,252,47.27,14.56043611,2.38,2019783.127,687559.5238,21
BOS,德银做空基本金属ETN,0,0,0,123,47.27,23.04092276,14.85,9892.483871,153114.7541,10
SFST,Southern First Bancshares,18.375835,1.968872,2.320983,134,47.3,16.01522388,4.005,193365.209,66347.76119,11
LXU,LSB工业材料,0,0.522287,-2.932274,230,47.34,15.56947826,0.75,5573903.478,1255461.739,19
