2018-11-05_code,2018-11-05_days,2018-11-06_code,2018-11-06_days,2018-11-08_code,2018-11-08_days,2018-11-11_code,2018-11-11_days,2018-11-15_code,2018-11-15_days,2018-11-16_code,2018-11-16_days,2018-11-17_code,2018-11-17_days,2018-11-18_code,2018-11-18_days,2018-11-20_code,2018-11-20_days,2018-11-21_code,2018-11-21_days,2018-11-26_code,2018-11-26_days,2018-11-27_code,2018-11-27_days,2018-11-28_code,2018-11-28_days,2018-11-30_code,2018-11-30_days,2018-12-02_code,2018-12-02_days,2018-12-04_code,2018-12-04_days,2018-12-05_code,2018-12-05_days,2018-12-08_code,2018-12-08_days,2018-12-17_code,2018-12-17_days,2018-12-19_code,2018-12-19_days,2018-12-20_code,2018-12-20_days,2018-12-21_code,2018-12-21_days,2018-12-22_code,2018-12-22_days,2018-12-23_code,2018-12-23_days,2018-12-31_code,2018-12-31_days,2019-02-04_code,2019-02-04_days,2019-02-07_code,2019-02-07_days,2019-02-08_code,2019-02-08_days
CBRE,1.0,UCFC,2.0,CA,0.0,,,SVU,0.0,KS,0.0,IEI,0.0,EOD,3.0,ITE,1.0,,,,,,,,,ICLR,1.0,DFJ,0.0,CRI,3.0,CRI,4.0,DLTH,3.0,,,,,,,,,,,,,,,DFP,2.0,CBL,4,CHKR,2.0
LHO,1.0,OCSL,2.0,LPNT,4.0,,,PX,0.0,SPG,3.0,BAB,0.0,BAB,0.0,KREF,4.0,,,,,,,,,INSM,1.0,DSW,0.0,CROX,1.0,CROX,2.0,DSM,0.0,,,,,,,,,,,,,,,EFR,0.0,CBLK,4,CLNY,3.0
MYE,1.0,CBSH,2.0,HCM,3.0,,,ETP,0.0,KREF,3.0,MUB,0.0,IEF,0.0,MUB,1.0,,,,,,,,,INSW,0.0,DTEA,2.0,CTLT,0.0,CTLT,1.0,DSW,4.0,,,,,,,,,,,,,,,EMX,4.0,CENTA,0,CM,2.0
PEB,1.0,ABCB,2.0,MRCY,1.0,,,SJM,0.0,BXP,4.0,IEF,0.0,PMM,3.0,O,3.0,,,,,,,,,IPHI,1.0,EIGR,0.0,CVA,2.0,CVA,3.0,ED,0.0,,,,,,,,,,,,,,,ERC,1.0,CHKR,1,CORI,3.0
KRE,1.0,UBNK,2.0,FNJN,1.0,,,PMM,1.0,IRM,3.0,O,2.0,SPAB,0.0,OFG,4.0,,,,,,,,,IRWD,1.0,EOS,0.0,DEI,1.0,DEI,2.0,EIGR,4.0,,,,,,,,,,,,,,,ESTC,2.0,CLNY,2,CSLT,3.0
BXS,1.0,IBTX,2.0,AMBC,4.0,,,PF,0.0,LXP,4.0,RWR,3.0,ITE,0.0,PMM,4.0,,,,,,,,,JPST,4.0,ESTC,0.0,DFJ,1.0,DFJ,2.0,EIM,3.0,,,,,,,,,,,,,,,FMCI,0.0,CM,1,CSML,3.0
KBWR,1.0,GBNK,2.0,FHB,2.0,,,AP,4.0,CALX,3.0,FREL,3.0,GTYH,3.0,RAD,4.0,,,,,,,,,KKR,1.0,EXAS,0.0,DLTH,0.0,DLTH,1.0,EOS,4.0,,,,,,,,,,,,,,,FNJN,0.0,CORI,3,CTT,1.0
GWB,1.0,ISBC,2.0,MBUU,1.0,,,WM,0.0,BSCL,0.0,RPT,4.0,IEI,0.0,RWR,4.0,,,,,,,,,KW,1.0,FIVN,0.0,DSW,1.0,DSW,2.0,EQC,2.0,,,,,,,,,,,,,,,FNV,1.0,CSLT,2,CXP,3.0
BOH,1.0,WABC,2.0,SIVB,1.0,,,KS,0.0,DKT,4.0,EQR,2.0,MUB,0.0,SJM,3.0,,,,,,,,,MAR,1.0,FNSR,0.0,DTEA,3.0,DTEA,4.0,ESTC,4.0,,,,,,,,,,,,,,,FPE,2.0,CSML,2,DEI,3.0
CBU,1.0,BOKF,2.0,SSB,3.0,,,SPG,1.0,GSY,1.0,EHC,4.0,VGSH,0.0,SPAB,1.0,,,,,,,,,MCO,1.0,FPRX,2.0,EIGR,1.0,EIGR,2.0,ETV,3.0,,,,,,,,,,,,,,,FSM,3.0,CTT,0,DON,3.0
