code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
JHSC,John Hancock Multifactor Small Cap ETF,26.538,26.5805,580412,2.174088,0.0,0.0,0.0
SOHO,Sotherly Hotels Inc.,6.56,6.58,67628,0.809455,0.0,1.092987,-0.423153
EVC,超视野传播,3.98,3.98,270664,0.952229,19.938082,1.054322,0.199618
ARMK,Aramark,30.42,30.53,4819890,1.460167,14.724807,2.336761,2.073372
PLCY,US Tax Reform Fund,21.44,21.54,2513,1.016915,0.0,0.0,0.0
EVH,Evolent Health Inc,13.19,13.29,2395676,0.985929,0.0,0.910243,-0.680881
MLI,木勒工业,33.38,33.3,218168,0.826451,18.296703,3.502122,1.82
NUMG,NuShares ESG Mid-Cap Growth ETF,30.97,30.9682,7805,1.106653,0.0,0.0,0.0
AEZS,依特钠,4.01,4.0,246031,1.021305,0.0,-32.32532,-2.4
MDY,标普中型股400指数ETF-SPDR,350.48,350.85,1257101,1.126433,7.999715,0.918759,43.857811
ENSV,Enservco Corp,0.4866,0.467,27589,0.697062,0.0,5.048964,-0.139375
EOD,Wells Fargo Advantage Global D,5.31,5.34,86928,0.759018,0.0,0.0,0.0
IVOV,Vanguard S&P Mid-Cap 400 Value E,122.88,123.04,8873,0.831599,0.0,0.0,0.0
DTN,WisdomTree Trust Dividend Top 10,85.04,85.12,7875,0.766215,0.0,0.0,0.0
CMFNL,CM Finance Inc,25.39,25.43,960,0.284529,0.0,0.0,0.0
AXGT,Axovant Sciences Ltd,1.32,1.34,796780,0.471935,0.0,9.15848,-1.249332
TGC,Tengasco Inc,1.0046,1.0075,1555,0.20259,6.007035,1.569642,0.16772
JKD,iShares Morningstar Large-Cap ETF,158.59,158.68,14016,0.935273,22.09163,0.910839,7.182811
DWTR,PowerShares DWA Tactical Sector Rotation Portfolio,29.1299,29.15,44034,3.039595,0.0,0.0,0.0
ORC,Orchid Island Capital Inc.,6.68,6.73,496954,0.657866,0.0,0.974468,-0.850355
PEG,公务集团,58.92,59.25,3221569,0.768441,20.936396,2.085653,2.83
FDIS,Fidelity MSCI Consumer Discretionary Index ETF,43.14,43.12,80873,0.960334,0.0,0.0,0.0
DXJ,日本股利指数ETF-WisdomTree,51.19,51.28,587699,0.80557,0.0,0.0,0.0
UTRN,Vesper US Large Cap Short-Term Reversal Strategy ETF,25.1897,25.1995,672,0.061056,0.0,0.0,0.0
PETX,Aratana Therapeutics Inc.,4.08,4.05,249303,0.729876,0.0,1.816763,-0.479513
BSA,OM Asset Management plc,22.83,22.95,17412,1.067121,18.214286,20.444812,1.26
GV,Goldfield Corp,2.7,2.7,32289,0.889774,8.99964,1.128157,0.300012
EWUS,iShares MSCI United Kingdom Small-Cap ETF,39.4614,39.3,2734,1.625446,0.0,0.0,0.0
