,code,name,bvps,0,1
349,002680,长生生物,4.12,21.8,35.95
350,600332,白云山,12.16,36.29,13.7
351,603918,金桥信息,2.9,15.52,15.05
352,603477,振静股份,3.37,14.81,18.94
353,603026,石大胜华,8.05,22.05,9.37
354,603011,合锻智能,3.83,5.69,25.64
355,300447,全信股份,4.9,12.53,32.95
356,000816,*ST慧业,2.14,1.52,11.66
357,002316,亚联发展,2.16,8.75,31.13
358,002845,同兴达,5.03,18.69,25.33
359,600584,长电科技,6.74,16.43,12.23
360,300419,浩丰科技,4.1,6.5,73.49
361,300590,移为通信,4.84,21.05,73.93
362,002208,合肥城建,5.45,9.96,25.88
363,300699,光威复材,7.27,45.99,71.59
364,300189,神农基因,1.39,3.45,24.17
365,603578,三星新材,5.84,22.0,61.03
366,300360,炬华科技,5.1,7.33,58.13
367,300103,达刚路机,2.82,7.73,41.95
368,002511,中顺洁柔,2.44,8.9,50.41
369,002328,新朋股份,5.39,5.42,26.55
370,002285,世联行,2.46,5.81,27.93
371,600160,巨化股份,4.1,6.98,11.18
372,000338,潍柴动力,4.65,8.15,64.93
373,002205,国统股份,7.91,11.67,25.8
374,002917,金奥博,5.22,32.31,32.7
375,600004,白云机场,7.46,13.28,8.86
376,600776,东方通信,2.42,4.7,21.1
377,600282,南钢股份,2.86,4.31,8.2
378,600109,国金证券,6.31,7.07,7.4
379,300733,西菱动力,6.97,18.47,25.44
380,002079,苏州固锝,2.13,6.29,10.81
381,002679,福建金森,5.65,23.59,12.04
382,000810,创维数字,2.61,9.84,13.8
383,603639,海利尔,10.15,26.8,49.89
384,600151,航天机电,3.9,3.95,14.69
385,300551,古鳌科技,4.65,12.64,38.54
386,002799,环球印务,3.51,16.6,43.64
387,600326,西藏天路,3.1,5.56,19.29
388,000513,丽珠集团,15.41,43.26,11.55
389,600780,通宝能源,4.27,3.97,13.0
390,603822,嘉澳环保,9.43,27.4,18.62
391,300281,金明精机,2.88,6.36,21.24
392,300082,奥克股份,4.26,4.78,72.31
393,002071,长城影视,1.28,5.58,7.56
394,300560,中富通,3.12,22.34,78.23
395,002344,海宁皮城,5.8,4.79,21.63
396,300583,赛托生物,15.92,41.2,66.05
397,300269,联建光电,8.01,7.2,22.46
398,002931,锋龙股份,5.18,44.01,45.2
399,300498,温氏股份,6.61,22.05,48.84
400,603839,安正时尚,6.6,17.17,41.57
401,600622,光大嘉宝,4.84,6.83,14.02
402,600459,贵研铂业,5.77,10.06,14.6
403,300019,硅宝科技,2.25,6.44,45.28
404,300378,鼎捷软件,4.67,12.49,31.28
405,300496,中科创达,3.17,28.61,140.01
406,002429,兆驰股份,1.85,2.42,22.96
407,601318,中国平安,27.46,56.94,47.1
408,300389,艾比森,3.33,17.4,72.3
409,300336,新文化,5.7,8.1,24.43
410,300713,英可瑞,7.59,42.55,95.08
411,002231,奥维通信,1.93,7.3,12.21
412,603228,景旺电子,8.41,50.35,43.2
413,600410,华胜天成,4.41,8.57,24.66
414,600426,华鲁恒升,6.19,16.8,14.05
415,002572,索菲亚,4.95,29.52,71.52
416,002006,精功科技,2.28,5.34,15.45
417,002282,博深工具,4.76,9.86,13.9
418,600228,ST昌九,0.22,8.63,6.48
419,002592,八菱科技,7.56,12.78,23.4
420,000733,振华科技,9.02,13.2,11.07
421,002401,中远海科,2.74,9.91,39.0
422,300120,经纬辉开,4.64,7.03,22.91
423,002919,名臣健康,6.71,36.42,35.26
424,600408,*ST安泰,0.72,1.66,10.11
425,002513,蓝丰生化,7.53,6.64,53.55
426,600340,华夏幸福,10.1,23.9,8.96
427,300645,正元智慧,8.14,32.0,28.64
428,600322,天房发展,4.03,4.99,12.09
429,600497,驰宏锌锗,2.79,5.0,13.95
430,002184,海得控制,4.49,11.68,19.05
431,300212,易华录,6.27,23.0,26.0
432,300720,海川智能,5.94,33.5,33.43
433,300311,任子行,1.82,7.97,16.08
434,002088,鲁阳节能,5.49,13.85,25.9
435,300240,飞力达,2.96,5.89,29.5
436,300428,四通新材,2.52,11.39,39.48
437,002275,桂林三金,4.64,14.38,33.85
438,002533,金杯电工,4.14,4.66,34.66
439,600782,新钢股份,4.46,5.52,13.1
440,300534,陇神戎发,2.37,8.06,56.03
441,300696,爱乐达,6.04,33.09,62.81
442,603029,天鹅股份,7.63,15.27,15.57
443,300623,捷捷微电,6.98,34.38,92.64
444,600883,博闻科技,2.81,6.37,6.82
445,300020,银江股份,4.82,9.36,44.86
446,603886,元祖股份,4.99,19.17,17.7
447,600137,浪莎股份,4.95,14.11,16.0
448,601336,新华保险,20.99,43.62,27.87
449,300493,润欣科技,1.67,11.55,41.34
