,code,name,bvps,timeToMarket,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
22,sh603650,彤程新材,2.41,20180627,20180709.0,38.029998779297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,sz300191,潜能恒信,3.61,20110316,20110331.0,9.9724998474121,20180629.0,17.760000228882,20170630.0,26.620000839233,20160729.0,35.330001831055,20150708.0,13.239999771118,20140731.0,23.439998626709,20130731.0,9.5299997329712,20120731.0,8.1099996566772,20110729.0,8.9574995040894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,sh603605,珀莱雅,7.64,20171115,20180709.0,45.299999237061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,sz300347,泰格医药,5.28,20120817,20120831.0,7.1887497901917,20180629.0,61.869998931885,20170630.0,24.200000762939,20160729.0,31.010000228882,20150831.0,28.109998703003,20140829.0,15.824999809265,20130531.0,12.449999809265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,sh603045,福达合金,6.88,20180517,20180709.0,73.470001220703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,sh603963,大理药业,3.63,20170922,20180709.0,22.110000610352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,sh603895,天永智能,5.8,20180122,20180709.0,39.930000305176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,sh600812,华北制药,3.27,19940114,19940131.0,0.87659126520157,20180629.0,4.3400001525879,20170630.0,5.9899997711182,20160630.0,6.210000038147,20150630.0,12.119999885559,20140630.0,4.8899998664856,20130628.0,4.4429998397827,20120629.0,6.3029999732971,20110630.0,11.463000297546,20100630.0,9.3730001449585,20090630.0,8.3529996871948,20080630.0,7.0029997825623,20070629.0,5.5130000114441,20060630.0,1.4452675580978,20050630.0,0.99175280332565,20040630.0,2.3003315925598,20030630.0,2.8483285903931,20020626.0,2.6121232509613,20010629.0,3.0561895370483,20000630.0,3.5097043514252,19990630.0,2.3145041465759,19980630.0,2.1175451278687,19970627.0,2.1899569034576,19960628.0,1.8601025342941,19950630.0,0.8083963394165,19940630.0,0.68798017501831,,,,
30,sz300673,佩蒂股份,7.32,20170711,20180709.0,46.529998779297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,sz300647,超频三,2.34,20170503,20180709.0,25.299999237061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,sz300604,长川科技,2.92,20170417,20180709.0,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
