,code,name,bvps,timeToMarket,0,1,2,3,4
174,sh600141,兴发集团,10.36,19990616,19990630.0,3.8580248355865,20180629.0,11.64999961853,2.019679788235204
175,sh600195,中牧股份,8.84,19990107,19990129.0,1.6935429573059,20180629.0,19.450000762939,10.484799177388565
176,sh603301,振德医疗,7.72,20180412,20180706.0,49.849998474121,20180706.0,49.849998474121,0.0
177,sz000818,航锦科技,3.79,19971017,19971031.0,3.2249999046326,20180629.0,11.630000114441,2.6062016925132028
178,sz000626,远大控股,4.21,19961128,19961129.0,1.4659787416458,20180629.0,7.039999961853,3.8022524214433373
179,sh600438,通威股份,3.52,20040302,20040331.0,0.7810435295105,20180629.0,6.9000000953674,7.834334879762472
180,sh600643,爱建集团,5.51,19930426,19930430.0,6.2839765548706,20180629.0,9.3999996185303,0.49586802822243586
181,sz000547,航天发展,3.83,19931130,19931130.0,0.5856819152832,20180629.0,7.8099999427795,12.334883217288793
182,sh603901,永创智能,2.4,20150529,20150529.0,5.6600003242493,20180629.0,10.289999961853,0.8180210905231332
183,sz300440,运达科技,2.86,20150423,20150430.0,24.909999847412,20180629.0,6.5300002098083,-0.7378562725889889
184,sh603283,赛腾股份,4.09,20171225,20180706.0,25.450000762939,20180706.0,25.450000762939,0.0
185,sz300553,集智股份,6.76,20161021,20161027.0,29.690000534058,20180629.0,36.299999237061,0.22263383577310944
186,sz300618,寒锐钴业,6.33,20170306,20180706.0,118.19999694824,20180706.0,118.19999694824,0.0
187,sh600241,时代万恒,4.82,20001128,20001130.0,8.9601211547852,20180629.0,7.2699999809265,-0.18862704473098357
188,sz002903,宇环数控,4.17,20171013,20180706.0,35.700000762939,20180706.0,35.700000762939,0.0
189,sh603616,韩建河山,2.65,20150611,20150630.0,34.340000152588,20180629.0,12.390000343323,-0.6391962641738881
190,sh600588,用友网络,3.06,20010518,20010531.0,2.0909950733185,20180629.0,24.510000228882,10.721692002833638
191,sh600706,曲江文旅,5.45,19960516,19960531.0,7.5917167663574,20180629.0,11.300000190735,0.4884644064713812
192,sz002068,黑猫股份,4.56,20060915,20060929.0,3.134428024292,20180629.0,7.8099999427795,1.491682655416409
193,sz002591,恒大高新,4.05,20110621,20110630.0,6.0822048187256,20180629.0,7.4099998474121,0.21830817413424616
194,sz300629,新劲刚,3.52,20170324,20180706.0,21.049999237061,20180706.0,21.049999237061,0.0
195,sz002727,一心堂,6.74,20140702,20140731.0,16.10000038147,20180629.0,32.450000762939,1.0155279499425809
196,sz300575,中旗股份,14.22,20161220,20180706.0,39.900001525879,20180706.0,39.900001525879,0.0
197,sz002027,分众传媒,0.79,20040804,20040831.0,1.4077634811401,20180629.0,9.5699996948242,5.798016728686399
198,sz002930,宏川智慧,6.97,20180328,20180706.0,39.229999542236,20180706.0,39.229999542236,0.0
199,sz300675,建科院,2.67,20170719,20180706.0,29.569999694824,20180706.0,29.569999694824,0.0
200,sz300643,万通智控,2.07,20170505,20180706.0,11.579999923706,20180706.0,11.579999923706,0.0
201,sh603712,七一二,2.66,20180226,20180706.0,25.530000686646,20180706.0,25.530000686646,0.0
202,sh603363,傲农生物,2.02,20170926,20180706.0,16.469999313354,20180706.0,16.469999313354,0.0
203,sz002625,光启技术,3.5,20111103,20111130.0,5.6582579612732,20180629.0,11.710000038147,1.0695415653181106
204,sh600975,新五丰,1.84,20040609,20040630.0,1.405238866806,20180629.0,3.9900000095367,1.8393749303317117
205,sz002012,凯恩股份,2.6,20040705,20040730.0,3.1130452156067,20180629.0,5.0999999046326,0.6382672114958868
206,sz002280,联络互动,3.14,20090821,20090831.0,2.217600107193,20180629.0,5.7199997901917,1.579364860074785
207,sh600802,福建水泥,1.79,19940103,19940131.0,1.7301774024963,20180629.0,7.0599999427795,3.08050638772263
208,sz000789,万年青,5.43,19970923,19970930.0,1.3949019908905,20180629.0,10.939999580383,6.842844624086419
209,sz300055,万邦达,6.79,20100226,20100226.0,10.19961643219,20180629.0,11.489999771118,0.12651292796222705
210,sh603517,绝味食品,6.62,20170317,20180706.0,38.819999694824,20180706.0,38.819999694824,0.0
211,sz002817,黄山胶囊,7.81,20161025,20161027.0,24.190000534058,20180629.0,22.290000915527,-0.07854483574136022
212,sh600338,西藏珠峰,2.86,20001227,20001229.0,14.552000045776,20180629.0,20.719999313354,0.42385921166681007
213,sh601601,中国太保,15.63,20071225,20071228.0,45.600002288818,20180629.0,31.85000038147,-0.3015351144120395
214,sz002886,沃特股份,5.41,20170627,20180706.0,20.700000762939,20180706.0,20.700000762939,0.0
215,sh603912,佳力图,3.07,20171101,20180706.0,15.130000114441,20180706.0,15.130000114441,0.0
216,sh600131,岷江水电,2.36,19980402,19980430.0,2.7041056156158,20180629.0,5.789999961853,1.1411885424950223
217,sz002409,雅克科技,4.56,20100525,20100531.0,9.5826663970947,20180629.0,19.5,1.0349242258826903
218,sz300667,必创科技,3.56,20170619,20180706.0,34.130001068115,20180706.0,34.130001068115,0.0
219,sz300430,诚益通,5.68,20150319,20150331.0,36.388999938965,20180629.0,9.9099998474121,-0.7276649574312547
220,sz300424,航新科技,3.77,20150422,20150430.0,29.474998474121,20180629.0,19.420000076294,-0.34113651970687203
221,sz300379,东方通,5.24,20140128,20140130.0,18.844999313354,20180629.0,15.310000419617,-0.1875828613711871
222,sz002400,省广集团,2.92,20100506,20100531.0,2.472825050354,20180629.0,3.2300000190735,0.3061983574661321
223,sz002446,盛路通信,3.39,20100713,20100730.0,6.9806299209595,20180629.0,6.8600001335144,-0.017280644986336642
224,sz000021,深科技,3.98,19940202,19940228.0,0.48499476909637,20180629.0,6.8200001716614,13.062007687976205
225,sh600939,重庆建工,3.69,20170221,20180706.0,4.9200000762939,20180706.0,4.9200000762939,0.0
226,sz300122,智飞生物,2.0,20100928,20100930.0,9.7525005340576,20180629.0,45.740001678467,3.6900793820758238
227,sz002741,光华科技,3.04,20150216,20150227.0,8.5866661071777,20180629.0,15.779999732971,0.8377330078993408
228,sz300661,圣邦股份,12.82,20170606,20180706.0,129.16999816895,20180706.0,129.16999816895,0.0
229,sh600127,金健米业,1.18,19980506,19980529.0,2.985889673233,20180629.0,3.3199999332428,0.11189638485471544
230,sz300611,美力科技,3.82,20170220,20180706.0,11.779999732971,20180706.0,11.779999732971,0.0
231,sz000735,罗 牛 山,3.36,19970611,19970627.0,1.9770768880844,20180629.0,12.920000076294,5.534900162032775
232,sz300278,华昌达,3.0,20111216,20111230.0,3.6324999332428,20180629.0,9.0699996948242,1.4969029212692215
233,sh603516,淳中科技,5.58,20180202,20180706.0,33.880001068115,20180706.0,33.880001068115,0.0
234,sz000519,中兵红箭,5.43,19931008,19931029.0,1.6617610454559,20180629.0,7.7699999809265,3.6757625003749084
235,sh600235,民丰特纸,3.66,20000615,20000630.0,6.0611906051636,20180629.0,4.7699999809265,-0.21302590668195107
236,sz002803,吉宏股份,3.77,20160712,20160726.0,23.799999237061,20180629.0,33.880001068115,0.42352950227651986
237,sz300149,量子生物,1.96,20101222,20101231.0,5.3396830558777,20180629.0,16.479999542236,2.0863254185275113
238,sz300089,文化长城,4.21,20100625,20100630.0,5.2266669273376,20180629.0,6.8899998664856,0.31823970462860185
239,sz000031,中粮地产,3.81,19931008,19931029.0,1.3253096342087,20180629.0,5.7800002098083,3.361245146504464
240,sh603757,大元泵业,7.94,20170711,20180706.0,26.139999389648,20180706.0,26.139999389648,0.0
241,sz300145,中金环境,3.93,20101209,20101231.0,5.7179017066956,20180629.0,7.8299999237061,0.3693834426249853
242,sz300691,联合光电,6.22,20170811,20180706.0,29.989999771118,20180706.0,29.989999771118,0.0
243,sz002500,山西证券,4.44,20101115,20101130.0,11.433000564575,20180629.0,6.7399997711182,-0.4104784887353195
244,sh600789,鲁抗医药,4.32,19970226,19970228.0,3.3167314529419,20180629.0,10.069999694824,2.0361215062775235
245,sz002608,江苏国信,5.53,20110810,20110831.0,13.392154693604,20180629.0,6.9000000953674,-0.48477296945630477
246,sh603103,横店影视,4.77,20171012,20180706.0,31.729999542236,20180706.0,31.729999542236,0.0
247,sz002609,捷顺科技,3.47,20110815,20110831.0,3.9666666984558,20180615.0,9.5200004577637,1.4000000961688515
248,sh600889,南京化纤,3.65,19960308,19960329.0,1.4469554424286,20180629.0,5.5300002098083,2.8218178996076295
249,sz002677,浙江美大,2.12,20120525,20120531.0,2.8156249523163,20180629.0,17.39999961853,5.179800191149651
250,sz002470,金正大,3.15,20100908,20100930.0,4.6950001716614,20180629.0,6.8800001144409,0.46538868219174173
251,sh603533,掌阅科技,2.55,20170921,20180706.0,30.329999923706,20180706.0,30.329999923706,0.0
