,fz_2007-12-31,fz_2008-12-31,fz_2009-12-31,fz_2010-12-31,fz_2011-12-31,fz_2012-12-31,fz_2013-12-31,fz_2014-12-31,fz_2015-12-31,fz_2016-12-31,fz_2017-12-31,lrl_2007-12-31,lrl_2008-12-31,lrl_2009-12-31,lrl_2010-12-31,lrl_2011-12-31,lrl_2012-12-31,lrl_2013-12-31,lrl_2014-12-31,lrl_2015-12-31,lrl_2016-12-31,lrl_2017-12-31,roe_2007-12-31,roe_2008-12-31,roe_2009-12-31,roe_2010-12-31,roe_2011-12-31,roe_2012-12-31,roe_2013-12-31,roe_2014-12-31,roe_2015-12-31,roe_2016-12-31,roe_2017-12-31,zz_2007-12-31,zz_2008-12-31,zz_2009-12-31,zz_2010-12-31,zz_2011-12-31,zz_2012-12-31,zz_2013-12-31,zz_2014-12-31,zz_2015-12-31,zz_2016-12-31,zz_2017-12-31
sz000881,,,64.25%,61.50%,68.45%,63.95%,63.53%,62.23%,80.60%,53.01%,51.72%,,,9.97%,16.72%,16.63%,9.62%,5.73%,5.08%,-60.99%,10.44%,6.68%,,,9.81%,16.45%,17.27%,13.74%,6.88%,4.65%,-66.40%,23.03%,7.42%,,,0.46次,0.39次,0.31次,0.43次,0.33次,0.33次,0.38次,0.38次,0.56次
sz300466,,,,,36.14%,35.34%,34.94%,37.18%,24.56%,19.38%,21.66%,,,,,18.38%,17.90%,16.91%,14.96%,14.21%,17.03%,5.55%,,,,,26.30%,21.29%,19.85%,14.55%,8.72%,7.61%,2.15%,,,,,1.55次,0.76次,0.76次,0.62次,0.45次,0.33次,0.29次
sz002112,,,64.39%,61.11%,61.56%,57.51%,57.24%,63.03%,66.21%,58.91%,67.63%,,,3.65%,5.05%,-3.11%,0.70%,2.12%,1.74%,1.05%,1.08%,-23.23%,,,9.55%,9.69%,-7.02%,1.33%,4.31%,3.56%,2.01%,1.06%,-28.10%,,,0.92次,0.71次,0.87次,0.77次,0.87次,0.78次,0.68次,0.36次,0.45次
sz000971,,,75.05%,83.08%,99.58%,93.42%,85.25%,81.49%,8.48%,8.02%,5.94%,,,-65.62%,8.59%,-31.83%,3.93%,-14.68%,7.81%,1.65%,16.74%,18.05%,,,-60.49%,9.25%,-120.94%,43.60%,-54.07%,16.18%,0.86%,5.59%,4.35%,,,0.14次,0.29次,0.33次,0.33次,0.31次,0.37次,0.16次,0.24次,0.22次
sz000812,,,37.74%,32.24%,34.87%,31.39%,33.08%,38.73%,43.24%,36.84%,42.13%,,,9.79%,13.62%,15.90%,18.94%,15.46%,16.95%,8.98%,5.79%,6.54%,,,8.11%,8.04%,10.45%,11.53%,9.39%,8.40%,2.27%,3.96%,2.88%,,,0.49次,0.42次,0.44次,0.43次,0.44次,0.36次,0.28次,0.53次,0.37次
sh603730,,,,,52.75%,48.52%,49.04%,48.52%,45.44%,41.21%,18.81%,,,,,14.05%,10.25%,11.38%,11.40%,13.66%,16.20%,17.93%,,,,,34.07%,22.68%,23.20%,25.54%,29.34%,33.02%,26.81%,,,,,1.94次,1.05次,1.14次,1.14次,1.13次,1.14次,1.02次
sz300523,,,,,34.58%,44.60%,50.41%,54.79%,56.28%,30.59%,29.83%,,,,,20.30%,19.29%,19.35%,19.21%,22.31%,16.86%,18.84%,,,,,17.69%,21.64%,22.80%,15.30%,27.59%,15.22%,10.95%,,,,,1.05次,0.67次,0.59次,0.53次,0.61次,0.55次,0.50次
sz300669,,,,,,,55.23%,48.68%,29.44%,14.48%,8.93%,,,,,,,11.43%,12.19%,9.54%,17.15%,14.90%,,,,,,,37.51%,34.28%,19.11%,21.83%,11.79%,,,,,,,2.35次,1.27次,1.11次,0.99次,0.70次
sz000636,,,30.57%,26.87%,30.54%,32.96%,40.22%,25.89%,27.38%,31.64%,27.62%,,,3.34%,10.93%,7.93%,3.37%,3.98%,4.23%,3.34%,5.27%,7.81%,,,3.19%,9.45%,7.09%,3.17%,4.03%,4.07%,1.63%,2.87%,5.51%,,,0.60次,0.68次,0.63次,0.63次,0.62次,0.50次,0.33次,0.42次,0.52次
sz300178,,,41.84%,33.46%,9.60%,12.91%,17.98%,40.85%,56.20%,63.65%,58.68%,,,42.81%,48.04%,31.84%,25.43%,25.55%,28.85%,16.90%,15.26%,9.34%,,,26.48%,28.56%,6.74%,6.50%,8.38%,11.10%,11.16%,12.12%,13.77%,,,0.29次,0.37次,0.23次,0.22次,0.27次,0.26次,0.34次,0.32次,0.60次
sh601003,,,66.41%,71.44%,72.51%,76.06%,76.38%,77.20%,80.38%,77.73%,68.80%,,,1.02%,1.70%,0.85%,0.33%,0.59%,0.47%,-4.59%,0.74%,6.37%,,,5.53%,12.26%,6.82%,2.30%,3.94%,2.98%,-23.44%,4.33%,44.70%,,,1.85次,2.22次,2.25次,1.79次,1.59次,1.46次,1.09次,1.23次,1.89次
sz002496,,,48.76%,13.63%,27.30%,36.99%,46.46%,49.78%,41.43%,48.33%,48.25%,,,16.88%,12.72%,6.41%,7.89%,7.82%,8.06%,4.90%,2.89%,11.02%,,,37.22%,19.74%,3.91%,6.81%,9.04%,10.45%,6.17%,5.25%,11.32%,,,1.03次,0.61次,0.49次,0.61次,0.61次,0.58次,0.62次,0.86次,0.51次
sh603819,,,,,64.91%,23.57%,19.17%,15.53%,14.13%,6.44%,17.51%,,,,,3.80%,8.69%,8.83%,6.19%,7.99%,8.22%,4.29%,,,,,19.42%,15.68%,13.12%,8.15%,10.29%,9.13%,4.19%,,,,,3.81次,1.16次,1.17次,1.09次,1.09次,0.84次,0.86次
sz002320,,,4.38%,2.12%,2.06%,3.47%,1.03%,10.38%,8.43%,9.15%,8.29%,,,28.48%,31.27%,31.93%,22.61%,15.09%,14.01%,17.06%,20.97%,23.29%,,,37.78%,10.85%,11.28%,7.17%,4.40%,4.35%,5.82%,7.10%,6.57%,,,0.43次,0.33次,0.34次,0.30次,0.28次,0.29次,0.31次,0.31次,0.30次
sz002497,,,29.26%,7.58%,7.37%,18.37%,19.76%,18.79%,17.25%,20.09%,34.83%,,,22.14%,22.03%,18.16%,20.45%,19.12%,17.11%,9.51%,9.35%,11.37%,,,46.81%,33.06%,10.98%,11.29%,11.16%,10.87%,5.42%,5.95%,9.59%,,,1.49次,0.67次,0.57次,0.48次,0.48次,0.51次,0.46次,0.52次,0.62次
sz300225,,,34.86%,41.04%,11.11%,13.51%,23.20%,21.73%,20.25%,22.12%,24.44%,,,19.43%,16.32%,9.56%,10.91%,11.86%,12.66%,8.98%,7.57%,4.87%,,,51.33%,47.37%,10.14%,7.98%,10.30%,11.25%,8.48%,8.29%,5.39%,,,1.61次,1.70次,0.92次,0.64次,0.70次,0.69次,0.67次,0.71次,0.67次
sh603718,,,,,19.50%,16.55%,16.67%,14.66%,22.33%,32.07%,32.89%,,,,,41.24%,36.21%,37.15%,35.00%,28.85%,20.40%,31.38%,,,,,29.42%,26.27%,26.21%,19.96%,12.80%,9.00%,10.96%,,,,,1.03次,0.58次,0.55次,0.45次,0.33次,0.25次,0.20次
sh600562,,,50.25%,42.53%,49.08%,44.90%,40.20%,35.59%,43.17%,30.98%,33.45%,,,-16.43%,4.66%,5.69%,5.15%,10.24%,15.16%,17.11%,18.15%,14.67%,,,-13.23%,5.21%,5.43%,4.23%,10.72%,17.66%,19.50%,17.01%,9.74%,,,0.35次,0.49次,0.48次,0.42次,0.94次,0.72次,0.69次,0.59次,0.45次
sz300037,,,7.74%,9.90%,11.41%,13.48%,13.49%,17.24%,13.86%,21.05%,33.57%,,,18.86%,19.68%,18.91%,19.63%,18.33%,17.88%,14.25%,16.55%,15.78%,,,35.66%,9.86%,11.99%,11.60%,10.39%,10.26%,7.56%,12.38%,12.45%,,,0.53次,0.45次,0.56次,0.51次,0.49次,0.49次,0.47次,0.62次,0.56次
