,fz_2007-12-31,fz_2008-12-31,fz_2009-12-31,fz_2010-12-31,fz_2011-12-31,fz_2012-12-31,fz_2013-12-31,fz_2014-12-31,fz_2015-12-31,fz_2016-12-31,fz_2017-12-31,lrl_2007-12-31,lrl_2008-12-31,lrl_2009-12-31,lrl_2010-12-31,lrl_2011-12-31,lrl_2012-12-31,lrl_2013-12-31,lrl_2014-12-31,lrl_2015-12-31,lrl_2016-12-31,lrl_2017-12-31,roe_2007-12-31,roe_2008-12-31,roe_2009-12-31,roe_2010-12-31,roe_2011-12-31,roe_2012-12-31,roe_2013-12-31,roe_2014-12-31,roe_2015-12-31,roe_2016-12-31,roe_2017-12-31,zz_2007-12-31,zz_2008-12-31,zz_2009-12-31,zz_2010-12-31,zz_2011-12-31,zz_2012-12-31,zz_2013-12-31,zz_2014-12-31,zz_2015-12-31,zz_2016-12-31,zz_2017-12-31
sz300085,,,19.05%,1.88%,2.76%,2.39%,2.44%,13.21%,22.79%,33.36%,39.07%,,,38.96%,36.87%,21.61%,17.94%,13.12%,14.68%,12.63%,10.00%,2.16%,,,31.38%,9.66%,3.98%,3.51%,2.79%,4.78%,8.44%,8.66%,1.99%,,,0.62次,0.27次,0.18次,0.19次,0.21次,0.26次,0.58次,0.70次,0.62次
sz300733,,,,,,,51.13%,50.37%,52.70%,46.04%,43.25%,,,,,,,11.34%,12.47%,12.29%,14.31%,16.40%,,,,,,,13.39%,14.88%,15.11%,19.76%,17.76%,,,,,,,1.08次,0.59次,0.61次,0.70次,0.60次
sz002741,,,,,47.66%,44.63%,42.35%,47.55%,19.06%,20.43%,29.18%,,,,,11.01%,9.57%,9.01%,8.77%,6.72%,6.37%,7.05%,,,,,31.24%,24.74%,20.95%,19.82%,8.79%,8.31%,9.97%,,,,,2.56次,1.40次,1.31次,1.25次,1.08次,1.05次,1.01次
sh601328,,,95.03%,94.34%,94.08%,92.77%,92.93%,92.44%,92.48%,92.47%,92.52%,,,37.33%,37.58%,40.03%,39.69%,37.99%,37.22%,34.48%,35.03%,36.06%,,,19.26%,20.08%,20.49%,18.43%,15.49%,14.87%,13.46%,12.22%,11.40%,,,0.03次,0.03次,0.03次,0.03次,0.03次,0.03次,0.03次,0.02次,0.02次
sh600295,,,66.66%,66.79%,67.53%,66.65%,67.36%,69.91%,69.79%,69.03%,69.98%,,,8.22%,12.45%,11.96%,6.99%,8.12%,5.57%,3.20%,3.49%,4.67%,,,10.19%,19.34%,17.05%,10.85%,11.66%,6.15%,3.32%,3.63%,6.91%,,,0.45次,0.50次,0.48次,0.42次,0.38次,0.38次,0.34次,0.37次,0.48次
sz002876,,,,,,48.80%,46.64%,48.33%,55.78%,68.00%,47.71%,,,,,,7.37%,9.88%,11.79%,12.10%,9.00%,10.04%,,,,,,9.74%,19.08%,25.99%,23.75%,17.59%,11.87%,,,,,,1.29次,1.01次,1.16次,0.92次,0.70次,0.53次
sh601368,,,67.44%,74.88%,76.32%,75.39%,75.02%,74.26%,62.65%,62.90%,62.26%,,,23.82%,25.27%,21.12%,21.00%,22.07%,23.89%,20.96%,24.26%,28.06%,,,16.70%,18.71%,15.24%,16.55%,16.26%,16.53%,11.59%,10.81%,11.95%,,,0.21次,0.20次,0.18次,0.19次,0.18次,0.18次,0.18次,0.17次,0.16次
sz002809,,,,,50.66%,41.54%,40.14%,28.62%,15.73%,13.04%,23.61%,,,,,7.71%,11.26%,11.32%,14.86%,18.39%,15.14%,12.78%,,,,,19.68%,22.22%,23.94%,25.86%,21.38%,11.23%,8.78%,,,,,2.29次,1.07次,1.25次,1.14次,0.90次,0.57次,0.56次
sz000927,,,56.90%,59.99%,59.78%,58.83%,60.81%,77.22%,73.46%,63.31%,98.20%,,,2.08%,3.06%,1.13%,0.51%,-8.48%,-51.30%,0.56%,8.04%,-112.99%,,,5.25%,8.51%,3.01%,0.93%,-14.03%,-70.71%,1.18%,10.04%,-186.83%,,,1.11次,1.15次,1.09次,0.82次,0.65次,0.43次,0.54次,0.38次,0.30次
sz000938,,,55.90%,56.55%,58.18%,56.23%,59.79%,55.07%,57.22%,26.99%,32.14%,,,0.85%,0.82%,0.84%,1.36%,1.65%,1.55%,1.52%,4.31%,6.73%,,,4.15%,4.17%,5.38%,8.21%,10.28%,9.11%,6.92%,4.90%,6.44%,,,1.95次,2.17次,2.55次,2.71次,2.88次,2.82次,2.44次,1.28次,0.98次
sz002431,,,46.69%,24.10%,41.38%,54.28%,62.56%,67.48%,64.78%,66.73%,63.18%,,,11.77%,13.06%,11.61%,10.38%,9.82%,8.95%,-4.61%,3.23%,6.05%,,,33.92%,17.19%,15.46%,14.47%,16.72%,15.52%,-5.27%,2.87%,6.23%,,,1.47次,0.96次,0.90次,0.76次,0.71次,0.61次,0.41次,0.30次,0.36次
sh600926,,,93.09%,94.51%,94.09%,94.61%,93.94%,93.75%,94.15%,94.65%,93.78%,,,37.32%,38.10%,35.83%,36.35%,38.86%,31.84%,29.87%,29.03%,32.22%,,,--,--,20.58%,22.43%,20.02%,15.67%,12.84%,11.83%,11.34%,,,0.03次,0.03次,0.03次,0.03次,0.03次,0.03次,0.03次,0.02次,0.02次
sh600617,,,225.27%,225.81%,433.26%,439.50%,84.51%,81.61%,76.64%,79.82%,83.13%,,,-360.71%,212.79%,64.52%,--,7.04%,8.00%,7.94%,5.03%,-0.79%,,,-118.73%,-22.87%,-24.28%,-14.33%,27.85%,23.84%,22.28%,10.07%,0.45%,,,0.24次,0.14次,0.65次,0.00次,0.81次,0.44次,0.43次,0.36次,0.41次
sz002201,,,52.21%,62.11%,63.87%,63.57%,66.55%,73.90%,58.78%,63.59%,67.89%,,,3.01%,2.85%,2.87%,3.00%,0.17%,1.44%,2.24%,0.49%,-0.36%,,,3.16%,4.01%,4.63%,4.86%,0.42%,2.48%,2.59%,0.54%,-0.36%,,,0.50次,0.60次,0.61次,0.58次,0.52次,0.51次,0.36次,0.35次,0.39次
sz300170,,,24.90%,17.83%,5.93%,7.62%,8.54%,7.75%,17.35%,21.43%,21.99%,,,14.82%,17.52%,18.02%,17.00%,16.94%,17.51%,17.63%,13.56%,13.11%,,,34.78%,33.23%,10.24%,10.92%,11.44%,12.21%,13.58%,12.72%,14.45%,,,1.67次,1.50次,0.75次,0.59次,0.62次,0.62次,0.63次,0.72次,0.80次
sz300300,,,35.74%,32.39%,42.31%,26.97%,33.40%,40.33%,50.98%,37.86%,36.73%,,,13.97%,19.27%,15.71%,14.06%,11.97%,12.13%,11.08%,9.20%,20.96%,,,20.23%,33.70%,32.21%,11.62%,9.37%,12.61%,10.44%,2.22%,3.83%,,,0.76次,0.96次,1.25次,0.71次,0.55次,0.67次,0.50次,0.17次,0.12次
sz300315,,,26.46%,6.49%,6.23%,3.49%,20.91%,19.76%,18.48%,18.49%,12.98%,,,23.30%,35.24%,30.32%,36.52%,40.37%,45.23%,44.60%,30.04%,16.53%,,,48.44%,44.18%,28.41%,13.56%,13.26%,11.15%,11.10%,6.35%,3.12%,,,1.55次,1.02次,0.88次,0.39次,0.27次,0.22次,0.17次,0.20次,0.17次
sz300680,,,,,,32.12%,36.40%,43.26%,43.05%,43.39%,26.52%,,,,,,22.33%,20.11%,16.27%,16.21%,16.62%,12.15%,,,,,,28.88%,20.81%,14.15%,16.22%,16.82%,7.02%,,,,,,1.53次,0.67次,0.55次,0.57次,0.58次,0.37次
sh601086,,,,,70.23%,73.72%,63.37%,57.13%,48.40%,48.98%,33.52%,,,,,4.84%,4.89%,5.06%,4.32%,3.56%,3.23%,4.17%,,,,,18.69%,19.15%,23.01%,16.46%,11.40%,8.10%,9.17%,,,,,2.42次,1.23次,1.42次,1.51次,1.43次,1.28次,1.17次
