,fz_2007-12-31,fz_2008-12-31,fz_2009-12-31,fz_2010-12-31,fz_2011-12-31,fz_2012-12-31,fz_2013-12-31,fz_2014-12-31,fz_2015-12-31,fz_2016-12-31,fz_2017-12-31,lrl_2007-12-31,lrl_2008-12-31,lrl_2009-12-31,lrl_2010-12-31,lrl_2011-12-31,lrl_2012-12-31,lrl_2013-12-31,lrl_2014-12-31,lrl_2015-12-31,lrl_2016-12-31,lrl_2017-12-31,roe_2007-12-31,roe_2008-12-31,roe_2009-12-31,roe_2010-12-31,roe_2011-12-31,roe_2012-12-31,roe_2013-12-31,roe_2014-12-31,roe_2015-12-31,roe_2016-12-31,roe_2017-12-31,zz_2007-12-31,zz_2008-12-31,zz_2009-12-31,zz_2010-12-31,zz_2011-12-31,zz_2012-12-31,zz_2013-12-31,zz_2014-12-31,zz_2015-12-31,zz_2016-12-31,zz_2017-12-31
sh600601,,,48.59%,41.31%,32.56%,34.22%,31.98%,61.49%,61.37%,64.65%,72.38%,,,1.24%,2.94%,2.45%,1.45%,1.34%,4.62%,1.70%,1.01%,-16.14%,,,3.47%,7.07%,3.65%,1.89%,1.63%,6.75%,3.05%,1.78%,-24.08%,,,1.46次,1.29次,0.94次,0.87次,0.81次,0.88次,0.70次,0.66次,0.47次
sh601006,,,36.77%,43.74%,33.24%,29.92%,25.67%,21.01%,20.90%,25.84%,20.97%,,,28.24%,24.78%,25.99%,25.03%,24.73%,26.29%,24.09%,15.86%,23.54%,,,15.81%,22.64%,19.78%,17.42%,17.34%,17.82%,14.35%,7.75%,13.50%,,,0.35次,0.50次,0.46次,0.47次,0.50次,0.51次,0.48次,0.37次,0.44次
sz002922,,,,,,,42.28%,61.07%,44.35%,46.98%,35.07%,,,,,,,5.07%,3.35%,15.89%,8.09%,6.78%,,,,,,,9.85%,7.29%,38.77%,16.52%,16.27%,,,,,,,2.15次,1.09次,1.08次,1.10次,1.05次
sh600422,,,40.65%,42.08%,43.71%,50.89%,34.88%,32.22%,32.59%,33.14%,40.46%,,,4.67%,5.43%,5.98%,6.67%,6.57%,7.47%,8.77%,8.03%,5.73%,,,9.17%,12.24%,17.01%,20.94%,18.15%,15.84%,18.37%,11.90%,9.15%,,,1.20次,1.37次,1.60次,1.60次,1.42次,1.39次,1.23次,0.99次,1.00次
sz002689,,,70.95%,71.20%,69.52%,49.36%,49.73%,50.26%,47.43%,42.83%,41.81%,,,9.46%,4.27%,8.24%,8.19%,9.44%,9.65%,7.35%,5.61%,3.05%,,,27.69%,13.43%,25.51%,14.64%,12.25%,14.17%,8.57%,5.01%,2.46%,,,1.48次,0.96次,0.92次,0.71次,0.65次,0.73次,0.59次,0.49次,0.47次
sz002292,,,6.35%,14.01%,10.14%,17.92%,44.62%,35.85%,35.81%,41.55%,41.29%,,,17.18%,13.75%,12.38%,14.50%,15.03%,16.98%,18.57%,14.20%,1.88%,,,20.69%,10.40%,9.82%,12.75%,14.58%,20.41%,17.46%,11.74%,1.88%,,,0.69次,0.63次,0.66次,0.73次,0.60次,0.66次,0.58次,0.51次,0.44次
sh601163,,,64.07%,65.94%,64.05%,61.89%,60.96%,67.12%,69.16%,40.67%,45.10%,,,5.42%,5.39%,4.85%,6.21%,8.98%,11.06%,11.21%,12.30%,6.11%,,,--,--,19.34%,23.30%,31.55%,38.64%,26.14%,19.57%,6.10%,,,1.24次,1.36次,1.40次,1.39次,1.36次,1.12次,0.82次,0.61次,0.57次
sz000708,,,45.96%,44.04%,38.33%,30.95%,30.26%,34.01%,31.91%,36.32%,38.77%,,,5.98%,7.12%,6.32%,2.69%,2.71%,3.65%,4.36%,4.58%,3.86%,,,17.58%,24.64%,21.81%,7.55%,6.64%,8.34%,7.97%,8.13%,10.23%,,,1.55次,1.90次,2.01次,1.81次,1.70次,1.54次,1.22次,1.16次,1.65次
sh600210,,,55.23%,58.37%,58.51%,60.49%,62.26%,63.72%,59.95%,58.43%,55.13%,,,13.64%,11.51%,6.99%,2.45%,2.93%,2.05%,1.36%,2.82%,6.70%,,,18.56%,20.35%,14.35%,4.35%,6.19%,4.38%,2.78%,5.36%,12.96%,,,0.64次,0.72次,0.83次,0.79次,0.82次,0.79次,0.78次,0.77次,0.82次
sz000560,,,78.87%,81.60%,75.43%,71.70%,74.55%,71.63%,38.23%,43.19%,53.07%,,,2.45%,1.99%,6.04%,5.73%,5.24%,5.45%,1.51%,4.58%,5.75%,,,7.59%,4.81%,8.84%,10.18%,7.18%,6.10%,1.09%,2.12%,1.92%,,,0.46次,0.44次,0.41次,0.68次,0.41次,0.35次,0.25次,0.30次,0.11次
sz002758,,,,,67.49%,66.43%,66.38%,63.12%,43.53%,47.62%,52.24%,,,,,5.52%,4.45%,4.33%,4.01%,3.85%,3.17%,2.91%,,,,,37.68%,21.15%,19.58%,17.70%,11.59%,7.41%,7.55%,,,,,2.90次,1.57次,1.49次,1.52次,1.44次,1.26次,1.20次
sz300276,,,80.32%,62.46%,26.69%,24.68%,26.51%,26.82%,30.69%,36.22%,46.90%,,,14.07%,18.85%,19.30%,18.07%,8.53%,8.66%,6.70%,4.96%,10.02%,,,48.68%,53.11%,42.88%,8.74%,4.61%,5.39%,3.96%,2.48%,8.34%,,,0.62次,0.82次,0.60次,0.36次,0.39次,0.43次,0.41次,0.35次,0.23次
sz000798,,,8.30%,12.54%,21.27%,13.45%,10.25%,9.30%,35.68%,34.87%,33.20%,,,5.95%,13.71%,17.30%,12.61%,17.66%,5.15%,-68.59%,5.27%,6.70%,,,4.08%,7.54%,8.79%,7.86%,6.60%,2.51%,-34.07%,6.15%,6.58%,,,0.36次,0.49次,0.41次,0.55次,0.32次,0.41次,0.59次,0.61次,0.78次
sh600533,,,64.75%,56.19%,64.26%,67.64%,72.42%,74.41%,69.44%,71.67%,74.92%,,,13.48%,14.32%,15.81%,15.79%,9.77%,0.44%,3.07%,6.19%,3.33%,,,8.42%,7.64%,7.74%,9.11%,4.75%,0.36%,4.90%,4.97%,1.40%,,,0.27次,0.33次,0.21次,0.23次,0.17次,0.20次,0.41次,0.21次,0.12次
sh603986,,,,,35.49%,35.66%,30.16%,34.01%,36.58%,23.39%,31.74%,,,,,5.55%,7.58%,8.54%,10.38%,13.12%,11.73%,19.59%,,,,,16.09%,29.28%,22.51%,25.78%,31.92%,21.18%,26.27%,,,,,2.40次,2.44次,1.77次,1.70次,1.55次,1.16次,0.96次
sz002418,,,54.36%,33.40%,40.08%,45.80%,49.02%,49.81%,50.77%,69.85%,74.75%,,,9.65%,6.88%,6.90%,4.25%,0.97%,-1.75%,4.28%,7.83%,7.64%,,,23.19%,10.07%,7.20%,4.98%,1.28%,-2.66%,4.80%,9.57%,9.61%,,,1.12次,0.96次,0.65次,0.67次,0.67次,0.82次,0.69次,0.49次,0.40次
sh600035,,,28.76%,47.18%,62.59%,68.22%,69.90%,58.42%,54.08%,51.11%,43.33%,,,38.78%,41.37%,31.06%,20.47%,25.25%,24.61%,34.63%,30.41%,21.27%,,,11.66%,14.17%,9.55%,5.96%,7.44%,7.84%,11.07%,9.30%,10.31%,,,0.23次,0.20次,0.12次,0.09次,0.08次,0.10次,0.14次,0.14次,0.28次
sh600070,,,50.99%,55.81%,51.11%,46.97%,35.45%,39.19%,43.56%,35.09%,27.87%,,,7.39%,8.17%,6.29%,17.37%,17.66%,-4.43%,2.57%,15.45%,11.78%,,,9.41%,13.93%,7.61%,23.09%,15.13%,-7.21%,2.49%,9.77%,7.25%,,,0.63次,0.77次,0.75次,0.70次,0.65次,0.51次,0.39次,0.31次,0.53次
sh600490,,,72.75%,68.77%,53.63%,32.62%,31.26%,20.47%,22.50%,16.07%,27.21%,,,-126.46%,2.12%,1.30%,22.34%,10.62%,8.60%,2.23%,4.70%,5.47%,,,-87.32%,11.37%,4.72%,6.46%,6.67%,4.85%,1.20%,1.46%,5.61%,,,0.28次,2.27次,1.32次,0.66次,0.52次,0.51次,0.42次,0.56次,0.98次
sh600418,,,64.18%,64.64%,60.08%,68.58%,70.36%,72.64%,74.03%,68.57%,65.74%,,,1.70%,3.96%,2.05%,1.73%,2.77%,1.58%,1.84%,2.31%,0.48%,,,8.07%,24.13%,11.21%,8.30%,14.33%,7.69%,10.58%,11.26%,3.12%,,,1.90次,2.13次,2.01次,1.70次,1.56次,1.35次,1.41次,1.19次,1.05次
sz002690,,,12.76%,50.98%,23.05%,9.36%,9.16%,9.49%,11.37%,12.83%,19.91%,,,28.94%,44.92%,29.47%,32.54%,36.65%,37.93%,34.15%,34.12%,33.21%,,,18.64%,46.07%,40.03%,20.59%,14.35%,15.63%,17.56%,15.78%,17.38%,,,0.56次,0.54次,0.79次,0.51次,0.36次,0.37次,0.41次,0.40次,0.43次
sz300479,,,,,39.32%,26.37%,28.35%,28.84%,18.95%,20.03%,22.57%,,,,,19.11%,18.37%,18.13%,17.07%,14.15%,7.68%,8.57%,,,,,38.61%,33.51%,27.10%,23.70%,16.60%,5.10%,4.22%,,,,,2.08次,1.20次,1.08次,1.00次,0.90次,0.55次,0.66次
sz002360,,,32.58%,7.34%,9.15%,19.18%,27.79%,25.38%,17.90%,21.60%,26.81%,,,19.61%,17.04%,11.28%,13.87%,17.65%,15.33%,12.78%,14.34%,14.22%,,,27.89%,10.79%,9.78%,10.61%,15.79%,14.28%,8.58%,8.37%,9.42%,,,0.88次,0.68次,0.80次,0.70次,0.76次,0.69次,0.51次,0.47次,0.49次
sh600605,,,35.56%,43.84%,42.04%,45.05%,42.15%,47.67%,56.00%,53.40%,45.62%,,,1.73%,0.27%,0.28%,0.35%,0.30%,0.37%,0.56%,1.15%,1.19%,,,6.49%,1.15%,1.27%,1.40%,1.39%,1.65%,2.10%,4.38%,5.00%,,,2.34次,2.20次,2.61次,2.26次,2.59次,2.42次,1.68次,1.72次,2.00次
sz000998,,,47.37%,49.66%,53.47%,54.31%,54.65%,50.78%,51.15%,27.29%,50.41%,,,7.66%,10.52%,14.66%,16.55%,16.09%,17.95%,23.07%,21.82%,27.98%,,,5.21%,7.70%,13.00%,14.94%,14.62%,20.76%,23.01%,9.49%,13.10%,,,0.51次,0.55次,0.57次,0.52次,0.51次,0.46次,0.44次,0.35次,0.30次
sh600896,,,33.56%,43.77%,51.40%,64.01%,65.11%,62.00%,64.63%,38.12%,53.93%,,,5.70%,5.21%,1.93%,-36.16%,2.30%,-17.14%,7.88%,-50.62%,"-1,574.22%",,,0.98%,0.95%,0.57%,-20.10%,1.20%,-10.67%,1.37%,-23.53%,-34.24%,,,0.23次,0.25次,0.25次,0.19次,0.18次,0.17次,0.16次,0.17次,0.01次
sh600133,,,69.48%,70.66%,70.40%,81.34%,87.31%,87.60%,88.30%,89.27%,81.27%,,,20.61%,5.77%,1.58%,0.39%,-9.20%,3.98%,2.57%,2.56%,12.75%,,,8.14%,1.96%,1.80%,1.13%,-36.09%,21.93%,8.79%,8.13%,37.92%,,,0.12次,0.30次,0.22次,0.71次,0.57次,0.62次,0.41次,0.33次,0.35次
sz300534,,,,,62.37%,41.78%,29.76%,24.12%,37.29%,7.82%,8.95%,,,,,10.35%,11.79%,14.88%,20.04%,21.88%,17.52%,6.35%,,,,,40.07%,21.70%,22.30%,17.96%,15.91%,9.61%,2.42%,,,,,2.21次,1.02次,0.74次,0.65次,0.49次,0.38次,0.35次
sh600340,,,19.90%,24.46%,85.46%,88.52%,86.56%,84.74%,84.80%,84.78%,81.10%,,,4.07%,0.88%,16.42%,15.46%,12.76%,14.14%,13.01%,11.46%,14.77%,,,2.78%,0.81%,66.49%,51.42%,44.30%,42.83%,42.07%,29.54%,31.40%,,,0.51次,0.72次,0.56次,0.34次,0.36次,0.29次,0.27次,0.26次,0.19次
sz000822,,,54.69%,49.68%,41.69%,44.59%,61.67%,44.48%,39.02%,42.97%,34.98%,,,-13.55%,0.87%,4.94%,-10.97%,-28.74%,3.02%,3.47%,-3.67%,13.66%,,,-19.40%,1.32%,11.00%,-15.14%,-43.96%,8.03%,5.57%,-5.58%,27.54%,,,0.67次,0.93次,1.08次,0.77次,0.76次,1.05次,0.93次,0.90次,1.19次
sz002740,,,,,38.71%,33.48%,33.35%,36.32%,19.52%,27.28%,39.84%,,,,,9.95%,10.08%,11.39%,9.87%,8.03%,4.88%,3.69%,,,,,23.60%,22.79%,22.53%,17.72%,7.53%,5.89%,2.90%,,,,,2.60次,1.45次,1.32次,1.17次,0.83次,0.76次,0.82次
sh600403,,,21.40%,11.24%,49.27%,37.68%,30.70%,37.31%,44.63%,54.41%,57.43%,,,17.95%,3.71%,14.82%,14.62%,10.80%,1.30%,-31.38%,-39.89%,6.14%,,,7.44%,1.66%,30.57%,19.24%,11.71%,1.11%,-14.07%,-26.13%,7.01%,,,0.72次,0.58次,1.75次,0.95次,0.70次,0.47次,0.29次,0.34次,0.44次
sz002332,,,41.43%,38.48%,42.71%,50.77%,57.08%,56.18%,37.41%,38.22%,53.53%,,,6.63%,7.64%,7.82%,6.24%,2.19%,1.98%,4.22%,5.85%,8.07%,,,22.66%,11.19%,12.16%,10.67%,5.27%,4.78%,7.70%,6.71%,9.01%,,,0.84次,0.81次,0.88次,0.89次,0.89次,0.89次,0.79次,0.71次,0.65次
sh601678,,,75.77%,22.91%,16.11%,27.81%,34.27%,35.69%,33.82%,29.72%,26.91%,,,10.78%,10.28%,14.10%,9.05%,6.16%,7.27%,7.87%,7.50%,12.90%,,,38.18%,12.97%,18.08%,9.27%,6.37%,8.46%,9.43%,7.41%,15.50%,,,0.74次,0.91次,1.06次,0.83次,0.68次,0.73次,0.67次,0.67次,0.86次
sh600644,,,70.43%,71.31%,70.54%,72.84%,89.49%,62.95%,54.05%,47.43%,50.47%,,,7.03%,4.18%,4.35%,-2.36%,-44.83%,-119.39%,7.65%,11.80%,2.70%,,,8.43%,8.89%,10.58%,5.77%,-47.66%,-406.45%,12.13%,18.95%,3.44%,,,0.33次,0.51次,0.57次,0.39次,0.44次,0.54次,0.65次,0.77次,0.75次
sz000022,,,38.12%,38.62%,37.22%,34.16%,35.64%,29.70%,24.36%,14.86%,17.66%,,,41.23%,47.50%,39.09%,34.52%,36.08%,29.36%,34.86%,35.16%,29.06%,,,14.68%,18.42%,15.19%,13.15%,13.26%,10.36%,12.34%,11.64%,10.45%,,,0.27次,0.30次,0.27次,0.27次,0.25次,0.25次,0.27次,0.28次,0.34次
sz000883,,,74.39%,67.25%,68.66%,57.64%,54.24%,53.45%,43.14%,36.66%,39.18%,,,1.53%,8.78%,5.92%,6.88%,10.09%,17.70%,22.78%,20.88%,17.92%,,,5.42%,11.41%,6.95%,6.55%,7.11%,8.21%,10.45%,8.42%,8.76%,,,1.05次,0.68次,0.32次,0.32次,0.35次,0.22次,0.19次,0.22次,0.26次
sz300412,,,,,36.31%,29.19%,29.25%,21.47%,26.30%,24.32%,32.43%,,,,,24.34%,23.81%,22.51%,23.26%,23.67%,19.76%,10.74%,,,,,36.88%,29.29%,22.54%,22.86%,13.81%,11.94%,5.74%,,,,,1.67次,0.83次,0.70次,0.53次,0.44次,0.39次,0.40次
sh600671,,,48.96%,51.80%,48.91%,68.65%,70.71%,70.16%,77.62%,78.39%,77.46%,,,-21.42%,-4.07%,10.39%,-39.25%,0.89%,1.75%,-23.73%,2.12%,5.10%,,,-26.29%,-6.08%,17.14%,-71.88%,2.63%,3.40%,-31.70%,2.09%,12.91%,,,0.71次,0.73次,0.82次,0.70次,0.91次,0.49次,0.33次,0.42次,0.48次
sh603160,,,,,14.31%,13.51%,9.01%,11.22%,15.72%,14.89%,21.10%,,,,,30.65%,40.35%,37.43%,44.93%,33.77%,27.82%,24.09%,,,,,36.80%,114.66%,58.38%,51.23%,35.52%,47.13%,28.79%,,,,,1.61次,2.38次,1.36次,1.03次,0.93次,1.34次,0.96次
sh603222,,,,,41.55%,37.37%,31.57%,29.92%,11.02%,12.30%,41.06%,,,,,12.36%,12.79%,14.52%,11.79%,11.53%,8.80%,9.27%,,,,,19.90%,18.28%,18.04%,12.32%,7.80%,5.56%,6.86%,,,,,1.67次,0.87次,0.80次,0.73次,0.61次,0.51次,0.48次
sh600498,,,50.45%,51.06%,56.60%,52.23%,54.99%,54.04%,59.37%,67.33%,64.55%,,,7.40%,8.20%,7.26%,6.88%,7.11%,5.88%,5.24%,4.58%,4.29%,,,9.71%,11.27%,12.07%,10.87%,9.53%,9.27%,9.83%,10.75%,10.36%,,,0.73次,0.74次,0.78次,0.72次,0.68次,0.72次,0.78次,0.80次,0.79次
sz300410,,,,,40.73%,34.45%,33.42%,22.94%,30.66%,25.76%,28.79%,,,,,16.92%,16.59%,12.41%,9.37%,11.02%,12.13%,15.81%,,,,,29.88%,24.92%,16.01%,14.17%,9.83%,9.18%,11.07%,,,,,1.82次,0.94次,0.85次,0.75次,0.56次,0.52次,0.57次
sh603319,,,,,60.03%,55.34%,55.37%,54.66%,53.77%,37.63%,37.50%,,,,,11.52%,4.38%,9.51%,9.52%,8.37%,10.10%,13.58%,,,,,25.31%,6.40%,15.63%,14.45%,11.29%,14.01%,17.10%,,,,,1.42次,0.60次,0.73次,0.68次,0.61次,0.64次,0.79次
sz002254,,,12.59%,17.20%,21.93%,21.00%,18.69%,21.53%,17.62%,16.88%,16.41%,,,10.58%,18.31%,9.27%,2.94%,5.33%,9.45%,6.83%,4.04%,6.87%,,,6.95%,15.70%,8.49%,2.76%,5.15%,8.42%,4.99%,2.99%,4.89%,,,0.59次,0.71次,0.67次,0.68次,0.79次,0.73次,0.62次,0.61次,0.60次
sh600662,,,43.62%,43.01%,47.55%,49.03%,51.38%,48.27%,48.40%,44.98%,41.50%,,,10.79%,8.00%,6.25%,5.07%,4.14%,5.06%,4.76%,4.26%,2.35%,,,8.30%,7.12%,7.35%,6.30%,5.74%,6.10%,5.72%,5.71%,3.08%,,,0.46次,0.54次,0.84次,0.63次,0.65次,0.73次,0.72次,0.74次,0.64次
sz300736,,,,,,50.92%,35.03%,31.71%,34.79%,30.52%,26.12%,,,,,,5.32%,8.19%,7.22%,6.45%,7.29%,5.87%,,,,,,23.57%,27.43%,21.42%,25.44%,26.28%,20.45%,,,,,,3.09次,1.91次,1.93次,2.60次,2.38次,2.43次
sh600892,,,109.27%,114.79%,106.48%,94.83%,90.43%,84.24%,43.53%,32.23%,28.34%,,,-8.44%,-6.49%,0.80%,1.97%,0.51%,2.05%,-5.74%,42.75%,96.14%,,,-32.23%,-33.74%,18.35%,--,58.85%,18.01%,-14.10%,9.58%,16.49%,,,0.91次,1.25次,2.47次,2.22次,2.34次,0.37次,0.01次,0.14次,0.12次
sz002481,,,58.71%,13.30%,32.46%,38.14%,43.13%,36.68%,38.74%,41.39%,40.27%,,,13.36%,14.51%,11.81%,16.00%,15.19%,13.97%,14.91%,2.74%,1.73%,,,35.23%,17.42%,9.11%,11.06%,11.97%,14.00%,7.15%,2.19%,1.42%,,,0.98次,0.61次,0.58次,0.45次,0.47次,0.38次,0.31次,0.43次,0.47次
sz300348,,,42.89%,19.99%,17.53%,4.69%,4.77%,24.84%,30.14%,28.93%,25.93%,,,21.97%,27.41%,25.73%,25.96%,12.24%,15.05%,8.42%,15.91%,9.96%,,,36.53%,41.27%,28.61%,17.64%,5.24%,8.59%,7.33%,13.42%,8.88%,,,1.61次,0.92次,0.91次,0.54次,0.41次,0.46次,0.53次,0.60次,0.67次
sz300231,,,36.86%,30.14%,11.57%,22.11%,20.34%,23.80%,25.29%,38.57%,46.89%,,,15.07%,16.94%,17.55%,11.98%,12.37%,11.80%,12.41%,11.04%,13.18%,,,40.48%,37.49%,18.59%,13.26%,14.05%,15.37%,19.78%,21.39%,18.45%,,,1.38次,1.48次,0.88次,0.91次,0.89次,1.01次,1.13次,1.26次,0.78次
sz300146,,,28.39%,7.37%,7.29%,8.44%,9.06%,9.38%,7.17%,11.72%,16.06%,,,25.41%,26.61%,28.34%,26.28%,28.45%,29.48%,27.38%,21.98%,24.65%,,,69.42%,60.18%,11.06%,15.45%,20.57%,22.02%,15.69%,11.76%,15.80%,,,1.81次,0.36次,0.36次,0.53次,0.65次,0.66次,0.60次,0.45次,0.54次
sh600420,,,23.09%,26.25%,36.50%,51.78%,57.87%,63.45%,61.05%,53.79%,49.59%,,,9.34%,9.36%,8.63%,7.56%,7.98%,9.01%,10.87%,9.36%,9.61%,,,15.49%,16.15%,15.75%,13.54%,13.05%,17.69%,17.72%,9.38%,8.78%,,,1.35次,1.38次,1.30次,1.01次,0.84次,0.79次,0.68次,0.95次,0.56次
sz000533,,,66.22%,59.70%,53.77%,54.62%,49.74%,48.37%,49.16%,36.75%,50.09%,,,7.02%,5.06%,3.48%,3.83%,7.94%,4.11%,4.16%,6.03%,0.81%,,,25.66%,14.48%,7.10%,7.21%,15.99%,10.03%,9.25%,15.26%,2.39%,,,1.03次,1.14次,0.88次,0.85次,0.74次,1.01次,1.02次,1.17次,2.17次
sh600313,,,26.58%,10.71%,21.83%,29.73%,25.46%,26.43%,32.72%,37.82%,40.10%,,,-5.33%,10.96%,1.70%,1.82%,3.36%,5.04%,3.63%,2.12%,-10.25%,,,-6.26%,10.71%,1.54%,3.73%,4.03%,10.23%,6.80%,2.64%,-18.38%,,,0.83次,0.91次,1.86次,2.23次,1.45次,1.49次,1.24次,1.12次,1.01次
sz300336,,,43.43%,45.23%,50.79%,16.72%,19.84%,25.18%,28.33%,36.31%,41.23%,,,17.00%,26.95%,19.38%,23.45%,23.78%,19.56%,24.20%,23.68%,19.97%,,,13.73%,29.00%,32.91%,18.52%,13.01%,12.68%,10.24%,9.73%,8.47%,,,0.99次,0.57次,0.88次,0.53次,0.44次,0.48次,0.40次,0.27次,0.26次
sh600470,,,46.86%,32.62%,52.95%,61.43%,62.04%,67.09%,65.02%,67.12%,64.65%,,,1.63%,2.94%,4.07%,0.91%,-0.18%,-6.34%,0.70%,-4.64%,0.83%,,,5.03%,5.52%,5.94%,3.11%,0.62%,-9.66%,6.95%,-2.99%,1.85%,,,1.24次,0.98次,0.77次,1.01次,0.89次,0.82次,0.88次,0.74次,0.84次
sz002529,,,43.82%,26.14%,12.64%,8.37%,11.75%,12.29%,18.16%,17.79%,17.44%,,,22.83%,17.83%,11.98%,2.83%,3.47%,1.57%,1.22%,-18.60%,2.57%,,,20.91%,18.76%,4.46%,0.70%,0.88%,0.32%,0.28%,-2.87%,0.45%,,,0.52次,0.36次,0.30次,0.22次,0.23次,0.18次,0.20次,0.13次,0.14次
sz300403,,,53.39%,36.29%,21.87%,18.61%,19.51%,7.89%,9.93%,9.78%,11.00%,,,5.47%,12.76%,18.97%,18.74%,19.91%,20.19%,20.84%,24.86%,20.44%,,,19.65%,66.48%,36.45%,30.54%,26.86%,22.45%,12.10%,15.25%,11.24%,,,3.05次,1.76次,1.34次,1.30次,1.22次,0.73次,0.54次,0.53次,0.49次
sz300730,,,,,,,52.79%,56.97%,56.68%,50.36%,36.09%,,,,,,,7.14%,7.33%,13.12%,13.96%,14.50%,,,,,,,11.58%,10.54%,24.76%,20.87%,21.25%,,,,,,,1.43次,0.74次,0.80次,0.77次,0.64次
sh600791,,,66.92%,75.84%,68.46%,65.10%,73.07%,66.16%,60.94%,60.28%,54.72%,,,13.80%,20.47%,16.40%,24.79%,19.14%,11.50%,16.56%,10.24%,1.97%,,,1.90%,14.12%,19.43%,13.88%,11.98%,5.69%,5.35%,3.07%,3.16%,,,0.06次,0.27次,0.38次,0.22次,0.25次,0.29次,0.15次,0.15次,0.13次
sz000596,,,39.80%,43.51%,34.91%,36.41%,35.66%,34.81%,32.71%,32.00%,32.62%,,,10.44%,16.70%,17.12%,17.29%,13.58%,12.84%,13.62%,14.13%,17.01%,,,16.95%,34.17%,31.65%,23.80%,17.47%,15.05%,15.91%,15.88%,19.09%,,,0.94次,1.17次,1.08次,0.88次,0.82次,0.76次,0.77次,0.76次,0.74次
sh603818,,,,,51.25%,45.07%,42.76%,34.31%,17.71%,21.98%,22.49%,,,,,8.56%,9.81%,11.12%,9.19%,9.31%,11.12%,11.71%,,,,,23.69%,20.70%,22.13%,16.95%,11.71%,14.24%,16.59%,,,,,2.20次,1.09次,1.10次,1.12次,1.03次,1.02次,1.08次
sz002458,,,57.34%,27.53%,14.45%,37.24%,56.96%,61.24%,81.68%,23.88%,42.86%,,,22.10%,10.39%,30.39%,1.77%,-57.53%,2.76%,-66.82%,34.75%,-47.73%,,,40.18%,9.36%,23.90%,1.11%,-35.47%,3.43%,-78.41%,49.32%,-23.13%,,,0.81次,0.52次,0.62次,0.43次,0.33次,0.50次,0.34次,0.87次,0.32次
sz300429,,,,,32.79%,32.98%,25.07%,28.81%,8.01%,11.82%,12.97%,,,,,17.67%,21.46%,24.50%,24.60%,25.80%,26.30%,19.57%,,,,,31.23%,32.42%,31.21%,29.60%,17.29%,15.27%,12.52%,,,,,2.21次,1.01次,0.92次,0.86次,0.65次,0.50次,0.54次
sh600131,,,71.26%,70.73%,68.39%,64.99%,72.03%,64.73%,62.21%,56.52%,51.96%,,,-15.13%,26.63%,19.01%,8.27%,-21.62%,18.30%,13.22%,13.94%,9.52%,,,-11.01%,24.91%,18.25%,8.81%,-21.45%,21.46%,14.79%,16.80%,7.46%,,,0.21次,0.27次,0.29次,0.33次,0.33次,0.36次,0.40次,0.48次,0.35次
sz300106,,,51.32%,27.74%,30.72%,40.31%,46.36%,56.83%,67.79%,60.55%,70.45%,,,11.33%,11.60%,12.27%,6.34%,6.59%,4.00%,3.50%,-7.04%,-54.29%,,,21.12%,11.95%,7.10%,5.52%,4.53%,3.61%,3.59%,-5.50%,-45.80%,,,0.89次,0.54次,0.40次,0.50次,0.38次,0.51次,0.30次,0.26次,0.27次
sz002560,,,50.62%,54.58%,17.05%,36.63%,22.02%,18.41%,29.32%,32.97%,33.61%,,,6.11%,6.97%,5.64%,5.73%,7.56%,8.45%,4.83%,5.40%,0.83%,,,21.46%,22.99%,7.43%,6.43%,6.48%,3.49%,4.09%,5.71%,0.80%,,,1.62次,1.55次,1.21次,0.75次,0.64次,0.47次,0.60次,0.66次,0.66次
sz002716,,,64.41%,70.27%,71.39%,72.76%,69.81%,67.02%,68.20%,69.93%,60.46%,,,7.79%,8.14%,6.69%,4.59%,4.43%,2.73%,2.03%,1.82%,2.28%,,,25.12%,30.03%,29.78%,21.00%,16.20%,6.68%,6.17%,7.12%,8.41%,,,2.04次,1.21次,1.29次,1.27次,1.05次,0.94次,0.98次,1.12次,1.30次
sh600112,,,35.64%,21.51%,49.84%,53.07%,61.30%,51.86%,51.26%,56.87%,58.53%,,,23.20%,19.43%,13.66%,9.06%,1.11%,3.25%,-26.34%,-16.56%,3.46%,,,19.83%,9.37%,6.10%,6.53%,0.62%,1.28%,-14.99%,-8.92%,1.70%,,,0.47次,0.35次,0.26次,0.35次,0.23次,0.17次,0.27次,0.24次,0.21次
sh600258,,,36.21%,33.83%,44.37%,45.21%,40.44%,39.74%,64.50%,59.50%,54.73%,,,12.30%,10.30%,4.66%,4.55%,4.61%,4.79%,8.46%,5.11%,7.83%,,,15.14%,18.93%,9.73%,10.98%,11.54%,10.25%,8.44%,12.78%,8.98%,,,0.88次,1.21次,1.23次,1.36次,1.34次,1.27次,0.43次,0.61次,0.49次
sz300631,,,,,47.89%,46.66%,52.02%,39.52%,34.18%,31.62%,22.87%,,,,,25.45%,27.82%,25.23%,20.71%,21.56%,17.69%,15.60%,,,,,36.59%,33.45%,30.79%,21.12%,15.20%,11.54%,8.59%,,,,,1.29次,0.64次,0.61次,0.55次,0.44次,0.44次,0.44次
sz300585,,,,,,53.01%,62.15%,44.99%,38.73%,25.80%,28.87%,,,,,,5.46%,10.80%,13.65%,14.76%,15.41%,15.04%,,,,,,9.13%,17.70%,25.77%,21.91%,23.41%,13.55%,,,,,,1.41次,0.77次,0.79次,0.86次,0.73次,0.65次
