,净利润_2009-12-31,净利润_2010-12-31,净利润_2011-06-30,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-12-31,净利润_2014-09-30,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2009-12-31,净利润同比增长_2010-12-31,净利润同比增长_2011-06-30,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-12-31,净利润同比增长_2014-09-30,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2009-12-31,营收_2010-12-31,营收_2011-06-30,营收_2011-12-31,营收_2012-12-31,营收_2013-12-31,营收_2014-09-30,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2009-12-31,营收增长同比_2010-12-31,营收增长同比_2011-06-30,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-12-31,营收增长同比_2014-09-30,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
sh603698,,,,,,,,,,,,,,,-1364万,1.20亿,3179万,9768万,4215万,2086万,4492万,9510万,3722万,,,,,,,,,,,,,,,,--,-23.87,720.29,83.67,--,-82.68,41.29,-2.65,-11.71,,,,,,,,,,,,,,,,1.50亿,7.17亿,1.56亿,5.03亿,6685万,4.90亿,1.38亿,5.44亿,1.42亿,,,,,,,,,,,,,,,,-28.37,32.48,12.98,68.55,-55.35,-31.59,-11.37,8.33,111.97,
sz002070,,,,,,,,,,,,,,,2045万,-2.51亿,-1547万,-5354万,-7200万,-8.99亿,-5117万,-6605万,-5474万,,,,,,,,,,,,,,,,--,--,--,-249.63,-452.13,--,--,--,--,,,,,,,,,,,,,,,,2.00亿,2.20亿,2.20亿,1.99亿,1.64亿,1.71亿,4707万,6916万,3685万,,,,,,,,,,,,,,,,19.50,32.94,-24.84,14.85,-17.83,-22.41,-78.64,-65.17,-77.54,
sz300092,,,,,,,,,,,,,,,277万,1846万,104万,391万,10.9万,92.0万,216万,427万,28.7万,,,,,,,,,,,,,,,,--,--,-37.75,-56.48,-96.06,-95.02,106.56,9.21,163.41,,,,,,,,,,,,,,,,1.30亿,1.22亿,6281万,7435万,6803万,1.28亿,8584万,1.40亿,1.30亿,,,,,,,,,,,,,,,,277.43,96.32,-10.56,44.68,-47.79,4.91,36.66,88.03,91.01,
sh600133,,,,,,,,,,,,,,,1789万,1.13亿,6.87亿,2790万,1947万,1.90亿,2995万,1.07亿,4963万,,,,,,,,,,,,,,,,-28.15,8.96,5861.98,801.15,8.85,67.76,-95.64,284.60,154.88,,,,,,,,,,,,,,,,11.8亿,31.3亿,12.4亿,16.2亿,18.7亿,29.0亿,14.3亿,23.1亿,22.2亿,,,,,,,,,,,,,,,,-20.49,21.72,17.41,119.69,58.22,-7.52,15.36,42.68,18.43,
sh601881,,,,,,,,,,,,,,,12.9亿,16.0亿,11.2亿,9.95亿,12.7亿,5.97亿,10.1亿,2.97亿,5.59亿,,,,,,,,,,,,,,,,--,--,10.47,-20.03,-1.76,-62.76,-9.22,-70.17,-56.05,,,,,,,,,,,,,,,,33.4亿,35.1亿,29.6亿,27.0亿,32.5亿,24.3亿,26.2亿,16.9亿,20.2亿,,,,,,,,,,,,,,,,--,--,-10.21,-12.67,-2.66,-30.76,-11.69,-37.55,-37.76,
sh600115,,,,,,,,,,,,,,,34.6亿,-21.9亿,28.2亿,15.3亿,35.7亿,-15.6亿,19.8亿,3.00亿,22.1亿,,,,,,,,,,,,,,,,95.54,--,8.30,142.31,3.09,--,-29.63,-80.38,-38.14,,,,,,,,,,,,,,,,291亿,232亿,245亿,235亿,295亿,242亿,268亿,277亿,335亿,,,,,,,,,,,,,,,,5.15,5.81,4.26,3.01,1.41,4.60,9.04,17.82,13.47,
sz300751,,,,,,,,--,,,,--,,,,--,,,--,2371万,,--,5118万,3023万,,,,,,,,--,,,,--,,,,--,,,--,--,,--,--,27.52,,,,,,,,--,,,,--,,,,--,,,--,1.09亿,,--,2.24亿,2.07亿,,,,,,,,--,,,,--,,,,--,,,--,--,,--,--,90.03
sz300472,,,,,,,,,,,,,,,192万,1129万,247万,156万,208万,1478万,994万,474万,539万,,,,,,,,,,,,,,,,1243.32,9.74,77.90,-2.54,8.23,30.93,301.64,204.41,159.62,,,,,,,,,,,,,,,,3645万,1.16亿,4388万,8271万,4180万,1.34亿,1.08亿,1.22亿,1.12亿,,,,,,,,,,,,,,,,-8.58,51.51,27.75,156.29,14.66,15.91,145.09,47.92,167.74,
sh600630,,,,,,,,,,,,,,,2000万,-4959万,2133万,1559万,7036万,2122万,2355万,2252万,714万,,,,,,,,,,,,,,,,6.26,-314.55,-5.12,-44.10,251.78,--,10.39,44.49,-89.85,,,,,,,,,,,,,,,,8.70亿,14.5亿,8.72亿,10.2亿,9.33亿,16.0亿,9.91亿,9.50亿,9.51亿,,,,,,,,,,,,,,,,-2.48,2.88,1.58,-5.41,7.21,10.65,13.75,-6.70,1.87,
sz000061,,,,,,,,,,,,,,,1.82亿,-1.26亿,499万,517万,-746万,1120万,307万,-2068万,6484万,,,,,,,,,,,,,,,,8976.88,--,21.31,-81.76,-104.11,--,-38.39,-500.08,--,,,,,,,,,,,,,,,,4.71亿,5.72亿,5.80亿,5.28亿,5.95亿,7.43亿,5.33亿,5.67亿,5.99亿,,,,,,,,,,,,,,,,14.05,25.29,21.82,5.40,26.33,29.94,-8.06,7.35,0.64,
