,净利润_2009-12-31,净利润_2010-12-31,净利润_2011-06-30,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-12-31,净利润_2014-09-30,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2009-12-31,净利润同比增长_2010-12-31,净利润同比增长_2011-06-30,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-12-31,净利润同比增长_2014-09-30,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2009-12-31,营收_2010-12-31,营收_2011-06-30,营收_2011-12-31,营收_2012-12-31,营收_2013-12-31,营收_2014-09-30,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2009-12-31,营收增长同比_2010-12-31,营收增长同比_2011-06-30,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-12-31,营收增长同比_2014-09-30,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
sh603192,,,,,,,,--,,,,--,,,,--,,,3325万,2433万,,--,3233万,,,,,,,,,--,,,,--,,,,--,,,--,--,,--,-2.78,,,,,,,,,--,,,,--,,,,--,,,4.21亿,3.76亿,,--,4.53亿,,,,,,,,,--,,,,--,,,,--,,,--,--,,--,7.57,
sz300174,,,,,,,,,,,,,,,155万,2011万,1282万,1751万,306万,1529万,5183万,1998万,1147万,,,,,,,,,,,,,,,,-79.52,548.53,54.88,38.87,97.15,-23.97,304.36,14.14,275.04,,,,,,,,,,,,,,,,1.61亿,1.89亿,1.85亿,1.99亿,2.10亿,2.60亿,4.71亿,4.52亿,3.74亿,,,,,,,,,,,,,,,,13.09,24.43,31.41,23.05,29.95,37.65,154.97,126.70,78.44,
sh600027,,,,,,,,,,,,,,,10.8亿,-3.74亿,1184万,-2.24亿,-2554万,6.68亿,6.87亿,2.99亿,5.39亿,,,,,,,,,,,,,,,,-52.00,-123.01,-99.35,-127.39,-102.36,--,5707.04,--,--,,,,,,,,,,,,,,,,163亿,175亿,191亿,175亿,214亿,209亿,225亿,191亿,228亿,,,,,,,,,,,,,,,,-5.05,-10.74,13.38,38.08,31.37,19.74,17.60,8.70,6.21,
sz002563,,,,,,,,,,,,,,,4.89亿,4.25亿,2.52亿,2.82亿,4.78亿,1.26亿,3.12亿,3.55亿,6.04亿,,,,,,,,,,,,,,,,20.48,-18.42,3.16,5.07,-2.29,-70.36,23.88,26.01,26.41,,,,,,,,,,,,,,,,32.4亿,35.4亿,20.7亿,23.7亿,36.1亿,39.8亿,25.1亿,30.2亿,42.3亿,,,,,,,,,,,,,,,,15.88,7.86,7.47,20.97,11.24,12.44,21.57,27.62,17.25,
sh603323,,,,,,,,,,,,,,,,8771万,1.70亿,2.68亿,1.81亿,1.13亿,1.95亿,3.10亿,2.14亿,8318万,,,,,,,,,,,,,,,,27.19,9.82,13.09,5.72,28.33,14.63,15.90,18.28,-26.10,,,,,,,,,,,,,,,,5.71亿,6.22亿,7.42亿,6.90亿,6.72亿,6.98亿,8.21亿,7.71亿,8.60亿,,,,,,,,,,,,,,,,-2.58,13.14,24.59,16.91,17.82,12.25,10.65,11.87,27.86
sh603657,,,,,,,,,,,,--,,,,--,1071万,2862万,2647万,2183万,1083万,3413万,2996万,,,,,,,,,,,,,--,,,,--,--,--,--,--,1.14,19.25,13.17,,,,,,,,,,,,,--,,,,--,7422万,1.32亿,1.20亿,1.30亿,8585万,1.34亿,1.40亿,,,,,,,,,,,,,--,,,,--,--,--,--,--,15.67,1.45,16.51,
sh601611,,,,,,,,,,,,,,,2.31亿,2.95亿,1.10亿,1.84亿,2.16亿,3.43亿,1.29亿,2.05亿,2.43亿,,,,,,,,,,,,,,,,43.17,-17.20,21.65,1.51,-6.61,16.07,17.82,11.31,12.45,,,,,,,,,,,,,,,,92.5亿,142亿,80.4亿,109亿,104亿,162亿,88.8亿,140亿,135亿,,,,,,,,,,,,,,,,4.79,-0.14,5.00,4.14,12.60,14.11,10.42,28.47,29.42,
sh601595,,,,,,,,,,,,,,,5510万,5837万,4762万,5910万,4760万,1.03亿,4264万,1602万,4226万,,,,,,,,,,,,,,,,20.48,26.11,-26.88,2.47,-13.61,76.11,-10.45,-72.90,-11.22,,,,,,,,,,,,,,,,2.58亿,2.91亿,2.52亿,2.75亿,2.94亿,3.01亿,2.99亿,2.35亿,2.90亿,,,,,,,,,,,,,,,,16.46,12.69,-7.90,23.19,14.14,3.49,18.50,-14.63,-1.24,
sz000017,,,,,,,,,,,,,,,163万,52.3万,21.2万,-190万,32.8万,289万,23.2万,32.2万,53.1万,,,,,,,,,,,,,,,,1238.60,--,45.07,-730.36,-79.91,453.10,9.26,--,61.81,,,,,,,,,,,,,,,,5418万,2202万,2330万,2563万,4659万,4197万,2473万,4300万,3352万,,,,,,,,,,,,,,,,-13.72,-30.45,5.93,-41.46,-14.01,90.61,6.14,67.80,-28.06,
sz002561,,,,,,,,,,,,,,,5069万,6961万,6361万,5132万,4833万,7394万,7075万,5293万,4691万,,,,,,,,,,,,,,,,-1.58,-0.85,-5.63,-4.55,-4.66,6.22,11.22,3.14,-2.94,,,,,,,,,,,,,,,,4.71亿,6.04亿,5.67亿,4.75亿,4.59亿,6.01亿,5.77亿,4.68亿,4.61亿,,,,,,,,,,,,,,,,8.49,14.30,0.36,3.13,-2.45,-0.54,1.64,-1.41,0.46,
sz002296,,,,,,,,,,,,,,,1806万,2820万,811万,1686万,1333万,-1.90亿,307万,1681万,1981万,,,,,,,,,,,,,,,,234.36,-26.77,11.40,-46.54,-26.16,-774.02,-62.09,-0.31,48.61,,,,,,,,,,,,,,,,8230万,2.26亿,6888万,1.47亿,1.00亿,2.31亿,7581万,1.08亿,8297万,,,,,,,,,,,,,,,,-5.50,-23.16,18.21,-0.32,21.76,1.87,10.07,-26.61,-17.20,
sh600395,,,,,,,,,,,,,,,7667万,1.19亿,2.64亿,1.97亿,1.83亿,2.33亿,2.75亿,2.53亿,1.99亿,,,,,,,,,,,,,,,,--,1278.29,--,85.10,139.04,95.40,4.25,28.12,8.49,,,,,,,,,,,,,,,,9.35亿,14.4亿,14.5亿,14.5亿,14.4亿,17.3亿,14.9亿,14.7亿,14.9亿,,,,,,,,,,,,,,,,14.74,13.44,95.00,82.67,54.49,20.29,2.34,0.84,3.20,
sz000488,,,,,,,,,,,,,,,6.15亿,5.10亿,7.03亿,10.4亿,9.66亿,10.6亿,7.83亿,10.0亿,6.97亿,,,,,,,,,,,,,,,,115.84,10.86,74.70,94.21,57.07,107.49,11.39,-3.92,-27.90,,,,,,,,,,,,,,,,59.7亿,63.4亿,62.7亿,74.7亿,81.8亿,79.2亿,72.4亿,83.1亿,79.4亿,,,,,,,,,,,,,,,,15.25,18.49,26.70,32.20,37.12,25.06,15.42,11.16,-2.92,
sh600291,,,,,,,,,,,,,,,3260万,-262万,21.2亿,2.38亿,1.31亿,-9162万,2.14亿,1.06亿,8199万,,,,,,,,,,,,,,,,-4.95,--,3742.30,--,301.89,--,-89.92,-55.34,-37.42,,,,,,,,,,,,,,,,68.5亿,96.2亿,94.9亿,61.3亿,67.8亿,78.4亿,65.7亿,60.0亿,54.1亿,,,,,,,,,,,,,,,,30.19,136.07,43.33,-18.19,-0.93,-18.51,-30.78,-2.10,-20.23,
sz002477,,,,,,,,,,,,,,,2.52亿,1.27亿,1.13亿,1538万,-4525万,-3824万,3.57亿,-8.66亿,-3.60亿,,,,,,,,,,,,,,,,150.39,41.98,5.82,-0.04,-25.41,-575.69,215.43,-5729.96,--,,,,,,,,,,,,,,,,14.4亿,18.2亿,11.8亿,13.5亿,12.9亿,18.9亿,11.4亿,13.1亿,10.8亿,,,,,,,,,,,,,,,,49.35,29.62,3.25,-20.33,-15.91,7.89,-3.51,-2.31,-16.07,
sz300146,,,,,,,,,,,,,,,,-3253万,2.83亿,2.99亿,2.21亿,-3698万,3.72亿,3.33亿,3.53亿,-5586万,,,,,,,,,,,,,,,,-164.09,25.95,123.29,5.74,--,31.39,11.18,59.95,--,,,,,,,,,,,,,,,,3.96亿,7.36亿,7.50亿,8.64亿,7.61亿,10.7亿,11.0亿,12.5亿,9.29亿,,,,,,,,,,,,,,,,-18.36,12.22,29.97,27.11,91.92,45.03,46.86,44.94,22.19
sz000158,,,,,,,,,,,,,,,-4001万,4.08亿,-1241万,6364万,1418万,2.90亿,-2169万,5169万,973万,,,,,,,,,,,,,,,,--,27.02,--,645.05,--,-29.06,--,-18.79,-31.40,,,,,,,,,,,,,,,,18.4亿,40.9亿,19.5亿,25.9亿,14.7亿,52.4亿,18.1亿,19.5亿,18.0亿,,,,,,,,,,,,,,,,12.62,51.46,6.67,-19.20,-20.04,27.90,-7.58,-24.73,21.99,
sz300655,,,,,,,,,,,,,,,861万,1149万,648万,782万,875万,1312万,929万,1463万,1551万,,,,,,,,,,,,,,,,--,--,-1.10,--,1.65,14.18,43.21,87.01,77.25,,,,,,,,,,,,,,,,1.17亿,1.28亿,1.11亿,1.33亿,1.41亿,1.50亿,1.62亿,2.05亿,2.24亿,,,,,,,,,,,,,,,,--,--,26.39,--,21.05,16.75,45.87,54.03,59.04,
sz002101,,,,,,,,,,,,,,,5945万,4791万,5572万,9735万,8494万,5333万,5460万,1.22亿,1.08亿,,,,,,,,,,,,,,,,62.10,20.78,72.04,269.61,42.88,11.32,-2.01,25.25,27.36,,,,,,,,,,,,,,,,6.93亿,8.11亿,7.85亿,13.4亿,13.9亿,14.9亿,13.2亿,13.6亿,15.5亿,,,,,,,,,,,,,,,,21.95,27.74,32.71,130.38,100.35,83.31,68.29,1.15,11.86,
sh603648,,,,,,,,,,,,,,,4167万,1548万,5513万,2603万,3862万,1911万,5229万,3440万,3895万,,,,,,,,,,,,,,,,--,--,--,--,-7.31,23.49,-5.15,32.15,0.83,,,,,,,,,,,,,,,,3.26亿,2.64亿,3.29亿,2.67亿,2.89亿,2.66亿,3.11亿,2.81亿,3.28亿,,,,,,,,,,,,,,,,--,--,--,--,-11.41,0.61,-5.36,5.16,13.55,
sz300615,,,,,,,,,,,,,,,1290万,1297万,1211万,810万,85.7万,1040万,278万,629万,963万,,,,,,,,,,,,,,,,--,17.76,-19.62,-50.84,-93.36,-19.78,-77.05,-22.32,1024.22,,,,,,,,,,,,,,,,5729万,6624万,5918万,5607万,5071万,6673万,4130万,6753万,6614万,,,,,,,,,,,,,,,,--,19.70,6.01,-8.73,-11.48,0.74,-30.21,20.44,30.43,
sz300683,,,,,,,,,,,,,,,3619万,5939万,3089万,3865万,3912万,3373万,2374万,2272万,2952万,,,,,,,,,,,,,,,,--,--,16.73,--,8.12,-43.22,-23.14,-41.21,-24.55,,,,,,,,,,,,,,,,1.89亿,2.49亿,1.70亿,2.19亿,1.88亿,1.73亿,1.32亿,1.37亿,1.43亿,,,,,,,,,,,,,,,,--,--,13.65,--,-0.46,-30.53,-22.45,-37.45,-23.81,
sh600517,,,,,,,,,,,,,,,7410万,1.99亿,4200万,2627万,1285万,1.58亿,-6667万,-1562万,-6782万,,,,,,,,,,,,,,,,2.34,-32.18,-45.55,-78.64,-82.66,-20.28,-258.77,-159.46,-628.00,,,,,,,,,,,,,,,,15.1亿,25.1亿,11.4亿,14.8亿,12.9亿,18.2亿,6.79亿,11.1亿,10.6亿,,,,,,,,,,,,,,,,1.09,6.62,-14.27,-9.96,-14.62,-27.25,-40.43,-24.88,-17.74,
sz002406,,,,,,,,,,,,,,,,3315万,3366万,5321万,3314万,6720万,4531万,8588万,5217万,8798万,,,,,,,,,,,,,,,,130.68,14.05,60.95,56.17,102.74,34.63,61.41,57.40,30.91,,,,,,,,,,,,,,,,3.17亿,3.00亿,4.21亿,3.15亿,4.87亿,3.66亿,5.56亿,3.62亿,4.36亿,,,,,,,,,,,,,,,,38.08,68.51,38.27,40.24,53.42,21.98,32.32,14.71,-10.52
sh600598,,,,,,,,,,,,,,,2.04亿,-6142万,2.43亿,2.81亿,2.37亿,1889万,2.87亿,4.31亿,2.55亿,,,,,,,,,,,,,,,,-10.22,--,182.01,-44.46,16.05,--,18.24,53.42,7.73,,,,,,,,,,,,,,,,6.90亿,7.24亿,6.17亿,8.88亿,7.36亿,7.52亿,6.88亿,10.7亿,8.03亿,,,,,,,,,,,,,,,,-11.98,-26.32,13.44,-21.93,6.70,3.82,11.53,20.97,9.15,
sz300181,,,,,,,,,,,,,,,1677万,-219万,1039万,3781万,279万,-584万,896万,2555万,-880万,,,,,,,,,,,,,,,,-10.44,-119.29,-55.19,10.38,-83.38,--,-13.78,-32.42,-416.05,,,,,,,,,,,,,,,,1.67亿,2.05亿,2.01亿,2.40亿,1.57亿,1.95亿,1.70亿,2.22亿,1.37亿,,,,,,,,,,,,,,,,5.78,11.58,-4.82,-6.23,-5.77,-5.03,-15.78,-7.43,-13.20,
sz002293,,,,,,,,,,,,,,,1.09亿,5784万,1.17亿,4480万,1.49亿,1.17亿,1.56亿,6194万,1.59亿,,,,,,,,,,,,,,,,-22.44,-32.95,7.38,6.59,37.08,102.88,33.94,38.27,6.56,,,,,,,,,,,,,,,,8.12亿,9.97亿,10.6亿,9.24亿,12.0亿,14.8亿,11.7亿,10.3亿,12.5亿,,,,,,,,,,,,,,,,2.02,14.65,38.66,59.19,47.90,48.37,10.75,11.01,4.46,
sh600698,,,,,,,,,,,,,,,59.9万,211万,345万,233万,-1514万,-7468万,-229万,-107万,105万,,,,,,,,,,,,,,,,--,--,4.85,-41.66,-2626.81,-3634.90,-166.53,-145.79,--,,,,,,,,,,,,,,,,1.31亿,1.55亿,1.76亿,1.54亿,1.33亿,1.21亿,1.43亿,1.41亿,1.01亿,,,,,,,,,,,,,,,,34.69,83.72,47.58,-1.71,0.82,-22.04,-18.78,-8.32,-24.12,
sz300156,,,,,,,,,,,,,,,1.96亿,2.55亿,1.02亿,3.03亿,5967万,-1.03亿,-5907万,-1.06亿,-8257万,,,,,,,,,,,,,,,,165.83,344.89,3.33,94.09,41.23,-140.55,-158.15,-134.81,-238.39,,,,,,,,,,,,,,,,10.2亿,9.75亿,6.67亿,14.0亿,4.56亿,2.89亿,6633万,1870万,1279万,,,,,,,,,,,,,,,,262.27,103.89,129.87,67.23,27.70,-70.38,-90.06,-98.66,-97.20,
sh600227,,,,,,,,,,,,,,,-6184万,-2.75亿,-5440万,5739万,-2777万,6304万,4416万,8412万,6130万,,,,,,,,,,,,,,,,--,-188.90,--,--,--,--,--,46.58,--,,,,,,,,,,,,,,,,8.74亿,3.17亿,2.38亿,3.91亿,4.55亿,6.13亿,5.18亿,6.26亿,5.73亿,,,,,,,,,,,,,,,,43.04,-40.93,-69.59,-52.43,-47.89,93.12,117.53,60.19,25.73,
sh601992,,,,,,,,,,,,,,,4.49亿,4.16亿,4.41亿,14.1亿,7.58亿,2.32亿,-2.13亿,26.2亿,6.93亿,,,,,,,,,,,,,,,,3103.02,-56.45,192.42,-15.85,68.70,-44.19,-148.26,86.57,-8.58,,,,,,,,,,,,,,,,92.3亿,151亿,113亿,181亿,167亿,176亿,99.4亿,254亿,207亿,,,,,,,,,,,,,,,,17.61,0.27,52.59,13.18,80.54,16.52,-12.34,40.27,24.24,
sh600210,,,,,,,,,,,,,,,6281万,-2246万,4.52亿,1.19亿,9752万,-1.14亿,6340万,2.34亿,9388万,,,,,,,,,,,,,,,,--,--,816.24,-11.01,55.26,--,-85.98,95.76,-3.74,,,,,,,,,,,,,,,,22.2亿,17.9亿,21.4亿,21.4亿,24.1亿,18.2亿,21.9亿,25.3亿,24.5亿,,,,,,,,,,,,,,,,4.49,-7.14,-2.28,-0.75,8.55,1.56,2.27,18.39,2.01,
sh603269,,,,,,,,,,,,,,,475万,2018万,578万,779万,454万,1976万,892万,224万,699万,,,,,,,,,,,,,,,,--,--,0.18,13.27,-4.22,-2.08,54.37,-71.25,53.88,,,,,,,,,,,,,,,,1.15亿,2.00亿,1.09亿,1.37亿,1.10亿,2.09亿,1.19亿,1.29亿,9448万,,,,,,,,,,,,,,,,--,--,7.05,11.87,-4.15,4.57,9.14,-5.39,-14.15,
sz002353,,,,,,,,,,,,,,,-234万,1580万,2314万,722万,1842万,1901万,3394万,1.52亿,1.77亿,,,,,,,,,,,,,,,,-109.99,-21.37,-59.93,-85.40,--,20.31,46.68,2006.27,859.12,,,,,,,,,,,,,,,,5.22亿,9.75亿,6.25亿,6.75亿,7.49亿,11.4亿,7.76亿,9.53亿,11.8亿,,,,,,,,,,,,,,,,-23.04,5.81,6.93,-10.23,43.34,16.73,24.17,41.33,57.23,
sz300393,,,,,,,,,,,,,,,4306万,4097万,7291万,8095万,5405万,5066万,2230万,4407万,7346万,,,,,,,,,,,,,,,,73.61,6.34,100.34,80.93,25.51,23.67,-69.41,-45.56,35.91,,,,,,,,,,,,,,,,2.87亿,4.93亿,6.95亿,8.77亿,10.3亿,6.42亿,4.55亿,7.57亿,6.13亿,,,,,,,,,,,,,,,,34.71,77.04,161.54,156.66,258.24,30.22,-34.56,-13.65,-40.48,
sz002052,,,,,,,,,,,,,,,-8369万,-4.59亿,149万,58.6万,-3045万,3731万,-2655万,-308万,-3934万,,,,,,,,,,,,,,,,-13464.20,-933.71,--,--,--,--,-1877.49,-625.56,--,,,,,,,,,,,,,,,,1.22亿,1.39亿,1.89亿,1.95亿,1.32亿,1.57亿,1.86亿,2.31亿,1.83亿,,,,,,,,,,,,,,,,-36.02,-49.70,43.04,14.83,8.15,12.50,-1.55,18.23,38.70,
sh600483,,,,,,,,,,,,,,,2.81亿,3.14亿,2.00亿,9549万,2.00亿,3.48亿,2.11亿,1.96亿,3.31亿,,,,,,,,,,,,,,,,-11.26,-16.31,35.94,-65.07,-28.62,10.94,5.77,104.87,65.08,,,,,,,,,,,,,,,,18.7亿,18.1亿,11.2亿,13.4亿,21.8亿,21.6亿,17.2亿,21.2亿,26.8亿,,,,,,,,,,,,,,,,-6.86,-19.67,3.22,-15.85,16.52,19.14,53.28,57.91,23.16,
sh603520,,,,,,,,,,,,,,,1553万,1386万,2806万,2643万,1568万,1294万,2216万,4282万,1982万,,,,,,,,,,,,,,,,101.71,-27.89,11.44,22.63,1.01,-6.63,-21.03,61.98,26.37,,,,,,,,,,,,,,,,1.54亿,1.60亿,1.96亿,2.01亿,1.55亿,1.59亿,1.97亿,2.31亿,2.06亿,,,,,,,,,,,,,,,,19.45,-21.13,14.78,7.20,0.26,-0.73,0.39,15.03,33.41,
sz300429,,,,,,,,,,,,,,,3858万,2142万,2968万,4452万,3220万,2019万,3677万,4206万,3363万,,,,,,,,,,,,,,,,48.55,8.53,27.93,35.71,-16.55,-5.76,23.89,-5.53,4.44,,,,,,,,,,,,,,,,1.45亿,1.16亿,1.35亿,1.79亿,1.58亿,1.68亿,1.68亿,1.95亿,1.50亿,,,,,,,,,,,,,,,,48.68,28.81,60.62,87.95,9.30,45.06,24.45,8.93,-5.30,
sz300080,,,,,,,,,,,,,,,154万,1561万,155万,-2.20亿,-8248万,-7.23亿,745万,7088万,-1652万,,,,,,,,,,,,,,,,-85.73,13.32,-34.66,--,-5486.23,-4721.37,381.65,--,--,,,,,,,,,,,,,,,,4.57亿,7.85亿,2.78亿,2.83亿,4.57亿,8.08亿,8.17亿,6.82亿,6.22亿,,,,,,,,,,,,,,,,5.01,49.75,-50.75,-52.51,0.09,2.89,194.13,141.15,36.12,
sz002790,,,,,,,,,,,,,,,4368万,5430万,3386万,4792万,3966万,3898万,1872万,3874万,5535万,,,,,,,,,,,,,,,,7.89,18.63,8.12,2.24,-9.21,-28.20,-44.69,-19.15,39.56,,,,,,,,,,,,,,,,2.08亿,2.18亿,1.93亿,2.39亿,2.38亿,2.48亿,1.89亿,2.47亿,2.65亿,,,,,,,,,,,,,,,,-2.02,1.93,12.80,8.51,14.57,13.41,-2.07,3.51,11.11,
sz000918,,,,,,,,,,,,,,,-1918万,13.6亿,-3.62亿,-3.54亿,-2.76亿,29.8亿,-9050万,-1.51亿,-2.98亿,,,,,,,,,,,,,,,,--,--,--,--,--,119.53,--,--,--,,,,,,,,,,,,,,,,1.70亿,7.63亿,1.91亿,2.34亿,5.19亿,3.15亿,3.75亿,2.81亿,1.15亿,,,,,,,,,,,,,,,,-57.17,-50.70,-76.73,-82.26,205.39,-58.73,96.16,19.80,-77.83,
sh603515,,,,,,,,,,,,,,,1.16亿,2.07亿,4934万,2.09亿,1.57亿,2.65亿,7017万,2.88亿,2.12亿,,,,,,,,,,,,,,,,4.82,10.17,56.79,38.08,35.62,27.84,42.20,37.47,35.04,,,,,,,,,,,,,,,,14.0亿,18.5亿,12.0亿,18.1亿,18.1亿,21.3亿,14.8亿,20.4亿,20.6亿,,,,,,,,,,,,,,,,16.56,27.39,38.53,32.35,29.83,15.58,23.55,13.00,13.55,
sh600230,,,,,,,,,,,,,,,1.05亿,2.88亿,4.25亿,2.31亿,3.09亿,3.18亿,3.98亿,3.70亿,2.61亿,,,,,,,,,,,,,,,,--,--,--,463.13,193.15,10.33,-6.38,60.14,-15.55,,,,,,,,,,,,,,,,7.08亿,11.1亿,10.7亿,9.98亿,10.6亿,12.9亿,11.7亿,13.2亿,10.6亿,,,,,,,,,,,,,,,,115.57,118.17,76.81,92.02,49.68,16.05,9.20,32.68,-0.30,
sh601952,,,,,,,,,,,,,,,,1.65亿,1.37亿,1.30亿,1.20亿,1.70亿,1.43亿,1.54亿,1.47亿,1.58亿,,,,,,,,,,,,,,,,--,22.27,7.61,11.80,3.24,4.47,18.83,22.78,-6.82,,,,,,,,,,,,,,,,14.1亿,8.77亿,9.66亿,9.69亿,15.0亿,9.11亿,11.5亿,11.6亿,16.6亿,,,,,,,,,,,,,,,,--,22.95,5.61,-7.44,6.68,3.85,19.47,19.59,10.60
sz002565,,,,,,,,,,,,,,,1334万,4062万,1946万,-265万,2072万,6565万,4986万,-447万,1838万,,,,,,,,,,,,,,,,-60.08,-30.46,-12.97,-112.00,55.35,61.64,156.16,--,-11.29,,,,,,,,,,,,,,,,3.99亿,7.32亿,3.87亿,4.52亿,4.82亿,6.27亿,4.73亿,4.51亿,5.31亿,,,,,,,,,,,,,,,,-5.35,8.60,6.29,19.83,20.83,-14.30,22.33,-0.20,10.04,
sz002400,,,,,,,,,,,,,,,1.68亿,1.85亿,7885万,1.11亿,-1829万,-3.56亿,7927万,4389万,2499万,,,,,,,,,,,,,,,,7.33,-4.42,-23.55,-28.65,-110.90,-292.43,0.54,-60.45,--,,,,,,,,,,,,,,,,23.1亿,41.8亿,19.1亿,25.6亿,25.4亿,42.8亿,22.6亿,31.2亿,28.7亿,,,,,,,,,,,,,,,,0.56,19.76,0.75,1.03,10.23,2.49,18.47,21.62,13.04,
sh600055,,,,,,,,,,,,,,,1264万,2663万,234万,2795万,3284万,4599万,358万,3897万,4585万,,,,,,,,,,,,,,,,143.01,77.82,--,-32.14,159.71,72.69,52.56,39.46,39.63,,,,,,,,,,,,,,,,1.83亿,2.49亿,1.21亿,2.10亿,2.04亿,3.48亿,1.34亿,2.46亿,2.39亿,,,,,,,,,,,,,,,,2.82,-15.77,-4.10,-17.44,11.45,39.81,11.28,16.90,17.08,
sz300293,,,,,,,,,,,,,,,179万,1400万,369万,721万,1027万,-1398万,922万,240万,162万,,,,,,,,,,,,,,,,--,--,-40.22,--,473.63,-199.89,149.82,-66.66,-84.26,,,,,,,,,,,,,,,,4725万,3566万,5420万,5.14亿,2.99亿,4.82亿,3.68亿,4.11亿,4.38亿,,,,,,,,,,,,,,,,119.64,236.47,-25.29,1876.62,531.95,1250.43,579.79,-20.15,46.75,
sh603105,,,,,,,,,,,,,,--,,--,-1381万,4832万,2047万,6141万,1088万,4221万,1879万,,,,,,,,,,,,,,,--,,--,--,--,--,--,--,-12.65,-8.20,,,,,,,,,,,,,,,--,,--,9272万,3.49亿,2.21亿,2.73亿,8809万,1.52亿,7334万,,,,,,,,,,,,,,,--,,--,--,--,--,--,-4.99,-56.45,-66.79,
sz002342,,,,,,,,,,,,,,,197万,5.86万,1412万,603万,273万,-4003万,860万,455万,243万,,,,,,,,,,,,,,,,-66.65,--,26.93,-19.49,38.73,-68433.71,-39.12,-24.48,-10.87,,,,,,,,,,,,,,,,2.86亿,3.55亿,3.27亿,3.99亿,3.34亿,3.56亿,3.35亿,4.37亿,4.88亿,,,,,,,,,,,,,,,,-6.28,14.95,-8.60,9.00,16.76,0.20,2.30,9.65,45.93,
sz002837,,,,,,,,,,,,,,,1742万,1672万,1363万,2631万,1711万,2855万,288万,4109万,4120万,,,,,,,,,,,,,,,,--,--,22.79,-0.94,-1.79,70.76,-78.90,56.18,140.77,,,,,,,,,,,,,,,,1.34亿,1.47亿,1.19亿,1.84亿,1.76亿,3.08亿,1.37亿,2.96亿,2.62亿,,,,,,,,,,,,,,,,--,--,34.13,23.39,31.44,110.11,15.11,60.98,48.92,
sz300404,,,,,,,,,,,,,,,459万,-82.6万,-293万,339万,-293万,-2202万,509万,65.5万,38.6万,,,,,,,,,,,,,,,,-6.93,-109.89,-1908.50,--,-163.82,--,--,-80.69,--,,,,,,,,,,,,,,,,1698万,3194万,1029万,4424万,3449万,4172万,3164万,4478万,3641万,,,,,,,,,,,,,,,,-31.77,-20.88,21.28,200.19,103.09,30.62,207.35,1.22,5.57,
sh603758,,,,,,,,,,,,,,,3712万,6952万,6069万,5900万,3643万,3194万,231万,-970万,-824万,,,,,,,,,,,,,,,,--,--,-13.67,45.30,-1.86,-54.05,-96.19,-116.43,-122.63,,,,,,,,,,,,,,,,2.58亿,3.36亿,3.22亿,3.47亿,2.86亿,2.68亿,2.03亿,1.83亿,1.50亿,,,,,,,,,,,,,,,,--,--,5.69,15.02,10.94,-20.05,-37.00,-47.08,-47.56,
sh600615,,,,,,,,,,,,,,,101万,102万,139万,1.00亿,360万,95.1万,451万,-88.0万,1288万,,,,,,,,,,,,,,,,--,--,-11.96,1532.35,257.51,-6.72,225.50,-100.88,257.38,,,,,,,,,,,,,,,,2419万,3124万,2429万,2409万,2113万,2499万,2414万,2005万,1761万,,,,,,,,,,,,,,,,26.63,15.53,2.12,-7.68,-12.63,-19.99,-0.64,-16.77,-16.68,
