code,net2017_1,net2017_2,net2017_3,net2017_4
600183,283.9724,539.6111,806.6389,1074.6633
000018,99.0296,268.6065,410.4608,380.091
002110,407.6399,1080.5872,2476.3535,3989.7253
300015,155.6277,362.0331,632.6929,742.5145
603306,72.2866,124.5404,186.6559,278.0559
002078,440.0732,874.8919999999999,1374.2667,2024.233
600477,120.5478,358.2936,534.6781,768.0164
000625,2401.3448,4620.5457,5810.5965,7137.2347
603885,420.3966,624.9474,1243.8406,1325.6312
002065,466.7588,612.6174,900.3405,663.7996
600550,23.284000000000002,69.2636,57.7047,80.9184
002460,136.4517,607.3788,1003.5302,1469.0781
002873,15.3939,29.6367,61.7518,66.1168
603926,27.4248,53.6828,89.0844,109.1773
603331,19.4725,35.9409,51.0208,62.9013
603816,187.8487,387.9871,620.0081,822.4456
603900,110.1439,190.69299999999998,246.0562,309.2071
603986,69.48899999999999,179.4444,339.4564,397.416
603920,49.571000000000005,98.9259,158.6024,180.6857
603686,64.4666,127.3043,191.4849,260.0497
000559,233.6163,443.9233,622.2621,881.5128
601952,137.2547,267.0473,387.1616,557.1953
600867,210.2946,410.3907,648.5887,836.5536
300113,131.7757,226.1585,370.9001,512.3378
603826,26.2594,62.0858,88.2018,118.0189
603228,151.1416,315.8768,516.5295,659.7351
000921,256.2581,672.0989,1729.6462,1997.5301
600815,20.3002,140.0818,108.9504,124.6323
300519,33.5122,51.3867,75.1107,106.1592
601127,201.688,390.4447,490.2952,724.7688
600763,42.7953,88.3322,181.9785,216.5747
300121,34.1707,80.8815,127.93299999999999,203.5413
002773,151.5968,233.0677,415.6659,644.1990000000001
603517,114.7047,237.7496,377.5781,501.7245
600567,432.8781,826.2305,1430.8136,2014.5183
603188,178.7702,317.4093,452.7466,500.7079
603980,100.0392,203.7541,303.4053,397.4115
000933,291.5815,611.7249,888.5862,368.0902
002074,202.0116,445.219,639.6659999999999,838.0071
601689,172.6373,387.0289,551.0835,738.0003
300577,27.5596,60.2708,93.1949,133.4076
603179,55.434,108.9245,169.7947,250.1653
300160,62.6301,113.8288,134.9182,110.9029
300418,191.6839,384.2886,576.107,998.6661
300115,200.4697,352.9566,540.0025,570.9655
600828,198.6332,380.3392,556.6801,1034.5188
002108,137.2725,284.9337,444.8942,545.28
300529,59.6311,149.0114,203.4555,284.414
002887,36.1134,88.2724,130.7647,178.3549
000581,645.6454,1325.922,1853.6938,2571.3395
600345,64.8674,119.7231,197.1408,260.846
002172,59.4849,96.6198,170.5421,154.6586
600715,226.3345,,378.0257,433.9436
603167,149.7326,238.2532,358.2676,362.6719
300043,117.6246,164.6784,245.3318,230.03400000000002
603037,34.7459,67.4898,89.0026,113.853
600036,19977.0,39259.0,58805.0,70150.0
002815,95.5664,203.0214,325.0878,443.9031
600971,287.6308,631.3686,951.7641,1104.7491
603229,12.0336,24.5799,31.6403,53.0115
600179,121.1132,228.43599999999998,365.5624,552.3661
000688,86.8925,241.4998,355.1815,412.3936
000932,307.5637,956.2617,2571.5457,4120.9195
603658,67.4064,191.4316,323.6151,446.5642
002143,111.36399999999999,267.7795,418.6713,768.6581
002493,620.8813,1103.0823,1554.8712,2001.2385
600346,286.6607,562.2937,1101.8827,1719.3305
603355,145.6845,225.2551,274.3122,365.5283
002222,33.0284,66.1973,105.449,136.586
603533,35.6897,68.0269,97.40100000000001,123.7088
600885,165.7545,403.6444,583.3699,684.9917
000887,313.3151,624.0437,951.1516,1127.4449
600829,66.0553,139.0979,208.1588,254.196
300498,1473.2198,1810.2105,4038.8678,6751.119000000001
600694,329.2824,519.8821,646.5236,876.5563
603579,54.9039,111.2554,155.0083,216.1754
002081,478.25800000000004,896.4985,1437.1329999999998,1918.4956
603997,73.5429,139.5978,217.9575,292.8471
002142,2359.215,4765.49,7367.8640000000005,9333.572
600668,112.2005,240.5357,291.4086,348.4943
002615,36.1886,76.1842,106.1495,109.8011
600966,197.1598,405.3685,610.2172,856.1360000000001
600056,329.717,652.6475,987.6979,1298.5244
601388,103.5194,179.0444,242.06799999999998,322.9319
002601,585.1968,1309.9325,1920.7362,2502.4139999999998
600606,2678.3207,4657.6644,6562.6324,9037.7665
600487,277.692,767.4202,1670.8787,2108.8278
000930,73.5109,224.2348,215.4774,237.3072
000501,285.8365,658.6762,875.2741,1241.3398
002832,60.0075,83.9589,137.2841,180.22400000000002
002203,201.0132,402.3782,575.1389,705.332
601101,310.7873,480.3621,629.2924,624.9285
002470,415.2327,794.432,907.7080000000001,715.4994
603429,19.9455,38.1941,70.6624,99.155
000538,725.1419,1565.0494,2605.0289,3144.9814
000063,1213.607,2292.867,3904.652,4568.1720000000005
601997,966.925,1902.065,3187.197,4530.6759999999995
002424,138.1075,238.7144,347.1093,526.1374
603320,15.055,30.568,41.4683,51.5252
002847,25.3686,41.6202,53.6763,65.7373
600808,901.7468,1643.3965,2739.8638,4128.9399
600161,99.5807,945.2127,1045.7463,1179.9427
300408,232.31900000000002,429.8876,699.4286,1083.4434
603639,61.2737,148.0471,190.7314,286.0353
300656,7.569,18.3875,,40.4599
603501,35.9667,58.8101,100.3578,137.1563
002739,473.9125,887.2693,1264.2052,1515.6752
600684,115.8865,229.7956,328.39300000000003,359.7832
601166,16824.0,31601.0,47149.0,57200.0
002558,338.9872,697.3084,1043.3063,1290.3163
300363,56.403999999999996,59.611999999999995,70.9972,107.4499
002624,325.4548,671.3529,1078.2355,1504.7087
000723,307.7707,501.9078,855.1613,1064.9304
601939,70012.0,138339.0,201242.0,242264.0
600993,86.6964,174.3427,235.68099999999998,320.0514
603726,33.1835,63.1936,87.2869,113.3795
603081,36.7685,108.3617,158.2696,229.1085
002179,183.7142,441.6332,629.428,825.3508
002035,77.1409,235.7959,311.6856,509.6284
600086,133.1121,199.5445,250.6972,231.18599999999998
002145,118.346,235.0341,305.7233,388.54900000000004
002595,156.1561,370.9899,538.4915,675.8279
300549,19.307000000000002,40.7849,59.5455,75.7074
002652,29.9612,49.7846,60.2677,85.3007
300299,62.2165,81.3787,78.9294,-171.292
300642,12.6701,47.1367,77.3713,126.815
600572,188.9848,384.5649,607.1386,711.1162
002726,77.3197,133.1966,165.0837,188.12099999999998
300219,79.7607,175.2215,259.6212,353.4898
002885,15.1997,34.9264,53.2996,58.2354
002749,39.1323,125.0466,159.9499,185.2974
601003,202.5984,395.61,1255.2114,2646.1763
600499,176.2581,278.0659,404.559,478.8913
601012,439.5749,1236.1607,2240.9538,3564.5256
603337,81.3809,139.8325,234.2813,324.0547
000999,374.6929,741.2545,959.115,1301.6872
000813,162.8468,427.3478,633.573,
600067,294.5231,511.23900000000003,525.923,595.164
002357,44.1511,63.6945,115.6713,103.1942
002464,50.647,82.4405,133.8924,192.2246
000902,223.625,430.4796,593.2461,680.1507
002543,125.9647,213.7287,275.0376,413.4005
600373,473.2518,794.7155,1101.5038,1451.7415
600818,25.9641,30.6762,32.7736,31.2748
600745,137.9428,174.7426,281.7179,329.3868
000920,33.0734,62.7586,91.3358,114.4536
300575,38.9481,63.8155,79.5209,117.3253
002496,148.2456,234.0405,328.4331,408.0814
600176,470.3158,1006.3172,1551.5363,2149.8494
603989,76.3872,154.7873,224.0242,291.7741
002182,61.0228,95.7028,134.8468,154.8219
002092,697.5218,1244.3602,2045.3675,2402.3160000000003
603335,14.7885,30.0772,30.109,12.1592
600368,128.1265,230.3632,294.2319,367.7108
603025,56.3882,177.5237,297.121,396.51300000000003
000030,221.0649,453.4398,644.5578,831.5476
002293,116.8391,161.6342,310.527,427.87699999999995
601288,55710.0,108593.0,160010.0,192962.0
002434,237.7315,421.4968,573.5754,643.0952
300643,8.503,18.6877,29.3267,35.3378
002753,39.1166,95.2998,140.2156,237.002
002589,292.0357,514.1207,722.2897,1008.2118
002354,236.0195,505.2011,750.4008,1019.6762
600395,263.7793,460.9158,644.1906,877.2495
300267,219.1383,422.6739,554.8249,522.4563
000513,275.0111,504.0025,4246.2419,4428.6846
603203,26.5683,59.1556,93.8552,131.6482
603027,37.5021,75.3499,104.56700000000001,144.0594
000059,448.4638,829.1731,1229.7599,1845.2797
600271,395.6125,581.1774,1122.3144,1556.5725
002768,33.8825,77.0115,134.1459,203.0643
000637,35.9877,52.4235,75.7204,99.3779
000828,213.6115,461.4913,714.8591,886.8159
601366,114.4444,208.7006,274.1594,394.5306
300003,231.9723,495.3329,,899.0853
300394,31.7461,60.9753,84.2765,111.2347
300482,35.1432,109.24799999999999,153.0871,210.695
600750,109.2066,210.44400000000002,320.9449,417.7966
002818,158.8131,337.3492,506.2664,651.1998
300342,50.8543,92.1173,139.4836,190.5699
601158,559.1478,1024.2716,1498.7005,2066.9188
600598,243.088,524.2752,761.0917,779.9853
000703,450.1169,852.0485,1351.0142,1621.9896
601021,303.256,553.9708,1187.8776,1261.5815
600016,14199.0,28088.0,40243.0,49813.0
300447,26.6917,63.6659,123.1854,122.7908
300033,102.3291,286.406,471.0646,725.6538
601633,1954.6882,2419.7554,2879.4808,5027.298
600213,5.3874,13.767999999999999,24.5617,42.8184
002646,102.0391,105.7813,110.1687,-94.1643
600872,115.1828,210.5515,354.6891,453.2633
300039,90.6949,194.5131,264.5226,272.3047
002267,220.1824,251.9601,259.3053,395.4291
000590,10.7069,13.970999999999998,14.6059,19.1738
000998,231.3728,234.0248,160.4307,771.7719999999999
002100,107.2995,189.7524,320.6015,407.1498
002083,130.283,243.7383,326.6045,410.2032
002262,85.3144,209.1715,344.5907,394.6343
002871,10.96,28.9039,43.6174,60.723
600075,157.0937,343.4736,510.8248,539.0182
603638,30.6279,68.1003,102.4735,139.6872
000666,273.2545,499.7421,834.1653,1200.2051
002507,63.7012,171.9516,303.868,414.1422
603313,67.3549,113.1593,144.9809,155.8486
600850,75.8303,148.8624,224.5259,288.6101
601636,245.4787,535.715,824.9097,1142.6483
600803,182.7072,99.1303,384.2276,631.04
300156,101.5708,404.8053,464.4734,361.0482
600741,1528.6582,3232.8179999999998,4816.4187,6553.9229
300554,8.8046,19.2207,40.8975,86.1267
600511,141.4186,553.8889,835.7597,1141.4849
600535,318.1498,756.2274,1138.5359,1376.5422
000090,254.1137,346.1032,543.9182,601.6212
002287,69.313,169.6491,208.0231,300.8424
300595,26.9683,58.4382,112.7803,150.8587
601009,2453.408,5104.527,7433.096,9668.173
603777,74.6609,86.6069,100.1606,101.3699
300617,29.761999999999997,39.1665,53.2569,79.8024
600104,8261.0351,15958.2122,24638.6372,34410.3395
002419,222.8522,374.8437,491.5995,718.1926
600188,1748.567,3189.1440000000002,4783.394,6770.618
601918,182.2892,153.6352,169.5958,22.1336
300662,11.6495,32.1365,56.8332,74.3387
603708,92.2295,142.8092,224.6433,310.7403
002242,136.2698,361.2324,538.6089,688.9187
600000,14462.0,28165.0,41892.0,54258.0
603600,24.601,65.5753,89.6122,100.1937
002067,129.8993,236.0347,490.2889,638.09
600377,878.6729,1899.6602,2895.9987,3587.8619
002382,52.0918,103.3733,159.2393,200.8643
600703,690.9549,1514.8179,2377.5362,3164.2109
600297,970.6645,2002.2188,2907.5804,3884.3582
002709,63.9555,176.7817,277.8376,304.7302
300585,16.5235,30.2903,46.0782,58.853
600674,807.2096,1229.6975,2857.6295,3264.7353
600563,82.5056,189.5526,296.5901,423.5808
300558,75.5497,137.0805,203.4279,257.7274
300258,57.0158,124.9672,182.4896,250.3342
600681,83.693,182.0607,378.2792,858.038
600132,48.1454,161.7621,316.0522,329.4632
002727,97.26299999999999,216.1478,315.9713,422.7141
601088,12235.0,24315.0,35649.0,45037.0
601216,534.0129,924.3116,1609.5617,2148.0860000000002
603199,37.2199,59.5415,76.9332,82.88799999999999
600695,28.0033,12.8414,43.7476,47.6388
601933,743.7565,1055.2184,1392.3915,1816.7941
600074,170.0773,368.2918,403.5556,-7732.0908
002075,106.5917,189.0237,369.88,704.8016
300596,30.4849,57.4821,93.3923,130.5003
300657,18.2075,38.8926,47.2554,72.2832
601398,75786.0,152995.0,227999.0,286049.0
600426,313.8272,545.51,847.8272,1222.0518
601169,5445.0,11079.0,15516.0,18733.0
002107,18.8405,35.9097,61.2365,57.0319
002191,175.6483,303.0801,435.4198,574.4112
600660,692.8791,1386.1868,2143.5499,3148.748
300296,172.4692,370.9072,633.5494,1209.7815
603180,10.0832,46.2512,90.5926,166.7482
300327,26.604,62.0801,94.9855,133.6377
603360,27.4848,54.6071,81.4695,100.2664
000811,88.3271,145.7577,218.5432,314.4682
300144,245.0476,523.607,917.9085,1067.6121
603803,59.5333,80.0551,128.2421,199.2398
600076,111.1077,230.9269,347.6551,466.3062
300384,31.2536,56.7275,73.943,90.3305
002532,49.4809,98.677,129.5492,129.7097
002085,199.9584,481.0789,709.0986,900.5633
603766,230.8752,501.1495,690.6517,964.5509
002831,162.2563,311.3217,611.0875,931.9010000000001
300514,8.7827,25.6862,47.2781,71.8617
300637,10.5642,23.596999999999998,47.9564,65.2097
002223,185.7303,398.1273,527.5374,592.0294
002640,159.3788,314.8979,495.282,750.9937
601231,286.6715,556.0336,861.7538,1313.8904
600873,341.4336,620.4431,695.3271,1173.6068
600085,293.904,599.8021,819.3231,1017.3815
603258,58.4513,,142.6109,164.5133
600004,407.8465,780.903,1176.7007,1595.7846
600486,129.9115,253.1362,406.9565,574.9540000000001
001979,2121.8837,3466.4375,3718.1016,12220.3082
002352,773.7149,1883.6262,3645.3894,4770.6897
300511,48.2775,40.2974,82.3871,122.4052
600785,71.9084,108.6281,122.44,106.9548
000965,176.6344,173.7116,165.3032,
000952,24.4252,50.7178,82.0458,105.2116
600597,186.9766,366.3069,528.8095,617.2396
002534,97.1685,216.1718,361.5613,417.3328
002737,98.351,191.5687,245.8659,423.9966
603316,15.8299,33.5317,45.5615,68.488
300543,22.8089,40.5593,64.4858,80.1714
000338,1179.9341,2650.0427,4603.1534,6808.3425
601668,7083.478,18037.729,25782.179,32941.799
600739,695.3548,867.8645,1232.8495,1446.168
603968,46.9605,76.3131,106.3587,160.7909
002562,65.5375,154.4685,250.757,403.0427
300406,51.5538,108.7224,181.8295,273.1514
000661,143.7231,284.0405,487.0033,661.9488
300246,17.1074,38.2921,56.0556,57.5473
600120,225.2631,382.8056,587.6554,719.4998
603298,118.1509,281.26099999999997,372.0374,474.5339
600518,1067.7626,2151.5449,3150.9764,4100.9261
600261,116.3821,232.3387,323.6016,401.0579
300436,20.3994,27.2599,29.4278,33.5653
000524,33.8552,80.5557,141.1841,177.3593
600020,452.6668,776.3882,1086.9361,1172.9081
300507,28.9031,52.1986,73.2039,101.1326
002048,188.9795,392.2518,623.7419,798.2546
000707,32.1629,40.0704,31.0433,-746.2584
600217,37.5582,103.8447,149.2602,217.5861
002018,115.7608,239.5973,381.2274,447.4528
603758,60.6941,119.6898,156.1169,188.0611
000692,51.8306,3.7716,-115.0982,-66.5971
600919,2988.0879999999997,6176.786,9185.756,11874.997
300547,22.2244,46.2022,73.7919,114.2761
603158,31.8908,66.042,92.4864,130.8177
603359,44.3976,101.3009,174.3068,242.8132
603089,23.0921,45.5743,62.019,72.0042
300124,172.4517,428.7312,723.1969,1060.0418
601678,176.1457,361.5981,559.6209,825.7613
603701,19.7525,40.5109,59.3463,80.6868
600185,262.2708,276.8887,416.4965,624.3232
300548,20.1157,42.0148,58.3878,79.8003
000759,107.4393,136.2112,129.6868,67.6462
603421,69.6981,117.1106,231.7978,301.7952
002462,71.0602,142.8149,200.3714,263.6416
600029,1550.0,2768.0,7050.0,5914.0
300360,46.7593,80.1511,119.9204,157.308
601899,1005.6335,1505.3994,2214.1833,3507.7176
300463,80.5908,192.8068,298.2284,374.1322
002899,15.4641,,60.6175,83.17
300204,68.0584,142.5628,224.0036,263.0268
300606,14.3221,25.941,43.0007,54.964
002677,41.2147,99.1634,180.6966,305.1921
601566,159.1222,224.2635,343.2364,494.0637
600600,579.312,1148.468,1869.4887,1263.0172
300100,89.8288,172.5755,223.9099,182.1687
002823,35.7125,74.7727,114.56200000000001,152.5125
600009,791.4235,1695.7994,2692.1225,3683.4085
300286,19.965,48.21,77.9011,94.5836
300298,44.9255,93.5721,209.8576,257.9719
002606,29.7352,38.8635,59.5575,59.3123
002793,24.6601,64.9688,92.9857,115.8517
603010,37.1646,69.081,100.0917,91.0698
300600,29.0923,58.2899,85.4392,107.7748
600062,234.8409,520.8081,724.8754,842.6125
601006,3161.2006,7622.5876,11237.2509,13349.5161
000403,19.5109,44.5876,58.6756,38.3079
300457,37.5101,114.3276,140.4715,220.9164
603086,24.6877,54.1733,78.3279,110.1065
002345,93.0872,162.6461,231.6986,284.2447
000639,67.7743,140.648,202.3853,343.2737
300266,100.6958,259.7722,445.4818,361.6157
002367,121.9055,204.1547,274.6616,326.161
600742,149.8477,291.4488,402.2719,467.7111
002236,286.8384,983.0012,1444.4938,2378.7268
300673,13.610999999999999,37.8177,60.9721,106.762
002450,541.4905,1254.9416,1879.3654,2474.3818
603808,60.3119,122.0664,202.2013,302.3165
600327,99.9819,185.6408,210.4931,261.2636
300009,47.1895,115.7385,192.7584,277.7426
002402,36.8893,101.9599,147.4704,178.1037
600649,607.1923,903.0086,1018.9973,1758.5943
600475,145.8083,253.9134,312.9178,398.5909
603520,28.0586,54.4935,70.1762,83.117
603866,71.2776,183.143,357.9863,513.2809
002635,89.7467,167.0118,343.8546,391.4801
603585,46.5597,113.3503,166.465,224.5803
002126,78.6608,166.8917,240.2356,310.9817
000429,286.7192,892.8480000000001,1277.6288,1509.9224
603007,28.6898,72.8521,,170.6802
603183,11.2999,25.5116,33.3818,65.9754
600300,91.5162,101.6083,107.27600000000001,91.5117
600380,191.5919,327.0686,2025.5039,2133.0404
000951,167.8096,478.86699999999996,712.1412,897.5807
603311,22.7109,50.5377,79.0245,80.4104
600233,279.2882,692.7759,1058.085,1442.6933
600926,1310.175,2531.119,3665.739,4550.365
300506,20.1591,66.8423,117.5175,173.6585
002277,164.69799999999998,268.5354,301.47,307.747
002281,96.4709,171.6788,251.58900000000003,334.2896
603006,28.2834,54.5049,80.0621,113.6272
300653,7.7796,20.8874,38.6523,61.6696
600012,293.5458,524.323,825.9824,1091.3431
000626,95.9025,247.1318,243.3441,-192.6377
002183,185.8633,330.3056,476.0515,595.2362
600647,12.4131,13.5179,11.2021,11.1387
603879,8.8215,22.2448,36.5037,43.9173
601818,8579.0,16939.0,25433.0,31545.0
603067,35.0706,50.7891,58.8364,100.1284
002244,430.49800000000005,920.416,1101.9301,1711.4146
002408,198.2584,323.2564,572.9963,849.612
