code,open,name,pe,pb,eps,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09,count,grow_radio_3,grow_radio_6,grow_self_3,grow_self_6,max_price,max_price_radio,price,price_week_3,vol_radio,volume_3,volume_6,week_3_rs,week_6_rs,year
VICI,21.44,Vici Properties,23.894444,1.304731,0.898326,141000000,0%,0,0%,114000000,0%,0,0%,44537000,0,0,0,0,0,0,0,36,-1%,1%,-0.16,0.16,21.62,3%,20.97,21.34,104%,21790889.33,10682244.67,-1%,0%,0
HVT.A,22.244,哈弗蒂家具,22.037311,1.598518,1.009379,6214000,0.0047,199000000,0.0099,6313000,0.0546,199000000,-0.0049,2921000,-0.7332,215000000,-0.0255,5983000,-0.1878,208000000,-0.0191,754,0.000660661,0.003912244,0.014666667,0.083333333,31.5,0.30952381,21.75,22.07933333,0.711488251,437,255.3333333,-0.010550053,-0.001543277,14
HVT,22.15,哈弗蒂家具,21.785523,1.584577,1.01214,6214000,0.0047,199000000,0.0099,6313000,0.0546,199000000,-0.0049,2921000,-0.7332,215000000,-0.0255,5983000,-0.1878,208000000,-0.0191,754,-0.03214884,0.002343566,-0.72,0.05,31.34,0.343650287,20.57,21.54,-0.125261145,362038.6667,413882,-0.034908679,-5.87E-05,14
WIFI,32.52,Boingo Wireless,0,12.904083,-0.132224,2510000,132%,59601000,22%,-2773000,59%,58159000,31%,-906000,0.7845,57348000,0.2751,-3240000,0.4213,53655000,0.3152,388,-1%,3%,-0.346666667,0.92,34.9,3%,33.88,33.73333333,105%,3140623.667,1533002.667,-1%,2%,7
HIFR,21.21,InfraREIT Inc,34.051114,1.389072,0.620244,23936000,1.3631,0,0,17764000,0.6124,0,0,-25331000,-1.9132,0,0,21238000,-0.1001,0,0,185,-0.0078417,0.013997736,-0.17,0.293333333,33.72,37%,21.17,21.12666667,0.199426413,603769.6667,503382,-0.011002331,0.010125869,3
FIBK,46.4,First Interstate BancSystem,18.597712,1.921858,2.486865,41700000,91%,0,0%,36700000,58%,0,0%,34268000,0.3837,0,0,27259000,0.082,0,0,446,-1%,0%,-0.376666667,-0.116666667,46.45,2%,45.45,45.31666667,42%,1269214.667,892274.6667,-1%,-1%,8
GPRK,18.85,GeoPark Ltd,0,11.215271,-0.114226,5544000,5.9767,159000000,1.118,24864000,3.2817,124000000,0.857,-3395000,0.8694,106000000,0.7618,-19135000,0.0882,81909000,0.6428,244,0.010058511,0.010136986,0.173333333,0.186666667,20.64,5%,19.59,19.66333333,0.100226023,1278759.333,1162269.667,0.009814555,0.010269666,4
GMTA,25.11,GATX Corporation,1.909231,0.5449,13.151893,38800000,-0.2734,327000000,-0.0073,76300000,0.327,287000000,-0.0079,342000000,10.0712,333000000,-0.018,49000000,-0.488,340000000,-0.0128,125,-0.003866537,0.00053382,-0.0978,0.013,26.98,8%,24.807,25.07073333,-0.29714659,40881,58164.33333,-0.009258027,-0.004811971,2
GGP,22.06,General Growth Properties Inc,35.790017,1.695213,0.616373,95564000,-0.2553,0,0,65896000,-0.4029,0,0,202000000,-0.1632,0,0,226000000,-0.6681,0,0,754,0,0.000453926,0,0.01,50.365,0.561997419,22.06,22.06,-1,0,60495876.67,-0.003807968,-0.002721961,14
HCXZ,24.76,"Hercules Capital, Inc.",19.274738,0,1.284583,52060000,57%,3686000,-54%,5946000,206%,5719000,63%,18365000,0.3005,3804000,-0.2062,33072000,0.0733,3430000,-0.334,23,-1%,0%,-0.150333333,0.027666667,25,2%,24.449,24.433,-14%,75658.33333,88193,-1%,-1%,0
