code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
OBCI,Ocean Bio-Chem,3.76,4.04,11692,0.966217,13.38422,1.438895,0.301848
CLWT,欧陆科仪,3.09,3.24,11110,0.765078,14.123863,0.418347,0.229399
EYEN,Eyenovia Inc.,3.9,4.13,15189,1.080898,0.0,1.754082,-2.05444
ALLO,Allogene Therapeutics Inc.,26.9,26.81,2197322,0.426359,0.0,0.0,0.0
URGN,Urogen Pharma Ltd.,42.19,44.76,72812,1.074323,0.0,6.260994,-1.72267
IMV,IMV Inc,5.7,5.42,1638,0.406431,0.0,0.0,0.0
CYTX,赛托瑞医疗,0.3572,0.3778,167195,0.367212,0.0,0.890042,-4.304278
SRPT,Sarepta Therapeutics,126.81,130.5,1377072,1.243756,0.0,12.403649,-3.463834
CATS,"Catasys, Inc.",9.42,9.75,98871,0.915564,0.0,-33.517697,-0.167198
KEQU,基瓦尼科技,28.29,29.8,10291,1.901867,14.912653,1.703945,1.998303
WB,微博,58.48,59.64,3194183,0.768371,28.070745,9.262993,2.124632
GDS,万国数据,26.85,27.65,2277127,0.951174,0.0,4.251374,-0.564382
PDEX,Pro-Dex,8.98,9.6,3407,0.258047,25.493065,2.372738,0.376573
LE,Lands End Inc,14.44,15.12,267855,1.014193,15.138666,1.627704,0.998767
FNKO,Funko Inc.,18.25,18.61,1456616,2.121643,0.427986,3.265206,43.482761
LMB,Limbach Holdings Inc,10.56,11.21,6955,0.447169,0.0,1.871813,-0.495261
MDWD,MediWound Ltd.,5.7,6.0,19334,0.510293,0.0,158.323334,-0.871114
ABIO,方舟生物医药,0.5825,0.6,103007,0.437031,0.0,0.928461,-1.056119
CPAH,CounterPath Corporation,2.0229,2.0702,4058,0.37899,0.0,1.326913,-0.51
BTAI,Bioxcel Therapeutics Inc.,6.24,6.24,14951,0.704067,0.0,1.959579,-0.920438
OPRX,OptimizeRx Corporation,13.65,14.4,32086,0.492411,0.0,10.606332,-0.082285
XNET,迅雷,5.71,5.94,590178,1.080725,0.0,1.011142,-0.191451
AVRO,Avrobio Inc.,24.25,25.17,93977,0.845709,0.0,4.025701,-13.741637
AVGR,"Avinger, Inc.",1.12,1.13,323265,1.217138,0.0,1.980252,-36.568741
MACK,Merrimack Pharmaceuticals,4.79,5.02,100369,1.296496,0.0,1.075547,-3.338142
DNJR,点牛金融,7.0,6.97,410,0.137686,8.415039,7.221585,0.828279
ETSY,"Etsy, Inc.",40.41,41.55,4381917,1.301415,57.037275,13.44468,0.728471
ASCMA,ASCENT资本集团,1.28,1.3,150660,1.7389,0.0,0.0,-8.87
IIIV,I3 Verticals Inc.,19.48,20.44,89221,0.618126,0.0,14.369403,-0.069481
DCIX,Diana Containerships Inc,1.11,1.15,231923,0.883282,0.369708,0.1188,3.110565
LASR,nLIGHT,18.41,19.13,444179,0.926862,0.0,4.081842,-5.165334
TOUR,途牛,6.64,6.96,71240,1.774585,0.0,1.817937,-0.476888
BLNK,Blink Charging,2.05,2.16,229895,1.264382,0.0,2.798079,-22.980782
SEDG,"SolarEdge Technologies, Inc.",38.04,39.39,1218827,1.124776,14.684052,3.696052,2.682502
TISA,Top Image Systems,0.92,0.9378,36245,2.058556,0.0,1.206677,-0.365862
VTNR,Vertex Energy Inc.,1.76,1.84,178603,0.669119,0.0,2.35329,-0.233596
DFBG,Differential Brands Group Inc.,4.01,4.2,17814,0.435344,0.0,1.175482,-0.880684
EVBG,Everbridge Inc.,47.58,49.12,477385,0.803622,0.0,27.318552,-1.373611
GH,Guardant Health Inc.,32.0,33.58,483836,0.598489,0.0,0.0,0.0
