code,name,open,latestPrice,pe,pb,eps
ABUS,Arbutus Biopharma Corporation,4.27,4.31,0.0,2.038348,-1.231085
EDNT,Xspand Products Lab Inc,6.35,6.47,0.0,6.377502,-0.570498
NVDA,英伟达,245.5066,246.54,34.624035,17.043356,7.120487
MBII,Marrone Bio Innovations Inc,1.66,1.73,0.0,8.710963,-0.581951
DERM,Dermira,11.46,11.68,0.0,4.36533,-7.74454
TRIL,Trillium Therapeutics Inc.,3.78,3.9,0.0,3.274749,-3.65
ETTX,Entasis Therapeutics Holdings Inc.,8.52,8.67,0.0,0.0,0.0
ATHN,雅典娜,119.5,126.61,45.372512,5.00826,2.790456
KWEB,KraneShares CSI China Internet ETF,43.54,44.2,0.0,0.0,0.0
BLPH,"Bellerophon Therapeutics, Inc.",1.04,1.09,0.0,-8.10296,-0.819456
PS,Pluralsight,24.07,24.12,0.0,13.256973,-4.171479
SHIP,Seanergy Maritime Holdings Corp,0.86,0.9,0.0,1.200461,-0.148342
PFPT,Proofpoint,98.39,101.06,0.0,17.881055,-1.815134
MYOK,Myokardia Inc,51.23,52.95,0.0,5.48819,-1.418416
AIMT,"Aimmune Therapeutics, Inc.",25.62,26.37,0.0,5.357354,-3.273426
NOVN,Novan Inc.,2.46,2.42,0.0,14.480209,-1.493875
AAXN,"Axon Enterprise, Inc.",57.85,58.86,161.538651,7.647897,0.364371
PENN,佩恩国民博彩,29.12,29.92,4.940815,99.120243,6.055681
FOSL,福思,20.17,20.67,0.0,1.982408,-2.907978
MTLS,Materialise NV,11.66,12.01,3197.550618,7.063346,0.003756
IEP,伊坎企业,66.89,67.79,8.6066,2.187903,7.876513
ABMD,阿比奥梅德,381.57,384.78,103.688884,23.871734,3.710909
ISRG,直觉外科公司,522.01,532.02,75.112982,10.325904,7.08293
ALGN,阿莱技术公司,326.13,327.5,89.026546,21.579747,3.678678
AXGN,AxoGen Inc.,33.45,33.98,0.0,8.652416,-0.503204
ILMN,Illumina,316.55,321.69,72.798252,14.519014,4.418925
BLFS,BioLife Solutions Inc.,12.39,12.89,0.0,11.732617,-0.018265
OPTT,Ocean Power Technologies,0.64,0.6331,0.0,1.654747,-0.623258
PDCE,PDC Energy,48.9,50.61,0.0,1.428859,-5.889764
KINS,金石保险,16.78,17.5,30.349224,2.103231,0.576621
PRTK,Paratek Pharmaceuticals Inc.,9.08,9.32,0.0,3.459041,-3.360973
GBT,Global Blood Therapeutics Inc,32.45,33.02,0.0,3.393129,-3.264132
DBX,Dropbox Inc.,23.37,23.92,0.0,15.253084,-2.396939
