,2014-12-31,2015-12-31,2016-12-31,2017-12-31,code,name,category,pe
1448,0.0,0.0,0.0,0.0,AEO,美国鹰君服饰公司,,19.83620766
1449,0.0,0.0,0.0,0.0,COHR,"Coherent, Inc.",半导体,41.01507656
1450,467.5069,687.9372,0.0981,0.1409,FR,第一工业地产,房地产信托投资基金,31.93333362
1451,0.0,0.0,0.0,0.0,UWT,VelocityShares 3x Long Crude Oil ETN,,
1452,0.0,0.0,0.0,0.092,NJR,新泽西能源,,34.29104449
1453,0.0,0.0,0.0,0.0,CASY,"Casey\'s General Stores, Inc.",零售,22.2342162
1454,497.9724,753.1594,690.9941,0.046,SBRA,"Sabra Health Care REIT, Inc.",,24.48913074
1455,316.844,0.0749,318.6317,0.0779,CUZ,卡津斯不动产信托基金,,30.80645199
1456,-675.6272,-866.2734,0.1254,0.243,LPX,路易斯安那太平洋,,26.81553554
1457,0.1886,322.7474,-0.1125,0.1645,DK,"Delek US Holdings, Inc.",油气,-19.11646518
1458,0.243,0.5242,0.1346,0.1128,MTG,MGIC Investment Corp.,,12.49999979
1459,0.2708,-173.5576,-0.0831,0.0361,OAS,"Oasis Petroleum, Inc.",,-9.50757552
1460,0.0776,0.0779,0.0824,0.0832,ALE,埃立特公司,电力,24.70382073
1461,0.3236,0.3016,0.2943,0.2172,GGAL,加利西亚金融,银行,11.57333374
1462,0.1198,0.1535,0.1277,0.279,R,莱德系统公司,运输,15.24285734
1463,424.5611,0.0762,0.0675,0.101,MBFI,MB金融,银行,22.11736999
1464,0.0,0.0,0.1514,0.0,SWJ,"Stanley Black & Decker, Inc.",,3.96927792
1465,0.0,0.0,0.0,0.0,CMD,Cantel Medical Corp.,环球,
1466,0.0613,0.0646,0.0742,0.0832,OGS,"ONE Gas, Inc.",,28.392451
1467,0.0,0.0,0.0,0.0,SNX,新聚思,,16.04952037
1468,0.0,0.0,0.0,0.1347,APU,AmeriGas Partners LP,零售,22.69518637
1469,0.0806,0.0188,0.0461,0.0612,ERJ,ERJ航空,航空航天\/国防,86.0
1470,0.2905,0.0707,323.9845,-470.7934,ARD,Ardagh Group SA,,-2.90592351
1471,0.0,0.0,0.0,0.0,WNR,Western Refining,油气,29.17741938
1472,0.0572,0.1,0.0899,212.1541,RLJ,RLJ Lodging Trust,,13.95652119
1473,779.4354,854.626,0.0418,0.0562,CHFC,Chemical Financial Corp.,银行,25.41935387
1474,-0.1131,1.9416,1256.9061,0.2523,VC,伟世通,汽车部件与设备,61.80660653
1475,0.1113,0.115,0.1334,0.0613,HOMB,"Home Bancshares, Inc. (Arkansas)",银行,17.93650838
1476,0.1879,0.1172,0.1613,0.1939,WRI,魏因加滕房地产投资信托基金,,16.32085582
1477,0.0,0.228,0.2267,1.375,DLPH,德尔福,汽车部件与设备,9.61655728
1478,608.693,908.2907,1372.2111,0.2387,COR,CoreSite房产,房地产信托投资基金,73.81818384
1479,0.0,0.0,0.0,739.4525,LANC,兰卡斯特食品,,29.58420057
1480,-0.6016,3.9599,1.7429,0.8641,TNET,"TriNet Group, Inc.",,65.22352597
1481,0.0,0.0,0.0,-0.0761,CBT,卡博特,化学制品,19.00302194
1482,-149.6951,-0.0802,-0.2866,0.0493,CNDT,"Conduent, Inc.",,-3.80412394
1483,0.0,0.0,0.0,0.0,MGR.L,MGR.L,,
1484,0.0,2.3959,-0.5607,-0.2796,BSTI,百世集团,,
1485,0.0,0.0,0.0,0.0,CIEN,Ciena科技,电信,44.24590023
1486,-0.1192,-0.0683,-0.0683,162.3339,ZNGA,Zynga公司,媒体内容,-36.16666875
1487,0.0911,0.0762,0.0823,0.0774,POR,波特兰通用电气,电力,20.08333303
1488,0.0,0.0,0.0,0.0,EWT,台湾ETF-iShares MSCI,股权,31.66956428
1489,0.1333,0.198,0.1873,782.6811,BMS,碧美斯公司,,17.12500036
1490,0.0936,0.0864,0.0909,0.1071,SWX,"Southwest Gas Holdings, Inc.",,25.06918225
1491,0.087,0.0572,0.0988,0.0788,LHO,拉萨尔饭店,,16.85024261
1492,0.0,0.0,0.0,0.0,PFGC,Performance Food Group Co.,,52.01388788
1493,0.0962,0.0399,0.0495,0.1903,AUO,友达光电,计算机硬件,11.76470576
1494,72.3253,296.4875,0.0,0.0,EQC,Equity Commonwealth,,19.54320972
1495,0.0,-0.6726,-0.7713,-0.2755,BILI,哔哩哔哩公司,,
