code,name,pe,pb,eps,net_radio2018-06,income_radio2018-06,net_radio2018-03,income_radio2018-03
AAXN,"Axon Enterprise, Inc.",193.374335,9.155127,0.364371,272.80%,24.59%,182.23%,27.73%
MTBC,Medical Transcription Billing,0,1.851364,-0.358469,111.53%,11.54%,102.77%,1.06%
TRNS,Transcat,25.12864,3.111702,0.909321,66.82%,1.04%,71.73%,10.40%
CDW,CDW Corporation,21.523424,12.413333,4.072772,22.78%,7.56%,118.21%,10.76%
STAA,STAAR Surgical Company,581.047466,41.766263,0.083556,288.47%,54.56%,126.46%,33.14%
SAIA,Saia Inc.,17.804176,3.136186,4.428736,72.34%,17.65%,85.39%,21.58%
UHAL,Amerco,8.902945,1.935172,40.441673,1.30%,6.88%,13.56%,7.29%
GTLS,查特工业,49.68428,2.828614,1.499267,296.97%,34.30%,317.24%,37.04%
CME,芝加哥商品交易所,13.34778,2.559656,13.019394,36.15%,14.58%,49.77%,19.87%
MGPI,MGP Ingredients,31.345675,7.301524,2.521241,18.18%,2.91%,2.87%,0.90%
ANSS,安西斯,51.571034,6.234561,3.596011,32.79%,15.91%,33.13%,11.63%
MKSI,MKS仪器,12.142958,2.588342,7.008177,2.01%,19.22%,61.58%,26.79%
PINC,Premier Inc.,12.266285,-1.633167,3.566687,36.25%,7.66%,7.30%,11.99%
ALRM,"Alarm.com Holdings, Inc.",71.042724,9.892168,0.777138,8.80%,21.51%,165.33%,25.02%
VRSK,Verisk Analytics,32.465091,9.565892,3.709523,26.86%,14.93%,22.24%,15.64%
DXPE,DXP Enterprises,30.835988,2.749347,1.460631,191.33%,24.14%,50.10%,19.88%
AMGN,安进,52.550787,8.522336,3.735434,6.74%,1.88%,11.59%,2.77%
NDAQ,纳斯达克OMX交易所,20.436716,2.765061,4.557973,10.96%,8.16%,5.36%,18.78%
RGNX,Regenxbio Inc,29.900366,8.25554,2.473214,173.20%,510.69%,573.96%,28996.92%
NATI,美国国家仪器,98.473952,5.465582,0.489368,23.45%,7.03%,33.72%,3.93%
SODA,SodaStream International Ltd,35.196292,5.822932,4.051279,81.70%,31.27%,26.02%,24.59%
BRKR,布鲁克,59.957503,7.098777,0.58825,31.25%,6.92%,26.27%,12.48%
MCRI,Monarch Casino & Resort,27.064595,2.860443,1.658255,27.63%,2.94%,38.36%,5.15%
VICR,Vicor Corporation,172.562428,14.7172,0.338718,1877.30%,28.57%,517.40%,19.84%
SYNT,Syntel,19.036427,52.146088,2.139057,12.27%,10.09%,18.91%,8.62%
