code,name,pe,pb,eps
SSFN,Stewardship Financial Corp,16.760424,1.252692,0.656308
SP,SP Plus Corp,17.325429,2.494593,2.225053
SMBC,Southern Missouri Bancorp,16.584364,1.779647,2.393821
SBT,"Sterling Bancorp, Inc.",12.776034,2.212114,0.993266
ORRF,Orrstown Financial Services Inc,19.483493,1.452817,1.28827
ODP,欧迪办公,18.676133,0.853796,0.177767
OBCI,Ocean Bio-Chem,14.27871,1.535059,0.301848
MTGE,American Capital Mortgage Invest,14.618318,1.017965,1.354465
LCNB,LCNB Corporation,15.446141,1.149223,1.187999
LBAI,拉扎德银行,15.9158,1.528929,1.20949
INTG,The Intergroup Corporation,17.221644,-1.596868,1.733284
INBK,First Internet Bancorp,12.529198,1.122526,2.482202
FULT,富尔顿金融,18.828235,1.409985,0.956011
FORD,福沃德工业,10.334114,1.314501,0.146118
ECPG,安可资本,11.188113,1.885989,3.414338
DLPN,"Dolphin Entertainment, Inc.",9.193159,6.736499,0.282819
CZFC,Citizens First Corporation,14.742242,1.402472,1.787374
CYOU,畅游,15.504461,0.860378,0.873942
CHTR,Charter Communications,7.76326,1.889874,39.312092
CGBD,TCG BDC Inc.,11.908982,0.937014,1.4107
CATY,国泰万通金控,16.087501,1.664204,2.628749
BOTJ,Bank of the James Financial Grou,18.09938,1.308763,0.867433
BBBY,3B家居,6.392921,0.875759,2.839078
ASRV,AmeriServ Financial Inc,19.908421,0.837225,0.226035
ASPS,Altisource Portfolio Solutions S,2.154629,1.889434,15.998115
ARLP,Alliance Resource Partners,7.426735,2.085976,2.672776
AMBC,Ambac Financial Group Inc.,9.666939,0.531954,2.184766
EDRY,EuroDry Ltd.,11.845232,0.38889,0.60361
TURN,180 Degree Capital Corp.,4.677244,0.744886,0.463927
FSFG,第一储蓄金融,14.751386,1.61925,4.676171
PMD,Psychemedics Corporation,17.288848,5.832443,1.118351
FITB,五三银行,7.681318,1.318728,3.839185
FSBW,FS Bancorp,12.851691,1.552059,4.550374
FCAP,第一资本,16.369726,1.632292,2.386112
PACW,PacWest Bancorp,15.050606,1.286314,3.335414
MBFI,MB金融,13.387911,1.477131,3.638357
BPOP,大众银行,18.03599,0.990865,2.813264
TACO,Del Taco Restaurants Inc,10.251158,1.152163,1.235958
JBHT,JB Hunt运输服务,17.868429,6.613249,6.88253
CTBI,大众信托合众银行,15.489555,1.606679,3.176334
HFBL,Home Federal Bancorp,17.242511,1.358247,2.056545
FDEF,第一迪法恩斯金融,15.413841,1.67196,2.057242
AAL,美国航空,12.385452,-20.365212,3.102834
NTRS,北方信托公司,17.61558,2.497534,6.016833
WILC,G. Willi-Food International,9.95719,0.841721,0.711044
STRL,Sterling Construction Company In,17.671208,2.478712,0.793381
TVTY,"Tivity Health, Inc.",17.313503,4.352629,2.009992
WHF,WhiteHorse Finance,5.646882,0.932133,2.452681
SABR,Sabre Corporation,19.994406,8.031677,1.279858
FFBC,第一金融银行股份,18.658421,1.519873,1.674847
ATLO,艾姆斯,18.97172,1.690968,1.607656
ARCC,阿瑞斯,8.569591,1.023233,2.03627
SBNY,Signature Bank,15.072686,1.539454,7.891095
PGC,Peapack-Gladstone Financial Corp,14.349832,1.471239,2.356822
MRLN,Marlin Business Services Corp,10.93315,1.797664,2.551872
SBGI,Sinclair Broadcast Group,5.023853,1.716122,5.414171
NXST,Nexstar Broadcasting Group,6.460614,2.211614,12.274376
EBTC,Enterprise Bancorp Inc,18.135318,1.735216,1.943721
OZK,Bank Ozk,10.934689,1.428026,3.669972
LKFN,莱克兰金融,18.630372,2.53124,2.611864
INVA,"Innoviva, Inc.",9.062763,-9.392414,1.606574
CCRN,Cross Country Healthcare,8.826377,1.471654,1.085383
GNTX,真泰克,14.846067,3.284652,1.58089
PKBK,帕克合众银行,12.928335,1.667807,1.771303
SUNS,Solar Senior Capital Ltd,11.509985,0.993007,1.451783
PCAR,帕卡,11.773359,2.755426,5.861539
UMBF,UMB金融,13.674987,1.717131,5.518835
SHBI,Shore Bancshares Inc,16.345547,1.41955,1.145266
WERN,沃纳企业公司,11.720183,2.184474,3.178278
