code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps,Name,LastSale,MarketCap,year,Sector,industry,Summary Quote,Unnamed: 8
ALLK,Allakos Inc.,35.54,37.68,304890.0,0.925322,0.0,8.09788,-3.768924,Allakos Inc.,37.68,$1.59B,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/allk,
HROW,Harrow Health Inc,6.31,6.76,302984.0,0.838568,0.0,35.337775,-0.296948,"Harrow Health, Inc.",6.76,$157.36M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/hrow,
CWEB,Direxion Shares ETF Trust,26.45,27.59,180717.0,1.835093,0.0,0.0,0.0,,,,,,,,
ASM,Avino Silver & Gold Mines,0.693,0.7174,299710.0,0.674254,23.913334,0.559611,0.03,Avino Silver,0.7174,$45.44M,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/asm,
ICAD,icad inc.,5.14,5.51,211513.0,2.082784,0.0,9.460694,-0.596373,icad inc.,5.51,$92.41M,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/icad,
ALNA,Allena Pharmaceuticals Inc.,6.24,6.59,52847.0,0.892767,0.0,2.340947,-1.716798,"Allena Pharmaceuticals, Inc.",6.59,$136.82M,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alna,
BZUN,宝尊电商,35.08,36.98,1785905.0,0.928397,65.432221,7.18148,0.565165,Baozun Inc.,36.98,$2.11B,2015.0,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/bzun,
NIO,蔚来,7.92,8.17,26598650.0,1.626772,0.0,6.138135,-42.477348,NIO Inc.,8.17,$8.38B,2018.0,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/nio,
AT,Atlantic Power Corp,2.6,2.78,1437058.0,2.61676,0.0,12.969094,-1.02,Atlantic Power Corporation,2.78,$301.19M,,Energy,Electric Utilities: Central,https://www.nasdaq.com/symbol/at,
JD,京东,24.55,25.95,27113291.0,1.743499,183.789678,3.937461,0.141194,"JD.com, Inc.",25.95,$37.54B,2014.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/jd,
DRAD,Digirad Corporation,0.69,0.727,30165.0,0.454084,0.0,0.538644,-0.987284,Digirad Corporation,0.727,$14.71M,2004.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/drad,
ALYA,Alithya Group inc.,2.7801,2.95,6104.0,0.421303,0.0,0.0,0.0,Alithya Group inc.,2.95,$142.79M,,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/alya,
ETSY,"Etsy, Inc.",53.59,56.67,3843551.0,1.684392,88.255498,17.29889,0.642113,"Etsy, Inc.",56.67,$6.83B,2015.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/etsy,
