,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
4560,FDC,First Data Corporation,25.27,$23.67B,2015.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/fdc,
4561,FHN,First Horizon National Corporation,15.71,$5B,,Finance,Major Banks,https://www.nasdaq.com/symbol/fhn,
4562,FHN^A,First Horizon National Corporation,25.735,,,,,https://www.nasdaq.com/symbol/fhn^a,
4563,FR,"First Industrial Realty Trust, Inc.",34.19,$4.32B,1994.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/fr,
4564,AG,First Majestic Silver Corp.,6.58,$1.28B,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ag,
4565,FRC,FIRST REPUBLIC BANK,103.67,$17.08B,,,,https://www.nasdaq.com/symbol/frc,
4566,FRC^D,FIRST REPUBLIC BANK,24.4015,,,,,https://www.nasdaq.com/symbol/frc^d,
4567,FRC^F,FIRST REPUBLIC BANK,25.45,,,,,https://www.nasdaq.com/symbol/frc^f,
4568,FRC^G,FIRST REPUBLIC BANK,24.89,,,,,https://www.nasdaq.com/symbol/frc^g,
4569,FRC^H,FIRST REPUBLIC BANK,23.61,,,,,https://www.nasdaq.com/symbol/frc^h,
4570,FRC^I,FIRST REPUBLIC BANK,24.52,,,,,https://www.nasdaq.com/symbol/frc^i,
4571,FFA,First Trust,14.89,$297.4M,2004.0,,,https://www.nasdaq.com/symbol/ffa,
4572,FMY,First Trust,13.36,$56.29M,2005.0,,,https://www.nasdaq.com/symbol/fmy,
4573,FDEU,First Trust Dynamic Europe Equity Income Fund,14.43,$248.66M,2015.0,,,https://www.nasdaq.com/symbol/fdeu,
4574,FIF,First Trust Energy Infrastructure Fund,15.51,$272.2M,2011.0,,,https://www.nasdaq.com/symbol/fif,
4575,FSD,First Trust High Income Long Short Fund,14.59,$436.93M,2010.0,,,https://www.nasdaq.com/symbol/fsd,
4576,FPF,First Trust Intermediate Duration Preferred & Income Fund,21.26,$1.29B,2013.0,,,https://www.nasdaq.com/symbol/fpf,
4577,FEI           ,First Trust MLP and Energy Income Fund,11.36,$532.3M,2012.0,,,https://www.nasdaq.com/symbol/fei,
4578,FPL,First Trust New Opportunities MLP & Energy Fund,8.94,$227.07M,2014.0,,,https://www.nasdaq.com/symbol/fpl,
4579,FIV,First Trust Senior Floating Rate 2022 Target Term Fund,8.89,$318.54M,2016.0,,,https://www.nasdaq.com/symbol/fiv,
4580,FCT,First Trust Senior Floating Rate Income Fund II,12.33,$329.17M,2004.0,,,https://www.nasdaq.com/symbol/fct,
4581,FGB,First Trust Specialty Finance and Financial Opportunities Fund,6.16,$88.39M,2007.0,,,https://www.nasdaq.com/symbol/fgb,
4582,FEO,First Trust/Aberdeen Emerging Opportunity Fund,13.5312,$69.92M,,,,https://www.nasdaq.com/symbol/feo,
4583,FAM,First Trust/Aberdeen Global Opportunity Income Fund,10.03,$129.89M,2006.0,,,https://www.nasdaq.com/symbol/fam,
4584,FE,FirstEnergy Corp.,40.72,$21.59B,,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/fe,
4585,FIT,"Fitbit, Inc.",6.7,$1.67B,2015.0,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/fit,
