code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
VVI,Viad Corp,53.4,54.13,42220,0.828564,37.115101,2.376152,1.458436
BHB,Bar Harbor Bankshares,23.41,23.83,18593,0.966935,11.240567,0.998203,2.12
APC,阿纳达科石油,47.96,49.13,3384477,0.786097,17.143172,2.847411,2.865864
SSO,标普500两倍做多ETF,107.61,109.15,982190,0.636882,9.361064,0.0,11.66
IGM,iShares S&P North American Techn,189.54,192.1,31130,0.943436,3.686063,0.87726,52.115219
BPRAP,Brookfield Property REIT Inc,23.6,23.9,35788,2.221202,0.875375,-1356.181572,27.30257
WAFD,Washington Federal,29.34,29.7,346465,0.676478,12.122192,1.214792,2.450052
RCS,RCS全球政府基金,10.06,10.15,322466,2.403274,24.550354,1.384559,0.413436
PE,Parsley Energy,18.4,18.87,3745113,0.811369,15.864249,0.963107,1.189467
SRPT,Sarepta Therapeutics,139.06,141.6,732162,0.549195,0.0,15.60412,-3.767583
BMCH,"BMC Stock Holdings, Inc.",17.23,17.44,239599,0.979704,10.831369,1.387553,1.610138
ATSG,美国空运,23.71,24.0,289402,0.802868,11.12624,3.012391,2.157063
WAL,Western Alliance Bancorp,44.66,45.17,692819,0.871141,10.910628,1.793994,4.14
PCMI,PCM Inc,21.53,21.86,100856,1.324954,19.191365,1.8082,1.139054
AJX,Great Ajax Corp,12.96,13.12,18335,0.737649,9.249931,0.827072,1.418389
DG,美国达乐公司,115.19,116.64,1028744,0.633801,17.212931,4.824319,6.776301
CMI,康明斯,146.88,148.75,1345643,1.007056,19.014994,3.310934,7.822774
GLW,康宁,33.07,33.55,5859400,0.580133,29.61591,2.300505,1.132837
FCF,第一联邦金融,13.68,13.86,293043,0.658008,12.833346,1.39826,1.079999
PSCI,PowerShares Exchange-Traded Fund,61.7,62.75,216039,2.92044,0.0,0.0,0.0
HBIO,哈佛生物科学,3.61,3.65,76079,0.287034,0.0,1.681379,-0.133469
SPEX,Spherix Incorporated,0.77,0.7812,33631,2.173219,0.0,1.012659,-0.638747
PDCE,PDC Energy,32.79,33.6,830300,0.682697,0.0,0.947939,-1.504957
COKE,可口可乐装瓶,216.55,220.0,39701,2.499087,24.336157,5.520872,9.040047
DRYS,DryShips Inc,5.08,5.12,584386,1.192143,29.357966,0.669859,0.174399
IFFT,"International Flavors & Fragrances, Inc.",53.93,54.28,149153,1.344515,0.0,0.0,0.0
XHR,"Xenia Hotels & Resorts, Inc.",18.81,19.1,579710,1.155276,20.246605,1.21732,0.943368
ROIC,Retail Opportunity Investments C,17.33,17.64,605653,0.559318,46.295811,1.671608,0.381028
BRKL,布鲁克赖恩银行,15.3,15.45,359232,0.97828,14.85577,1.367173,1.04
BYFC,百老汇金融,1.29,1.3686,3822,0.631256,263.39492,0.76285,0.005196
GDO,Western Asset Global Corp Define,16.0,16.2,210142,4.381683,0.0,0.0,0.0
IMAX,Imax Corp,20.34,20.62,235175,0.70846,50.604828,2.404284,0.407471
HJV,MS Structured Asset Corp SATURNS,7.15,7.25,2532,0.739141,0.0,0.0,0.0
RIO,力拓,56.16,56.74,3742929,1.080821,10.217496,2.200096,5.55322
VRTS,Virtus Investment Partners,90.68,91.39,66820,0.973729,9.77508,1.200011,9.349284
ANGO,阿吉奥动态,21.12,21.4,118016,1.103646,45.955291,1.446124,0.46567
CLI,麦克凯利房地产,20.36,20.67,295591,0.423862,59.76199,1.271441,0.345872
LABU,Direxion每日三倍做多标普生物,50.26,50.95,1696846,0.57625,0.0,0.0,0.0
LBJ,Direxion Daily Latin America Bul,27.37,28.7283,12055,0.660693,0.0,0.0,0.0
IPHS,Innophos Holdings,30.07,30.34,88289,0.967256,30.213615,1.74612,1.004183
THM,International Tower Hill Mines,0.5913,0.5994,148697,0.822315,0.0,1.669345,-0.0507
LMNX,路明克斯,27.9,28.15,264585,1.393835,70.910376,2.68026,0.39698
GSKY,Greensky Inc.,11.0,11.12,469645,0.638085,29.017653,21.759245,0.383215
NBTB,NBT Bancorp Inc,35.91,36.4,92229,1.051779,14.21875,1.561527,2.56
SLAB,芯科实验室,79.44,80.29,298333,0.291723,42.257895,3.241467,1.9
SLYG,SPDR S&P 600 Small Cap Growth ETF,58.8,59.51,176843,0.716838,6.82287,0.903131,8.722136
CIBR,First Trust NASDAQ Cybersecurity ETF,26.43,26.79,186265,0.910977,133.949998,0.0,0.2
DBX,Dropbox Inc.,24.39,24.57,1697790,0.631234,0.0,15.524221,-1.677848
KAR,KAR车行,52.15,52.89,329320,0.708868,16.632311,4.559048,3.179955
CHSCM,CHS Inc,25.03,25.33,50722,0.849888,0.0,0.082909,0.0
EPM,Evolution Petroleum,7.35,7.45,157775,1.137872,10.644363,3.073287,0.699901
ODP,欧迪办公,2.94,2.98,3812743,1.04955,26.691747,0.742216,0.111645
MNTA,Momenta Pharmaceuticals,11.78,11.94,225866,0.522885,0.0,4.71545,-2.026839
WIRE,Encore Wire Corporation,53.71,54.54,41812,0.610553,13.990994,1.638721,3.898222
BB,黑莓,8.12,8.22,1961368,0.86592,0.0,1.747069,-2.31
RWGV,Direxion Russell 1000 Growth Over Value ETF,52.46,52.7052,6041,0.640615,0.0,0.0,0.0
DNJR,点牛金融,8.98,8.97,1500,0.33028,0.0,9.293776,-0.085092
ABCB,ABC银行,37.57,38.16,312174,0.569373,13.628572,1.23734,2.8
ECT,ECA Marcellus Trust I,1.84,1.85,29246,1.416642,6.89848,0.680956,0.268175
CBRL,CB乡村店,167.85,169.31,318991,0.88507,16.388758,6.780089,10.330862
GCO,格涅斯科,44.99,45.74,385685,1.165378,13.099194,1.101628,3.491818
DTUS,iPath US Treasury 2-year Bear ET,37.5,37.5,1102,3.325287,0.0,0.0,0.0
XXII,22nd Century Group Inc,2.21,2.25,1437078,0.747396,0.0,3.521045,-0.022523
FEDU,四季教育,2.22,2.25,9393,0.338687,56.559663,1.048051,0.039781
BDL,Flanigans Enterprises Inc,23.68,24.0,1812,1.902562,12.131506,1.267511,1.97832
ATOM,Atomera Inc,3.74,3.75,13015,0.231435,0.0,6.29404,-0.990962
CBRE,世邦魏理仕,45.9,46.54,1629337,1.190416,19.384348,3.279065,2.400906
