,code_x,name,roe_2017_1,bvps_2017_1,net_profits_2017_1,roe_2017_2,bvps_2017_2,net_profits_2017_2,roe_2017_3,bvps_2017_3,net_profits_2017_3,roe_2017_4,bvps_2017_4,net_profits_2017_4,code_y,pb,pe,industry
277,601288,农业银行,4.37,3.95,5571000.0,8.37,3.93,10859300.0,,,,14.57,4.15,19296200.0,,0.82,5.21,银行
278,601318,中国平安,5.8,22.51,2305300.0,10.6,23.29,4342700.0,15.7,24.52,6631800.0,20.72,25.89,8908800.0,,2.13,10.41,保险
279,601328,交通银行,3.03,7.93,1932300.0,6.4,7.86,3897500.0,8.91,8.06,5441900.0,11.4,8.23,7022300.0,,0.74,5.55,银行
280,601333,广深铁路,1.0,,28250.02,1.8,,50871.57,3.14,,88848.55,3.59,,101536.1,,1.03,16.71,铁路
281,601336,新华保险,3.04,19.74,183700.0,5.29,19.78,323700.0,8.18,20.39,504200.0,8.76,20.42,538300.0,,2.13,13.37,保险
283,601390,中国中铁,1.84,,262258.3,5.36,,770737.4,7.71,,1103579.8,,,,,1.15,13.34,建筑施工
285,601555,东吴证券,1.52,,31010.33,2.09,,42684.98,3.93,,80727.33,3.85,,78812.28,,0.95,84.49,证券
286,601600,中国铝业,1.02,,39076.4,1.98,,75131.3,3.57,,135562.8,3.55,,137843.5,,1.09,42.86,铝
288,601601,中国太保,1.5,14.65,200000.0,4.8,14.51,650900.0,8.1,14.98,1092600.0,10.89,15.17,1466200.0,,2.11,19.94,保险
289,601611,中国核建,1.28,,10990.28,3.39,,29425.22,,,,9.51,,85301.72,,2.52,39.58,建筑施工
293,601618,中国中冶,2.35,,144173.8,3.8,,267467.6,5.26,,354888.6,8.44,,606148.8,,1.02,10.2,建筑施工
295,601628,中国人寿,2.03,10.66,614900.0,4.01,10.64,1224200.0,,,,10.49,11.35,3225300.0,,1.96,11.87,保险
296,601633,长城汽车,4.05,,195468.82,5.04,,241975.54,,,,10.48,,502729.8,,1.67,10.27,汽车整车
297,601668,中国建筑,3.63,,708347.8,,,,12.4,,2578217.9,15.82,,3294179.9,,0.94,6.61,建筑施工
298,601718,际华集团,1.98,3.69,27836.99,3.29,,51381.58,,,,4.43,,75493.83,,0.92,28.35,服饰
300,601766,中国中车,1.02,,115198.8,3.15,,367254.2,5.83,,680920.8,9.14,4.24,1079855.6,,1.77,42.86,运输设备
301,601788,光大证券,1.25,,58721.14,2.6,,123748.81,,,,,,,,1.01,17.08,证券
302,601818,光大银行,3.83,4.99,857900.0,6.88,5.05,1693900.0,10.25,5.22,2543300.0,12.75,5.24,3154500.0,,0.7,5.32,银行
305,601828,美凯龙,,,103101.57,5.46,,204517.11,7.45,10.75,283975.17,10.48,,407789.77,,1.29,12.18,其他商业
306,601838,成都银行,3.84,,85648.3,7.4,,165226.5,12.34,,280997.8,16.83,7.68,390857.8,,1.05,7.24,银行
307,601866,中远海发,2.58,,34751.81,7.69,,105468.94,8.26,,113947.46,10.25,,146189.05,,1.74,24.56,水运
310,601877,正泰电器,2.18,,35926.96,7.13,,125645.43,,,,15.35,,283985.47,,2.34,19.64,电气设备
311,601878,浙商证券,2.72,,26392.13,5.36,,52678.01,8.14,,81177.74,9.22,,106350.78,,1.88,32.12,证券
313,601881,中国银河,1.82,,111734.16,3.38,,211221.23,5.27,,338344.06,,,,,1.18,19.09,证券
316,601888,中国国旅,5.55,13.61,71824.88,9.95,,130019.67,14.47,6.89,190796.7,19.12,,253076.28,,9.19,29.88,旅游服务
317,601898,中煤能源,1.35,,117096.7,1.95,,169613.7,,,,2.76,,241442.6,,0.68,10.95,煤炭开采
319,601899,紫金矿业,3.54,,100563.35,,,,7.16,,221418.33,11.1,,350771.76,,2.24,18.09,黄金
320,601901,方正证券,1.13,4.36,40482.91,2.29,4.43,82419.45,3.66,4.52,133063.04,3.99,4.55,145295.79,,1.45,43.24,证券
322,601919,中远海控,1.46,,27014.05,9.59,,186346.68,13.89,,273587.66,13.77,,266193.59,,2.28,63.54,水运
324,601933,永辉超市,3.8,,74375.65,5.46,,105521.84,7.23,,139239.15,9.32,,181679.41,,3.75,24.19,超市连锁
326,601939,建设银行,4.41,6.52,7001200.0,8.55,6.5,13833900.0,,,,,,,,0.98,5.91,银行
328,601958,金钼股份,0.04,,450.1,0.12,,1532.53,0.3,,3789.68,0.84,,10727.41,,1.56,78.07,小金属
332,601985,中国核电,2.94,,121482.67,6.11,,254529.07,9.77,,410410.32,10.69,,449771.5,,1.96,17.91,新型电力
335,601991,大唐发电,1.58,,63095.6,2.68,,108077.4,,,,4.22,,171181.0,,1.02,26.15,火力发电
336,603160,汇顶科技,6.21,,17534.8,16.51,,48197.57,25.18,,76263.13,28.79,,88694.21,,8.84,404.13,元器件
340,603260,合盛硅业,9.76,4.97,27129.6,,,55381.27,,,,42.12,,151697.24,,8.27,19.84,化工原料
342,603288,海天味业,9.3,,97695.45,18.19,,182318.79,,,,31.12,,353143.69,,15.96,42.98,食品
344,603799,华友钴业,5.63,,25166.14,14.46,,67491.03,,,,36.5,,189551.3,,9.54,18.93,小金属
345,603858,步长制药,1.75,,22238.25,,,,8.91,,113008.34,12.81,,163795.23,,2.27,36.73,中成药
347,603993,洛阳钼业,3.14,,59722.04,4.43,,83513.87,3.77,,160454.06,9.89,,272779.62,,3.62,22.75,小金属
348,000001,平安银行,2.89,10.94,621400.0,6.21,11.15,1255400.0,,,,11.62,11.77,2318900.0,,0.75,5.78,银行
349,000060,中金岭南,2.81,,21878.81,6.95,,55207.97,10.25,,86298.36,12.01,,106699.29,,1.6,13.19,铅锌
350,000063,中兴通讯,4.5,6.59,121360.7,,,,13.64,7.36,390465.2,15.74,7.55,456817.2,,1.84,8.76,通信设备
353,000166,申万宏源,1.84,,97182.36,,,,,,,8.61,,459968.34,,1.45,24.79,证券
354,000333,美的集团,6.87,,435258.7,16.46,,1081132.2,,,,25.88,,1728368.9,,3.98,15.07,家用电器
355,000338,潍柴动力,3.65,,117993.41,8.1,,265004.27,13.16,,460315.34,20.25,,680834.25,,1.83,8.85,汽车配件
356,000413,东旭光电,1.75,,39278.26,2.84,,63585.58,,,,7.09,,174366.68,,1.09,20.15,元器件
357,000415,渤海金控,1.28,,40065.9,3.29,,102640.2,6.0,,187281.7,8.37,,263034.1,,1.16,16.65,多元金融
359,000423,东阿阿胶,6.98,,60456.62,10.6,,90147.04,14.36,,124659.6,22.46,,204435.25,,3.34,14.35,中成药
360,000425,徐工机械,0.98,,20181.88,2.66,,55030.78,3.73,,77785.2,,,,,1.26,13.25,工程机械
361,000503,国新健康,-2.77,,-3883.77,,,,-11.82,,-15445.1,1.17,,1667.49,,20.87,0.0,医疗保健
362,000538,云南白药,4.47,,72514.19,9.48,,156504.94,,,,18.55,,314498.14,,5.85,34.2,中成药
363,000540,中天金融,6.1,,94068.19,,,,10.84,,165545.0,13.5,,208154.94,,2.04,12.26,多元金融
367,000568,泸州老窖,6.99,,79746.8,,,,,,,20.3,,255794.46,,5.41,18.29,白酒
368,000623,吉林敖东,2.21,,41837.6,4.78,,91123.18,,,,9.59,,186347.14,,0.97,15.69,中成药
370,000625,长安汽车,5.36,,240134.48,10.42,,462054.57,12.93,,581059.65,15.65,,713723.47,,0.81,7.12,汽车整车
372,000630,铜陵有色,0.86,,14413.83,1.41,,23629.99,2.35,,39530.52,,,,,1.26,27.29,铜
378,000651,格力电器,7.19,,401453.65,,,,25.1,,1546070.89,37.44,,2240157.62,,3.94,12.52,家用电器
384,000723,美锦能源,4.4,,30777.07,7.01,,50190.78,11.77,,85516.13,14.3,,106493.04,,2.77,17.92,焦炭加工
385,000728,国元证券,1.16,,24189.79,2.46,,51371.83,,,,,,,,0.94,35.8,证券
386,000768,中航飞机,-0.57,,-8779.66,0.6,,9161.67,0.82,,12701.05,3.03,,47140.17,,2.81,408.74,航空
388,000776,广发证券,2.67,,213852.68,,,,7.84,,636723.59,10.55,,859539.91,,1.16,16.4,证券
390,000783,长江证券,1.68,,43224.84,3.86,,99501.54,,,,5.96,,154511.24,,1.07,23.08,证券
391,000786,北新建材,1.43,,14966.92,6.43,,68232.43,14.24,,156463.5,20.66,,234398.54,,2.63,17.29,其他建材
394,000792,盐湖股份,-1.1,,-26465.01,-2.16,,-52250.26,,,,-17.34,,-415923.79,,1.61,0.0,化工原料
395,000826,启迪桑德,2.23,,21006.45,,,,8.85,,83079.77,11.01,,125115.22,,1.61,20.16,环境保护
397,000895,双汇发展,6.0,,87861.66,,,,23.16,,315103.87,31.4,,431929.99,,5.63,20.76,食品
400,000898,鞍钢股份,2.35,,106900.0,,,,7.08,,328500.0,11.81,6.91,560500.0,,0.8,6.47,普钢
402,000938,紫光股份,1.32,,31600.86,3.34,,80649.9,,,,6.44,,157542.12,,2.49,63.75,软件服务
403,000961,中南建设,1.1,,15078.74,2.6,,35420.37,,,,4.39,,60266.16,,1.47,14.44,建筑施工
405,000983,西山煤电,2.78,,46493.8,5.39,,91737.25,2.46,,137353.58,,,,,1.12,10.11,煤炭开采
406,001965,招商公路,,,80517.11,,,171785.54,,,,8.64,,336819.5,,1.14,14.27,路桥
412,001979,招商蛇口,3.69,,212188.37,6.03,,346643.75,6.59,,371810.16,20.32,,1222030.82,,1.92,6.19,全国地产
414,002007,华兰生物,5.88,,25533.6,9.72,,43112.05,13.67,,61909.87,18.48,,82082.35,,6.68,39.26,生物制药
418,002027,分众传媒,12.96,,110676.14,,,,,,,67.65,,600470.68,,12.96,31.06,影视音像
419,002044,美年健康,-3.25,,-10579.21,0.86,,2852.09,6.36,,21606.15,10.0,,61380.01,,11.69,0.0,医疗保健
420,002065,东华软件,5.18,,46675.88,6.74,,61261.74,,,,7.49,,66379.96,,3.14,52.74,软件服务
421,002074,国轩高科,5.0,,20201.16,10.79,,44521.9,,,,,,,,1.86,24.28,电气设备
422,002085,万丰奥威,3.7,,19995.84,8.72,,48107.89,12.71,,70909.86,,,,,3.02,20.78,汽车配件
424,002142,宁波银行,5.12,12.0,235921.5,10.15,9.55,476549.0,,,,19.02,10.31,933357.2,,1.48,7.3,银行
425,002146,荣盛发展,1.92,,45802.7,6.87,,168459.36,11.4,,279051.19,22.44,,576077.0,,1.21,14.21,全国地产
431,002153,石基信息,1.26,,6279.14,3.64,,18249.43,5.5,,27846.18,,,,,5.74,114.21,软件服务
433,002202,金风科技,0.81,,18063.66,5.76,,113291.83,11.43,,229616.54,,,,,2.11,46.91,电气设备
434,002230,科大讯飞,1.03,,7398.27,1.44,,10728.36,2.2,,16861.88,5.74,,43467.6,,8.69,207.25,软件服务
436,002236,大华股份,3.42,,28683.84,11.29,,98300.12,16.24,,144449.38,25.47,,237872.68,,5.35,48.77,电器仪表
437,002241,歌尔股份,2.71,,29911.86,6.46,,71884.22,11.39,,138533.88,16.58,,213922.62,,2.14,43.78,元器件
441,002252,上海莱士,1.88,,22222.8,5.88,,70883.8,7.79,,94014.4,6.93,,83582.86,,8.22,0.0,生物制药
445,002294,信立泰,6.78,,37642.37,13.33,,73041.28,19.89,,109404.55,25.94,,145188.73,,5.94,23.11,化学制药
449,002310,东方园林,-0.38,,-3510.95,4.98,,46766.2,9.04,,86648.6,21.29,,217792.17,,3.55,1026.83,建筑施工
451,002352,顺丰控股,3.7,,77371.49,8.84,,188362.62,,,,18.43,,477068.97,,5.89,49.86,仓储物流
454,002385,大北农,2.06,,19223.91,5.54,,52466.44,8.78,,83948.93,13.16,,126521.19,,1.76,25.39,饲料
458,002411,必康股份,1.98,,16607.23,5.34,,45619.84,9.74,,62088.15,,,,,4.65,50.11,化学制药
461,002415,海康威视,5.91,,148081.69,12.98,,329154.61,22.38,,615281.42,34.96,,941085.51,,10.53,46.73,电器仪表
463,002450,康得新,3.42,,54149.05,7.74,,125494.16,,,,14.77,,247438.18,,3.22,21.12,化工原料
464,002456,欧菲科技,2.34,,19055.89,6.85,,62005.95,11.98,,102188.74,11.79,,100972.03,,5.14,40.92,元器件
465,002460,赣锋锂业,5.35,,13645.17,,,,35.69,,100353.02,46.37,,146907.81,,10.44,31.29,小金属
467,002468,申通快递,5.76,,32248.03,12.84,,74650.09,18.77,,112740.84,24.05,,148783.62,,3.62,17.06,仓储物流
469,002470,金正大,4.53,,41523.27,8.48,,79443.2,9.73,,90770.8,,,,,2.19,10.25,农药化肥
471,002493,荣盛石化,4.78,,62088.13,,,,10.38,,155487.12,14.09,,200123.85,,4.12,24.02,化纤
473,002508,老板电器,5.91,,25157.67,13.69,,59775.79,,,,,,,,4.76,21.98,家用电器
474,002555,三七互娱,9.13,,43303.32,17.18,,85055.05,,,,28.12,,162058.24,,4.14,15.36,互联网
476,002558,巨人网络,4.39,,33898.72,,,,13.09,,104330.63,16.09,,129031.63,,4.94,32.26,互联网
478,002572,索菲亚,1.97,,7722.63,7.49,,29426.23,14.4,,57572.33,21.98,,90677.09,,6.15,68.13,家居用品
480,002594,比亚迪,1.15,,60579.5,3.33,,172291.4,5.34,,279143.5,7.76,,406647.8,,2.45,305.98,汽车整车
481,002601,龙蟒佰利,4.63,,58519.68,10.22,,130993.25,14.91,,192073.62,19.14,,250241.4,,1.94,11.29,化工原料
483,002602,世纪华通,2.81,,12512.73,13.17,,61819.1,15.08,,71468.1,16.43,,78274.03,,3.49,37.81,汽车配件
485,002608,江苏国信,2.39,,37383.81,5.13,,85902.86,8.74,,141492.59,13.19,,217967.3,,1.24,14.58,火力发电
487,002624,完美世界,4.4,,32545.48,,,,14.14,,107823.55,19.57,,150470.87,,4.35,25.01,影视音像
491,002625,光启技术,0.37,,1931.08,,,,,,,1.17,,8085.57,,3.18,496.65,汽车配件
492,002714,牧原股份,11.33,,68003.64,16.8,,120026.83,22.93,,181221.19,28.12,,236552.94,,4.17,98.68,农业综合
494,002736,国信证券,2.12,,104096.58,4.23,,201322.04,7.04,,336004.17,,,,,1.55,24.95,证券
496,002739,万达电影,4.43,,47391.25,,,,11.5,,126420.52,13.73,,151567.52,,5.06,28.26,影视音像
505,002925,盈趣科技,20.01,,18690.51,44.83,2.99,44018.56,67.25,,74573.41,80.97,,98386.25,,7.45,37.55,元器件
506,300024,机器人,1.04,,5792.97,3.13,,17674.94,4.8,,27371.33,7.48,,43237.79,,4.45,109.26,专用机械
510,300027,华谊兄弟,-0.76,,-6841.51,,,,,,,,,,,1.71,16.34,影视音像
511,300033,同花顺,3.41,,10232.91,10.06,,28640.6,,,,24.68,,72565.38,,7.37,67.13,软件服务
512,300070,碧水源,1.47,,23029.92,3.37,,53384.87,,,,14.99,,250938.39,,2.07,61.47,环境保护
513,300072,三聚环保,6.72,,43671.57,17.63,,121298.54,27.46,,199490.34,33.7,,253915.23,,4.65,18.42,环境保护
517,300122,智飞生物,2.36,,6031.75,,,,10.74,,28523.48,,,,,26.44,81.41,生物制药
519,300124,汇川技术,3.58,,17245.17,8.76,,42873.12,,,,20.98,,106004.18,,9.05,65.8,电器仪表
520,300251,光线传媒,2.61,,18503.89,,,,,,,10.98,,81515.69,,2.89,3.77,影视音像
522,300408,三环集团,4.44,,23231.9,8.15,,42988.76,13.18,,69942.86,19.58,,108344.34,,7.5,45.84,元器件
524,600010,包钢股份,,,,1.24,,58765.41,,,,4.27,,206125.55,,1.4,27.56,普钢
525,600016,民生银行,,,,8.12,9.71,2808800.0,,,,14.03,10.12,4981300.0,,0.66,4.26,银行
526,600025,华能水电,,,,4.42,,151830.6,,,,6.31,,218892.27,,1.31,38.5,水力发电
528,600030,中信证券,,,,3.39,11.86,492650.89,,,,7.82,,1143326.45,,1.33,18.7,证券
529,600068,葛洲坝,,,,6.18,,173377.56,9.18,,258931.69,17.28,,468360.21,,1.25,10.47,建筑施工
531,600085,同仁堂,,,,7.42,,59980.21,,,,12.55,,101738.15,,5.72,39.26,中成药
533,600089,特变电工,,,,5.71,,136236.41,,,,8.24,,219576.23,,0.88,12.41,电气设备
