code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
GIL,吉登运动服,35.98,35.81,420478,0.746169,21.331983,3.895969,1.6787
RJN,Elements ETN-Rogers Energy,2.9869,2.98,1092,1.520891,0.0,0.0,0.0
CPRX,Catalyst Pharmaceutical Partners,3.01,2.98,1707118,1.719285,0.0,4.778078,-0.249346
SSYS,Stratasys,23.88,23.8,820427,1.425666,0.0,1.124789,-0.221372
DB,德意志银行,8.86,8.88,3586217,0.708551,0.0,0.230354,-1.29
CLAR,Clarus Corporation,11.86,11.81,160703,1.941974,49.208334,2.113824,0.24
SAM,波斯顿啤酒,308.57,306.62,164067,1.284115,39.19344,7.659047,7.823248
MVF,BlackRock MuniVest Fund,8.87,8.84,109703,1.541968,72.271819,0.945842,0.122316
CHGG,Chegg Inc,41.66,41.09,1366439,1.032834,0.0,11.594664,-0.13146
DTQ,DTE Energy Co Pfd,25.0,24.94,2025,0.018021,4.091897,0.438429,6.094972
SFBC,Sound Financial Bancorp,35.22,35.19,1801,1.030202,12.843066,1.230822,2.74
BRX,Brixmor Property Group Inc.,17.65,17.55,4398523,1.880287,14.499268,1.847989,1.210406
CVE,Cenovus能源,8.75,8.77,4046850,0.90908,0.0,0.739558,-0.5
CLDR,Cloudera Inc.,11.94,11.67,14188287,1.002045,0.0,1.968174,-1.21
BKT,BKT信托,5.86,5.83,110550,1.257736,0.0,0.933041,-0.100268
MBFI,MB金融,46.69,46.57,1366443,1.493373,18.278572,1.374487,2.547792
FENC,Fennec Pharmaceuticals Inc.,5.83,5.81,88685,0.822275,0.0,5.423674,-0.52
MLPA,Global X MLP ETF,8.72,8.7,567641,0.75655,0.0,0.0,0.0
NE,诺布尔,2.9,2.89,4281942,0.887996,0.0,0.168993,-3.59
MDGS,Medigus Ltd.,2.73,2.89,17636,0.963105,0.0,1.239654,-4.62038
MLPQ,UBS ETRACS 2xMonthly Leveraged Alerian MLP Infrastructure Index,29.1,28.9,24956,0.890872,0.0,0.0,0.0
AWI,阿姆斯特朗,72.57,72.24,566249,1.252302,20.29794,13.414291,3.558982
CDOR,"Condor Hospitality Trust, Inc.",8.5,8.65,15536,0.496945,21.625,1.060541,0.4
MHLA,"Maiden Holdings, Ltd.",14.29,14.25,22174,1.103799,0.0,1.918656,-2.208473
CTZ,Qwest Corp,23.05,22.96,34159,1.010849,4.783333,0.037884,4.8
UVE,Universal Insurance Holdings Inc,31.64,31.53,417685,1.209446,9.642202,2.193767,3.27
FTI,FMC Technologies Inc,23.54,22.91,8018223,1.404537,0.0,0.990212,-4.2
WVE,Wave Life Sciences Pte. Ltd,45.99,45.73,675695,1.602946,0.0,21.317623,-5.062166
TLYS,Tillys,10.7,11.42,1298805,2.250752,13.595239,2.061693,0.84
CET,Central Securities Corp,28.5899,28.54,17215,0.991762,0.0,0.950149,-1.344444
FMY,FMY基金,13.46,13.4339,5193,0.317296,56.0194,0.897725,0.239808
RGI,Rydex ETF Trust Rydex S&P Equal,119.7379,119.2796,2878,0.541181,0.0,0.0,0.0
XLI,工业ETF,74.34,73.99,24900039,1.535913,8.67739,0.944105,8.526757
BCM,iPath Pure Beta Broad Commodity,27.0,28.065,315,0.895395,0.0,0.0,-0.23
SWK,美国史丹利公司,132.05,131.51,1261486,1.148372,32.9599,2.808975,3.99
OILU,AccuShares S&P GSCI Crude Oil Excess Return Up Shares,24.47,25.18,358686,0.581212,0.0,0.0,0.0
IPG,埃培智,22.4,22.34,6694191,1.175455,14.050314,3.593074,1.59
VRA,Vera Bradley,14.13,13.96,950807,0.713296,23.688359,1.642163,0.589319
MQY,黑岩综合产业,13.99,13.93,25055,0.417172,0.0,0.941862,-0.279617
OSBC,Old Second Bancorp,13.95,13.91,127344,2.368574,12.419653,1.814946,1.119999
IZEA,IZEA Inc.,1.4,1.39,36630,0.348206,0.0,2.117985,-0.830733
TS,泰纳瑞斯钢铁,28.0,27.76,1065472,0.49799,18.703981,1.390649,1.484176
DBB,PowerShares DB Base Metals Fund,16.64,16.65,104840,0.404909,0.0,1.099221,-6.021993
AGND,WisdomTree Barclays U.S. Aggrega,42.7828,42.68,1227,1.575501,0.0,0.0,0.0
BAF,BlackRock Municipal Income Inves,13.92,13.83,18452,0.860089,0.0,0.930646,-0.025696
XOM,埃克森美孚,80.18,80.15,25316113,1.864382,16.42418,1.769708,4.88
OESX,Orion Energy Systems Inc,0.97,0.965,44394,0.394048,0.0,1.529159,-0.250629
DGP,二倍做多黄金ETN(PowerShares),23.72,23.55,12644,0.785322,39.249998,0.0,0.6
DRUA,"Dominion Resources, Inc.",24.9,24.78,59395,0.822684,5.443223,0.861484,4.55245
NEV,Nuveen Enhanced Municipal Value,13.82,13.74,60557,1.317499,0.0,0.0,0.0
OCSI,Fifth Street Senior Floating Rate,8.28,8.24,74460,0.84788,43.62027,0.873475,0.188903
BFO,BFO基金,14.2212,14.2212,137,0.010558,0.0,0.97416,-0.004811
CXW,Corrections Corp of America,19.27,19.13,1259499,1.330485,14.276119,1.604299,1.34
SNHY,Sun Hydraulics Corporation,46.75,46.36,273231,2.022133,31.061102,2.793147,1.492542
PIY,Merrill Lynch Depositor Inc Pref,13.6449,13.6,2426,0.603633,0.0,0.0,0.0
UNL,United States 12 Month Natural Gas Fund,10.86,10.88,3230,1.184626,0.0,0.0,0.0
CNXN,"PC Connection, Inc.",38.25,37.94,197865,1.706112,15.742738,1.904253,2.41
MYSZ,"My Size, Inc.",0.83,0.805,77824,0.959279,0.0,-28.804929,-1.16
HRC,希尔罗控股,104.86,104.24,805678,1.461432,34.275628,4.478906,3.041228
GLT,PH格拉特费尔,13.41,13.35,1035871,2.926409,0.0,1.090355,-4.05785
GPMT,Granite Point Mortgage Trust Inc.,18.79,18.69,1731945,1.554768,13.194074,1.149262,1.416545
TAN,太阳能ETF-Guggenheim,24.13,24.02,90989,0.951396,13.570622,0.0,1.77
ESSA,萨万通金控,15.99,15.96,30216,2.496612,15.711413,0.94653,1.015822
STC,Stewart Information Services Cor,42.48,42.34,301777,2.55061,21.064677,1.491432,2.01
DDE,多佛唐斯娱乐,2.67,2.64,64248,1.242256,2857.14288,0.76845,0.000924
GRIN,Grindrod Shipping Holdings Ltd.,5.18,5.27,52119,2.835451,0.0,0.343471,-1.082678
CSOD,Cornerstone OnDemand,55.56,55.17,840246,1.601646,0.0,58.321115,-0.581887
SAIL,Sailpoint Technologies Holdings Inc.,28.98,28.88,1517282,1.400766,722.018037,6.69155,0.039999
MIND,米奇汗姆租赁,4.0,3.935,12434,0.264938,0.0,1.118248,-2.069731
HPP,Hudson Pacific Properties,34.34,34.09,1161381,1.616287,54.111199,1.477812,0.629999
RSG,共和废品处理,79.03,78.63,2331582,1.849876,24.882911,3.190149,3.16
ECCA,Eagle Point Credit Company Inc.,25.51,25.54,1073,0.427252,0.0,2.059486,-2.27
CHRW,罗宾逊物流,89.34,89.0,1288817,1.546052,18.816068,7.635935,4.73
LEO,LEO市政债券基金,7.88,7.84,79016,0.740039,155.361359,0.90325,0.050463
HYZD,WisdomTree BofA Merrill Lynch Hi,23.58,23.49,99650,1.080692,0.0,0.0,0.0
KSU,堪萨斯南方铁路,114.92,114.5,1340458,1.343152,18.678629,2.395785,6.13
SPSC,SPS Commerce,107.42,106.69,186677,1.60891,78.448529,5.940342,1.36
ZUO,Zuora,23.55,23.41,1293007,0.984299,0.0,16.220582,-0.99215
AIY,Apollo Investment Corp,25.944,26.0,4227,0.924056,64.999999,4.105952,0.4
BYM,BYM信托,13.42,13.3386,32481,1.064225,248.104609,0.907442,0.053762
AUY,Yamana Gold Inc,2.62,2.59,20998841,1.589422,0.0,0.542813,-0.32
MLPX,Global X MLP & Energy Infras,12.96,12.94,207657,0.449334,0.0,0.0,0.0
