code,net2017_1,,net2017_2,,net2017_3,,net2017_4,pe
600282,548.8886,1.201095632,1208.1563,0.694027668,2046.6502,0.563701213,3200.3494,5.61
600820,353.6324,1.159339755,763.6125,0.518338424,1159.4222,0.561147268,1810.0288,12.88
2406,33.6593,1.580760741,86.8666,0.381525235,120.0084,0.559989134,187.2118,17.83
2872,55.804,0.823460684,101.7564,0.567007088,159.453,0.558925828,248.5754,15.01
603198,288.2465,0.143026195,329.4733,0.298333431,427.7662,0.558411347,666.6357,11.61
2244,430.498,1.138026193,920.416,0.197208762,1101.9301,0.553106318,1711.4146,11.54
2366,161.6856,1.633624763,425.8192,0.536767248,654.385,0.549515499,1013.9797,16.26
78,91.8977,1.56433186,235.6562,0.744143799,411.0183,0.548290672,636.3758,18.94
2608,373.8381,1.297862631,859.0286,0.647123157,1414.9259,0.540485618,2179.673,16.51
600611,185.1835,0.477525265,273.6133,1.076826675,568.2474,0.535602803,872.6023,15.8
601233,321.5003,0.929908619,620.4662,0.849279461,1147.4154,0.534526729,1760.7396,17.13
2403,53.365,0.609097723,85.8695,0.317896343,113.1671,0.526405643,172.7389,18.4
300446,30.498,0.494619319,45.5829,0.501416101,68.4389,0.525138481,104.3788,17.52
601186,2878.644,1.266011011,6523.039,0.614091683,10528.783,0.525079869,16057.235,10.16
2267,220.1824,0.144324433,251.9601,0.029152235,259.3053,0.524955718,395.4291,6.89
600987,93.6067,1.598857774,243.2705,0.547471642,376.4542,0.523576308,573.5567,14.29
2517,206.8438,1.000774981,413.8479,1.554792957,1057.2957,0.522958431,1610.2174,13.25
600195,74.54,0.528459887,113.9314,1.307516628,262.8986,0.521020272,399.8741,15.68
600665,8.6332,11.15004865,104.8938,0.593176146,167.1143,0.520403101,254.0811,8.97
601789,52.5313,0.889724793,99.2697,0.422442095,141.2054,0.515022088,213.9293,14.26
603968,46.9605,0.625048711,76.3131,0.393714841,106.3587,0.511779478,160.7909,19.77
600704,393.4027,1.389104345,939.8801,0.573481873,1478.8843,0.511171293,2234.8475,7.02
600126,206.7338,0.720117368,355.6064,2.34374297,1189.0564,0.510226512,1795.7445,8.14
2875,33.9535,0.309243524,44.4534,0.027023805,45.6547,0.508493101,68.8698,17.53
2068,52.6039,3.093390414,215.3283,0.480713868,318.8396,0.507900838,480.7785,11.62
600808,901.7468,0.822458921,1643.3965,0.667195835,2739.8638,0.506987282,4128.9399,5.73
2543,125.9647,0.696734879,213.7287,0.286853848,275.0376,0.503069035,413.4005,14.58
59,448.4638,0.848918686,829.1731,0.48311601,1229.7599,0.500520305,1845.2797,9.31
603639,61.2737,1.416160604,148.0471,0.288315678,190.7314,0.499675984,286.0353,14.24
600185,262.2708,0.055735904,276.8887,0.504201869,416.4965,0.498987867,624.3232,11.3
786,149.6692,3.558882522,682.3243,1.29309582,1564.635,0.498103647,2343.9854,17.65
600688,1928.852,0.335239303,2575.479,0.5925158,4101.491,0.497396435,6141.558,8.25
961,150.7874,1.349027173,354.2037,0.140124736,403.8364,0.492340958,602.6616,14.76
603306,72.2866,0.722869799,124.5404,0.498757833,186.6559,0.489671101,278.0559,16.66
2019,199.3687,1.412482501,480.9735,0.822358612,876.5062,0.488983763,1305.1035,13.96
600528,278.6873,1.320787851,646.7741,0.391922156,900.2592,0.487778075,1339.3859,17.59
552,116.3069,1.402737929,279.455,0.328803922,371.3409,0.487072929,552.211,10.07
338,1179.9341,1.245924327,2650.0427,0.73701103,4603.1534,0.479060528,6808.3425,8.88
2283,57.882,1.319344529,134.2483,0.688059365,226.6191,0.478840045,335.1334,13.34
601127,201.688,0.935884634,390.4447,0.255735319,490.2952,0.478229442,724.7688,17.67
601678,176.1457,1.052835238,361.5981,0.547632302,559.6209,0.47557266,825.7613,8.59
2133,19.9226,2.071230663,61.1869,1.107161827,128.9307,0.473495451,189.9788,4.04
603179,55.434,0.964940289,108.9245,0.558829281,169.7947,0.473339863,250.1653,15.23
2078,440.0732,0.988060168,874.892,0.570784394,1374.2667,0.472954995,2024.233,9.9
2062,69.6513,0.730659729,120.5427,0.533423426,184.843,0.471261016,271.9523,13.09
