code,net2017_1,net2017_2,net2017_3,net2017_4,net2018_1,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603011,8.8718,27.675,37.1397,42.1494,12.2584,合锻智能,机床制造,安徽,51.66,4.12,4.53,224449.13,121096.17,36890.05,101071.75,2.23,0.03,3.83,1.46,20141107,22779.63,0.5,-1.71,38.17,33.26,7.19,17582.0
000027,112.2654,403.3112,803.6939,749.3382,60.7737,深圳能源,火力发电,深圳,83.17,39.64,39.64,7804062.5,1758957.63,3131118.75,399866.72,1.01,0.015,5.31,0.96,19930903,828019.19,2.09,42.22,-45.87,19.06,1.67,121842.0
300019,3.7815,18.4658,33.952,52.0052,-1.2371,硅宝科技,化工原料,四川,0.0,2.71,3.31,94946.35,43826.69,38395.03,4947.73,0.15,-0.004,2.25,3.14,20091030,31568.18,0.95,25.06,-132.71,17.84,-0.85,25945.0
600698,3.4453,5.778,-9.3636,-84.0387,-2.292,湖南天雁,汽车配件,湖南,0.0,7.37,9.72,104979.5,78247.95,21350.7,37418.3,0.39,-0.003,0.59,10.04,19931206,-85607.96,-0.88,-13.9,-158.15,18.13,-1.19,139267.0
300257,17.9818,32.194,64.3381,104.3568,27.0801,开山股份,机械基件,浙江,117.39,8.19,8.58,635221.38,290051.19,78215.4,150566.11,1.75,0.032,3.9,3.8,20110819,90554.86,1.06,17.44,50.6,26.45,4.57,11874.0
002723,3.2919,11.867,14.8946,7.6677,-12.0158,金莱特,家用电器,广东,0.0,1.26,1.87,105684.72,46177.78,44237.14,22835.13,1.22,-0.064,3.44,4.71,20140129,19111.65,1.02,-16.85,-465.01,5.09,-5.22,9064.0
600359,3.3935,42.8835,19.579,33.7811,-8.2929,新农开发,农业综合,新疆,0.0,3.82,3.82,237512.67,149411.31,59322.36,93332.75,2.45,-0.022000000000000002,1.8,2.65,19990429,-69269.93,-1.82,-70.28,-344.37,22.66,-6.01,50220.0
002130,13.6275,54.5,108.7878,167.9602,29.1698,沃尔核材,电气设备,深圳,45.66,9.47,12.62,663211.44,235314.47,149769.34,21848.85,0.17,0.023,2.2,1.92,20070420,119741.02,0.95,17.27,114.05,29.44,5.18,100472.0
600552,11.9856,35.173,90.4281,77.4107,13.8282,凯盛科技,玻璃,安徽,67.95,7.41,7.67,531896.69,329060.59,128118.52,96034.0,1.25,0.018000000000000002,3.1,1.58,20021108,61953.28,0.81,-20.76,15.36,14.9,2.38,28453.0
002282,4.1428,45.2056,49.0428,51.0793,14.9851,博深工具,轻工机械,河北,75.51,1.84,4.38,252354.2,109995.32,35419.65,144143.23,3.29,0.04,4.76,2.17,20090821,18182.97,0.42,95.72,261.71,30.22,6.31,29600.0
