code,net2017_1,net2017_2,net2017_3,net2017_4,net2018_1,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000505,13.7571,17.2261,113.8332,129.6032,31.0419,京粮控股,食品,海南,34.16,3.6,6.86,633443.19,415143.16,130700.52,159254.16,2.32,0.087,3.15,1.89,19921221,-23919.25,-0.35,10.88,0.42,8.36,1.65,37499.0
000526,9.1549,100.4168,63.6477,24.3809,3.0069999999999997,紫光学大,文教休闲,福建,225.37,0.96,0.96,386225.41,175293.19,15349.95,5808.39,0.6,0.031,0.75,37.39,19931101,-8731.62,-0.91,2.07,-67.15,25.58,0.42,12160.0
600633,1259.7513,1319.4932,1551.8098,1656.9364,88.5484,浙数文化,互联网,浙江,18.38,12.9,13.02,997948.81,291626.34,10176.32,327681.19,2.52,0.235,6.06,1.43,19930304,334816.47,2.57,-10.86,-76.81,74.2,40.05,59855.0
600167,451.5746,450.1452,467.3884,922.1238,594.7889,联美控股,供气供热,辽宁,6.82,8.22,17.6,1080938.25,600753.44,266960.16,371897.41,2.11,0.33799999999999997,4.37,2.11,19990128,291668.91,1.66,14.95,31.71,59.68,49.46,7082.0
600303,446.8228,394.6131,383.6969,316.033,13.89,曙光股份,汽车整车,辽宁,63.23,6.2,6.76,757613.5,368062.97,250697.25,111036.77,1.64,0.021,4.61,1.13,20001226,105605.81,1.56,-3.49,-96.89,18.62,1.63,75427.0
600393,725.1229,911.8026,1192.0341,1167.8579,160.7808,粤泰股份,全国地产,广东,11.08,9.88,25.36,1921576.25,1774629.25,22376.35,207172.13,0.82,0.063,2.38,1.18,20010319,129354.35,0.51,-64.77,-77.83,38.59,17.83,27423.0
002027,1106.7614,2532.9549,3916.5376,6004.7068,1207.4602,分众传媒,影视音像,广东,27.5,69.65,146.78,1570876.0,1105172.88,39982.12,18620.78,0.01,0.08199999999999999,0.79,11.48,20040804,1089309.88,0.74,22.28,9.1,68.94,40.8,69964.0
603165,95.29299999999999,180.7294,276.2556,398.6823,60.0284,荣晟环保,造纸,浙江,13.63,0.44,1.8,137888.06,78168.71,42896.05,33545.4,1.86,0.33399999999999996,6.24,2.92,20170117,64004.44,3.56,-10.35,-38.07,16.6,14.02,15083.0
000822,275.6988,337.2595,526.3592,685.1887,141.9758,山东海化,化工原料,山东,8.05,8.95,8.95,418427.94,202472.13,165029.38,150734.38,1.68,0.39899999999999997,3.51,1.83,19980703,40052.9,0.45,15.11,5.83,20.77,13.93,74488.0
600309,2195.0598,4861.0379,7810.996,11134.7903,3545.7222,万华化学,化工原料,山东,9.36,27.34,27.34,6809277.0,2513453.0,2727049.0,239297.05,0.88,2.542,11.01,4.32,20010105,2216892.5,8.11,23.02,42.97,40.12,23.12,117733.0
000011,301.5978,364.3558,576.1666,622.9627,53.4568,深物业A,区域地产,深圳,42.74,1.76,5.96,459995.69,371701.91,3030.78,11893.8,0.2,0.139,4.74,2.51,19920330,181549.73,3.05,-37.36,-77.23,16.46,10.06,44698.0
600581,272.693,401.4538,865.2639,1167.9596,144.19299999999998,八一钢铁,普钢,新疆,13.58,15.33,15.33,1890941.25,400026.25,1437764.63,408675.78,2.67,0.094,2.27,2.25,20020816,-217055.59,-1.42,20.09,-47.12,11.92,4.23,76091.0
603387,40.8975,89.5978,137.9821,193.9884,66.5362,基蛋生物,生物制药,江苏,30.51,0.92,1.86,133547.92,110989.86,13787.2,72285.53,3.89,0.358,6.51,6.7,20170717,33652.87,1.81,55.28,62.69,82.54,46.33,13926.0
002714,680.0364,1200.2683,1812.2119,2365.5294,136.0375,牧原股份,农业综合,河南,0.0,10.74,20.85,2561184.0,801331.13,1227977.38,293812.88,1.41,-0.038,4.51,5.01,20140128,399095.5,1.91,30.31,-106.55,6.35,-1.43,19265.0
600210,452.3018,571.7005,669.2198,554.803,63.3984,紫江企业,广告包装,上海,18.42,15.17,15.17,1020158.5,497074.0,316777.28,36174.81,0.24,0.042,2.85,1.08,19990824,192474.34,1.27,2.27,-85.98,18.06,2.89,127235.0
603757,31.0086,71.5804,124.4371,179.4308,37.0661,大元泵业,专用机械,浙江,15.59,0.35,1.17,114777.26,84028.84,23227.68,45899.42,3.91,0.745,7.9,2.94,20170711,33461.87,2.85,16.75,22.14,31.41,16.09,6279.0
603617,23.9135,38.1709,41.7367,56.2817,20.2722,君禾股份,专用机械,浙江,22.57,0.25,1.02,72634.18,56441.86,12232.25,19398.45,1.9,0.2,4.9,3.67,20170703,17543.47,1.72,3.22,-15.23,24.25,10.7,10683.0
600507,284.9063,704.5549,1539.5194,2539.5266,557.4929,方大特钢,特种钢,江西,6.22,13.26,14.5,1117609.5,694195.56,237899.91,73371.5,0.51,0.96,2.88,3.88,20030930,199568.98,1.38,31.36,85.35,31.36,15.85,82526.0
600746,46.9853,60.4722,68.2177,75.0317,-3.4633,江苏索普,化工原料,江苏,0.0,3.05,3.06,59989.28,36532.25,13328.29,6207.23,0.2,-0.009000000000000001,1.52,3.62,19960918,4903.31,0.16,-33.33,-104.46,4.82,-1.0,20183.0
002869,42.6138,56.3314,57.23,89.4179,6.9173,金溢科技,通信设备,深圳,0.0,0.45,1.18,127482.4,106401.15,4021.06,63015.38,5.35,-0.033,8.35,2.45,20170515,19246.22,1.63,-31.64,-106.87,37.88,-1.7,15861.0
603933,40.8893,83.7036,130.5432,141.3199,38.9851,睿能科技,纺织机械,福建,17.68,0.36,1.44,158875.7,147103.72,5677.75,45702.03,3.18,0.5479999999999999,7.01,2.77,20170706,38884.12,2.71,3.26,-5.86,20.35,7.8,12549.0
300136,204.2566,403.3872,714.9657,889.0461,210.0106,信维通信,通信设备,深圳,39.35,8.1,9.83,558018.63,302560.97,53530.8,35814.15,0.36,0.445,3.26,10.75,20101105,197543.92,2.01,27.48,8.37,37.77,23.94,34200.0
002304,2742.9570000000003,3908.2605,5581.6621,6627.17,3475.1476,洋河股份,白酒,江苏,11.8,12.42,15.07,4436392.0,2901970.0,815032.25,74170.4,0.49,2.306,21.88,4.98,20091106,2998708.5,19.9,25.68,26.69,74.79,36.44,26637.0
300660,60.6751,127.6922,185.2443,218.1004,48.4077,江苏雷利,电气设备,江苏,19.18,0.45,1.83,288951.13,262550.75,17094.36,152929.61,8.34,0.264,11.12,1.82,20170602,39810.23,2.17,15.44,-20.22,22.37,8.7,19770.0
603260,271.296,553.8127,966.2335,1516.9724,630.1169,合盛硅业,化工原料,浙江,13.58,0.7,6.7,1544052.63,498246.94,601012.13,227147.05,3.39,2.158,9.8,5.98,20171030,355326.59,5.3,0.0,0.0,41.74,26.42,34158.0
600398,1010.0032,1875.1873,2512.635,3328.8742,1130.9413,海澜之家,服饰,江苏,9.98,44.93,44.93,2753167.25,1969778.25,312151.66,203270.98,0.45,0.252,2.74,3.67,20001228,773776.13,1.72,12.16,11.97,39.9,19.55,49886.0
000820,73.1398,207.7269,304.9786,348.0885,-66.7343,神雾节能,环境保护,辽宁,0.0,2.88,6.37,284041.34,278045.09,839.39,895.19,0.01,-0.105,1.59,5.97,19980630,87314.1,1.37,-98.65,-191.24,96.79,-3294.38,53965.0
603868,200.4488,378.9907,599.8549,835.3476,174.4152,飞科电器,家用电器,上海,27.4,0.44,4.36,291643.63,203755.45,57732.06,68804.5,1.58,0.914,4.95,10.13,20160418,81352.43,1.87,5.41,5.06,39.35,21.93,11090.0
000848,196.9693,227.6467,319.074,413.5979,218.6154,承德露露,软饮料,河北,16.4,9.78,9.79,215258.38,154828.8,25378.65,1730.84,0.02,0.259,1.8,4.71,19971113,40783.32,0.42,13.61,11.12,52.38,21.44,50445.0
300658,22.1829,43.5741,62.4572,90.13,6.0141,延江股份,纺织,福建,89.23,0.42,1.5,105624.9,72474.96,18366.21,45555.94,3.04,0.04,5.07,2.82,20170602,17841.35,1.19,-11.03,-72.89,29.84,3.8,11620.0
603730,137.8831,273.1339,436.1749,581.7754,149.4674,岱美股份,汽车配件,上海,15.98,0.81,4.1,403879.63,310639.19,55543.86,112533.57,2.74,0.364,8.01,2.91,20170728,163341.73,3.98,17.5,8.4,36.76,17.35,20228.0
600809,467.7106,601.6837,805.5308,944.1017,710.0718,山西汾酒,白酒,山西,14.4,8.66,8.66,1045564.19,767903.13,173288.13,24214.46,0.28,0.82,6.87,6.88,19940106,431319.06,4.98,48.56,51.82,70.95,21.92,28163.0
002868,26.5162,46.7564,71.6806,85.925,18.5607,绿康生化,农业综合,福建,27.06,0.38,1.2,76192.36,47345.28,21315.02,37592.82,3.13,0.155,5.95,2.81,20170503,18268.17,1.52,-8.04,-30.0,34.28,20.78,16270.0
603288,976.9545,1823.1879,2538.9352,3531.4369,1202.7708,海天味业,食品,广东,40.89,26.97,27.01,1508618.63,1064949.0,343765.88,129398.86,0.48,0.8320000000000001,4.34,15.69,20140211,638136.88,2.36,17.24,23.3,47.11,25.78,26223.0
600689,40.7749,34.5346,35.4164,20.7027,2.4562,上海三毛,纺织,上海,180.85,1.52,2.01,71903.71,40437.3,3518.7,21178.32,1.05,0.012,2.3,3.85,19931108,-1364.42,-0.07,24.16,-93.98,6.09,0.7,43733.0
300450,90.70200000000001,178.983,278.585,537.5,173.0594,先导智能,专用机械,江苏,31.02,4.57,8.82,683516.44,516471.94,21353.07,100065.68,1.13,0.371,3.45,6.66,20150518,105450.15,1.2,131.32,82.64,38.82,22.7,27293.0
603113,210.3987,363.9446,598.5098,678.7879,257.9339,金能科技,化工原料,山东,10.03,3.32,6.76,586580.13,300393.91,227878.84,178419.38,2.64,0.773,6.33,2.45,20170511,165058.94,2.44,28.74,43.57,19.16,12.94,32832.0
002555,433.0332,850.5505,1211.3393,1620.5824,410.0932,三七互娱,互联网,安徽,13.01,11.82,21.25,902298.19,376938.13,29053.22,72591.67,0.34,0.193,2.87,3.5,20110302,322969.06,1.52,2.62,-5.3,71.62,24.69,49382.0
000517,348.8206,469.6956,479.2921,541.7558,-41.0351,荣安地产,区域地产,浙江,0.0,30.36,31.84,1611453.63,1478843.25,777.07,-169140.3,-0.53,-0.013000000000000001,1.31,2.15,19930806,259263.5,0.81,-96.76,-111.76,36.86,-43.63,75614.0
002366,161.6856,425.8192,654.385,1013.9797,183.7883,台海核电,专用机械,四川,14.06,4.89,8.67,757845.88,456358.94,217710.55,74047.71,0.85,0.212,3.39,3.51,20100312,177158.77,2.04,7.61,13.67,62.5,39.56,37781.0
300640,10.3426,20.1067,29.3676,35.658,7.3714,德艺文创,文教休闲,福建,51.96,0.52,1.44,36149.65,32057.96,1776.18,13812.7,0.96,0.051,2.03,5.25,20170417,5301.66,0.37,24.52,-28.73,17.34,5.54,11348.0
603233,117.2391,248.4163,366.7039,474.961,147.0089,大参林,医药商业,广东,31.48,0.64,4.0,566404.81,379762.41,72806.0,96983.38,2.42,0.368,7.26,6.38,20170731,144930.16,3.62,17.11,25.39,40.49,7.23,7824.0
002636,152.2898,261.8439,395.7477,537.3363,88.5055,金安国纪,元器件,上海,18.86,2.46,7.28,429476.56,322302.84,76877.3,19133.28,0.26,0.24,3.29,2.75,20111125,141227.92,1.94,13.39,-33.16,18.84,9.28,51040.0
300571,21.8783,50.3246,61.3882,97.0273,47.7221,平治信息,互联网,浙江,35.98,0.69,1.2,68695.06,47278.31,5067.93,5034.55,0.42,0.4,3.21,17.78,20161213,24412.9,2.03,12.37,118.12,43.61,20.41,5534.0
603357,68.9857,119.4265,172.3684,288.8344,113.6414,设计总院,建筑施工,安徽,12.36,1.59,3.25,290831.31,263798.78,10979.46,88070.88,2.71,0.758,6.04,3.1,20170801,69746.13,2.15,49.73,106.01,48.32,29.65,35077.0
601238,3828.5784,6182.6024,8962.1182,10786.2199,3880.0525,广汽集团,汽车整车,广东,6.77,60.61,102.15,11848309.0,5961388.5,1245270.13,2489816.0,2.44,0.38,7.18,1.43,20120329,3760804.0,3.68,13.69,1.34,24.52,20.21,32451.0
002648,291.6945,484.1789,695.5228,942.4568,113.1414,卫星石化,化工原料,浙江,15.94,10.36,10.66,1120304.13,566669.94,325086.84,416715.13,3.91,0.307,6.98,1.4,20111228,193774.7,1.82,8.0,-32.53,17.81,7.49,23000.0
000567,18.5181,37.4427,56.3379,73.2683,22.9129,海德股份,多元金融,海南,61.51,1.5,4.42,720213.69,687599.06,669.58,354719.56,8.02,0.15,9.13,1.4,19940525,4901.27,0.11,109.51,23.73,0.0,27.42,26000.0
300681,22.7402,38.5754,53.431000000000004,84.2954,23.7912,英搏尔,元器件,广东,39.01,0.19,0.76,90328.45,66313.71,17465.1,36092.4,4.77,0.535,8.44,4.94,20170725,17699.56,2.34,38.98,4.77,25.89,13.39,5691.0
603444,163.9785,299.3521,443.4593,609.7127,153.6962,吉比特,互联网,福建,13.8,0.41,0.72,335890.31,243464.95,3111.15,105828.0,14.72,4.68,34.78,3.7,20170104,139086.88,19.35,7.95,11.91,91.32,43.08,19091.0
600519,6123.1193,11250.8609,19983.846999999998,27079.3603,8506.9067,贵州茅台,白酒,贵州,26.31,12.56,12.56,12991483.0,10773890.0,1490669.75,137496.44,1.09,12.549000000000001,74.35,8.88,20010827,7687681.5,61.2,38.06,40.12,90.94,47.2,88019.0
002466,405.7787,923.9907,1518.4214,2145.0388,660.2167,天齐锂业,小金属,四川,16.6,11.35,11.42,1797603.25,805546.38,140202.59,420034.41,3.68,0.578,8.09,4.74,20100831,427641.69,3.74,56.92,62.7,73.67,39.56,137231.0
600282,548.8886,1208.1563,2046.6502,3200.3494,1007.8782,南钢股份,普钢,江苏,4.47,38.86,44.19,4083957.5,1769003.75,2012737.63,183236.3,0.41,0.518,3.09,1.5,20000919,667124.81,1.51,27.5,89.42,21.68,10.58,136077.0
603369,385.3397,649.3312,775.8197,895.8769,509.0567,今世缘,白酒,江苏,12.64,12.55,12.55,721661.69,469558.44,75213.05,71709.18,0.57,0.6829999999999999,4.62,3.73,20140703,342656.97,2.73,30.81,31.56,71.96,36.25,27407.0
300504,51.169,,180.7659,229.9486,52.3243,天邑股份,通信设备,四川,39.68,0.67,2.67,287882.94,271069.47,13399.42,75965.82,2.84,0.26,6.34,4.9,20180330,60612.28,2.27,0.0,0.0,21.15,7.89,126635.0
002870,20.3461,40.5256,60.9361,71.4896,5.0765,香山股份,电器仪表,广东,73.23,0.37,1.11,139808.69,95288.99,19000.59,47166.25,4.24,0.12300000000000001,7.23,2.5,20170515,17835.88,1.61,1.04,-66.19,25.88,3.15,14802.0
600211,54.1339,58.1719,134.7693,229.6457,68.6633,西藏药业,中成药,西藏,21.33,1.46,1.8,231561.55,85939.06,14277.35,140896.94,7.84,0.382,11.48,2.84,19990721,46353.12,2.58,-13.4,26.84,79.23,32.28,13557.0
600816,1020.1356,1612.0172,2825.2883,3668.2123,1055.9756,安信信托,多元金融,上海,8.44,46.73,54.69,2633875.0,0.0,882.53,401238.13,0.73,0.193,2.72,2.39,19940128,462059.91,0.84,-2.66,3.51,0.0,66.43,69914.0
002597,200.8596,484.3065,699.6173,1022.2685,291.6086,金禾实业,化工原料,安徽,9.16,5.6,5.64,559018.94,389987.13,129835.92,50544.64,0.9,0.9620000000000001,6.2,2.84,20110707,211322.34,3.75,-0.05,12.09,34.55,24.06,36528.0
002032,366.4788,596.9732,896.3677,1307.6066,452.4432,苏泊尔,家用电器,浙江,21.85,5.45,8.21,909423.38,755731.94,84693.93,10456.67,0.13,0.551,6.81,7.07,20040817,433329.59,5.28,21.24,21.92,31.07,9.26,10459.0
600566,290.7111,581.8112,907.3166,1223.4635,466.8337,济川药业,中成药,湖北,19.99,8.14,8.14,701792.25,385901.09,162323.52,174176.98,2.14,1.04,5.51,7.5,20010822,218705.67,2.69,35.36,44.81,84.72,22.15,15447.0
603659,79.7074,195.7995,323.9325,450.8658,128.3311,璞泰来,化工原料,上海,40.24,0.64,4.33,505910.81,391658.75,53402.05,105621.07,2.44,0.594,5.94,8.05,20171103,106992.27,2.47,44.34,31.29,35.52,18.66,14692.0
600121,227.4511,405.8454,615.2159,627.446,41.4695,郑州煤电,煤炭开采,河南,21.97,10.15,10.15,1145753.75,492298.19,435883.59,44367.87,0.44,0.040999999999999995,3.38,1.06,19980107,104000.47,1.02,-23.34,-81.8,34.42,3.68,45537.0
002002,304.1976,504.9552,856.4709,1004.8829,252.024,鸿达兴业,化工原料,江苏,8.61,24.14,25.85,1443140.5,536553.31,741779.5,106314.57,0.41,0.098,2.34,1.44,20040625,218231.7,0.84,-5.53,-17.15,34.97,17.83,52666.0
300668,10.3734,26.0157,43.7087,62.2479,17.157,杰恩设计,装修装饰,深圳,26.26,0.39,1.05,42315.68,32127.97,8381.4,14214.45,1.35,0.371,3.43,5.67,20170619,10680.08,1.01,36.94,50.29,52.87,25.08,9040.0
600719,57.3959,16.5568,-25.1139,3.3568,52.667,大连热电,供气供热,辽宁,73.94,4.05,4.05,158676.05,41432.23,74695.96,10217.32,0.25,0.027999999999999997,1.82,2.31,19960716,6323.1,0.16,-1.0,-30.59,12.57,2.37,23318.0
600729,364.4397,466.8119,501.7028,605.4308,522.8997,重庆百货,百货,重庆,5.55,4.06,4.07,1337238.5,802908.44,304912.47,40337.35,0.99,1.286,13.57,2.1,19960702,440623.84,10.84,9.66,43.48,18.62,5.2,16646.0
300693,19.7866,31.7102,40.1596,46.0148,12.4969,盛弘股份,电气设备,深圳,48.32,0.57,1.37,76543.68,73494.97,1177.39,35242.64,2.58,0.091,4.37,4.04,20170822,13938.24,1.02,-15.02,-36.84,45.3,11.12,16184.0
000997,190.5783,428.0259,554.5262,654.0831,194.4314,新大陆,软件服务,福建,18.79,9.31,10.11,1094545.5,873452.88,24712.84,155399.91,1.54,0.192,4.98,2.91,20000807,219495.66,2.17,-0.69,2.02,35.26,16.78,94583.0
600688,1928.852,2575.479,4101.491,6141.558000000001,1771.513,上海石化,石油加工,上海,8.09,73.29,108.24,4578272.0,2611615.5,1213907.63,61610.6,0.06,0.326,2.64,1.99,19931108,1138778.25,1.05,21.07,36.83,22.0,6.75,96676.0
002867,124.6966,263.5319,415.9268,592.0748,160.5339,周大生,服饰,深圳,19.65,1.63,4.85,483146.91,402320.56,2991.51,178149.22,3.67,0.34,7.3,3.56,20170427,116530.36,2.4,16.91,28.74,34.92,17.12,25780.0
603589,327.0254,525.86,901.0052,1113.663,448.6774,口子窖,白酒,安徽,19.99,6.0,6.0,764612.19,535849.56,118913.4,97688.22,1.63,1.222,8.95,5.46,20150629,343157.28,5.72,23.67,39.45,74.39,33.96,10751.0
300175,57.2845,46.397,51.323,39.6009,-4.5679,朗源股份,食品,山东,124.31,4.62,4.71,86482.15,29788.1,32330.95,7406.47,0.16,0.016,1.62,2.47,20110215,31970.98,0.68,-0.29,-83.63,13.36,4.9,30311.0
601225,2673.7849,5472.8071,8068.3373,10449.4,2841.4169,陕西煤业,煤炭开采,陕西,6.32,100.0,100.0,11462619.0,3362195.25,3064679.5,739440.31,0.74,0.594,4.67,1.61,20140128,2541205.75,2.54,2.57,8.61,54.68,22.65,66228.0
600726,261.1669,104.7917,-397.074,-1103.8943,181.0997,华电能源,火力发电,黑龙江,7.25,15.35,19.67,2527124.75,427550.94,1804379.63,168827.52,0.86,0.092,1.27,2.11,19960701,-136733.72,-0.7,12.43,-30.66,13.13,5.78,196616.0
603197,45.1835,94.2254,144.5678,173.8783,49.2691,保隆科技,汽车配件,上海,19.53,0.98,1.67,255237.77,182501.77,47750.55,74924.99,4.49,0.295,8.1,2.84,20170519,52045.15,3.12,15.57,9.04,33.22,8.41,9583.0
300393,72.9131,153.8617,207.9092,258.5727,22.3018,中来股份,塑料,江苏,41.25,1.21,2.41,576072.88,335316.72,134486.52,172353.81,7.15,0.09300000000000001,10.81,1.41,20140912,60863.96,2.53,-34.56,-69.41,29.42,4.91,6825.0
603129,29.6477,60.6518,84.4518,97.4051,15.5066,春风动力,摩托车,浙江,37.67,0.65,1.35,168765.13,135832.34,20996.72,58160.28,4.32,0.12,6.95,2.5,20170818,18722.3,1.39,26.78,-47.7,24.51,3.61,15682.0
000858,3593.1124,4971.5056,6964.7632,9673.7215,4971.0131,五粮液,白酒,四川,12.29,37.96,38.82,7964790.5,7189969.0,521028.41,95325.56,0.25,1.31,15.36,4.1,19980427,4264629.5,10.99,36.8,38.35,73.19,35.77,250500.0
002833,53.7495,122.7622,193.6303,234.4805,70.6175,弘亚数控,专用机械,广东,19.25,0.54,1.35,119332.92,83935.7,13138.67,34838.87,2.57,0.522,7.5,5.36,20161228,50456.6,3.73,36.75,31.38,35.84,27.34,7850.0
002174,205.9369,339.4923,459.344,655.8905,222.0828,游族网络,互联网,福建,15.31,5.77,8.88,696477.31,328682.31,69760.17,96575.92,1.09,0.25,4.67,3.28,20070925,244462.84,2.75,-2.25,7.84,64.36,25.59,39646.0
603186,40.8347,51.8146,70.2752,93.5978,11.4129,华正新材,元器件,浙江,30.12,0.74,1.31,202758.11,123391.17,36067.48,20517.17,1.57,0.239,4.82,2.99,20170103,28127.05,2.15,4.44,-39.72,18.3,4.06,10708.0
002489,244.9692,250.2391,167.6824,78.2466,28.552,浙江永强,家居用品,浙江,0.0,18.7,21.76,674757.0,406303.94,116500.61,27427.25,0.13,-0.02,1.46,2.05,20101021,49018.64,0.23,-12.8,-117.31,16.86,-1.87,113000.0
600887,1733.6533,3364.1111,4937.2673,6000.8849,2100.2355,伊利股份,乳制品,内蒙,19.07,60.33,60.78,4898469.0,2845808.25,1399012.13,278879.91,0.46,0.34600000000000003,4.47,5.89,19960312,1621002.75,2.67,24.56,21.15,38.8,10.73,254646.0
002120,278.8676,747.7349,1176.0773,1589.3196,403.6379,韵达股份,仓储物流,浙江,34.46,2.35,17.13,931992.0,423421.81,280927.94,42669.26,0.25,0.23600000000000002,3.28,9.9,20070306,372441.69,2.17,40.44,44.74,26.01,15.19,7660.0
000963,544.0141,1041.4405,1489.1589999999999,1779.5061,659.1984,华东医药,化学制药,浙江,25.58,13.02,14.58,1708821.25,1349098.25,194524.91,245552.7,1.68,0.887,6.16,7.36,20000127,458077.91,3.14,8.76,24.19,30.4,8.44,33034.0
000651,4014.5365,9452.4833,15460.7089,22401.5762,5581.6244,格力电器,家用电器,广东,10.49,59.7,60.16,21836466.0,17153882.0,1748815.38,10388.05,0.02,0.9279999999999999,11.79,3.3,19961118,6132170.0,10.19,33.29,39.04,30.86,14.11,435187.0
300208,119.5722,250.5474,313.1358,334.1447,95.4717,恒顺众昇,电气设备,山东,14.39,5.79,7.66,429970.66,324473.22,15563.17,21028.17,0.27,0.125,2.57,2.79,20110426,100725.68,1.32,-2.58,-20.16,39.41,24.51,32380.0
603198,288.2465,329.4733,427.7662,666.6357,324.1497,迎驾贡酒,白酒,安徽,9.95,8.0,8.0,566622.81,397619.91,128493.07,126300.05,1.58,0.405,5.55,2.9,20150528,208359.56,2.6,11.87,12.46,65.41,28.69,40503.0
603225,226.1986,526.3316,931.6676,1496.5949,262.0949,新凤鸣,化纤,浙江,11.63,1.19,8.43,1494765.13,591371.94,682476.13,169605.11,2.01,0.963,8.56,2.62,20170418,451910.59,5.36,33.67,54.2,10.31,5.63,34558.0
600409,510.4879,962.1326,1463.884,1889.0771,438.0927,三友化工,化工原料,河北,9.45,20.37,20.64,2414351.25,710172.94,1328175.88,354488.22,1.72,0.212,5.06,1.58,20030618,449773.41,2.18,-7.71,-14.18,25.28,9.27,81841.0
601801,625.056,829.7807,1036.8067,1116.6771,658.4391,皖新传媒,出版业,安徽,5.67,19.89,19.89,1330410.13,1019792.81,31100.08,242117.91,1.22,0.331,5.01,1.5,20100118,466127.34,2.34,16.61,5.34,20.15,29.18,33049.0
000596,407.7647,548.8899,797.4833,1148.7406,581.0792,古井贡酒,白酒,安徽,16.22,3.84,5.04,1150338.63,766068.19,176239.94,129540.56,2.57,1.1540000000000001,13.94,5.37,19960927,493072.91,9.79,17.8,42.5,79.73,22.7,21943.0
002128,702.9109,1051.46,1200.1137,1754.6147,750.0114,露天煤业,煤炭开采,内蒙,5.96,16.34,16.34,1562599.25,666982.31,644031.63,125121.4,0.77,0.72,7.13,1.21,20070418,762091.69,4.66,7.05,11.93,49.62,27.6,59935.0
603788,60.4362,118.0587,169.3248,233.0058,82.1196,宁波高发,汽车配件,浙江,12.76,2.29,2.3,231362.16,202810.95,15344.87,122676.9,5.33,0.35700000000000004,8.38,2.17,20150120,47439.17,2.06,28.54,35.88,33.78,21.36,7947.0
000568,797.4680000000001,1467.0435,1997.3949,2557.9446,1211.0613,泸州老窖,白酒,四川,13.68,14.02,14.65,2014744.25,1449444.88,109012.9,354351.97,2.42,0.8270000000000001,11.18,4.05,19940509,973825.81,6.65,26.2,51.86,74.67,35.94,63797.0
