change,change_ratio,eps,hold,instrument_type,last_price,market_value,mv,open_price,price,price_direct,price_direction,price_direction_desc,security_code,security_id,security_name,security_type,short_name,status,turnover,volume,watched
0.000,0.00%,0.0,0,4,70.120,701.20万,7012000.0,70.138,70.120,flat,0,flat,FXCH,209449,Invesco CurrencyShares Chinese Renminbi Trust,us,Invesco Curr,0,0,12,-1
0.000,0.00%,0.0,0,4,71.162,711.62万,7116200.0,72.490,71.162,flat,0,flat,FXSG,209450,CurrencyShares Singapore Dollar Trust ETF,us,CurrencyShar,0,0,0,-1
0.000,0.00%,0.0,0,4,35.550,487.04万,4870350.0,0.000,35.550,flat,0,flat,ICI,209451,iPath优化货币利差ETN,us,iPath优化,0,0,0,-1
0.000,0.00%,0.0,0,4,17.390,608.65万,6086500.0,0.000,17.390,flat,0,flat,YDIV,209463,International MA Divers Inc ETF,us,Internationa,0,0,0,-1
0.000,0.00%,0.0,0,4,5.390,272.19万,2721950.0,5.390,5.390,flat,0,flat,OLO,209466,DB Crude Oil Long Exchange Traded Notes,us,DB Crude Oil,0,1325.94,246,-1
0.000,0.00%,0.0,0,4,43.419,1519.70万,15196965.0,43.419,43.419,flat,0,flat,EUFX,209467,ProShares做空欧元ETF,us,ProShares做,0,0,2,-1
0.000,0.00%,0.0,0,4,18.610,837.45万,8374500.0,18.700,18.610,flat,0,flat,SCC,209471,ProShares UltraShort Consumer Services,us,ProShares Ul,0,0,43,-1
0.000,0.00%,0.0,0,3,2.490,9050.59万,90505944.81,0.000,2.490,flat,0,flat,IGC,209475,"India Globalization Capital, Inc.",us,India Global,1,0,0,-1
0.000,0.00%,0.0,0,4,51.740,2468.00万,24679980.0,52.390,51.740,flat,0,flat,JJE,209476,iPath Bloomberg Energy Subindex Total Return ETN,us,iPath Bloomb,0,0,0,-1
0.000,0.00%,0.0,0,4,2.560,179.97万,1799680.0,2.629,2.560,flat,0,flat,DYY,209494,DB Commodity Double Long Exchange Traded Notes,us,DB Commodity,0,0,26,-1
0.000,0.00%,0.0,0,4,204.000,836.40万,8364000.0,0.000,204.000,flat,0,flat,SFLA,209499,iPath Long Extended S&P 500 TR Index ETN,us,iPath Long E,0,0,0,-1
0.000,0.00%,0.0,0,4,47.880,550.62万,5506200.0,47.450,47.880,flat,0,flat,JJT,209502,iPath DJ-UBS Tin Subindex Total Return ETN,us,iPath DJ-UBS,0,0,0,-1
0.000,0.00%,0.0,0,4,26.060,651.50万,6515000.0,0.000,26.060,flat,0,flat,VIXH,209505,First Trust CBOE S&P 500 VIX Tail Hedge Fund,us,First Trust ,0,0,0,-1
0.000,0.00%,0.0,0,4,20.640,309.60万,3096000.0,0.000,20.640,flat,0,flat,UHN,209532,United States Diesel-Heating O,us,United State,0,0,0,-1
0.000,0.00%,0.0,0,4,77.750,777.50万,7775000.0,77.750,77.750,flat,0,flat,SYG,209537,SPDR MFS Systematic Growth Equity ETF,us,SPDR MFS Sys,0,1.09万,183,-1
0.000,0.00%,0.0,0,4,50.310,503.10万,5031000.0,50.310,50.310,flat,0,flat,TFLO,209538,iShares Treasury Floating Rate Bond ETF,us,iShares Trea,0,258.28万,5.13万,-1
0.000,0.00%,0.0,0,4,16.310,285.43万,2854250.0,16.260,16.310,flat,0,flat,SOYB,209558,Teucrium Soybean Fund,us,Teucrium Soy,0,45.82万,2.84万,-1
0.000,0.00%,0.0,0,4,34.100,341.00万,3410000.0,34.660,34.100,flat,0,flat,FHK,209575,First Trust香港AlphaDEX基金,us,First Trust,0,0,3,-1
0.000,0.00%,0.0,0,4,6.834,328.03万,3280320.0,6.834,6.834,flat,0,flat,BDD,209580,德意志银行基本金属双倍做多ETN,us,德意志银,0,0,0,-1
0.000,0.00%,0.0,0,4,38.049,365.28万,3652780.8,0.000,38.049,flat,0,flat,XXV,209585,iPath Inverse S&P 500 VIX Short Term Futures ETN,us,iPath Invers,0,0,0,-1
0.000,0.00%,0.0,0,4,45.010,504.11万,5041120.0,37.656,45.010,flat,0,flat,DDP,209596,DB Commodity Short Exchange Traded Notes,us,DB Commodity,0,0,0,-1
0.000,0.00%,0.0,0,4,80.800,266.64万,2666400.0,0.000,80.800,flat,0,flat,EMLB,209599,iPath Long Enhanced MSCI Emerging Markets Index ETN,us,iPath Long E,0,0,0,-1
0.000,0.00%,0.0,0,4,45.010,274.56万,2745610.0,0.000,45.010,flat,0,flat,ERO,209601,iPath欧元/美元汇率ETN,us,iPath欧元/,0,0,0,-1
0.000,0.00%,0.0,0,3,2.230,475.42万,4754215.05,2.260,2.230,flat,0,flat,GBR,209602,"New Concept Energy, Inc.",us,New Concept ,0,21.45万,9.74万,-1
0.000,0.00%,0.0,0,4,9.460,186.36万,1863620.0,9.490,9.460,flat,0,flat,BOM,209604,DB Base Metals Double Short ETN,us,DB Base Meta,0,0,100,-1
0.000,0.00%,0.0,0,4,45.460,786.46万,7864580.0,45.460,45.460,flat,0,flat,JJU,209608,iPath DJ-UBS Aluminum Subindex Total Return ETN,us,iPath DJ-UBS,0,0,0,-1
0.000,0.00%,0.0,0,4,64.819,324.10万,3240995.0,64.819,64.819,flat,0,flat,UJB,209615,ProShares超高收益,us,ProShares超,0,0,0,-1
0.000,0.00%,0.0,0,4,6.150,55.35万,553500.0,6.150,6.150,flat,0,flat,FUE,209622,ELEMENTS MLCX Biofuels Index-Total Retrun ETN,us,ELEMENTS MLC,0,0,0,-1
0.000,0.00%,0.0,0,4,37.350,224.10万,2241000.0,0.000,37.350,flat,0,flat,GBB,209623,iPath英镑/美元汇率ETN,us,iPath英镑/,0,0,0,-1
0.000,0.00%,0.0,0,4,15.530,155.30万,1553000.0,0.000,15.530,flat,0,flat,USAG,209626,美国农业指数基金,us,美国农业,0,0,0,-1
0.000,0.00%,0.0,0,4,72.620,268.69万,2686940.0,70.410,72.620,flat,0,flat,DTYL,209635,iPath US Treasury 10-Year Bull ETN,us,iPath US Tre,0,0,0,-1
0.000,0.00%,0.0,0,4,23.610,354.15万,3541500.0,23.520,23.610,flat,0,flat,DXJF,209645,WisdomTree Japan Hedged Financials Fund,us,WisdomTree J,0,0,29,-1
