code,name,pe,pb,eps,2017_profit,,2016_profit,,,2015_profit,,2014_profit
KOF,可口可乐凡萨瓶装,0,2.118451,-3.984403,2.03374E+11,26292000000,1.77082E+11,1124000000,25168000000,1.51914E+11,4966000000,1.46948E+11
SWCH,Switch Inc.,0,4.490862,-2.021857,378000000,60000000,318000000,8000000,52000000,266000000,266000000,0
COE,51Talk,0,-1.303161,-3.841167,848000000,430000000,418000000,167000000,263000000,155000000,102790000,52210000
VSTO,Vista Outdoor Inc,0,0.860031,-2.257313,2547000000,276000000,2271000000,88000000,188000000,2083000000,209000000,1874000000
XON,Intrexon Corporation,0,3.575855,-1.422516,230000000,40000000,190000000,23000000,17000000,173000000,101546000,71454000
IMPV,Imperva Inc,0,4.965119,-0.859105,322000000,58000000,264000000,28000000,30000000,234000000,70000000,164000000
EVH,Evolent Health Inc,0,2.038202,-0.625265,435000000,181000000,254000000,23878000,157122000,96878000,96878000,0
SNAP,Snap Inc,0,4.527958,-0.855694,825000000,421000000,404000000,75663000,345337000,58663000,58663000,0
MODN,Model N Inc.,0,13.229373,-1.120149,131000000,24000000,107000000,10768000,13232000,93768000,12012000,81756000
QES,Quintana Energy Services,0,1.320969,-0.864285,438000000,228000000,210000000,207000000,21000000,189000000,189000000,0
EVHC,"Envision Healthcare Holdings, Inc.",0,1.186487,-14.511623,7819000000,4321000000,3498000000,3390000000,931000000,2567000000,945000000,1622000000
WH,WSP控股,0,0.800804,-4.6,965000000,35000000,930000000,30000000,5000000,925000000,925000000,0
SMLP,Summit Midstream Partners,0,1.29794,-0.056885,463000000,81000000,382000000,79000000,2000000,380000000,15000000,365000000
SLTB,Scorpio Bulkers Inc,0,1.992939,-0.231567,162000000,83598000,78402000,67717000,15881000,62521000,13534000,48987000
MULE,Mulesoft Inc,0,25.554593,-0.749276,296000000,108000000,188000000,30000000,78000000,110000000,52383000,57617000
ONE,精锐教育,0,10.594711,-1.424885,2058000000,529000000,1529000000,89000000,440000000,1089000000,1089000000,0
RNGR,Ranger Energy Services Inc.,0,0.761216,-0.827611,154000000,101200000,52800000,69600000,31600000,21200000,21200000,0
