2018-12-02_code,2018-12-02_days,2018-12-23_code,2018-12-23_days,2018-12-31_code,2018-12-31_days,2019-02-03_code,2019-02-03_days,2019-02-05_code,2019-02-05_days,2019-02-26_code,2019-02-26_days
,,,,,,,,,,HCHC,4
,,,,,,,,,,HCKT,4
,,,,,,,,,,HEDJ,2
,,,,,,,,,,HEEM,2
,,,,,,,,,,HEES,2
,,,,,,,,,,HESM,2
,,,,,,,,,,HEZU,2
,,,,,,,,,,HIIQ,2
,,,,,,,,,,HOPE,3
,,,,,,,,,,HRC,3
,,,,,,,,,,HT,2
,,,,,,,,,,IAT,3
,,,,,,,,,,IBDL,3
,,,,,,,,,,IBKC,3
,,,,,,,,,,IBM,2
,,,,,,,,,,ICLK,2
,,,,,,,,,,ICLN,2
,,,,,,,,,,ICON,2
,,,,,,,,,,IDA,1
,,,,,,,,,,IDEV,2
,,,,,,,,,,IFV,2
,,,,,,,,,,IHF,2
,,,,,,,,,,ILPT,1
,,,,,,,,,,INB,4
,,,,,,,,,,INCY,2
,,,,,,,,,,INSM,3
,,,,,,,,,,INUV,4
,,,,,,,,,,IPHI,2
,,,,,,,,,,IRTC,2
,,,,,,,,,,ISD,2
,,,,,,,,,,IYF,2
,,,,,,,,,,IYG,2
,,,,,,,,,,JCOM,2
,,,,,,,,,,JELD,2
,,,,,,,,,,JKHY,2
,,,,,,,,,,JOBS,2
,,,,,,,,,,JPIN,2
,,,,,,,,,,JRI,2
,,,,,,,,,,KBA,2
,,,,,,,,,,KBWD,2
,,,,,,,,,,KKR,2
,,,,,,,,,,KLAC,2
,,,,,,,,,,KRA,2
,,,,,,,,,,KREF,4
,,,,,,,,,,LFEQ,2
,,,,,,,,,,LHC,1
,,,,,,,,,,LOXO,1
,,,,,,,,,,LRN,2
,,,,,,,,,,LX,1
,,,,,,,,,,LXFT,1
,,,,,,,,,,LXP,2
,,,,,,,,,,MBRX,4
,,,,,,,,,,MCFT,4
,,,,,,,,,,MDCO,0
,,,,,,,,,,MERC,4
,,,,,,,,,,MFA,2
,,,,,,,,,,MGPI,2
,,,,,,,,,,MINT,3
,,,,,,,,,,MIY,3
,,,,,,,,,,MJ,2
,,,,,,,,,,MKSI,2
,,,,,,,,,,MMI,2
,,,,,,,,,,MMSI,2
,,,,,,,,,,MNST,2
,,,,,,,,,,MORL,2
,,,,,,,,,,MPW,1
,,,,,,,,,,MSD,2
,,,,,,,,,,MTG,2
,,,,,,,,,,MTX,2
,,,,,,,,,,MU,2
,,,,,,,,,,MYI,0
,,,,,,,,,,MYN,1
,,,,,,,,,,MYOV,3
,,,,,,,,,,NAVG,4
,,,,,,,,,,NCLH,2
,,,,,,,,,,NDAQ,2
,,,,,,,,,,NEAR,3
,,,,,,,,,,NEO,3
,,,,,,,,,,NEV,0
,,,,,,,,,,NEWR,2
,,,,,,,,,,NFBK,1
,,,,,,,,,,NGG,1
,,,,,,,,,,NGL,2
,,,,,,,,,,NMIH,2
,,,,,,,,,,NNVC,0
,,,,,,,,,,NRO,0
,,,,,,,,,,NRZ,2
,,,,,,,,,,NUW,2
,,,,,,,,,,NVCR,2
,,,,,,,,,,NVRO,2
,,,,,,,,,,NXPI,2
,,,,,,,,,,NXTD,4
,,,,,,,,,,OFS,2
,,,,,,,,,,ORC,2
,,,,,,,,,,OSIS,2
,,,,,,,,,,PCEF,4
,,,,,,,,,,PEGA,2
,,,,,,,,,,PER,4
,,,,,,,,,,PFXF,2
,,,,,,,,,,PGP,3
,,,,,,,,,,PGX,2
,,,,,,,,,,PIZ,2
,,,,,,,,,,PKE,4
,,,,,,,,,,PKG,2
,,,,,,,,,,PMF,4
,,,,,,,,,,PPBI,2
,,,,,,,,,,PPC,4
,,,,,,,,,,PRAH,2
,,,,,,,,,,PSDO,2
,,,,,,,,,,PSK,2
,,,,,,,,,,PTLA,3
,,,,,,,,,,PWR,2
,,,,,,,,,,QSR,2
,,,,,,,,,,QTNT,2
,,,,,,,,,,RA,1
,,,,,,,,,,RC,2
,,,,,,,,,,RCL,2
,,,,,,,,,,RDNT,2
,,,,,,,,,,REPH,2
