code,name,pe,roe2013,roe2014,roe2015,roe2016,roe2017,roe2018
00841,木薯资源,20.0,0,16.82,21.61,2.13,2.14,3.92
01336,新华保险,10.892999999999999,11.25,13.25,14.87,8.36,8.45,0
01282,中国金洋,22.619,10.69,-,4.38,9.92,12.00,0
00217,中国诚通发展集团,26.364,2.58,-,2.96,2.37,0.82,0
00858,精优药业,11.214,0,3.26,57.01,3.27,2.02,2.73
00572,未来世界金融,-9.917,"2,354.15",4.25,-,15.50,31.76,0
01101,华荣能源,-0.031,-,-,121.66,40.39,17.52,0
03893,易纬集团,0.0,182.87,355.55,251.43,129.55,-,0
00581,中国东方集团,-18.59,1.11,0.72,-,7.80,34.78,0
01833,银泰商业,68.377,0,0,293.07,-,-,0
02380,中国电力,2.693,12.43,12.65,15.19,8.68,2.67,0
00196,宏华集团,-6.526,11.29,1.94,-,-,-,0
02166,芯智控股,0.0,1.00,35.87,29.32,16.32,15.14,0
00609,天德化工,3.498,20.22,14.65,14.63,16.66,7.58,0
01229,南南资源,-3.077,0,-,-,-,41.84,22.13
01549,永丰集团控股,-35.833,93.15,57.48,52.47,-,-,0
03337,安东油田服务,-10.286,16.76,-,-,-,2.13,0
03344,互益集团,-0.21600000000000003,5.36,-,-,390.15,-,0
01103,大生农业金融,1.396,18.16,18.83,16.72,10.00,-,0
00891,利邦,-2.688,8.96,4.74,-,-,-,0
01245,NIRAKU,62.727,0,16.96,13.26,0.67,1.79,-
02080,奥克斯国际,-16.627,0,-,-,-,-,-
03331,维达国际,24.046999999999997,11.68,11.68,6.36,9.64,7.11,0
00690,联康生物科技集团,-9.667,0,-,-,-,-,0
00399,领航医药生物科技,-2.781,0,-,-,-,-,-
01878,南戈壁－Ｓ,-0.154,-,-,-,-,-,0
01055,中国南方航空股份,11.74,5.79,4.97,9.57,11.61,11.94,0
00290,中国富强金融,-10.167,0,-,-,-,11.13,-
01145,勇利航业,-0.184,-,-,-,-,26.18,0
01338,霸王集团,-5.489,-,-,-,29.03,11.29,0
01265,天津津燃公用,41.25,5.36,4.13,2.21,2.20,2.29,0
03360,远东宏信,9.177999999999999,13.54,14.25,11.70,12.55,12.74,0
03968,招商银行,10.546,13.54,14.25,11.70,12.55,12.74,0
01322,创达科技控股,0.664,18.81,31.64,14.57,13.62,12.33,0
00980,联华超市,-4.3580000000000005,1.57,0.91,-,-,-,0
00323,马鞍山钢铁股份,-4.859,0.68,0.95,-,6.22,17.28,0
00327,百富环球,7.327999999999999,10.85,15.38,20.17,17.34,10.39,0
00343,文化传信,-8.229,0,-,-,-,-,-
01579,颐海国际,0.0,58.55,92.94,87.76,14.75,17.36,0
01418,盛诺集团,5.347,25.13,22.18,16.32,9.77,3.43,0
00438,彩虹新能源,2.384,"1,106.21",135.26,"1,527.40",123.33,81.05,0
00895,东江环保,23.426,9.29,10.30,12.08,16.23,12.69,0
01547,IＢI GROUP HLDGS,0.0,0,94.51,59.21,42.79,7.80,12.92
00162,世纪金花,22.916999999999998,9.00,2.22,0,0.52,-,0.64
00670,中国东方航空股份,11.777000000000001,8.82,11.38,12.13,9.10,11.46,0
00268,金蝶国际,82.613,7.22,9.91,3.29,8.29,7.76,0
01367,恒宝企业控股,-509.091,23.69,-,-,-,-,0
01194,麦盛资本,-9.655,3.06,-,-,-,-,0
01168,百仕达控股,-12.174000000000001,-,0.37,-,-,1.14,0
02198,中国三江化工,-13.011,25.81,5.83,-,21.55,20.15,0
00991,大唐发电,-9.913,7.77,4.00,6.15,-,4.09,0
01205,中信资源,18.695999999999998,-,2.06,-,7.55,8.55,0
03395,PERSTA,0.0,2.52,5.79,-,-,-,0
00359,海升果汁,-290.0,-,2.33,-,2.65,12.54,0
00619,南华金融,-14.5,0.24,-,-,-,4.50,0
00716,胜狮货柜,-131.111,5.73,4.54,-,-,7.22,0
00309,新华通讯频媒,-6.818,0,-,-,-,-,-
01262,蜡笔小新食品,-1.676,16.90,0.57,-,-,-,0
01190,航标控股,1.023,22.15,16.58,6.72,-,-,0
00906,中粮包装,10.855,9.98,8.36,6.72,6.24,6.24,0
01297,中国擎天软件,18.117,16.23,18.16,18.12,18.49,19.45,0
00878,金朝阳集团,-67.459,9.06,9.91,-,14.89,6.05,0
00345,VITASOY INT'L,55.599,0,17.53,19.39,24.12,25.02,20.13
00833,华讯,17.593,17.70,17.61,11.18,14.59,20.30,0
01091,中信大锰,-18.269000000000002,-,0.45,-,-,4.86,0
03369,秦港股份,23.704,14.96,16.18,11.38,3.19,7.18,0
00653,卓悦控股,2.52,68.38,39.06,40.09,-,-,0
00164,中国宝力科技,-6.4,0,-,-,-,-,-
01285,嘉士利集团,6.4239999999999995,46.06,15.32,18.60,14.82,16.18,0
03788,中国罕王,-3.8960000000000004,15.53,0.77,-,-,72.17,0
01206,同方泰德,5.945,15.29,16.04,38.97,10.70,10.93,0
01786,铁建装备,4.752,11.56,12.49,8.87,8.41,1.02,0
01963,重庆银行,3.5439999999999996,11.56,12.49,8.87,8.41,1.02,0
00340,中国矿业,-110.0,208.92,240.37,-,-,-,0
01115,西藏水资源,23.178,17.67,12.83,9.62,9.85,9.93,0
03623,集成金融,15.455,2.88,3.80,2.94,2.03,1.70,0
00494,利丰,6.982,14.40,16.98,16.82,9.61,-,0
01185,中国航天万源,14.059000000000001,2.06,4.01,3.46,3.58,-,0
00753,中国国航,10.0,6.07,7.10,11.82,9.90,8.42,0
01431,原生态牧业,10.3,5.57,9.66,1.50,-,-,0
00251,爪哇控股,4.921,4.42,5.61,10.98,5.68,4.35,0
02308,研祥智能,4.685,4.16,8.28,13.17,13.33,1.72,0
00683,嘉里建设,8.037,17.36,8.46,6.80,7.90,9.80,0
02877,神威药业,14.695,15.44,14.41,12.42,10.47,7.76,0
02031,澳至尊,0.0,0,96.97,39.49,19.84,2.03,7.62
01327,时间由你,-0.248,29.26,28.39,12.39,-,-,0
02336,海亮国际,-36.0,0.23,-,-,-,1.26,0
00756,天溢森美,13.091,4.86,7.48,4.74,3.74,3.89,0
00894,万裕科技,-35.161,3.98,2.77,-,-,3.40,0
01588,畅捷通,-17.938,22.16,8.30,-,-,19.54,0
01269,首控集团,-340.0,10.16,0.66,-,6.33,-,0
00867,康哲药业,31.909000000000002,19.71,26.20,18.81,22.16,23.02,0
00384,中国燃气,76.20100000000001,0,16.32,18.32,12.73,20.18,21.42
00701,北海集团,8.222000000000001,14.13,11.14,5.89,5.93,2.39,0
01002,威铖国际,-7.047999999999999,-,-,-,-,3.16,0
02307,锦兴国际控股,11.045,4.66,4.00,2.93,4.12,3.15,0
01398,工商银行,6.037000000000001,4.66,4.00,2.93,4.12,3.15,0
02007,碧桂园,24.921,19.37,18.05,14.21,16.42,27.82,0
01033,中石化油服,-1120.0,0.05,6.72,-,-,502.04,0
00518,同得仕（集团）,-4.8389999999999995,0,-,30.30,-,-,-
00680,南海控股,9.4,21.74,-,7.37,33.55,27.80,0
01986,彩客化学,20.250999999999998,39.70,47.21,12.14,12.58,11.93,0
00538,味千（中国）,16.298,8.32,8.17,6.91,19.87,-,0
00621,坛金矿业,1.2670000000000001,0,-,-,9.72,2.95,-
01312,同方康泰,-54.286,4.17,1.35,-,-,-,0
00836,华润电力,7.242999999999999,16.95,13.02,14.14,11.17,6.15,0
01252,中国天瑞水泥,44.038000000000004,8.13,7.60,4.19,3.81,10.20,0
01523,珩湾科技,24.468000000000004,39.00,56.74,47.19,21.61,30.45,0
00231,平安证券集团控股,-4.813,-,-,-,-,-,0
00003,香港中华煤气,28.111,13.74,13.51,13.82,13.61,13.61,0
00650,ＩＤＧ能源,-105.455,0,-,208.18,-,-,0.40
02339,京西国际,4.567,9.81,151.51,15.58,13.67,-,0
01558,东阳光药,43.122,12.07,48.82,12.40,15.49,23.05,0
06830,华众车载,26.923000000000002,10.83,17.04,12.04,15.39,16.90,0
01868,同方友友,111.429,0,-,0.50,0.97,8.42,0
00068,利兴发展,-1.6840000000000002,-,2.04,-,-,-,0
01632,膳源控股,0.0,0,31.09,31.23,43.94,-,-
00998,中信银行,4.552,31.09,31.23,43.94,-,-,0
03808,中国重汽,143.596,1.44,2.13,1.06,2.67,13.28,0
01231,新矿资源,-57.143,-,-,-,-,-,0
01192,泰山石化,-1.538,59.17,-,5.97,"1,943.34",-,0
00902,华能国际电力股份,5.3420000000000005,16.69,15.34,16.22,9.91,1.80,0
00956,新天绿色能源,44.63,7.70,4.55,2.27,6.86,10.92,0
01104,亚太资源,-605.0,-,28.99,-,-,18.99,0
01199,中远海运港口,7.2410000000000005,15.46,6.17,7.34,5.67,9.88,0
01988,民生银行,3.6510000000000002,15.46,6.17,7.34,5.67,9.88,0
00595,AV CONCEPT HOLD,135.0,0,0.48,-,0.33,25.88,15.20
00393,旭日企业,9.642999999999999,6.20,5.59,4.32,3.60,3.48,0
00086,新鸿基公司,2.589,7.85,8.90,21.64,6.14,9.39,0
01308,海丰国际,19.296,15.12,15.26,16.88,13.95,19.58,0
01622,力高地产,36.131,45.02,20.49,15.90,15.82,22.62,0
00012,恒基地产,7.07,7.14,7.03,8.49,8.32,10.38,0
01112,合生元,118.598,32.63,27.66,7.61,30.19,22.14,0
01658,邮储银行,0.0,32.63,27.66,7.61,30.19,22.14,0
01509,和美医疗,11.110999999999999,-,-,7.54,6.89,2.02,0
00234,新世纪集团,-21.333000000000002,0,2.09,6.79,-,5.19,9.08
00939,建设银行,6.2989999999999995,2.09,6.79,-,5.19,9.08,0
00392,北京控股,8.756,7.74,8.45,9.74,10.88,10.18,0
01991,大洋集团,-4.725,-,-,-,-,-,0
00887,英皇钟表珠宝,-47.778,6.59,3.10,-,-,3.66,0
00966,中国太平,14.582,7.72,11.23,11.53,9.10,9.94,0
01171,兖州煤业股份,229.75,1.93,1.98,0.46,4.44,15.53,0
00579,京能清洁能源,5.271,10.73,9.67,13.55,12.72,10.56,0
01798,大唐新能源,44.0,2.55,-,0.13,1.82,6.39,0
00801,金卫医疗,-3.0239999999999996,0,-,-,-,-,62.08
01125,丽丰控股,212.963,6.63,8.68,7.46,6.56,10.13,0
01680,澳门励骏,-31.666999999999998,9.11,6.42,-,-,-,0
00708,恒大健康,777.5,4.94,2.42,17.53,8.36,36.93,0
00488,丽新发展,296.444,13.41,7.12,8.91,4.71,7.87,0
01466,钱唐控股,-151.951,0,7.42,3.76,-,-,-
01591,汛和集团,0.0,0,71.33,53.55,41.20,11.58,3.43
01247,米格国际控股,4.091,34.91,14.91,3.22,-,-,0
00926,碧生源,-8.824,-,3.81,7.44,-,0.39,0
03816,ＫＦＭ金德,-5.921,0,7.13,6.26,-,-,7.03
01288,农业银行,5.452000000000001,7.13,6.26,-,-,7.03,0
01071,华电国际电力股份,3.82,17.80,18.80,16.77,7.13,1.02,0
00651,中海重工,-0.902,32.53,81.36,129.27,54.80,64.59,0
00725,恒都集团,18.904,4.46,3.84,2.31,2.90,3.43,0
01369,五洲国际,-0.387,29.16,6.89,-,2.76,-,0
00133,招商局中国基金,4.751,6.95,23.22,7.28,-,16.71,0
01528,红星美凯龙,6.388,9.84,10.86,9.96,9.29,10.09,0
00857,中国石油股份,24.31,11.44,9.11,3.01,0.66,1.91,0
01202,成都普天电缆股份,-7.851,-,-,-,-,3.22,0
01201,天臣控股,12.5,"1,282.83",632.48,10.79,1.05,2.60,0
00717,英皇证券,5.337000000000001,11.24,14.06,11.82,12.37,12.84,0
02186,绿叶制药,31.734,17.55,12.34,13.32,13.87,14.50,0
01302,先健科技,2390.0,-,-,1.31,16.79,15.53,0
03600,现代牙科,19.394000000000002,25.85,22.09,4.61,5.59,7.41,0
02868,首创置业,4.486000000000001,17.48,18.53,15.61,12.11,10.09,0
03339,中国龙工,102.12100000000001,7.02,5.93,1.76,6.87,13.53,0
00697,首长国际企业,-0.516,-,-,-,-,0.82,0
00167,IDT INT'L,-5.8,0,-,-,-,-,0
06868,天福,34.155,14.13,13.76,7.60,8.33,11.59,0
00124,粤海置地,19.02,80.47,1.89,3.94,0.42,1.09,0
00083,信和置业,10.931,11.15,7.99,7.90,5.81,5.78,0
