code,name,pe,roe2013,roe2014,roe2015,roe2016,roe2017,roe2018
00981,中芯国际,19.008,6.97,5.19,6.79,9.07,3.48,0
06030,中信证券,7.523,5.98,11.44,14.23,7.26,7.63,0
03368,百盛集团,15.484000000000002,6.32,4.21,-,3.05,-,0
00611,中国核能科技,13.913,-,-,0.75,15.67,13.45,0
00215,和记电讯香港,19.930999999999997,8.30,7.38,7.94,5.94,30.08,0
01314,翠华控股,19.02,0,13.58,12.78,6.13,7.81,6.60
00528,金达控股,8.22,11.29,11.49,11.53,6.21,-,0
01211,比亚迪股份,32.811,2.55,1.71,8.74,10.65,7.96,0
01052,越秀交通基建,9.69,6.70,7.15,6.21,10.12,9.93,0
00002,中电控股,17.77,6.94,12.75,16.83,12.97,13.11,0
00480,香港兴业国际,8.554,0,5.15,5.44,4.88,5.03,11.69
03330,灵宝黄金,-2.779,-,1.99,-,-,6.52,0
01340,惠生国际,0.649,22.15,14.37,12.81,6.84,-,0
03996,中国能源建设,4.41,7.87,7.66,10.09,9.64,10.75,0
01459,巨匠建设,3.435,10.27,12.30,12.81,8.97,11.02,0
02268,优源控股,10.377,13.52,11.86,9.26,11.41,25.37,0
02388,中银香港,14.227,13.52,11.86,9.26,11.41,25.37,0
00999,I.T,30.412,0,10.00,11.01,7.22,10.35,12.14
01885,中国优材,23.0,26.39,14.20,14.24,11.74,8.87,0
02768,佳源国际控股,58.387,18.59,10.76,20.64,25.29,18.95,0
02313,申洲国际,49.004,17.48,17.51,18.01,19.53,19.18,0
00762,中国联通,322.759,4.75,5.30,4.57,0.27,0.60,0
00119,保利置业集团,-4.0569999999999995,9.17,3.12,-,0.33,8.70,0
00417,谢瑞麟,18.660999999999998,0,6.96,3.63,2.29,2.38,4.29
00811,新华文轩,7.624,11.83,10.91,9.11,7.77,11.51,0
00267,中信股份,6.6579999999999995,8.63,9.53,8.73,8.93,8.08,0
01200,美联集团,-15.107999999999999,-,4.55,-,0.89,14.21,0
00617,百利保控股,166.31599999999997,2.66,2.17,0.17,1.65,3.84,0
01089,乐游科技控股,-88.889,-,-,-,4.73,3.98,0
03328,交通银行,5.117,-,-,-,4.73,3.98,0
00041,鹰君,9.37,4.80,4.09,6.10,4.96,13.68,0
01718,宏基集团控股,32.353,0,27.28,42.33,9.75,-,-
06818,中国光大银行,4.397,27.28,42.33,9.75,-,-,0
03366,华侨城（亚洲）,7.055,8.60,10.87,8.99,12.74,25.28,0
00032,港通控股,8.033999999999999,11.76,11.45,12.90,8.24,18.66,0
01461,鲁证期货,8.626,6.61,6.33,4.73,5.52,7.36,0
02012,阳光油砂,-0.396,-,-,-,-,-,0
06816,PROSPER CONS,0.0,28.55,27.28,55.87,14.96,12.78,0
01339,中国人民保险集团,6.218,11.35,14.16,16.83,11.30,11.71,0
03998,波司登,27.619,0,9.71,1.84,3.88,4.27,6.41
00320,金宝通,9.915,0,3.15,6.78,8.24,10.11,9.36
00532,WKK INTL (HOLD),18.413,3.17,4.51,3.15,3.02,7.02,0
00358,江西铜业股份,39.202,7.99,6.34,1.50,1.79,3.47,0
03383,雅居乐集团,17.808,16.44,12.74,4.05,6.47,16.58,0
02236,惠生工程,19.5,-,10.74,10.62,0.77,6.34,0
00087,太古股份公司Ｂ,10.998,6.03,5.06,6.15,4.29,10.30,0
02601,中国太保,12.634,9.36,9.43,13.30,9.15,10.66,0
06068,睿见教育,0.0,0,17.80,26.99,18.58,11.47,0
02345,上海集优,7.391,2.08,2.57,5.89,6.15,7.20,0
00728,中国电信,12.162,6.32,6.11,6.60,5.71,5.71,0
06886,HTSC,6.141,6.14,10.86,13.24,7.43,10.62,0
01985,美高域,0.0,0,21.03,21.83,23.88,9.86,14.03
01310,香港宽频,49.388000000000005,-,3.26,6.89,17.95,15.16,0
00855,中国水务,27.076999999999998,0,7.97,9.45,11.55,15.20,15.91
00727,皇冠环球集团,19.531,0,34.43,20.24,14.20,6.68,5.03
00571,丰德丽控股,19.230999999999998,-,3.01,2.82,0.94,5.64,0
00576,浙江沪杭甬,7.64,11.94,13.32,17.86,16.58,15.50,0
01257,中国光大绿色环保,0.0,0,32.04,9.36,15.03,10.90,0
02727,上海电气,15.0,7.43,7.46,5.33,4.92,4.73,0
00568,山东墨龙,-3.299,-,0.75,-,-,2.03,0
03688,莱蒙国际,4.698,22.75,15.07,12.42,14.69,40.54,0
00220,统一企业中国,39.306999999999995,11.26,2.63,7.19,5.04,6.85,0
00388,香港交易所,49.222,22.31,24.28,26.68,17.88,19.86,0
06889,DYNAM JAPAN,10.822000000000001,0,14.88,8.37,7.95,6.83,7.90
06881,中国银河,2.951,8.48,12.99,17.28,8.89,6.17,0
00978,招商局置地,7.081,8.80,8.28,3.58,13.54,22.09,0
00081,中国海外宏洋集团,7.105,27.74,10.30,7.62,8.64,9.30,0
01616,银仕来控股,121.818,3.59,1.27,0.83,2.25,-,0
01856,依波路,-39.705999999999996,20.44,8.62,-,-,-,0
03737,中智药业,9.783999999999999,28.91,71.70,14.31,9.48,10.48,0
00881,中升控股,21.333000000000002,12.00,6.75,4.09,15.22,21.05,0
01858,春立医疗,27.699,18.16,17.98,8.94,13.19,12.68,0
01005,美力时集团,17.222,15.88,17.40,39.38,12.51,11.04,0
00337,绿地香港,28.866,0.61,1.92,3.18,12.60,13.38,0
00596,浪潮国际,0.0,6.07,-,0.39,3.45,5.44,0
00123,越秀地产,10.216000000000001,11.91,8.49,3.42,5.03,6.98,0
00034,九龙建业,8.163,5.81,4.56,5.25,4.02,6.56,0
01585,雅迪控股,15.912,27.75,43.26,48.02,19.37,16.38,0
00556,泛亚环保,14.747,-,2.27,5.35,5.47,-,0
00016,新鸿基地产,10.341,10.45,8.08,6.89,6.97,8.39,0
00746,理文化工,22.328000000000003,14.49,14.37,11.49,9.23,22.81,0
00052,FAIRWOOD HOLD,18.726,0,20.10,23.99,29.69,28.70,28.32
01668,华南城,3.3710000000000004,0,17.50,14.99,13.51,15.28,12.46
00001,长和,2.269,9.78,13.67,30.14,8.37,8.16,0
00806,惠理集团,82.973,13.99,21.11,7.22,3.72,36.31,0
00551,裕元集团,12.684000000000001,10.02,7.52,8.67,11.27,12.14,0
01898,中煤能源,-10.612,4.33,0.16,-,1.99,3.92,0
01508,中国再保险,6.638999999999999,7.45,10.03,10.80,7.23,7.07,0
02600,中国铝业,188.824,2.20,-,0.37,0.97,3.49,0
01207,上置集团,-0.47,2.17,-,-,3.47,9.36,0
00271,丹枫控股,65.4,4.91,4.90,3.75,1.21,3.60,0
01271,佳明集团控股,7.945,0,24.09,15.46,16.25,7.70,6.21
00754,合生创展集团,8.993,7.30,5.30,3.03,7.11,9.04,0
02282,美高梅中国,20.851,82.01,89.99,63.33,42.08,27.26,0
00151,中国旺旺,21.553,35.37,30.27,29.07,28.68,0,26.66
00165,中国光大控股,4.404,4.69,7.32,13.07,10.95,10.20,0
06138,哈尔滨银行,3.533,4.69,7.32,13.07,10.95,10.20,0
00004,九龙仓集团,3.6260000000000003,10.66,11.76,5.21,6.77,15.41,0
00496,卡森国际,19.884,5.32,1.09,6.01,-,-,0
00400,科通芯城,11.242,25.26,12.11,17.85,13.30,8.37,0
00364,坪山茶业,-3.6039999999999996,-,-,-,-,-,0
01660,善乐国际,0.0,0,22.43,34.46,27.85,6.89,10.16
00059,天誉置业,-46.49100000000001,3.46,-,-,5.26,23.67,0
01776,广发证券,4.875,8.13,12.68,17.03,10.23,10.13,0
00816,华电福新,6.9110000000000005,13.09,12.44,10.30,11.42,10.89,0
01599,城建设计,9.705,15.21,13.45,13.59,14.33,12.65,0
00342,新海能源,3.542,19.13,18.47,14.14,12.79,12.08,0
01347,华虹半导体,28.261,5.86,6.35,7.55,8.65,8.57,0
00548,深圳高速公路股份,12.17,7.22,18.54,12.55,9.23,10.47,0
06288,FAST RETAIL-DRS,1.037,16.12,12.06,14.65,8.36,16.30,0
00071,美丽华酒店,6.712000000000001,10.53,9.89,9.56,8.43,8.92,0
00817,中国金茂,9.79,14.59,16.02,10.69,8.75,12.11,0
00941,中国移动,10.825,15.43,12.31,11.83,11.11,11.59,0
06837,海通证券,4.4430000000000005,6.56,11.28,14.71,7.30,7.32,0
03315,金邦达宝嘉,5.6770000000000005,10.08,13.25,13.33,10.94,8.52,0
02199,维珍妮,14.194,0,16.25,29.86,16.58,3.73,8.37
01816,中广核电力,11.341,13.45,10.42,11.55,12.89,14.43,0
01830,必瘦站,17.930999999999997,0,34.83,27.38,27.82,20.13,41.30
00856,伟仕控股,13.98,14.84,15.36,11.79,14.28,14.82,0
02383,ＴＯＭ集团,-30.563000000000002,-,-,145.24,66.70,87.55,0
01618,中国中冶,7.647,6.69,8.38,7.93,7.62,7.35,0
00112,勒泰商业地产,-38.772,-,-,-,-,40.33,0
00363,上海实业控股,6.933,7.73,8.79,7.85,7.86,7.58,0
01010,太睿国际控股,-30.0,26.12,8.93,-,-,-,0
01899,兴达国际,16.667,8.25,6.33,3.39,5.31,5.35,0
01970,IMAX CHINA,29.389,555.36,86.59,-,19.08,17.86,0
03838,中国淀粉,5.85,6.25,3.16,4.82,9.43,14.84,0
01636,中国金属利用,-17.137999999999998,40.07,19.68,-,-,12.01,0
02118,天山发展控股,15.25,14.81,14.10,6.36,5.50,4.71,0
01193,华润燃气,28.084,15.24,15.44,16.68,18.51,16.61,0
00026,中华汽车,12.709000000000001,6.68,9.08,6.15,4.59,7.77,0
00950,李氏大药厂,24.824,19.14,20.64,15.61,15.73,12.89,0
00038,第一拖拉机股份,15.556,4.96,3.65,2.90,4.06,1.18,0
03839,正大企业国际,10.324000000000002,25.22,13.16,5.50,5.43,9.40,0
00144,招商局港口,9.994,8.67,6.71,6.99,8.34,8.21,0
06826,昊海生物科技,23.48,26.67,30.90,10.27,10.50,11.64,0
02399,虎都,14.54,40.96,21.74,20.78,9.26,1.52,0
03969,中国通号,13.705,12.63,17.43,13.25,14.08,13.78,0
06066,中信建投证券,5.917999999999999,13.65,20.44,28.69,12.81,9.18,0
01388,安莉芳控股,5.496,12.18,10.78,11.26,5.72,20.92,0
00045,大酒店,24.7,4.88,3.19,2.75,1.86,3.03,0
00517,中远海运国际,13.105,3.23,4.64,4.34,3.08,4.51,0
02328,中国财险,4.928999999999999,18.36,17.62,20.05,15.10,14.88,0
02738,华津国际控股,0.0,16.05,28.37,43.31,17.69,15.77,0
01140,东英金融投资,103.448,0,3.56,-,1.67,6.45,2.56
00293,国泰航空,-83.288,4.17,6.09,12.52,-,-,0
00216,建业实业,5.409,0,6.97,26.01,6.11,8.03,26.57
00883,中国海洋石油,22.81,16.53,15.86,5.24,0.17,6.49,0
00882,天津发展,5.905,6.39,7.07,5.52,5.20,4.45,0
00308,香港中旅,12.988,7.95,11.19,8.78,2.40,7.08,0
01600,天伦燃气,27.408,18.36,19.21,12.10,12.89,14.55,0
00440,大新金融,8.414,18.36,19.21,12.10,12.89,14.55,0
00270,粤海投资,21.535999999999998,16.20,14.53,12.41,13.07,14.14,0
01138,中远海能,26.96,-,1.42,3.72,7.05,6.36,0
01299,友邦保险,25.121,11.44,11.20,8.89,11.90,14.57,0
01966,中骏置业,5.03,15.47,13.76,13.26,25.24,22.80,0
00916,龙源电力,14.515,6.63,7.72,8.19,9.01,8.00,0
00659,新创建集团,10.734000000000002,9.97,10.24,9.86,10.77,11.47,0
02221,创业集团控股,28.145,44.93,102.50,34.24,23.53,9.93,0
06166,中国宏泰发展,9.439,109.38,28.01,18.20,19.77,25.15,0
02378,保诚,25.557,13.95,18.76,19.91,13.10,14.85,0
00700,腾讯控股,101.866,26.75,29.76,24.00,23.53,27.93,0
00226,力宝,-10.052999999999999,0,1.30,7.84,-,2.83,0.93
00006,电能实业,15.857000000000001,16.08,49.56,6.26,5.42,8.70,0
01333,中国忠旺,8.186,10.83,10.18,10.79,10.25,11.59,0
00951,超威动力,10.129,13.33,-,12.83,15.25,12.38,0
01928,金沙中国有限公司,34.396,34.34,39.63,25.00,24.45,35.32,0
01548,金斯瑞生物科技,177.19299999999998,11.42,10.01,11.73,14.73,11.99,0
03393,威胜集团,8.241,13.96,14.86,10.33,7.41,7.24,0
01836,九兴控股,10.739,13.15,12.68,12.29,8.33,6.38,0
00035,远东发展,12.027000000000001,0,10.45,10.46,7.24,10.36,12.08
01093,石药集团,63.352,13.05,15.70,19.06,20.78,18.08,0
02357,中航科工,22.01,7.04,7.22,9.03,8.41,8.31,0
03396,联想控股,9.137,17.89,13.01,9.53,9.30,9.27,0
01218,永义国际,2.676,0,0.48,6.83,4.49,-,9.32
01044,恒安国际,21.304000000000002,22.51,22.20,23.25,24.42,23.56,0
01128,永利澳门,51.075,83.59,91.51,58.76,58.52,123.32,0
00511,电视广播,7.881,20.90,16.53,17.33,7.08,3.48,0
00338,上海石油化工股份,7.827999999999999,11.59,-,16.54,24.14,21.76,0
01072,东方电气,21.0,13.28,6.54,1.90,-,3.08,0
01126,德林国际,22.646,13.97,12.94,14.64,22.75,23.82,0
00020,会德丰,6.755,10.18,11.51,7.06,7.57,8.51,0
03958,东方证券,0.0,6.48,12.76,20.95,5.72,6.71,0
01980,天鸽互动,41.724,104.57,-,6.64,9.01,11.93,0
02777,富力地产,5.893,23.78,14.52,13.79,15.43,34.43,0
06189,爱得威建设集团,0.0,21.15,21.39,21.22,13.72,12.87,0
02238,广汽集团,9.219,7.96,9.01,10.90,14.34,15.85,0
00347,鞍钢股份,-9.908,1.64,1.94,-,3.60,10.69,0
01313,华润水泥控股,38.325,13.45,14.93,3.82,5.10,11.93,0
02869,绿城服务,0.0,44.51,72.04,149.78,16.61,20.20,0
00066,港铁公司,24.025,8.54,9.56,7.64,6.86,10.12,0
06178,光大证券,0.0,0.90,8.01,18.89,6.38,6.21,0
00863,品牌中国,49.778999999999996,14.35,10.37,8.62,-,-,0
02588,中银航空租赁,0.0,14.38,14.72,14.07,12.36,15.36,0
03308,金鹰商贸集团,13.464,23.55,19.98,16.23,8.12,21.08,0
00011,恒生银行,23.906,23.55,19.98,16.23,8.12,21.08,0
00316,东方海外国际,-28.892,1.05,5.84,5.92,-,2.94,0
01160,大唐投资国际,0.0,0,-,2.35,-,-,-
01989,松龄护老集团,0.0,0,21.67,49.41,42.64,5.96,8.08
00311,联泰控股,9.896,12.81,5.67,3.35,6.65,11.51,0
00299,新体育,-126.667,-,-,-,-,5.00,0
00299,新体育,-126.667,-,-,-,-,5.00,0
00299,新体育,-126.667,-,-,-,-,5.00,0
00299,新体育,-126.667,-,-,-,-,5.00,0
01608,伟能集团,0.0,8.39,52.54,26.18,9.81,13.49,0
01608,伟能集团,0.0,8.39,52.54,26.18,9.81,13.49,0
01608,伟能集团,0.0,8.39,52.54,26.18,9.81,13.49,0
01608,伟能集团,0.0,8.39,52.54,26.18,9.81,13.49,0
01470,滴达国际,-47.5,0,45.21,36.03,-,-,-
00464,建福集团,-46.078,0,-,0.21,-,-,-
00464,建福集团,-46.078,0,-,0.21,-,-,-
00464,建福集团,-46.078,0,-,0.21,-,-,-
00464,建福集团,-46.078,0,-,0.21,-,-,-
03320,华润医药,19.512,14.67,12.90,12.67,7.50,8.32,0
03320,华润医药,19.512,14.67,12.90,12.67,7.50,8.32,0
03320,华润医药,19.512,14.67,12.90,12.67,7.50,8.32,0
03320,华润医药,19.512,14.67,12.90,12.67,7.50,8.32,0
00974,中国顺客隆,0.0,32.16,44.07,11.44,9.59,4.45,0
02348,东瑞制药,10.245,14.02,16.43,20.50,16.25,16.22,0
01586,中国力鸿,0.0,49.04,34.56,45.38,19.59,18.23,0
01586,中国力鸿,0.0,49.04,34.56,45.38,19.59,18.23,0
01586,中国力鸿,0.0,49.04,34.56,45.38,19.59,18.23,0
01586,中国力鸿,0.0,49.04,34.56,45.38,19.59,18.23,0
00120,COSMOPOL INT'L,-22.691999999999997,-,-,-,-,1.04,0
00120,COSMOPOL INT'L,-22.691999999999997,-,-,-,-,1.04,0
00120,COSMOPOL INT'L,-22.691999999999997,-,-,-,-,1.04,0
00120,COSMOPOL INT'L,-22.691999999999997,-,-,-,-,1.04,0
01476,恒投证券,0.0,8.57,12.40,17.84,4.71,7.79,0
01476,恒投证券,0.0,8.57,12.40,17.84,4.71,7.79,0
01476,恒投证券,0.0,8.57,12.40,17.84,4.71,7.79,0
01476,恒投证券,0.0,8.57,12.40,17.84,4.71,7.79,0
01020,华耐控股,-1.5090000000000001,-,-,-,-,-,0
02213,益华控股,0.0,11.38,16.98,7.99,24.61,-,0
03329,交银国际,0.0,0,0.72,9.62,8.81,6.35,0
01655,OKURA HOLDINGS,0.0,0,9.20,4.69,7.71,2.63,0
01683,皇中国际,0.0,86.52,48.29,16.05,15.44,-,0
00988,楼东俊安资源,-0.302,-,-,-,-,57.90,0
00798,中电光谷,3.826,22.37,17.67,18.07,7.59,7.43,0
01918,融创中国,20.862,23.36,19.70,17.35,10.65,25.12,0
06822,科劲国际,5.3389999999999995,42.63,38.75,29.35,22.22,21.91,0
01667,进阶发展,0.0,0,76.58,56.12,41.74,16.42,8.76
01329,首创钜大,0.0,5.34,-,0,4.08,1.99,0
00628,国美金融科技,0.0,0,-,-,-,1.26,0
03869,弘和仁爱医疗,0.0,0,0.20,4.93,2.15,-,0
01046,寰宇国际金融,0.0,-,-,28.31,-,-,0
00745,中国国家文化产业,1.3130000000000002,0,-,-,13.61,-,-
00718,太和控股,-9.524,0,-,-,0.98,6.03,0
00367,庄士机构国际,4.812,0,6.01,6.13,6.94,12.92,11.63
06122,九台农商银行,0.0,6.01,6.13,6.94,12.92,11.63,0
01375,中州证券,3.87,6.18,9.72,17.22,6.79,4.35,0
01596,翼辰实业,0.0,15.19,30.36,27.19,18.68,10.58,0
01580,大森控股,0.0,47.22,44.29,33.15,18.24,11.58,0
00072,现代传播,0.0,7.57,8.24,4.43,0.65,-,0
01629,盟科控股,0.0,39.98,25.49,41.26,-,4.05,0
00262,迪臣发展国际,0.0,0,14.92,8.20,10.37,9.95,2.89
00643,恒富控股,0.0,-,-,-,-,-,0
00326,中国星集团,1.6340000000000001,5.74,7.18,3.11,-,2.23,0
03686,祈福生活服务,0.0,49.72,37.85,36.53,11.29,22.00,0
01159,集美国际娱乐,0.0,"1,032.32",-,5.79,-,426.79,0
00063,中国烯谷集团,0.0,-,-,-,-,18.26,0
00829,神冠控股,8.113,29.17,20.77,10.48,5.46,2.43,0
06099,招商证券,0.0,8.22,9.27,22.56,9.03,7.30,0
06858,本间高尔夫,0.0,0,28.73,58.50,59.95,17.73,14.03
00385,建联集团,0.0,13.37,14.96,13.75,14.85,10.92,0
01123,中港照相,-5.932,0,1.91,-,-,-,5.53
02389,北控医疗健康,-38.0,13.52,-,-,-,7.40,0
03966,中国宝丰国际,0.0,27.58,27.41,16.88,31.02,46.01,0
01559,均安控股,31.785999999999998,0,149.37,24.29,27.36,25.26,7.95
01982,南旋控股,7.547999999999999,0,18.77,24.38,35.28,20.90,13.36
00436,新宇环保,36.0,10.06,9.09,6.44,9.01,9.42,0
06828,北京燃气蓝天,166.667,-,-,1.12,3.11,-,0
02278,海蓝控股,0.0,-,9.15,17.58,4.75,15.63,0
00764,永恒策略,1.882,5.33,11.10,3.14,-,-,0
01612,永胜医疗,0.0,19.47,25.81,34.34,8.33,3.60,0
01456,国联证券,6.648,8.41,17.51,19.02,8.06,4.76,0
01583,亲亲食品,0.0,17.13,15.70,9.88,4.66,-,0
01038,长江基建集团,13.540999999999999,16.58,33.91,10.88,9.97,9.91,0
01323,NEWTREE GROUP,-2.685,0,-,-,-,-,3.83
01076,博华太平洋,-80.0,-,-,-,32.70,16.54,0
01053,重庆钢铁股份,-0.726,-,0.52,-,"2,337.21",1.91,0
06833,兴科蓉医药,0.0,89.45,65.93,35.99,4.23,-,0
00298,庄士中国,10.612,0,4.31,3.63,3.39,35.67,6.36
00831,利亚零售,16.54,19.83,15.32,18.98,17.24,23.10,0
00704,和嘉资源,-3.207,-,-,-,22.76,31.28,0
03626,HSSP INTL,0.0,95.60,110.93,56.68,4.07,12.09,0
00715,中泛控股,44.443999999999996,2.86,1.44,2.00,1.28,0.66,0
01486,思城控股,22.026,8.84,22.06,15.31,10.41,8.43,0
01243,宏安地产,30.0,0,164.72,190.93,20.17,1.62,44.55
01496,亚积邦租赁,0.0,0,45.78,38.82,17.36,5.13,8.56
01570,伟业控股,0.0,23.15,24.66,8.26,5.44,8.82,0
01419,盈健医疗,18.298,39.82,43.88,29.33,10.91,5.28,0
03638,华邦金融,78.571,0,9.98,12.23,8.83,1.31,1.71
01557,剑虹集团控股,14.887,0,88.88,57.83,21.90,-,-
01910,新秀丽,21.088,14.76,14.67,14.54,17.43,18.66,0
00153,中国赛特,2.488,27.70,24.15,16.42,12.34,8.71,0
00146,TAI PING CARPET,0.0,5.34,3.01,2.57,-,40.11,0
00318,黄河实业,0.0,0,-,-,2.70,-,10.10
00089,大生地产,0.0,8.25,11.04,4.13,5.57,7.01,0
03963,融众金融,0.0,0,12.92,10.76,6.12,-,-
01495,集一家居,4.773,22.14,23.98,12.02,5.38,2.68,0
01799,新特能源,0.0,6.29,13.22,8.26,9.70,11.63,0
01662,义合控股,0.0,0,26.88,61.96,42.04,9.13,10.74
03678,弘业期货,0.0,5.10,4.64,4.19,4.60,5.79,0
00292,泛海酒店,0.0,0,10.89,3.68,7.25,11.61,4.38
06196,郑州银行,4.172,10.89,3.68,7.25,11.61,4.38,0
01180,汇彩控股,0.0,8.43,5.03,-,-,-,0
03866,青岛银行,0.0,8.43,5.03,-,-,-,0
01492,中地乳业,0.0,12.54,10.24,5.14,5.57,0.66,0
00009,九号运通,-0.662,-,-,-,-,-,0
01191,粤首环保,0.0,-,-,-,-,8.66,0
01335,顺泰控股,0.0,20.38,20.94,35.59,4.33,-,0
01527,天洁环境,0.0,11.93,30.81,15.78,17.39,12.05,0
02086,龙杰智能卡,0.0,23.22,20.26,15.52,-,3.70,0
01137,香港电视,-2.61,-,-,-,-,-,0
01253,中国绿地博大绿泽,16.607,671.18,32.95,27.19,23.30,18.47,0
01499,前进控股集团－新,53.571000000000005,0,43.79,44.67,17.56,2.42,6.85
00876,美加医学,-75.0,-,-,-,-,0.38,0
01000,北青传媒,0.0,1.56,0.82,-,-,-,0
06133,维太移动,0.0,-,52.52,21.11,1.82,-,0
03399,粤运交通,9.068999999999999,9.09,12.21,14.19,15.60,17.45,0
00334,华显光电,15.0,0.15,0.66,25.17,24.75,23.23,0
00904,中绿,-0.02,0,-,-,-,-,-
01430,苏创燃气,0.0,39.29,25.23,14.91,10.92,7.39,0
02212,高鹏矿业,-190.0,-,-,-,-,-,0
03708,日成控股,28.0,12.15,29.62,6.83,6.80,0.77,0
06836,天韵国际控股,9.023,179.44,75.48,19.81,22.75,18.85,0
06183,中国绿宝,2.0269999999999997,28.75,23.08,14.98,13.29,9.77,0
01301,德基科技控股,14.286,24.18,27.83,4.04,-,2.86,0
06866,佐力小贷,0.0,8.76,9.62,10.52,10.67,9.80,0
01450,世纪睿科,0.0,81.86,25.17,12.18,11.13,-,0
02286,辰兴发展,2.198,2.11,21.22,27.92,15.45,16.73,0
01380,中国金石,0.0,-,-,-,-,1.90,0
00451,协鑫新能源,-315.0,0,-,-,2.85,14.97,0
01305,伟志控股,-5.052,13.13,9.38,-,1.10,3.46,0
01395,强泰环保,0.0,17.13,2.75,8.10,1.91,-,0
01468,英裘控股,-7.057,0,13.20,12.18,-,-,-
00442,KTL INT'L,0.0,0,19.17,5.32,-,-,-
01566,华夏动漫,21.473000000000003,0,154.11,13.55,16.46,9.76,2.28
00348,中国智能健康,-5.5,0,0.93,2.70,-,-,-
06893,衍生集团,41.923,0,52.71,3.30,6.18,1.17,0.06
01993,雅仕维,-23.076999999999998,84.86,114.90,-,3.04,8.81,0
01362,新龙移动,0.0,38.92,-,0.61,-,1.29,0
01165,顺风清洁能源,16.875,-,21.36,0.68,-,-,0
00750,兴业太阳能,3.947,18.88,18.61,10.39,12.12,3.27,0
00938,民生国际,0.0,0,7.38,1.51,5.08,-,-
01626,嘉耀控股,0.0,105.91,3.24,1.33,1.33,1.19,0
00331,丰盛机电,6.444,16.67,24.32,30.06,19.84,19.05,0
00048,中国汽车内饰,0.0,17.96,7.77,23.49,-,-,0
01359,中国信达,4.567,11.88,12.74,13.79,11.14,12.13,0
03639,亿达中国,0.0,11.84,9.99,8.74,5.71,9.17,0
03888,金山软件,60.231,19.84,16.85,4.69,-,26.49,0
03800,保利协鑫能源,3.568,-,10.67,15.30,9.75,8.67,0
02111,超盈国际控股,7.5889999999999995,29.57,15.27,19.69,23.99,13.22,0
01397,碧瑶绿色集团,0.0,64.65,9.42,11.64,11.06,8.56,0
01063,新确科技,4.5,-,-,8.16,-,-,0
02333,长城汽车,5.1610000000000005,29.37,24.04,21.03,22.31,10.23,0
02333,长城汽车,5.1610000000000005,29.37,24.04,21.03,22.31,10.23,0
02333,长城汽车,5.1610000000000005,29.37,24.04,21.03,22.31,10.23,0
02333,长城汽车,5.1610000000000005,29.37,24.04,21.03,22.31,10.23,0
03628,仁恒实业控股,290.0,11.36,4.18,0.92,-,-,0
03628,仁恒实业控股,290.0,11.36,4.18,0.92,-,-,0
03628,仁恒实业控股,290.0,11.36,4.18,0.92,-,-,0
03628,仁恒实业控股,290.0,11.36,4.18,0.92,-,-,0
06163,彭顺国际,0.0,116.16,85.92,109.87,27.88,6.34,0
03882,天彩控股,2.164,61.03,92.16,21.12,5.25,-,0
03882,天彩控股,2.164,61.03,92.16,21.12,5.25,-,0
03882,天彩控股,2.164,61.03,92.16,21.12,5.25,-,0
03882,天彩控股,2.164,61.03,92.16,21.12,5.25,-,0
06188,迪信通,0.0,18.72,13.26,12.97,11.46,9.40,0
00555,御泰中彩控股,1.4669999999999999,14.57,-,2.53,-,-,0
01738,飞尚无烟煤,-3.011,-,-,115.14,32.31,-,0
02300,澳科控股,7.22,9.92,9.75,7.31,5.42,9.24,0
01273,香港信贷,0.0,0,10.30,12.36,10.38,9.32,9.29
00096,YUSEI,0.0,2.15,15.45,16.34,14.80,16.37,0
00406,有利集团,0.0,0,2.52,4.77,-,-,3.56
00366,陆氏集团（越南）,0.0,5.82,4.03,4.02,4.94,4.05,0
02011,KEE,0.0,0.98,1.19,1.43,7.35,-,0
06880,腾邦控股,0.0,0,3.22,2.90,-,5.59,0
00111,信达国际控股,11.110999999999999,10.81,4.09,5.82,5.45,8.08,0
00058,新威国际,1.7209999999999999,-,-,111.52,-,-,0
00075,渝太地产,0.0,10.49,7.99,8.08,24.45,3.37,0
00021,大中华地产控股,0.0,-,-,-,-,-,0
00051,海港企业,15.369000000000002,8.30,6.68,7.61,4.37,7.52,0
00814,北京京客隆,25.694000000000003,3.45,2.50,1.52,1.62,2.84,0
01182,胜龙国际,-1.615,0,-,-,-,-,-
01098,路劲基建,8.206,7.90,7.61,6.23,9.40,12.43,0
00589,宝国国际,-24.968000000000004,14.69,3.53,-,1.98,2.71,0
00222,闽信集团,0.0,14.14,9.81,9.39,5.55,7.94,0
00373,联合集团,2.97,8.44,9.64,15.42,15.00,12.91,0
02196,复星医药,30.7,10.36,12.71,13.57,12.68,12.36,0
00228,中能控股,-0.563,-,-,-,-,-,0
00225,博富临置业,0.0,5.45,4.19,3.93,5.62,8.40,0
00184,激成投资,9.064,10.45,8.14,6.64,6.24,3.53,0
00181,闽港控股,0.0,-,-,-,0.43,1.98,0
00180,开达集团,9.237,3.77,9.18,7.24,6.81,15.12,0
00149,中国农产品交易,-0.069,12.92,-,-,-,-,0
00126,佳宁娜,11.649000000000001,0,5.27,3.32,3.52,3.71,8.01
01060,阿里影业,38.333,11.65,-,2.88,-,0,-
00927,富士高实业,0.0,0,7.75,1.67,1.58,0.42,4.42
01421,工盖有限公司,6.629,172.75,29.93,16.84,4.41,-,0
