name,business_income_2017_1,business_income_2017_2,business_income_2017_3,business_income_2017_4,business_income_2018_1,business_income_2018_2,business_income_2018_3,business_income_2018_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
富春股份,172.3994,265.6743,362.9376,530.3463,139.9733,261.4359,374.7441,,通信设备,福建,94.65,6.11,7.28,215616.8,53210.26,2466.54,43203.4,0.59,0.048,1.68,3.61,20120319.0,5463.49,0.08,3.25,-55.57,58.58,9.36,35065.0
扬子新材,535.6279,1209.5293,2127.0201,2609.1514,556.2167,1385.0697,2186.254,,其他建材,江苏,38.15,5.1,5.12,317692.44,221568.09,61929.03,921.4,0.02,0.096,1.48,3.3,20120119.0,21297.6,0.42,2.78,-18.66,14.07,2.24,19300.0
透景生命,43.8038,118.948,194.1621,302.8882,53.4287,140.4306,239.8553,,医疗保健,上海,30.61,0.53,0.91,105539.22,79787.71,14621.48,55126.36,6.07,1.002,10.96,3.73,20170421.0,32216.15,3.55,23.53,17.65,77.66,37.95,9254.0
康恩贝,1096.7344,2340.3237,3783.4541,5293.9668,1782.2583,3576.3852,5394.2016,,中成药,浙江,20.43,26.61,26.67,1094845.25,504880.5,231347.75,75812.4,0.28,0.287,2.22,3.52,20040412.0,212833.25,0.8,42.57,26.27,76.0,14.21,63760.0
龙大肉食,1476.0053,2904.5979,4542.7483,6572.6258,1841.0726,3623.1301,5891.0833,,食品,山东,37.52,7.51,7.56,331582.75,238699.77,53977.7,35716.51,0.47,0.168,2.78,3.03,20140626.0,76648.28,1.01,29.68,-22.9,7.03,2.16,18236.0
京泉华,196.6125,472.94300000000004,747.9076,1139.911,306.0377,561.4063,884.7657,,元器件,深圳,31.8,0.45,1.2,138241.47,104702.61,5100.6,30056.75,2.5,0.69,6.14,3.7,20170627.0,27849.6,2.32,18.3,20.68,15.84,7.27,16740.0
鸿利智汇,692.1079,1625.6236,2579.7773,3699.2612,873.7314,1924.7704,2938.0416,,元器件,广东,12.2,5.75,7.13,492884.09,204427.06,105559.57,109348.63,1.53,0.495,4.15,1.94,20110518.0,113232.42,1.59,13.89,35.84,23.69,12.0,21293.0
国光股份,141.0856,421.1273,587.0593,737.3231,168.9148,485.0919,673.0446,,农药化肥,四川,18.46,1.4,2.19,102539.88,75004.95,1764.17,30537.7,1.39,0.804,4.02,4.92,20150320.0,40916.65,1.87,14.65,10.28,49.97,26.21,9604.0
柳钢股份,9044.6516,19094.7789,29919.0451,41557.1691,11350.4057,22583.2885,34453.2352,,普钢,广西,4.63,25.63,25.63,2480265.0,1498824.88,912979.19,20843.6,0.08,1.27,3.58,2.19,20070227.0,516282.75,2.01,15.15,159.27,14.04,9.45,63956.0
科达洁能,1469.0729999999999,2503.2928,3948.7143,5728.5136,1531.1138,3017.3782,4473.0715,,专用机械,广东,19.73,14.11,15.77,1338721.5,744951.19,244872.55,113886.35,0.72,0.2,3.6,1.46,20021010.0,264873.59,1.68,13.28,-21.89,21.65,7.06,51935.0
