name,roe2016_2,roe2016_3,roe2016_4,roe2017_1,roe2017_2,roe2017_3,roe2017_4,roe2018_1,roe2018_2,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
旭光股份,1.96,3.21,4.09,1.15,1.98,2.85,2.55,0.96,,元器件,四川,63.06,5.44,5.44,173281.47,133882.5,30232.26,11375.75,0.21,0.019,2,2.43,20021120,33032.26,0.61,-10.1,-15.53,14.76,4.48,53425
宝光股份,5.25,8.56,7.67,1.29,4.79,6.96,7.26,0.95,,电气设备,陕西,84.93,2.36,2.36,69657.18,46103.3,21189.25,763.87,0.03,0.02,2.13,3.25,20020116,22254.71,0.94,11.7,-22.46,21.15,2.92,14568
深大通,1.8,2.21,4.6,1.82,3.52,5.02,6.63,0.95,,广告包装,深圳,45.51,1.8,5.23,572893.13,314951.81,10390.19,431336.81,8.25,0.099,10.41,1.74,19940808,57028.45,1.09,-0.41,-44.81,12.25,11.46,17396
中原环保,3.08,4.84,5.74,1.08,3.29,4.96,5.89,0.95,,环境保护,河南,31.67,5.22,9.75,707091.75,203057.44,292197.38,419318.31,4.3,0.054,5.67,1.2,19931208,59441.38,0.61,17.35,-7.74,34.42,20.36,29912
碳元科技,6.36,,16.29,1.6,3.09,4.88,5.75,0.95,,元器件,江苏,110.21,1.12,2.08,104233.38,76304.9,14862.47,42398.89,2.04,0.041,4.32,4.2,20170320,22172.26,1.07,-7.51,-38.73,23.82,7.82,18646
兴发集团,0.71,1.46,1.73,0.53,1.84,4,5.26,0.95,,化工原料,湖北,32.64,6.01,7.27,2455696,610281.56,1252081.88,413509.5,5.69,0.099,10.36,1.24,19990616,152144.73,2.09,6.37,127.45,14.69,1.76,31608
长青集团,3.38,5.4,8.24,1.26,2.45,3.41,4.17,0.95,,环境保护,广东,49.48,4.59,7.42,455378.06,143283.81,104691.35,85092.06,1.15,0.027,2.86,1.88,20110920,48066.62,0.65,-14.61,-20.67,17.48,4.85,38426
铁岭新城,-2.28,-3.58,-8,-1.15,-2.73,1.2,3.25,0.95,,区域地产,辽宁,18.75,8.25,8.25,592262.56,552885.69,20704.27,3199.37,0.04,0.036,3.8,0.72,19980616,208128.38,2.52,41.29,187.24,-40.54,513.77,29595
海陆重工,1.26,2.24,3.25,0.88,1.96,3.04,3.06,0.95,,专用机械,江苏,33.96,4.89,8.42,720705.38,485797.94,67301.03,153677.66,1.82,0.04,4.46,1.11,20080625,84576.78,1,141.26,48.57,19.1,6.68,43157
江山欧派,13.96,,24.62,2.13,6.48,9.4,13.82,0.94,,家居用品,浙江,52.36,0.31,0.81,157613.73,99373.9,19462.81,51759.05,6.4,0.117,12.43,1.98,20170210,35595.48,4.4,10.3,-51.02,27.78,4.77,6764
同和药业,10,,19.03,2.28,5.55,8.31,10.27,0.94,,化学制药,江西,69.65,0.42,0.81,72501.86,38050.32,19478.47,39176.78,4.81,0.08,7.95,2.62,20170331,17730.55,2.18,10.06,-55.49,25.49,8.46,11775
华脉科技,,,18.26,,5.38,7.06,8.39,0.94,,通信设备,江苏,65.71,1.01,1.39,152907.2,116515.47,16384.56,51407.68,3.71,0.06,6.38,2.47,20170602,26118.48,1.88,12.49,-69.28,21.76,2.61,17546
纳尔股份,9.8,14.34,11.74,1.76,3.41,4.45,6.38,0.94,,化工原料,上海,90.97,0.41,1.4,75810.52,49999.23,13884.45,19835.84,1.41,0.039,4.09,3.44,20161129,24821.67,1.77,32.24,-46.03,18.21,3.13,16060
中国联通,0.57,0.62,0.19,0.35,0.99,1.66,0.31,0.94,,电信运营,北京,30.44,211.97,310.28,57464960,9364516,34987024,7863074.5,2.53,0.042,4.42,1.16,20021009,3148841.75,1.01,8.59,374.75,26.45,1.74,760614
任子行,4.17,5.9,8.85,0.92,3.55,7.42,12.19,0.93,,软件服务,广东,90.74,3.54,6.8,226105.05,87702.8,17653.32,33704.12,0.5,0.017,1.82,3.39,20120425,40813.98,0.6,-2.73,8.76,40.99,5.39,32328
金银河,9.9,,21.04,0.96,5.51,9.7,11.38,0.93,,专用机械,广东,139.95,0.33,0.75,88859.25,62580.2,7022.67,18825.92,2.52,0.053,5.63,5.25,20170301,13418.59,1.8,104.6,8.3,26.73,3.86,12476
赢时胜,0.83,1.22,4.71,0.57,1.97,3.23,7.72,0.93,,软件服务,深圳,95.72,4.28,7.42,298791.09,144114.56,51616.01,159653.13,2.15,0.034,3.67,3.58,20140127,37559.85,0.51,84.84,70.86,81.99,17.67,52516
康跃科技,0.63,1.22,1.16,0.58,3.62,5.81,7.45,0.93,,机械基件,山东,43.17,0.78,2.34,200868.77,96562.35,32475.47,90682.75,3.88,0.053,5.71,1.61,20140801,19040.26,0.82,124.22,483.89,33.42,8.15,11073
浙能电力,7.47,10.08,10.77,1.57,4.1,6.33,7.13,0.93,,火力发电,浙江,30.03,136.01,136.01,11185658,2295936,5627511,2409230.75,1.77,0.042,4.5,1.13,20131219,1794613,1.32,17.69,-41.65,6.4,4.44,246423
丰原药业,2.34,3.73,3.97,0.81,3.64,5,5.35,0.93,,化学制药,安徽,43.79,3.12,3.17,281679.34,157126.36,78586.15,50661.2,1.6,0.036,3.84,1.64,20000920,32349.05,1.02,35.52,22.12,32.04,1.6,34906
浪莎股份,0.68,1.85,2.96,0.75,2.15,4.34,4.81,0.93,,服饰,四川,84.97,0.97,0.97,63169.01,49604.15,8207.21,34179.76,3.52,0.046,4.95,3.17,19980416,3106.9,0.32,42.23,29.74,19.52,9.07,16132
保龄宝,2.05,2.68,3.27,0.92,2.4,2.81,3.25,0.93,,食品,山东,50.77,3.29,3.69,229036.5,87773.42,96658.93,80067.8,2.17,0.039,4.15,1.89,20090828,32641,0.88,3.07,1.21,14,3.69,16442
东宝生物,1.17,1.83,2.67,0.78,1.68,2.15,3.07,0.93,2.28,生物制药,内蒙,56.82,4.45,4.64,107461.02,39502.6,48144.42,15796.55,0.34,0.036,1.58,2.6,20110706,9396.12,0.2,41.9,38.21,20.9,7.29,20502
圣济堂,-5.25,-3.68,-7.47,-1.17,0.06,-0.53,0.81,0.93,,农药化肥,贵州,33.12,12.45,17.36,679794.44,184873.38,420513.91,251582.91,1.45,0.025,2.71,1.24,20000221,16072.23,0.09,117.53,181.18,31.26,8.52,60665
太阳电缆,5.39,8.91,11.6,0.87,2.9,,7.66,0.92,,电气设备,福建,58.98,5.43,5.43,336837.63,171897.77,118685.25,34779.3,0.64,0.023,2.47,2.19,20091021,24790.89,0.46,34.36,5.29,6.59,1.28,57688
士兰微,1.01,2.47,3.85,1.3,3.32,5.21,6.45,0.92,,半导体,浙江,124.09,12.47,13.12,717708.13,335384.53,202229.73,81178.11,0.62,0.024,2.56,4.6,20030311,107486.92,0.82,10.48,-5.1,26.22,4.79,160460
浪潮软件,1.12,2.08,5.64,1.08,0.7,1.44,5.75,0.92,,软件服务,山东,66.62,3.24,3.24,285967.56,179307.73,18524.96,104834.03,3.23,0.062,6.7,2.46,19960923,71210.86,2.2,-28.91,-10.39,58.12,9.7,63775
中电电机,2.87,3.8,3.69,1.36,2.72,3.66,4.95,0.92,3.98,电气设备,江苏,50.41,1.68,1.68,90743.86,74010.93,5057.23,24004.25,1.43,0.158,3.95,4.02,20141104,22549.2,1.34,48.06,49.01,33.58,13.14,11912
湘潭电化,0.53,1.3,2.11,,2.04,3.67,4.28,0.92,,化工原料,湖南,69.91,2.59,3.46,272767.41,96524.81,128930.61,69002.52,2,0.03,3.22,2.6,20070403,5900.37,0.17,35.53,96.07,25.67,5.19,26511
亿利洁能,1.64,2.28,2.7,0.54,1.14,1.99,3.63,0.92,,综合类,内蒙,27.41,26.74,27.39,2923134,1231927.38,757984.13,988631.63,3.61,0.049,5.3,1.01,20000725,157818.36,0.58,44.5,33.09,11.84,3.31,61010
启迪古汉,5.48,5.65,21.14,3.94,2.52,2.63,3.28,0.92,,中成药,湖南,102.35,2.23,2.39,84528.03,48991.85,16370.98,43949.56,1.84,0.023,2.46,3.79,19960119,-13607.7,-0.57,-17.13,-49.03,48.15,9.22,12021
宝胜股份,2.61,5.04,7.37,0.83,1.9,2.77,2.36,0.92,,电气设备,江苏,33.16,8.95,12.22,1692181.63,1237743,292702.66,123741.22,1.01,0.027,2.9,1.23,20040802,104436.38,0.85,96.66,8.79,4.46,0.5,40357
耀皮玻璃,0.34,1.47,7.47,0.2,0.56,0.95,1.59,0.92,,玻璃,上海,36.63,7.47,9.35,714610.06,283101.75,365025.53,112984.27,1.21,0.03,3.25,1.35,19940128,49147.98,0.53,16.07,344.15,16.62,3.35,53300
恒林股份,26.39,,40.72,,13.79,20.16,7.6,0.91,,家居用品,浙江,45.66,0.25,1,261585.3,205957.86,30791.69,135395.72,13.54,0.2,21.99,1.66,20171121,69523.96,6.95,0,0,18.7,4.51,21494
东方市场,2.7,4.42,4.25,0.1,4.07,5.58,6.37,0.91,,综合类,江苏,58.21,12.18,12.18,436740.81,181513.25,37020.1,64300.43,0.53,0.027,2.97,2.13,20000529,137941.38,1.13,-8.31,764.22,30.32,15.96,94569
上海天洋,8.04,,14.78,0.72,1.43,2.71,5.01,0.91,,塑料,上海,71.34,0.32,0.78,85202.21,42870.48,15499.29,39067.2,5.01,0.072,7.84,2.61,20170213,14139.37,1.81,39.67,30.05,26.56,4.38,9645
鲁商置业,1.51,3.52,4.14,0.86,1.7,3.79,4.51,0.91,,区域地产,山东,32.41,10.01,10.01,4457494,4378290.5,40736.75,29683.64,0.3,0.022,2.35,1.19,20000113,95470.06,0.95,1.16,10.66,20.16,2.82,29857
西部证券,4.93,7.6,9.06,1.44,2.53,4.04,4.27,0.91,,证券,陕西,37.35,35.02,35.02,5257714,0,19976.07,950118,2.71,0.046,5.04,1.37,20120503,208542.7,0.6,-15.07,-10.71,0,28.84,228049
