name,net_profits_2016_2,net_profits_2016_3,net_profits_2016_4,net_profits_2017_1,net_profits_2017_2,net_profits_2017_3,net_profits_2017_4,net_profits_2018_1,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
京能置业,35.2462,27.4125,46.1305,6.2911,3.2217,61.9356,49.574,3.0137,全国地产,北京,161.56,4.52,4.53,594594.13,516096.31,1585.29,17742.42,0.39,0.006999999999999999,3.57,1.2,19970130.0,89052.38,1.97,233.23,-52.1,10.22,0.94,31533.0
江特电机,106.9801,172.8522,197.297,45.3577,62.0784,210.6555,281.3044,197.8909,电气设备,江西,18.86,14.42,14.69,1023025.81,555803.0,140460.42,174662.11,1.19,0.135,2.87,3.54,20071012.0,94184.86,0.64,118.35,336.29,33.55,25.68,128126.0
红相股份,12.8997,14.2665,73.8159,-5.3095,14.3278,24.8152,117.95,59.3858,电气设备,福建,21.21,1.11,3.53,293015.84,140712.92,22945.59,108211.8,3.07,0.168,5.48,2.61,20150217.0,45793.7,1.3,669.31,1218.48,52.72,23.82,16375.0
北京城建,434.8671,684.7343,1443.5614,102.9988,264.2668,482.2132,1456.1078,,区域地产,北京,31.76,15.67,15.67,9731418.0,8512193.0,18173.65,379732.28,2.42,0.06,12.96,0.72,19990203.0,917837.63,5.86,-31.79,11.24,37.72,7.46,71873.0
千金药业,37.4362,65.86,149.4287,27.7375,45.4191,97.5836,207.7583,33.9416,中成药,湖南,32.0,3.66,4.19,334825.09,248754.91,51516.95,65439.71,1.56,0.081,4.57,2.27,20040312.0,72817.8,1.74,4.98,22.37,46.95,4.92,28929.0
通化金马,91.8739,134.1813,213.4615,59.6429,124.6826,174.4861,257.8793,58.4631,中成药,吉林,47.32,5.73,9.66,582937.94,182793.06,78956.03,364242.94,3.77,0.06,4.59,2.49,19970430.0,-27830.98,-0.29,82.73,-1.98,80.03,16.23,30132.0
合锻智能,22.9838,39.0679,51.2945,8.8718,27.675,37.1397,42.1494,12.2584,机床制造,安徽,53.33,4.12,4.53,224449.13,121096.17,36890.05,101071.75,2.23,0.03,3.83,1.51,20141107.0,22779.63,0.5,-1.71,38.17,33.26,7.19,17582.0
深华发A,7.273,4.5094,5.4577,0.4212,2.1465,0.3484,0.9744,0.3074,元器件,深圳,2995.68,1.81,2.83,60019.65,32191.55,8247.75,14658.72,0.52,0.001,1.13,11.47,19920428.0,-18615.97,-0.66,-10.54,-27.06,11.01,0.18,28974.0
朗科科技,19.7645,33.5086,44.4388,14.8794,22.8208,36.661,56.1894,14.8903,电脑设备,深圳,56.44,1.12,1.34,95440.65,70850.36,4661.87,60245.71,4.51,0.111,6.89,3.65,20100108.0,16590.23,1.24,1.2,0.07,12.77,7.18,5275.0
大晟文化,35.384,63.747,152.6831,7.6725,34.7968,93.7316,300.1156,6.9683,影视音像,深圳,167.6,2.52,5.59,272715.19,96498.34,878.84,115622.05,2.07,0.012,3.53,2.36,19960315.0,25253.67,0.45,64.22,-9.18,91.46,13.6,12685.0
