name,roe2016_2,roe2016_3,roe2016_4,roe2017_1,roe2017_2,roe2017_3,roe2017_4,roe2018_1,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
泰胜风能,5.24,7.6,10.19,1.84,4.89,6.79,6.8,0.62,电气设备,上海,44.22,4.91,7.19,318765.88,209734.02,60982.78,70538.61,0.98,0.02,3.15,1.1,20101019.0,80128.02,1.11,35.41,-65.04,24.5,6.08,45010.0
特一药业,5.23,7.74,10.69,2.06,5.85,8.53,10.19,2.32,中成药,广东,32.33,1.19,2.0,190387.92,76321.61,32890.15,23792.63,1.19,0.12,5.02,3.2,20140731.0,49717.75,2.49,34.31,32.5,49.85,12.17,21045.0
盛路通信,5.23,7.32,6.6,2.31,3.59,4.41,3.99,2.32,通信设备,广东,22.86,4.24,7.62,352125.72,176595.56,27818.45,124197.75,1.63,0.079,3.39,2.13,20100713.0,52668.61,0.69,39.7,3.83,30.65,16.16,41774.0
苏州恒久,5.22,,7.84,,3.04,3.72,5.62,0.6,元器件,江苏,156.68,0.88,1.92,62647.88,44876.94,10709.07,13162.6,0.69,0.017,2.83,3.82,20160812.0,18819.75,0.98,-5.65,-48.72,25.18,5.45,16374.0
创业环保,5.21,7.85,9.34,2.52,5.24,8.17,9.93,2.02,环境保护,天津,31.52,10.87,14.27,1339327.5,441595.09,37737.6,39911.5,0.28,0.077,3.78,2.56,19950630.0,309101.31,2.17,1.0,-8.19,38.35,22.21,118346.0
神力股份,5.21,7.1,6.27,1.47,2.93,3.48,4.13,0.63,电气设备,江苏,117.04,0.56,1.21,92180.81,73406.85,7324.06,45249.8,3.75,0.04,6.2,2.99,20161125.0,15234.62,1.26,40.03,-56.1,10.33,2.35,11410.0
宏川智慧,5.21,,7.63,,3.82,6.11,7.76,1.59,仓储物流,广东,83.24,0.61,2.43,234218.09,58174.36,101818.2,102146.59,4.2,0.15,6.97,5.3,20180328.0,40968.15,1.68,0.0,0.0,61.03,27.86,115324.0
庄园牧场,5.21,,9.98,,4.79,6.77,6.06,1.54,乳制品,甘肃,59.59,0.47,1.87,176729.81,80187.15,66223.7,50879.06,2.72,0.08,6.11,3.69,20171031.0,41721.51,2.23,0.0,0.0,32.87,10.78,29852.0
四川成渝,5.21,7.72,,2.04,4.3,6.57,6.39,2.77,路桥,四川,7.18,21.63,30.58,3486592.5,662248.88,49457.87,185391.98,0.61,0.13,4.67,0.8,20090727.0,448411.56,1.47,-3.83,42.66,49.77,26.81,66606.0
珍宝岛,5.2,9.09,11.84,2.65,4.58,7.87,11.15,3.25,中成药,黑龙江,18.21,8.49,8.49,700994.44,483482.31,121455.4,122516.02,1.44,0.185,5.68,2.37,20150424.0,245585.05,2.89,11.47,33.84,73.26,25.76,28134.0
