code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
TALO,"Talos Energy, Inc.",22.25,21.39,108716,1.038778,0,1.689,-0.902067
TAN,太阳能ETF-Guggenheim,20.16,20.46,66505,1.36805,11.559322,0,1.77
TANH,Tantech Holdings,1.64,1.64,283728,1.040454,11.306524,0.466937,0.145049
TAOP,淘屏,1.37,1.39,129798,0.494657,19.952059,7.785844,0.069667
TAP,莫库酒业,64.55,64.74,1626895,1.014836,8.848807,1.028793,7.316241
TAST,Carrols Restaurant Group,11,10.87,274688,1.00697,47.277109,2.247549,0.229921
TAT,TransAtlantic Petroleum Ltd,1.02,1.04,143135,0.48594,0,2.832115,-0.223182
TBB,AT&T Inc.,23.89,23.74,98670,0.952932,4.478383,0,5.30102
TBBK,The Bancorp,10.28,10.21,214171,1.678798,8.348262,1.470663,1.223009
TBC,AT&T Inc. 5.625% Global Notes due 2067,23.97,23.87,66583,0.650571,4.639582,0,5.14486
TBF,债券20+国债指数ETF-ProShares做空,23.99,23.88,1133702,2.496168,0,0,0
TBI,TrueBlue,24.7,24.58,374253,1.680758,15.605418,1.715157,1.575094
TBK,"Triumph Bancorp, Inc.",36.96,37,198610,1.623891,22.231636,1.601941,1.664295
TBPH,Theravance Biopharma Inc.,25.21,26.24,315765,1.281591,0,42.048806,-4.898535
TBT,债券20+美国债指数ETF-ProShares两倍做空,40.09,39.79,2502236,0.967287,0,0,0
TCBI,Texas Capital Bancshares,60.11,60.24,684679,1.007144,11.37327,1.47265,5.29663
TCBK,TriCo Bancshares,36.46,37,52352,0.773655,19.389158,2.196204,1.908283
TCDA,Tricida Inc.,30.03,31.3,85966,1.076364,0,-9.961386,-34.520897
TCF,TCF Financial Corp,21.88,22.18,1164389,0.851497,12.186405,1.582784,1.820061
TCMD,Tactile Systems Technology Inc,58.22,58.52,201106,1.032515,169.6827,13.618976,0.344879
TCO,陶布曼中心,51.95,51.88,571278,1.043672,53.967687,-148.699768,0.961316
TCON,"TRACON Pharmaceuticals, Inc.",1.25,1.3,66983,0.399245,0,1.049654,-1.087903
TCP,TC PipeLines LP,30.7,31.05,127988,0.734271,8.35819,2.166403,3.714919
TCPC,TCP Capital Corp,13.9,13.89,426114,1.043208,13.831589,0.950694,1.004223
TCRD,THL Credit,7.14,7.19,232179,1.277659,0,0.703024,-0.198088
TCS,The Container Store,5.94,5.73,342033,1.335608,13.53017,1.186582,0.423498
TCX,Tucows,54.67,54.52,88990,1.488491,26.194386,8.355022,2.081362
TD,道明银行,55.22,55.18,1243421,1.075339,15.285319,1.925312,3.61
TDC,Teradata,37.68,37.73,1191248,1.094225,0,7.856019,-0.510168
TDF,Templeton Dragon Fund Inc,17.76,17.87,119180,1.357678,5.097257,0.722863,3.505807
TDG,TransDigm,342.22,347.77,327732,0.705227,25.379531,-8.721875,13.702775
TDIV,First Trust Exchange-Traded Fund,35.39,35.84,70820,0.535631,0,0,0
TDOC,Teladoc Inc,59.98,59.08,1586712,1.020735,0,5.874589,-2.12849
TDS,电话数据,34.69,35.09,1146135,1.02408,21.959825,0.878111,1.597918
TDTF,FlexShares iBoxx 5 Year Target D,23.99,24.05,265084,2.445979,0,0,0
TDTT,FlexShares iBoxx 3 Year Target D,23.8599,23.855,406082,2.481011,0,0,0
TDW,Tidewater Inc,25.87,25.73,231032,0.485146,0,0.785151,-66.676521
TDY,Teledyne Technologies Inc,224.69,227.92,101140,0.78816,26.445815,3.692402,8.618377
TEAM,Atlassian Corporation PLC,75.27,75.95,876782,0.776214,0,25.144789,-1.481237
TECD,美国技术数据公司,74.73,75.98,362313,1.080735,19.676862,1.022142,3.861388
TECH,Techne Corporation,162.06,160.23,489128,1.585798,47.641107,5.602736,3.363272
TECK,泰克资源有限公司,22.13,21.93,2403601,0.785482,16.365671,0.865538,1.34
TECL,Direxion DailyTechnology Bull 3x,114.1,117.94,307490,0.933463,0,0,0
TECS,Direxion DailyTechnology Bear 3x,23.61,22.82,392209,0.707129,0,0,0
TEF,西班牙电信,8.55,8.59,1238714,0.815717,12.66786,2.55811,0.678094
TEI,邓普顿新兴市场基金,9.59,9.54,141105,1.162704,0,0.842993,-0.579748
TEL,泰科电子,76.39,77.65,3995088,1.228032,20.368757,2.850592,3.812211
TELL,Tellurian Inc.,7.95,8.02,1926863,0.887673,0,5.591099,-0.432909
TEN,天纳克,33.23,33.02,404529,0.717663,7.212475,3.594259,4.578179
TENB,Tenable Holdings Inc.,28.81,30.55,217677,1.23852,0,-7.128192,-2.445314
TEO,阿根廷电信,17.62,17.23,123627,0.53075,42.024391,0.139307,0.41
TER,泰瑞达,35.61,36.41,1644770,0.691489,33.339743,4.070253,1.09209
TERP,TerraForm Power,11.02,11.22,512135,0.758026,0,1.066026,-0.926962
