code,name,pe,2018_profit,2017_profit,,2016_profit,,2015_profit,,2014_profit
818,高阳科技,9.608,0,300,127.27%,132,1933.90%,6.49,-87.28%,51.01
393,旭日企业,9.643,0,102,126.77%,44.98,-10.65%,50.34,-63.78%,139
14,希慎兴业,36.985,0,4097,126.35%,1810,-49.34%,3573,-36.60%,5636
1313,华润水泥控股,38.325,0,4884,126.32%,2158,119.31%,984,-82.90%,5754
3301,融信中国,5.607,0,4484,124.09%,2001,-2.53%,2053,#DIV/0!,0
2777,富力地产,5.893,0,30053,123.34%,13456,8.35%,12419,10.61%,11228
1062,国开国际投资,7.29,0,178,119.02%,81.27,-31.13%,118,141.06%,48.95
2899,紫金矿业,29.239,0,5027,117.43%,2312,18.93%,1944,-43.82%,3460
355,世纪城市国际,700,0,1212,114.13%,566,94.50%,291,-56.95%,676
252,华信地产财务,24.561,67.73,115,113.71%,53.81,-71.07%,186,#DIV/0!,0
6122,九台农商银行,0,0,5840,,5954,,4268,,0
1812,晨鸣纸业,5.871,0,4418,111.19%,2092,88.81%,1108,567.47%,166
859,镇科集团,440,37.05,70.3,110.35%,33.42,-93.50%,514,#DIV/0!,0
2238,广汽集团,9.219,0,4492,109.81%,2141,453.23%,387,-176.79%,-504
1161,奥思集团,26.316,0,85.72,109.38%,40.94,-40.26%,68.53,5.06%,65.23
311,联泰控股,9.896,0,31.14,108.85%,14.91,-11.62%,16.87,-9.35%,18.61
323,马鞍山钢铁股份,-4.859,0,5649,,1248,,-5093,,58.08
285,比亚迪电子,20.582,0,2992,108.79%,1433,38.32%,1036,2.37%,1012
978,招商局置地,7.081,0,5301,108.54%,2542,174.22%,927,-42.92%,1624
259,亿都（国际控股）,8.55,142,508,108.20%,244,-2.40%,250,#DIV/0!,0
2327,美瑞健康国际,106.25,0,104,108.12%,49.97,1511.94%,3.1,#DIV/0!,0
347,鞍钢股份,-9.908,0,5526,,1591,,-3873,,1565
884,旭辉控股集团,9.765,0,10041,107.59%,4837,27.12%,3805,14.44%,3325
418,方正控股,68.333,0,91.23,106.59%,44.16,72.97%,25.53,136.61%,10.79
175,吉利汽车,62.476,0,12774,105.90%,6204,115.79%,2875,47.97%,1943
1889,武夷药业,15,0,-1035,105.77%,-503,-973.57%,57.58,-239.76%,-41.2
3366,华侨城（亚洲）,7.055,0,2185,105.74%,1062,-24.20%,1401,63.10%,859
848,茂业国际,22.188,0,2750,102.21%,1360,77.31%,767,-66.97%,2322
598,中国外运,9.948,0,3180,102.03%,1574,-4.26%,1644,33.66%,1230
1972,太古地产,11.504,0,34930,101.67%,17320,6.87%,16207,47.44%,10992
583,长城环亚控股,7.143,0,266,100.00%,133,-54.76%,294,59.78%,184
1678,中创环球,0.915,0,-152,98.46%,-76.59,-120.64%,371,-17.00%,447
1539,汇能集团,23.099,145,88.53,98.45%,44.61,23.71%,36.06,#DIV/0!,0
2007,碧桂园,24.921,0,43598,97.06%,22124,36.75%,16178,-2.57%,16605
